bobble,مزركشة
boys,أولاد
let,دع
going,ذاهب
leaving,مغادرة
privacy,خصوصية
mail,بريد
myth,أسطورة
owners,أصحابها
men,رجال
email,البريد الإلكتروني
letter,رسالة
smartass,الحمار الذكي
smart ass,الحمار الذكي
work culture,ثقافة العمل
workplace,مكان العمل
pechkas,موقد
app,تطبيق
khoj,البحث
discover,اكتشف
idiotic,أحمق
old man,رجل عجوز
tease,يغيظ
never,أبدا
quit,استقال
back down,يعترف بالهزيمة - يتراجع
failure,بالفشل
motivation,التحفيز
motivator,الحافز
chutiya,قرصة
fucker,الأبله
wearing,يلبس
serious,جدي
specs,المواصفات
papa,بابا
fail,فشل
toh do,توه تفعل
mauka,فرصة
dad,بابا
pissed,سكران
annoyed,منزعج
joint,مشترك
doobie,دووبي
family,عائلة
chitwan,شيتوان
chitvan,شيتوان
chanchal,مرح
logo,شعار
whatsapp,ال WhatsApp
pregnant,حامل
praja,براجا
banata,بنات
raat,راع
tharki,اللدغة
horny,قرنية
hame,زغب
humein,نحن
humey,نحن
prem,بريم
pranav,براناف
mein,خاصتي
planner,مخطط
bahut,كثير
chandan,خشب الصندل
daddy,أبي
baba,بابا
compatibility,التوافق
mommy,أمي
momy,أمي
mama,ماما
fuck,اللعنة
irritated,غضب
bye,وداعا
bye bye,مع السلامة
tata,تاتا
driving,القيادة
roadtrip,رحلة الطريق
dj,دي جي
beautiful,جميلة
hillary,هيلاري
means,يعني
election,انتخاب
supported,أيد
vote,تصويت
superwoman,امرأة خارقة
her,لها
again,مرة أخرى
back,عودة
wizard,ساحر
withcraft,السحر
winner,الفائز
winning,الفوز
hillary clinton,هيلاري كلينتون
clinton,كلينتون
she,هي
choice,خيار
choose,أختر
select,تحديد
opt,يختار، يقرر
speech,خطاب
deck,ظهر السفينة
boxing,ملاكمة
ring,حلقة
gloves,قفازات
warrior,محارب
right,حق
five,خمسة
5,5
!,!
exclamation,تعجب
ice cube,مكعب ثلج
tv,تلفزيون
screen,شاشة
smart response,استجابة ذكية
acknowledge,الإقرار
filler,حشو
interactions,التفاعلات
bubble,فقاعة
cube,مكعب
ice,جليد
thought,فكر
thought bubble,فقاعة الفكر
oh my god,يا إلهي
shit,القرف
damn,اللعنة
fish,سمك
hulk,الهيكل
avenger,المنتقم
dumbbell,الدمبل
fire,نار
firey,حريق
devil,الشيطان
zzz,zzz
good night,تصبح على خير
muah,مواه
lips,الشفاه
kiss,قبلة
yipii,EP
wohoo,ووهو
yay!,ياي!
hurrah,مرحى
great news,أخبار رائعة
kisses,القبلات
lovey dovey,دوفي محبوب
lovely,محبوب
xoxo,xoxo
love and hugs,حب و عناق
HUGS,هيوز
hugzzz,hugzzz
gone,ذهب
hehe,الكالينجيون
too hot,حار جدا
ooo,إنفست
so hot,حار جدا
fanning,تأجيج
peace,سلام
peace out,السلام خارج
calm down,إهدئ
angel,ملاك
mug,قدح
celebrate,احتفل
arghh,arghh
irritate,يزعج
pissed off,منزعج
gosh,يا إلهي
aaaa,س س س س
please,رجاء
pls,الرجاء
plis,المزيد
puppy face,وجه جرو
puppy,جرو
face,وجه
please please,من فضلك من فضلك
xmas,عيد الميلاد
xmas tree,شجرة عيد الميلاد
christmas decorations,زينة عيد الميلاد
sweater,سترة
christmas,عيد الميلاد
window,نافذة او شباك
jumper,سترة او قفاز او لاعب قفز
merry christmas,عيد ميلاد سعيد
rudolf reindeer,رودولف الرنة
ugly,البشع
ugly sweater,سترة قبيحة
festival,مهرجان
snowman,الرجل الثلجي
snow,ثلج
christmas cap,قبعة عيد الميلاد
snowball,كرة الثلج
sing,يغني
violin,كمان
flakes,رقائق
christmas carol,كارول عيد الميلاد
holiday season,موسم الأعياد
happy holiday,اجازة سعيدة
ho,الحماية
santa,سانتا
santa claus,سانتا كلوز
oak tree,شجرة البلوط
snowballs,كرات الثلج
snowflakes,رقاقات الثلج
presents,هدايا
gifts,هدايا
christmas presents,هدايا عيد الميلاد
christmas present,هدية عيد الميلاد
reindeer,الرنة
rudolf,رودولف
sleigh,مزلقة
chimney,مدخنة
hallelujah,الحمد لله
bow,ينحني
decorations,الأوسمة
green,أخضر
candle,شمعة
claus,بند
ribbon,شريط
jolly,جولي
times,مرات
wreath,إكليل
snow flakes,رقاقات الثلج
grinch,مفسد البهجة
xmas present,هدية عيد الميلاد
xmas gift,هدية عيد الميلاد
christmas gift,هدية عيد الميلاد
merry,مرح
christmas cake,كعكة عيد الميلاد
christmas pudding,عيد الميلاد الحلوى
christmas pie,فطيرة عيد الميلاد
socks,جوارب
stockings,جوارب
fire place,المدفأة
cup,كوب
coffee,قهوة
red sweater,سترة حمراء
christmas tree,شجرة عيد الميلاد
christmas socks,جوارب عيد الميلاد
jingle,نغمة
along,على طول
bells,أجراس
jingle bells,اجراس الميلاد
kahan,أين
chupaya,اختبأ
throw,يرمي
throwing,رمي
our,لنا
pouring,سكب
meri,مخصص
pichkari,مرذاذ
pakdo,انتظر
colours,الألوان
rang,دع
holi hai,إنها هولي
tshirt,تي شيرت
thoda,القليل
de,من
na,على
colour,اللون
colors,الألوان
color,اللون
gubbare,بالونات
balloons,بالونات
water balloon,بالون ماء
phod,انفجار
burst,انفجار
dunga,دونغا
tere,هنا
your,الخاص بك
bursting,انفجار
balti,أبيض
or,أو
bhaang,استراحة
bhang,القنب
mujpe,أنا
matt,غير لامع
dalo,دالو
daalo,مرهق
bheeg,رطب
geeli,جل
gai,إن
drenched,منقوع
drench,جرعة
pani,سيدة
maal,مرات
puye,بوي
sweets,حلويات
mithai,حلويات
sweet tooth,السن الحلو
sugar,السكر
tray,صينية
dhol,الطبول
lets,دعونا
play holi,تلعب هولي
anu malik,عادوا
akshay kumar,اكشاي كومار
drums,طبول
celebratory,احتفالي
hollii,أوليير
holii,هولى
wishing,متمنيا
wishes,التمنيات
mubarak,مبارك
happy holi,عيد سعيد
buckets,دلاء
baalti,دلو
bura,حمالة الصدر
mano,مانو
maano,كما لو
jumping,القفز
bhabhi,بهابي
ko,كو
baahar,بحر
nikaalo,أخرج
gun,بندقية
wali,الوصي
balam,بلسم
jo,سابقا
tune,نغم
mujhe maari,اضربني
muje,امرأة
bade,الكبير
josh,جوش
water gun,مسدس مائي
held,مقبض
hold,معلق
aaj,اليوم
chhodunga,سيغادر
chodunga,سيغادر
Ma durga,لديه دورجا
durga,دورجا
durga pujo,دورجا بوجا
durga pujan,دورجا بوجان
poojan,العبادة
pujo,بوجو
bengal,البنغال
bengali,بنغالي
trishul,تريشول
trishool,ترايدنت
goddess,إلهة
korchich,korchich
navami,نافامي
dine,ك
talking,تتحدث
celebrating,يحتفل
dussehra,dussehra
indian,هندي
jama,في الطريق
kapor,شبت
kinli,كينلي
bong,بونغ
bongoli,التأليف
pranaam,برانام
pronam,انحنى
touching,مؤثر
feet,أقدام
father,الآب
elder,المسنين
respect,احترام
gratitude,امتنان
greet,تحية
pandal,الفضيحة
pandel,Pandel
ghurte,للانعطاف
jabi,الجابي
when,متى
tent,خيمة
venue,مكان
event,حدث
pujan,العبادة
wink,غمزة
naughty,شقي
wear,البس، ارتداء
lanka,لانكا
naresh,ناريش
ravan,حتى
raavan,رعوان
heads,الرؤوس
ten,عشرة
ten heads,عشرة رؤوس
ravana,رافانا
hapy,سعيد
dushera,Dashera
greetings,تحية طيبة
dandiya,عصا
dandeeya,دندية
dandiya raas,دنديا راس
dandiya sticks,دندي العصي
traditionalc,تقليدي
handsome,وسيم
fold,يطوى
hands,اليدين
folding,للطي
folded,مطوية
saree,ساري
white,أبيض
saare,الجزيرة
sari,ساري
bengali sari,البنغالية ساري
bengali saaree,البنغالية جيدة
ye,هو
dosti,بما فيه الكفاية
hum,همهمة
hani,على الورقة
todenge,سوف ينكسر
todengey,سوف ينكسر
nig,ليه
nigga,نيغا
raised,رفع
langotiya,حفاضات
boxer,ملاكم
shorts,السراويل القصيرة
nude,ناقص
soul,الروح
sisters,أخوات
sister,أخت
humari,لدينا
yari,كان
yaari,yaari
sabse,الأكثر
pyari,الجميل
pyaari,حبيبي
har,لديها
ik,أنا.
kamina,موقد
kameena,نذل
hota,سيكون
zaroori,ضروري
kyunki,لأن
bros,اخوان
hoes,المعاول
befo,قبل ذلك
kaminey,كاميني
kamnia,كامنيا
etc,إلخ
bestfriend,افضل صديق
nice,لطيف
ce;ebrating,يحتفل
kahaan,قلها
sista,آخر
sis,الأخت
behen,مكان
behan,بهان
bahan,المكونات
shubh,الميمون
raksha,حماية
bandhan,السند
hand,كف
broda,سفينة
raksha bandhan,راكشا باندهان
raksh,حماية
rakhi,رخي
demand,الطلب
demanding,متطلب
holding,تحتجز
dhaga,ضغا
lut,لحام
loot,نهب
gaya,النمط
gya,جايا
lutt,لوت
kangaal,الفقير
thaali,دالي
thali,ثالي
rakshabandhan,Rakshabandhan
bhaiya,أخي
loving,محب
rakhis,رخيس
sisbling,تلبيس
kin,أقرباء
cousins,بنات العم
cousin,ولد عم
rkshabandhan,Rakshabandhan
ethnic,عرقي
ndian,للفة
hazaaron,آلاف
rakhii,متسابق
prank,مزحة
officemate,مؤدب
lying,يكذب أو ملقاه
youre,أنت على
jhoot,كذب
jhut,كذب
kauwa,عبد
kaate,قطع
found,وجدت
pakda,اشتعلت
liya,تولى
foolish,أحمق
fool,مجنون
budhu,بوذا
paagal,paagal
paglait,ازدراء
fools,الحمقى
every,كل
clown,مهرج
joker,مهرج
halt,وقف
ruko,متجر المنزل
ruk jao,توقف
chup,فرم
ullu,أولو
whats,ما هى
scorer,هداف
scorecard,بطاقة الأداء
twice,مرتين
shame,عار
fingers,الأصابع
floor,أرضية
cnaa,غرام
dare,جسارة
challenge,تحد
accepted,قبلت
believe,يصدق
yakeen,له
karo,شخص ما
fooled,ينخدع
it,عليه
dammit,اللعنة
trust,ثقة
crossed,عبرت
cross,تعبر
makeup,ميك أب
make up,ميك أب
waah,واه
wahh,رائع
kya,ماذا
teasing,إغاظة
rangg,رائع
holi party,حزب هولي
khelte,اللعب
chalo,تعال
rangon,رتبة
ab,من
toh,توه
balloon,بالون
ke,من
lad,الفتى
gande,جاف
kapde,الملابس
dressed,يرتدي
coloured,ملونة
colored,ملونة
chun,ل
rangoongi,rangoongi
raising,مقوي
raise,رفع
glasses,نظارات
toast,خبز محمص
kab,كب
gabbar,جبار
gubbar,الرجال
sholay,شولاي
keh,نعم
maarunga,سيقتل
hoga,سيكون
re,إعادة
kaaliya,كاليا
kaliya,فقط
holi colours,الألوان المقدسة
barse,بارس
bheegey,رطب
chunar,Chunar
may,مايو
irish,الأيرلندية
st patricks day,عيد القديس باتريك
st,ش
patricks,باتريك
lucky,سعيد الحظ
goodluck,حظا طيبا وفقك الله
upon,بناء على
greets,تحية
patty,فطيرة
feast,وليمة
pattys,الفطائر
celebrations,الاحتفالات
feasts,الأعياد
elebrate,احتفال
ireland,ايرلندا
wman,wman
troubles,مشاكل
less,أقل
im,انا
believer,مؤمن
sitting,يجلس
everyone,كل واحد
everyones,الجميع
few,قليل
beers,بيرة
beer glass,زجاج البيرة
drining,التنقيب
bar,شريط
coins,عملات معدنية
gold,ذهب
wealth,الثروة
treasure,كنز
rise,ترتفع
chap,الفصل
until,حتى
taking,مع الأخذ
adios,وداعا
beerglass,بيرجلاس
partying,الحفلات
ramzan,رمضان
mobarak,مبارك
mosque,مسجد
look,نظرة
chand,تشاند
terrace,مصطبة
dekho,انظر
keep,احتفظ
calm,هدوء
and,و
iftar,الإفطار
iftaar,الإفطار
dinner,وجبة عشاء
eid,عيد
fitr,صالح
fitar,خارج
many,كثير
gang,عصابة
milna,ميلنا
milne,milne
ramadan,رمضان
kareen,كارين
ramadaan,رمضان
allah,إله
bhaijaan,أخي
insha,إن شاء
inshaa,إنشاء
beard,لحية
praying,يدعو
pray,صلى
masjid,مسجد
namaz,صلاة
namaaz,نماء
padhna,القراءة
subhan,سبحان
ka,أو
mullah,الملا
beat,تغلب
gamer,اللاعب
gamechanger,مغير اللعبة
gamechange,اللعبة تغيرت
basketball,كرة سلة
football,كرة القدم
rio,ريو
in rio,في ريو
give,يعطى
hoolahhoop,الفحيحيل
hoolah hoop,حوفو طارة
gymnast,لاعبة جمباز
just,مجرد
cycle,دورة
riding,يركب
racing,سباق
racer,متسابق
gear,هيأ
brazil,البرازيل
olympic,أولمبي
olympics,أولمبياد
indian olympics,دورة الالعاب الاولمبية الهندية
india olympics,أولمبياد الهند
mascot,تعويذة
big,كبير
game,لعبه
changer,مغير
sportsman,رياضي
sportsmen,رياضيون
ready,جاهز
olympian,الأولمبية
sportsmn,رياضي
baseball,البيسبول
hockey,الهوكي
training,تدريب
practice,ممارسة
practise,ممارسة
practising,ممارسة
workout,اكتشف - حل
working out,العمل
aim,هدف
work out,اكتشف - حل
weight,وزن
gym,نادي رياضي
basanti,basanti
rang de basanti,دع الهيئات الثلاث
citizen,مواطن
indian citizen,مواطن هندي
shirtless,بلا قميص
an,أ
is great,عظيم
saffron,زعفران
lal quila,لال كويلا
bharat,بهارات
mahan,ماهان
mahaan,عظيم
tajmahal,تاج محل
taj,تاج
jhanda,العلم
uncha,عالي
rahe,ابقى
humara,هومارا
flag,العلم
national flag,العلم الوطني
saare jahan se acha,جيد من كل مكان
tiranga,الالوان الثلاثة
independence,استقلال
inquilaab,inquilaab
zindabad,Zindabad
struggle,صراع
namaskar,مرحبًا
jai,جاي
cheering,هتاف
vande,فاند
matram,ال
mataram,ماترام
wearng,يلبس
deva,ديفا
shree,شري
ganesha,غانيشا
agle,في اليوم التالي
baras,شريط
jaldi,مبكرًا
aana,أحضره
statues,تماثيل
ganapati,ganapati
laddu,Laddoo
laddoo,الكعك
gaj,بستان
gaja,بستان
