bobble,बकबक
रनिंग,चालु छ
जॉगिंग,जोगि
मॉर्निंग,बिहान
बालक,केटा
ऋ,R
परांठा,पराठा
दही,दही
साइकिलिंग,साइक्लि
पथ,पथ
लॉस्ट,हराएको
१०,१०
कग,काग
इतनी,धेरै
गैमिंग,गेमि।
सिम,सिम
जाये,जानुहोस्
लेक्चर,व्याख्यान
पर्स,पर्स
प्रोफेसर,प्राध्यापक
जाने,थाहा छ
देदे,दिनुहोस्
यारर भाई,भाई
सीखा,सिकेका
पढ़ा,पढ्नुहोस्
रैगिंग,र्यागि
लेनी,लेनी
दन,दिन
बीएड,बीएड
आलास,काला
रेडी,तयार
कॉलेज त्यार,कलेज तयार छ
में पूरी,मलाई पूरै
लेली,लेली
पहनने,लगाउनु
नथिंग,केहि छैन
वियर,लगाउनु
नई क्लोथ्स,नयाँ कपडा
फ्रेशर्स,फ्रेशर्स
लिए लिए,को लागी
ब्रोके,भाँचियो
सिक,बिरामी
बीमार,बिरामी
बीमारी,रोग
फेमस,प्रसिद्ध
गिटार,गितार
परफॉरमेंस,प्रदर्शन
रोल म,रोलमा
रोल,रोल
नाईट,रात
बमार,बामर
वेल,राम्रो
नॉट फीलिंग,भरिएको छैन
सही हूँ,म सहि छु
मुंडा,मुंडा
सैंतींस,सैन्टाइनहरू
छाए,छायाँ
चलें,जाऔं
चलोगे,तपाईं जानुहुन्छ
मेरे साथ,मसँग
अस्सीगंमनेट्स,Assigumnets
गयी है,गएको छ
हुए,छ
डीडेड,समर्पित
स्टार्ट,सुरु गर्नुहोस्
स्टडी,अध्ययन
डिसिशन,निर्णय
लेलिऐ,लिनुहोस्
आल अबाउट,सबै बारेमा
कलगे,Cullen
बोझ,बोझ
पढ़ने,पढ्नुहोस्
कंसंट्रेशन,एकाग्रता
प्लैसे,प्लेस
दे एरर,त्रुटि दिनुहोस्
वाला टॉपिक,वाला शीर्षक
टॉप्स अत,मा माथि
तपोस,तपो
टॉपिक,शीर्षक
एक्साम,परीक्षा
बाउट,बाउट
जयादा है,बढी छ
प्लस पास,प्लस पास
करवा,यो सकियो
मेकिंग,बनाउँदै
डीडीओ एरर प्लीज,कृपया DDO त्रुटि
डीडीओ,DDO
समथिंग,केहि
ेल्स,ेल्स
कक,त्यो
करें,गर्नुहोस्
मरते,मर्न
मरेगा,मर्नेछ
असाइनमेंट,असाइनमेन्ट
करदे,कराडे
करदिओ,करी
प्रॉक्सी,प्रोक्सी
लगदे,संलग्न गरियो
लगा डीओ,राख्नुहोस्
aai,म आयो
aam,बर्ष
ba,राख्नुहोस्
रेडी त्यार,तयार छ
होगयी फॉर,होगी को लागी
सीनियर,वरिष्ठ
तमीज़,तामीज
मुबारक दारु,खुशीको मदिरा
चीज़,चीज
मस्त है,राम्रो छ
बड़ी,ठूलो
हठी,डग गरिएको
देर,ढिलो
होगयी है,भएको छ
बर्ड,चरा
व्हो,Vo
ओह,ओह
शीप,शीप
पी,पी
जाउन्गा प्यासा,जोंगा तिर्खा
मचार,मचार
मॉस्क्वीटो,लामखुट्टे
ब्लड,रगत
स्लो,ढिलो
स्नैल,स्नैल
धीरे,ढिलो
बुरा,नराम्रो
खासा,धेरै
हैंग,रुक्नुहोस्
लटक,ह्याing्गि
इन,In
बुड़ीय,बुडी
पेड़,रूख
नकलची बन्दर,इमिटेटर बाँदर
नकलची,अनुकरणकर्ता
केला,केरा
मंकी,बाँदर
बग,बग
ऑफ,बन्द
माखी,माखी
हाउस,घर
फ्लाई,माछा
छी,Yuck
डा,डा।
पुत्तर,छोरा
लायन,सिंह
दहाड़,गर्जन
दहाड़ेगा,गर्जन हुनेछ
कहुआफ,Kahuaf
ऍम स्टक,ऍम स्टक
सांप,साँप
स्नेक,साँप
सर्प,साँप
वर्किंग,काम गर्दै
हार्ड,कडा
अंत,अन्त
कलेक्टिंग,स .्कलन गर्दै
इक्कठा,स्टक
ग्राफ़ी,ग्राफि
गिराफ़,जिराफ
दिनों,दिनहरू
कपूर,कपूर
गोरिल्ला,गोरिल्ला
जंगली,जंगली
मेंढक,भ्यागुता
लोटस,कमल
लेक,ताल
मामू,ममु
कॉक,Cock
मुर्गा,कुकुर
पाक,पाक
पाक पाक,पाक पाक
क्रोकोडाइल मगर,मगरमच्छ croc
मच,मच
व्हिले,Ville
तुतले कछुआ,शौचालय कछुवा
टर्टल,कछुवा
कछुआ,कछुवा
इजी,सजिलो
स्कूबी,स्कूबी
भागू,भागु
हैवे,छ
ान,ान
आईडिया,आइडिया
एन,N
समझ,बुझाइ
वांनै,वान्नै
सीं,Si
देखोगे,देख्नुहुनेछ
नाचोगे,नृत्य हुनेछ
पंच,पंच
तलह,फुटथिलहरू
बहुत ही,धेरै धेरै
टॉक,कुरा गर्नुहोस्
हाउ,हाउ
इन्क्रेडिबिलिटी,अविश्वसनीयता
ऑब्जरवेशन,अवलोकन
वन्स,एक पटक
सेव्ड,बचत गरियो
पफ,पफ
इम्पॉसिबल,असम्भव
पॉसिबल,सम्भव छ
मेक,बनाउनुहोस्
वंडर,आश्चर्य
वीमेन,महिला
कैच,समात्नुहोस्
आ ',आउनुहोस्
फ़्लैश,फ्ल्यास
आजाऊंगा,आउनेछ
गोत,डु boat्गा
मैजिक,जादू
याबा,याबा
दबा,दबाइयो
फ्लिन,फ्लाइन
स्टोन्स,ढुones्गा
स्पिनच,पालक
पालक,अभिभावक
पोपोए,पोपो
सेलर,तहखाने
म्यूजिक,संगीत
डूबी,विसर्जित
जिन्किइस,जिन्किइस
सेक्सी,सेक्सी
झांय,झाँ
ब्रावो,ब्राभो
ग्लासेज,चश्मा
मोव,MOV
मिआओवो,मियाओवो
बेट,शर्त
कामे,कार्यहरू
स्टिकी,स्टिकी
तून,तून
सुपर,सुपर
सुपर मन,सुपर दिमाग
आयरन,फलाम
बाई बाई,बाई बाई
लोहा,फलाम
टोनी,टोनी
स्टार्क,स्टारक
बैक,पछाडि
थॉर,थोर
पे,खुल्ला
राओगे,राउज
वजन,तौल
ब्लू ड्रेस,निलो पोशाक
हील्स,हिल
नाग,साँप
योगी य,योगी
योगि,योगि
माआला,माला
वास्ते,को लागी
टाइम की,समय कुञ्जी
बर्बादी,फोहोर
बर्बाद,व्यर्थ
लप्पी,लाप्पी
नो चांस,कुनै मौका छैन
चांस,मौका
गाउन,गाउन
लुक,हेर
डेल्हो,Delho
बॉलर,बलर
बोलरा,बोलेरो
लंच,दिउँसोको खाना
बी चांस,B मौका
अपने,हाम्रो
बी लक,B लक
कोट,कोट
लड़के,केटाहरू
क्लोज,बन्द
डिस्कशन,छलफल
बंद भी,बन्द पनि
karoge,हुनेछ
hmara,गधा
ku,कहाँ
करोगे हमारा,तपाईं हाम्रो गर्नुहुन्छ
करोगे,हुनेछ
टेक,टेक
होगी,हुनेछ
कहाँ,कहाँ
सब क,सबैको
कहाँ हैं,कहाँ छन्
थैंक्यू,धन्यबाद
आइये,आउनुहोस्
अर्ज़,आर्ज
हिअ,नमस्ते
सिंगिंग,गाउँदै
श्पवेर,शेपवेयर
रूम,कोठा
सिंगर,गायक
ईपी,EP
यययय,Yayyay
ध्यान,ध्यान दिनुहोस्
व्होज़,कसको
देखो तो,त्यसो भए हेर्नुहोस्
कहेंगे,भन्दछ
लोगो,लोगो
ट्रू,सही
डेकोरेशन,सजावट
लड़किआं,केटीहरू
ताजा,ताजा
खबर,समाचार
न्यूज़,समाचार
एग्स,अण्डा
बच गया,बचे
बच,एस्केप
पैराशूट,प्यारासुट
सन्नाटा,मौन
शॉकिंग,स्तब्ध पार्ने
बिजली,बिजुली
इलेक्ट्रिसिटी,बिजुली
टॉवल,तौलिए
कर्टेंस,कर्न्ट्स
शेयर,सेयर गर्नुहोस्
योर,तपाइँको
लोकेशन,स्थान
अभी ही,भर्खर
बताओ ना,भन्नुहोस्
जैसी,जस्तो
वैसे,खैर
भरनी,भरिँदै
मिटटी,माटो
कीप,फनेल
क्लीन,सफा
साफ़,सफा
क्लीन क्लीन,सफा सफा
सफाई पसंद,सफाई विकल्प
ॉव,ओउव
कह,भन्नुहोस्
झांट,Jant
फिर,त्यसो भए
सलफेट,सल्फेट
निकला,बाहिर आए
आइस क्रीम,आइसक्रिम
उन,ती
रोड,रोड
ब्रोस,Bros
बिफोर,बिफौर
हॉर्स घोडा,घोडा घोडा
प्लान्स,योजनाहरु
स्वीट,मीठो
प्रतिशत,प्रतिशत
वेल्ला,Vella
बाउंड्री,सीमा
सुंगलीगत,धूपको चश्मा
नोबडी,कोही पनि छैन
केयर परवाह,हेरचाह हेरचाह
स्पेशल,विशेष
कुक,कुक
खास,विशेष
मानती,सहमत
मैंने,I
किया,गर्नुभयो
टिका,टिका
आरती,आरती
बहिन,बहिनी
टर्न,पालो
चैंट,मन्त्र
सी,C
लड़का बॉय,केटा केटा
बफफ,बुफ
फ्रेंड्स,साथीहरु
प्यारे बेस्टेस्ट,प्रिय बेस्ट
मैदान,मैदान
आजा,आउनुहोस्
मैदान\,क्षेत्र
खेल कूद,खेल जम्प
डॉग्स,कुकुरहरू
फाइनली,अन्तमा
नहाऊंगा,नुहाउने छ
घास,घाँस
आलिआ,आलिया
भट्ट,भट्ट
कट्टी,कट्टी
येल्लो,पहेंलो
बै,बाई
मी,M
िफ़,हिफ
रॉंग,गलत
डंगरौद,डुंग्रोड
बाद,पछि
दी,दिईयो
ब्यौरे,विवरण
बुरे,नराम्रो
पिक्चर,चित्र
विथ,संग
सनशाइन,सनशाइन
शुगर,चिनी
दिलवाले,Dilwale
गॉर्जियस,भव्य
ड्राप,ड्रप
डेड,मृत
कम्पलीट,पूर्ण
वरशिप,पूजा
दलसे,दलसे
पैर,खुट्टा
मैंट,म्यान्ट
शार्ट,छोटो
हॉट,तातो
शाय,ओछ्यान
डंगरुड,डुंग्रुड
हैव,छ
सांग फॉर,को लागी गीत
यु,Y
इट,यो
पसीना,पसिना
विटामिन,भिटामिन
फलंग,फलांग
गिरन,Girn
बटरफ्लाईज़,तितली
बुय,रोप्दै
ब्रेथ,सास
अवे,टाढा
वाइट,सेतो
में बैग,झोला
पेज,पृष्ठ
पंत,पंत
यूनिफार्म ड्रेस,वर्दी पोशाक
पिलो,पिलो
लगेगी,हेर्नेछ
करले,कार्ले
फोड़,फोर्दै
ी\टाई,श्री टाई
आओ,आउनुहोस्
पेपर,कागज
पांच,पाँच
मिनट,मिनेट
मिन,न्यूनतम
मई,मे
जानती,थाहा छ
दन्त,दाँत
सब्ज़ी,तरकारी
लेने,लिदै
साग,साग
ले,लिनुहोस्
रिश्तेदार,सापेक्ष
मम्मी मम्मा,आमा आमा
आने,आउँदैछ
डांट,गाली
खाना है,खाना छ
चूड़ी,चुरा
सफाई करने दे,सफा गरौं
धूल,धुलो
मेहमान,पाहुनाहरू
मिलेगा,प्राप्त हुनेछ
नौप,नौप
नहीं ना,होईन
ग्रे,खैरो
शेड्स,शेडहरू
मीटिंग,बैठक
फ्राइडे,शुक्रवार
हेट,Het
मोंडेस,मोन्ड्स
नहीं पसंद,मनपर्दैन
डू,डू
काम करो,काम गर्नुहोस्
दोनोट,डोनोट
दोने,दुबै
अभी नहीं,अहिले होइन
aao kabhi,कहिले आउनुहोस्
tea cup,चिया कप
चाइए,चाई
ब्लूए,Bloe
kabhi,कहिले
जिदने,जिद्दी
फ्लोर,फ्लोर
रूनी,रूनी
ताल,ताल
बीआरओ,BRO
डेविल्स,डेभिलहरू
वास्,थियो
मेस्सिंग,गडबडी
अराउंड,वरपर
हैंड,हात
रेड्स,रातो
ग्लोरी,महिमा
बाल्ड,बाल्ड
बब्द,शब्द
बेंड,Bend
बेकहम,बेकहम
नेवर,कहिले पनि हुँदैन
वाक,भाषण
अलोन,एक्लो
रुशिंग,भाग्नु
स्टक,स्टक
ट्रैन,ट्रान
बुर्नेद,बुर्नेद
ओट,ओट्स
कीबोर्ड,किबोर्ड
ट्रैफिक,ट्राफिक
भीड़,भीड
गेटिंग,प्राप्त गर्दै
ड्रेस्ड,लुगा लगाइएको
त्यार,तयार
होना,हुनु
थाबाद,थाबाद
थाबड़,थाबाद
ढोलक,ड्रमर
तबला,तबला
बजाओ,हावामा
कच,कच्छ
डिस्क,डिस्क
पियानो,पियानो
पुंगी,पुंगी
बजेगगी,बजेगगी
फॉलो,पछ्याउनुहोस्
माया,भ्रम
लीड,नेतृत्व
दूंगा,दिनेछ
ड्रम,ड्रमहरु
सेट,सेट
वन्ना,भन्ना
कम,कम
व्हाई,किन
टोटली,टोटली
वर्थ,लायक
मदर,आमा
भगवन,भगवान
मुम्मा,Mumma
कॉन्टिनोएड,निरन्तर
लकी,भाग्यशाली
इवू,इभू
ष्यौर,निश्चित रूपले
साइंस,विज्ञान
केमिकल,केमिकल
टेस्टोबे,टेस्टोब
टुब,टब
खिलाओ,फिड
बोरिंग,बोरिंग
इसको,यो
टीचर,शिक्षक
किसने,को
काजल,काजल
फैला,फैलाउनुहोस्
समुद्गे,समुदायहरू
मरूंगा,मर्नेछ
बहोत,धेरै
लोड,लोड गर्नुहोस्
माय रूल्स,मेरो नियमहरु
रूल्स,नियमहरू
मेरे हैं,मसँग सम्बन्धित छ
देख,हेर्नुहोस्
गाए,गाउनुहोस्
क्रश,क्रस
पहना,लगाएको
अछि,राम्रो
थैंक,धन्यबाद
छोडूंगा,छोड्नेछ
लट्टू,पोनीटेल
लूंगा,लिनेछ
ग्लव्स,पन्जा
लैला,लैला
चिलौंगा,चिलong्गा
ठरकी,डंक
करंट,वर्तमान
मरती,मर्नुहोस्
लौंडा,केतल
लफंगा,लाफंगा
फ्रंशी,फ्रेन्च
फ्रेंडशिप,मित्रता
फ्लावर्स,फूलहरू
पलट,ओभरटर्न भयो
ठरक,हडताल
बजौ,बाजौ
सांग्स,गीतहरू
चलेगी,चल्नेछ
मोमबत्ती,एउटा मैनबत्ती
उजाला,हल्का
गुड,राम्रो
मिक्की,मिकी
मेमोरीज,मेमोरीहरू
दास्य,बन्डेज
डक,Duck
बतख,Duck
कार्टून्स,कार्टुन
इंसाने,खैर
मेटली,Metely
हिलारिणास,Hilariana
बचपन,बचपन
माउस,माउस
फोर्बिडन,फोर्बिडन
रोमांटिक,रोमान्टिक
इट्स,यो हो
स्टार्टस,सुरु हुन्छ
विथ आ,विथ आ
ओने,एक
सबके,सबैको
जनम,जन्म
कीतरस,केटरस
माउस है,माउस छ
एकदम,सबै
टॉस,टस
सेल्ल,सेल
स्कर्ट गर्ल,स्कर्ट गर्ल
स्मूथ,चिल्लो
डिलीवरी,डेलिभरी
सेल,बिक्री
१२थ,१२ थ
क्रिकेक्ट,क्रिकेट
कूद फैन,फ्यान जम्प गर्नुहोस्
बता,बताउनुहोस्
मोबाइल फैन,मोबाइल फ्यान
सेफ्टी,सुरक्षा
फर्स्ट,पहिलो
बाँट,वितरण
सचिन,सचिन
ा बे,बे बे
चक्का,फ्लाईव्हील
चौका,फोरसम
मारा क्रिकेट,हिट क्रिकेट
उसने,उ
स्टंप,स्टम्प
बॉल्स,बलहरू
थिस इस,यो छ
२०,२०
उगता,उठ्छ
पौधा,प्लान्ट
आगयी,दन्केको
वर्ड,शब्द
पससवर्ड,पासवर्ड
आगे,थप
घुस,चढाई
टी,T
ऐश,राख
ुदलो,उडलो
पापा डैडी,पापा बाबा
सांगत,भन्दै
पद,पोष्ट
गया है,गएको छ
हो तुम,तपाईं हुनुहुन्छ
हेड,Head
देखि,देखि
गोल,लक्ष्य
लूसिंग,Lussing
सर,सर
गिरना,खस्नु
जमीन,मैदान
प्रोग्राम्ड,प्रोग्राम गरिएको
प्रोग्राम,कार्यक्रम
बोत,बोतलहरु
डाउनलोड,डाउनलोड
ईंटो,ईंट
नट्स,पागल
लो,लिनुहोस्
स्क्रू,पेच
करना चाहत,गर्न चाहन्छु
सिग्न,चिन्ह
प्लेस,ठाउँ
फील,महसुस
महसूस,महसुस
बिटवीन,बीचमा
स्पार्क,स्पार्क
चिंगारी,स्पार्क
बीच,मध्य
सर्किट,सर्किट
करब,कार्ब
वायर्स,तार
बत्ती,हल्का
बम्बू,बाँस
लेले,लेले
सोकड़ा,Sokra
लौरा,लौरा
लसां,खोपहरू
साथी,साथी
मोमो,मोमो
अखरोट,अखरोट
दूंगी,दिनेछ
आदि,आदि
मंडी,बजार
शांडि,शान्डी
चूड़ियां,चाउहरू
बँगलेस,बँगलेस
अस्स,Ass
गधा,गधा
सुक,सुक
घोसला,घोसला
आम,सामान्य
टक्के,प्रतिशत
लारी,लारी
जुग्गेणोत,जगजोट
फोर्क,काँटा
खीरा,काकडी
विश,इच्छा
वेल फॉर,राम्रो लागि
यू नॉट,तपाईं हैन
नहो,नूह
भला,राम्रो
होप,आशा
लेस्स,लेस्स
क्रेअटुरे,क्रिएर
फेस,अनुहार
चेहरा,अनुहार
बोर,बोर
मझे बोरियत,म बोरिएँ
बोरियत,बोरडम
एनिमल,जनावर
जानवर,जनावर
सुररौनडेड,चारैतिर
इडियट्स,बेवकूफ
बुद्धू,बेवकूफ
फरक,फरक
पड़ता,फल्स
मर्द,Man
तौह्त,Touht
हिम,हिउँ
मूव्स,चाल
स्वीपर,स्वीपर
बाजु,छेउमा
हैट,टोपी
स्तुन्निंग लड़की,सुनिरहेकी केटी
क्वीन,रानी
िष्ट्यले,हिष्ट्यले
फवौरीते,मनपर्ने
नो नहीं,होईन
बट,बट
समझा,बुझे
खुदको,आफैं
सोन,छोरा
एंग्री,रिसाएको
ऐटिटूड,मनोवृत्ति
दिखा,देखाउँदै
सुधरेगा,सुधार हुनेछ
हट,हट
ज़्यादा,अधिक
सीरियस,गम्भीर
चित्तर,चित्तार
कहनी,कथा
औकाद,आकडा
रह,रहनुहोस्
बिसनेस,व्यापार
लसन,लसन
भैंस,भैंस
आंख,आँखा
खाएगा,खानेछ
aaj blue hai pani,आज निलो पानी छ
बीते दिन,दिनहरू गयो
ठंडक,शीतलता
हेहे,Hehe
रैंबो,रम्बो
महौबत,महौबत
थक गया,थाकेको छ
एवेंजर,बदला लिने
परेशानी नहीं,समस्या छैन
mudik,घर जाँदै
lebaran,ईद
ied,आईड
लेडी,महिला
rindu,मिस
kangen,तिमीलाई सम्झिन्छु
pantura,पान्टुरा
ngantuk,निन्द्रा
बढ़ावा,बूस्ट
दुनिया के बहार,संसारबाट बाहिर
प्यार नहीं,कुनै माया छैन
बच के रह,जीवित रहनुहोस्
तैयार रहो,तयार हुनुहोस्
समझाऊ,बुझाउनुहोस्
playful,चंचल
packing,प्याकिंग
nariyalpani,नरेलबेन
coconutwater,नरिवलको पानी
ghoomne,घुम्नु
travelbags,ट्राभल ब्यागहरू
eiffeltower,आइफिल टावर
satisfied,सन्तुष्ट
ghoomna,घुम्नु
worldtrip,Worldtrip
nostress,नास्ट्रेस
travelbag,ट्राभलब्याग
idul,ईद
fitri,फिट्री
idulfitri,idulfitri
bestdadintheworld,best دادintheworld
happyfathersday,पिता दिवसको शुभकामना
bestdad,बेस्टदाद
appa,पिताजी
लड़की,केटी
लड़का,केटा
20-20,२०-२०
न्यूज़,समाचार
बहम,बहम
कमेंट्री,कमेन्टरी
happy fathers day,पिता दिवसको शुभकामना
बुक,पुस्तक
बस्ता,झोला
Ghareloo,घरेलु
Quirky,Quirky
Hometalk,होमटाक
GharelooBaatein,घरेलु
announcement,घोषणा
GettingLate,GettingLate
buttering,बटरिंग
eatoutside,भोजनआउटसाइड
willcomelate,willcomelate
nofood,नोफुड
indianwife,भारतीय महिला
salwarsuite,साल्वरसुइट
fathers day,बुबाको मुख हेर्ने दिन
happy father's day,पिता दिवसको शुभकामना
abba,अब्बा
thakna,थकित हुनुहोस्
thakan,Thunk
rajiv,राजीव
chowk,चौक
kiya,गर्नुभयो
bahana,बहाना
safar,यात्रा
chalau,आउनुहोस्
violet,बैंगनी
bheed,भीड
crowd,भीड
raji,raji
janta,रिम
squeeze,निचोल्नु
ketupat,हीरा
kue,एउटा केक
helathy,स्वस्थ
ypga,ypga
yog,हो
ramdev,रामदेव
pitanjali,पतंजलि
world music day,विश्व संगीत दिन
international yoga day,अन्तर्राष्ट्रिय योग दिवस
चल पार्टी करते हैं,पार्टी गरौं
पुराणी बाते,पुरानो कुराकानी
उबासी,अल्छी
बढ़िया करना,ठीक छ
पढ़ाई,अध्ययन
मज़्ज़े,रमाइलो गर्नुहोस्
मज़े,रमाइलो गर्नुहोस्
happy eid,शुभ ईद
Eid mubarak,ईद मुबारक
eid-ul-fitr,डेल्फ़्ट्रे
mubaral,प्रभावशाली
jai jagannath,जय जगन्नाथ
jagan nath,जगन नाथ
rath yartra,रथ यात्रा
rath yatra,रथ यात्रा
shooter,शूटर
scooted,स्कुट गरिएको
ढूंढना,खोज्नु
फोन खराब,फोन खराब छ
नकाब,मास्क
metal,धातु
morning se,बिहान से
gussha,लि्ग
jugad,जुगाड
होपाएगा क्या,के तपाई आशा गर्नुहुन्छ?
being human,मानव हुनु
गुंडागर्दी,गुंडागर्दी
काला धन,कालो पैसा
डेरे,शिविर
मेरे  लिए,मेरो लागि
पड़ा,झूट बोल्दै
रोमियो,रोमियो
स्वैग,स्वाग
मेरा भारत,मेरो भारत
जवान जवान,जवान जवान
देश पर,देश मा
machau,माचाउ
blankets,कम्बल
takiya,तकिया
sirhana,sirhana
kambal,जुम्ल्याहा
chadar,पाना
chaddar,पाना
palang,बार
Bimaar,बिरामी
rudraksh,रुद्राक्ष
natkhat,शरारती
kameez,कामिज
chaand,चन्द्रमा
aasmaan,आकाश
taare,तारमा
behosh,बेहोश
guldasta,गुलदस्ता
sweatshirt,sweatshirt
kush,कुश
Actions,कार्यहरू
smoking pipe,धुम्रपान पाइप
chilam,थियो
dhua,dua
ghamand,घमण्ड
party poppers,पार्टी पप्परहरू
mombatti,एउटा मैनबत्ती
bankrupt,दिवालिया
jurab,जुडा
baniyan,भेस्ट
kachcha,कच्चा
udaas,दु: ख
alas,हाय!
gulab,गुलाब
chahat,चाहानुहुन्छ
jalna shaitan,जलिरहेको शैतान
patloon,patloon
kapade,कट
poshak,लुगा
thakaan,थकान
bean bag,सिमीको झोला
note book,नोट बुक
baithak,बैठक
biscuits,बिस्कुट
biskut,बिस्कुट
baadal,बादल
aasaman,आकाश
microphone,माइक्रोफोन
bottal,स्टिक
khidaki,विन्डो
gym freak,जिम फ्रेक
happpy,खुसी
balwaan,बालकनी
utsukh,जिज्ञासु:
shaitan,दानव
raub,डकैती
cloud,बादल
bacchha,बाख्रा
bhalu,भालु
khilona,खेलौना
pyara,राम्रो
kushi,पूर्ण प्रयोग
prasang,प्रस्ग
jumpsuit,जम्पसूट
bachcha,बच्चा
asman,आकाश
asmanjas,दुविधा
red t-shirt,रातो टी-शर्ट
laal kapde,रातो कपडा
powerful guy,शक्तिशाली मान्छे
jewels,गहनाहरु
gehne,गहना
balshali,कडा
takatwar,शक्तिशाली
atmavishwas,आत्मविश्वास
disco lights,डिस्को बत्तीहरू
paushak,पौष्टिक
indian god,भारतीय भगवान
water fall,पानी झर्नु
dedicated,समर्पित
shiv ling,शिव लिंग
lingam,लिंगम
jharna,झरना
pahad,नराम्रो
numb,सुन्न
jutey,जोडीहरूमा
watercolour effect,पानी रंग प्रभाव
dangree,तातो हुनु
indian map,भारतीय नक्शा
waist coat,कम्मर कोट
indian outfit,भारतीय पोशाक
pumped up,तात्तिनु, जोशिनु
bharat ka naksha,भारतको नक्शा
desh prem,देश प्रेम
topi,बल
mobile camera,मोबाइल क्यामेरा
mini skirt,मिनी स्कर्ट
circle,गोलाकार
choti skirt,छोटो स्कर्ट
night suit,रातको सूट
night sky,रात आकाश
tierd,मनाउनु
raat k kapde,रातको लुगा
raat ka asman,असमान रात
akash,आकाश
nind,nind
heals,चंगा
sandals,चप्पल
naraaz,रिसाएको
baby suit,शिशु सूट
bachhe k kapde,बच्चाको लुगा
baloons,बेलुनहरू
colourful clothes,रंगीन लुगा
taufe,बप्तिस्मा
rangeen kapde,रंगीन लुगाहरू
ajeeb,अनौंठो
sawaliya,प्रश्न
hara adami,हारा अडामी
nikkar,शर्ट्स
folded hands,हात जोडेर
disappointment,निराशा
naraz,एकैचोटि
nirash,निराश
atamavishwas,आत्मविश्वास
Celebrities,सेलिब्रेटीहरू
sidhu,sidhu
ghadi,घडी
tauliya,तौलिया
hamock,ह्यामॉक
jhula,स्विing
udas,अल्छी
makdiman,makdiman
naqab,नकब
soldiers,सिपाहीहरु
partiotic,देशभक्ति
vardi,vardi
walking stick,हिंड्ने लौरो
deshprem,देशभक्ति
children's book,बच्चाहरूको पुस्तक
talwar,तलवार
kapda,लुगा
surf board,सर्फ बोर्ड
samundar,समुद्र
samudra,समुद्र
chaata,छाया
pishach,पिशाच
dara hua,दारा हुआ
chintit,चिन्तित
muscular guy,मांसपेशी मान्छे
ethenic wear,एथेनिक लगाउने
frock,फ्रक
kursi,कुर्सी
thakavat,Weariness
test tube,परीक्षण ट्यूब
lab coat,प्रयोगशाला कोट
experimenting,प्रयोग गर्दै
cautious,सतर्क
jaagrit,ब्यूँझनुहोस्
baseball bat,बेसबल ब्याट
Interests,चासो
yellow pants,पहेंलो प्यान्ट
bricks,ईंटहरू
brick wall,ईंट भित्ता
pili patloon,पहेंलो प्यान्ट
enten,या त
enton ki diwar,ईंट भित्ता
indian wear,भारतीय पहिरन
patake,स्लैम
phatake,फाटक
aatishbazi,आतिशबाजी
bumb,बम्ब
patakhe,आतिशबाजी
ullas,रमाईलो
mazze,maces
kamyabi,सफल
maze,भूलभुलैया
garland,माला
hoodie,हुडी
cosplay,cosplay
thand ke kapde,चिसो लुगा
daravna,डरलाग्दो
pervert,विकृत
kursi, heels,पाठ्यक्रम, एडी
doorbeen,फिला
taare, badal,तारमा, नराम्रो
wristband,रिस्टब्यान्ड
chidna,lidna
stiches,टाँका
taanke,छोटकरीमा
bhooka,भुक्का
trident,त्रिशूल
seengh,सिंह
hassi,hassi
chamkadar,चमकदार
atma vishwaas,  fakrr,आत्मविश्वास, फ्रेकर
jewell,रत्न
shivaling,शिवलिंग
ghene,ghene
vishwaas,विश्वास
bharosa,भरोसा
shoe,जुत्ता
shirt or kamij, pant,शर्ट वा कामिज, पन्त
joota,जुत्ता
lachaar,असहाय
Scaf,Scaf
racquet,रैकेट
sofa' slippers,सोफा 'चप्पल
nikar,निकार
joote,जुत्ता
police uniform,पुलिसको वर्दी
aatmvishvas,आत्मविश्वास
vidhyalya,स्कूल
handpump,ह्यान्डपम्प
hut,झोपडी
pathani salwaar,पठानी सलवार
pump: jooti,पम्प: jooti
teer,चरा
dhanush,धनुष
talvaar,तरवार
kawach,शिल्ड
atma vishvaas,आत्मविश्वास
atamvishvaas,आत्मविश्वास
fakr,faker
khamand,खमण्ड
fakrr,fakra
frustrated,निराश
dukhi,अत्तर
dumble,डम्बल
bhaar,तौल
nikarr,निकारा
prerna,प्रेरणा
hairan,अचम्म
fat body,बोसो शरीर
ursi,भालू
khat,स्ट्रीक
revolver,रिभल्भर
lamp,बत्ती
achambha,मार्वल
zoombie,ज़ोंबी
hara,हारा
dantna,गाली गर्नु
puraskar,पुरस्कार
garv,टेनिंग
exicted,उत्साहित
baksa,Baksa
manana,छ
utsav,उत्सव
toy,खेलौना
sadist,sadist
downhearted,निराश
unhappy,दुखी
dejected,विचलित
rejectful,अस्वीकृत
kutta,कुट्टा
patta,को
mayus,mayus
gum,गम
mayusi,निराशा
bachon k kapde,बच्चाहरूको लुगा
safed kameez,सेतो शर्ट
bandit,डाकु
poshakh,पोशाख
thakawat,Weariness
design,डिजाईन
mohobbat,मोहब्बत
disco ball,डिस्को बल
rangeen roshni,रंगीन बत्ती
amir khan,अमीर खान
sheild,ढाल
dhaal,dhaal
mitti,कमर
lipstick marks,लिपस्टिक मार्कहरू
video game,भिडियो गेम
tablet,ट्याब्लेट
iPad,आईप्याड
