Love isn't,സ്നേഹം അല്ല
hal,പി
hal jotna,ജോത്ന കാര്യം
khudai,കുഴിക്കുന്നു
sainik,പട്ടാളക്കാരൻ
shahrukh khan,ഷാറൂഖ് ഖാൻ
sangeet,സംഗീതം
hyper,ഹൈപ്പർ
chul,മുടി
off shoulder,ഓഫ് തോളിൽ
dull,മങ്ങിയ
gold chain,സ്വർണം ചെയിൻ
nana padekar,നാന പഡ്കർ
sone ki chain,സ്വർണ്ണ ശൃംഖല
gold chains,സ്വർണ്ണ ശൃംഖലകൾ
bangles,വളകൾ
curtains,തിരശ്ശീലകൾ
khudki,സ്വന്തമാണ്
parde,തിരശ്ശീല
chidiya,പക്ഷി
rings,വളയങ്ങൾ
gilas,ചാരുത
saari,ദ്വീപ്
sone ki mala,സ്വർണ്ണ മാല
sone ke zewar,സ്വർണ്ണാഭരണങ്ങൾ
bharat ka jhanda,ഇന്ത്യയുടെ പതാക
sofa set,സോഫ സെറ്റ്
weed roll,കള റോൾ
ganja roll,ഗഞ്ച റോൾ
ravaiya,മനോഭാവം
sling bag,സ്ലിംഗ് ബാഗ്
goggles,goggles
rakshas,രാക്ഷസൻ
narak ki aag,നരകാഗ്നി
taraju,സ്കെയിലുകൾ
katori,കറ്റോറി
hand gesture,കൈ ആംഗ്യം
rcok,ര്ചൊക്
chattan,പാറ
kammez,പിറവി,
paushakh,വസ്ത്രധാരണം
jeep,ജീപ്പ്
kachha,സമീപം
beech,ബീച്ച്
box, sunglasses,ബോക്സ്, സൺഗ്ലാസുകൾ
axe,കോടാലി
kulhadi,കോടാലി
phulle,ആദ്യം
gamchca,സ്വാഗ്
kurta pajama,കുർത്ത പൈജാമ
Bolloons,ബലൂണുകൾ
fur,രോമങ്ങൾ
bhediya,ചെന്നായ
janvar,മൃഗം
premi,അവാർഡ്
painting,പെയിന്റിംഗ്
bistar,കിടക്ക
uljhan,ആശയക്കുഴപ്പം
ghaans,പഞ്ച്
angoothi,മോതിരം
irritaed,പ്രകോപിതനായി
dhuaan,പുക
dhund,കണ്ടെത്തുക
wrist watch,റിസ്റ്റ് വാച്ച്
istri,ഭാര്യ
gaind,പന്ത്
utsuck,utsuck
akhbaar,പത്രം
leaves,ഇലകൾ
patte,പാവ്
chadi,വടി
kaccha,അസംസ്കൃത
dastane,കയ്യുറകൾ
kagaz,പേപ്പർ
chamkadad,തിളങ്ങുക
ghans,പഞ്ച്
thisrt,ടി ഷർട്ട്
tank top,ടാങ്ക് ടോപ്പ്
firt,firt
spring,സ്പ്രിംഗ്
blast,സ്ഫോടനം
bath robe,ബാത്ത് അങ്കി
side bag,സൈഡ് ബാഗ്
pants shoes,പാന്റ്സ് ഷൂസ്
montains,പർവതങ്ങൾ
phad,പർവ്വതം
sikh symbol,സിഖ് ചിഹ്നം
stumps,സ്റ്റമ്പുകൾ
champange,ഷാംപെയിൻ
neutral,നിഷ്പക്ഷത
kada,എപ്പോൾ
parehsan,പരേഹ്സാൻ
thshirt,ടി ഷർട്ട്
mirrior,മിറർ
brief case,ഹ്രസ്വ കേസ്
coat pants,കോട്ട് പാന്റ്സ്
jooti,ജോഡി
weapon,ആയുധം
leather,തുകൽ
hathiyar,ആയുധം
chamda,തുകൽ
chooriyan,വളകൾ
monument,സ്മാരകം
quila,ക്വില
handkerchief,തൂവാല
roomal,തൂവാല
macchar,മഞ്ച്
frame,ഫ്രെയിം
mona lisa,മോണലിസ
tyohar,ഉത്സവം
chutti ke din,ഒരു ദിവസം അവധി
khusi,ഖുസി
weekend plan,വാരാന്ത്യ പദ്ധതി
barf ka tukada,ബാർഫ് കാ തുക്കാഡ
knight,നൈറ്റ്
rod,വടി
cross belt,ക്രോസ് ബെൽറ്റ്
furious,ക്രോധം
chamre ki belt,ലെതർ ബെൽറ്റ്
zanjeer,ചെയിൻ
cheroot,ചെറൂട്ട്
sigar,ചുരുട്ട്
t-shirts,ടി-ഷർട്ടുകൾ
commode,സൗകര്യപ്രദമാണ്
jeans pant,ജീൻസ് പാന്റ്
prithvi,പൃഥ്വി
heel,കുതികാൽ
juti,നിർദ്ദിഷ്ടം
ruins,അവശിഷ്ടങ്ങൾ
kaman,വയലിൻ
pracheen kapde,പുരാതന വസ്ത്രങ്ങൾ
khandhar,അവശിഷ്ടങ്ങൾ
yaade,ഓർമ്മിക്കുക
prachin,പുരാതന
party mood,പാർട്ടി മാനസികാവസ്ഥ
uthsahit,ആവേശഭരിതനായി
sareee,ഉയർന്നത്
flower pot,പുഷ്പ കലം
gamla,പഴയ
churiyan,കത്തികൾ
intzaar,intzaar
aascharya,വിസ്മയം
Burka,ഒരു കുഴപ്പം
stern,കർശനമായ
confident,ആത്മവിശ്വാസത്തോടെ
Remove sentiment,വികാരം നീക്കംചെയ്യുക
atmavishvas,ആത്മവിശ്വസ്
jar,ഭരണി
glass jar,ഗ്ലാസ് പാത്രം
bartan,പാത്രം
sishe ki jar,ഗ്ലാസ് പാത്രം
panties,പാന്റീസ്
tour,ടൂർ
chatai,പായ
igloo,igloo
barph,മഞ്ഞ്
baap re,അച്ഛൻ
kave ki tarah pyasa,കവിയെപ്പോലെ ദാഹിക്കുന്നു
majboor,നിർബന്ധിച്ചു
wrestling belt,ഗുസ്തി ബെൽറ്റ്
kushti ka belt,വീടുകൾ കാ ബെൽറ്റ്
Bhartiya dress,ഇന്ത്യൻ വസ്ത്രധാരണം
gogles,goggles
chasma,കണ്ണട
anguthi,മോതിരം
hathi,നായ
vests,ഷർട്ടുകൾ
fresh water,ശുദ്ധജലം
water tyre,വാട്ടർ ടയർ
machli,മത്സ്യം
sikhna,പഠനം
rudrach,വിചിത്രമായി
teaching,അദ്ധ്യാപനം
gerua vastra,ഒച്ചർ വസ്ത്രങ്ങൾ
rudrakcha,രുദ്രാച്ച
eans,eans
frutrated,നിരാശനായി
ullass,സന്തോഷം
red jeans,ചുവന്ന ജീൻസ്
lal jeans,ലാൽ ജീൻസ്
hand bag,കൈ ബാഗ്
Add Tshirt,ഷർട്ട് ചേർക്കുക
ichuk,തയ്യാറാണ്
boot,ബൂട്ട്
irritrated,പ്രകോപിതനായി
inner wear,ആന്തരിക വസ്ത്രം
ashanti,അശാന്തി
half jacket,പകുതി ജാക്കറ്റ്
night dress,രാത്രി വസ്ത്രധാരണം
brasslet,ബ്രേസ്ലെറ്റ്
shrug,ചുരുക്കുക
toffy,ടോഫി
lamanchoos,ലമഞ്ചൂസ്
cricket dress,ക്രിക്കറ്റ് വസ്ത്രധാരണം
hand band,ഹാൻഡ് ബാൻഡ്
muflar,മുഫിന് ന്റെ
table alarm clock,ടേബിൾ അലാറം ക്ലോക്ക്
rajai,രാജായി
alarm ghari,അലാറം ക്ലോക്ക്
chammach,സ്പൂൺ
under pant,പണയത്തിന് കീഴിൽ
kachaa,ക്രൂഡ്
under garment,വസ്ത്രത്തിന് കീഴിൽ
yoga dress,യോഗ വസ്ത്രധാരണം
Dynamite,ഡൈനാമൈറ്റ്
gym dress,ജിം വസ്ത്രധാരണം
duppata,ദുപ്പട്ട
robot suit,റോബോട്ട് സ്യൂട്ട്
roshini,രോഷിനി
wiskey glass,വിസ്കി ഗ്ലാസ്
Add ice,ഐസ് ചേർക്കുക
wiskey ka glass,വിസ്കി കാ ഗ്ലാസ്
kadhai,കഥ
cultural dress,സാംസ്കാരിക വസ്ത്രധാരണം
treditional saree,പരമ്പരാഗത സാരി
lehnaga,ഒരു പശുവിനൊപ്പം
Capery,കാപ്പറി
torphy,ടോർഫി
nivedan,അഭ്യർത്ഥിക്കുക
bear bottle,കരടി കുപ്പി
ply wood,പ്ലൈവുഡ്
ropes,കയറുകൾ
rassi,ഓട്ടം
utshuk,നീരസം
rishta,റിഷ്ട
madhushala,ബാർ
madhoshi,ലഹരി
romatic,റൊമാറ്റിക്
nashatanaav,നഷനാബ്
bechain,അസ്വസ്ഥത
mugdal,മുഗ്ദല്
pahelwan,ഗുസ്തി
thaka hua,ക്ഷീണിതനാണ്
dastaane,കയ്യുറകൾ
superpowers,മഹാശക്തികൾ
swasth,ആരോഗ്യമുള്ള
nirog,ആരോഗ്യമുള്ള
tab,ടാബ്
mej,എന്നോട്
flirty,ഫ്ലർട്ടി
chep,പകർത്തുക
dilphek,ദിൽ‌ഫെങ്ക്
chipku,ചിക്കു
canvas shoes,ക്യാൻവാസ് ഷൂസ്
dulhi,ചതവ്
capry,കാപ്രി
skull,തലയോട്ടി
guilty,കുറ്റവാളി
pachhtava,ഖേദിക്കുന്നു
krodhit,ദേഷ്യം
bhaavna,ആത്മാവ്
chhadi,വടി
chabuk,സ്ട്രാപ്പ്
chalak,ഡ്രൈവർ
nirdayi,നിഷ്‌കരുണം
jote,നിന്റെ
kamarband,കമർബാൻഡ്
gussa, naraz,ദേഷ്യം, ദേഷ്യം
nashe me,മദ്യപിച്ചു
neend me,ഉറക്കത്തിൽ
sandle,ചന്ദനം
anand,ആനന്ദ്
safari suit,സഫാരി സ്യൂട്ട്
tees,ടൈൽസ്
ghamnad,വീമ്പിളക്കുക
badtameez,നിർഭാഗ്യകരമാണ്
wrestling suit,ഗുസ്തി സ്യൂട്ട്
dastana,ദസ്താന
darawna,അവനിൽ നിന്ന്
enjoing,ആസ്വദിക്കുന്നു
kameej,ഷർട്ട്
chail,ചങ്ങല
bunglow,ബംഗ്ലാവ്
cunning,തന്ത്രപരമായ
gamccha,കലം
furrycoat,രോമക്കുപ്പായം
taaj,കിരീടം
pistal,പിസ്റ്റൾ
headphones,ഹെഡ്‌ഫോണുകൾ
janjeer,ചങ്ങലയിട്ടു
dhamal,സ്ഫോടനം
intjaar,കാത്തിരിക്കുന്നു
chhhadi,ആറ് ദിവസം
ballon,ബലൂൺ
half pantt,പകുതി പാന്റ്
gubbara,ബലൂൺ
halfpant,പകുതി പണയം
cai,കായ്
jaal,വ്യാജം
maidaan,മൈതാനം
tamga,തംഗ
abhiman,അഹങ്കാരം
nehru kurta,നെഹ്‌റു ഷർട്ട്
gamchha,കലം
bhookha,വിശക്കുന്നു
bush,മുൾപടർപ്പു
jhaad,ജാഡ്
mazaak,mazaak
symbol,ചിഹ്നം
kila,ഓരോന്നും
rajayi,കാട
rajsthani dress,രാജസ്ഥാനി വസ്ത്രധാരണം
gussail,ദേഷ്യം
pickachu,പിക്കാച്ചു
bulbasur,ബൾബാസോർ
big bulba,വലിയ ബൾബ
pokemans,പോക്ക്മാൻ എസ്
rakshak,സൂക്ഷിപ്പുകാരൻ
suit salwar,സ്യൂട്ട് സൽവാർ
jhallaya,വിഷമിക്കുക
prarthna,പ്രാർത്ഥന
khush mazakiya,സന്തോഷകരമായ തമാശ
lameez,ലാമീസ്
dikhawa,കാണിക്കുക
shoes shirt,ഷൂസ് ഷർട്ട്
bhugol,ഭൂമിശാസ്ത്രം
confuse,ആശയക്കുഴപ്പം
imarte,കെട്ടിടങ്ങൾ
wrestling dress,ഗുസ്തി വസ്ത്രധാരണം
nan chaku,എന്ത്
onion,ഉള്ളി
pyaaj,സവാള
saman,ഒന്നിച്ച്
pitcher,പിച്ചർ
piyakkad,മദ്യപൻ
tu aya kaha se,നിങ്ങൾ എവിടെ നിന്നാണ് വന്നത്
aukat me rah,ആകൃതിയിൽ തുടരുക
mai boss hun,അവൾ മുതലാളിയാകട്ടെ
ye ghar mera hai,ഈ വീട് എന്റേതാണ്
mujhe jante ho,നിനക്ക് എന്നെ അറിയാമോ?
ja ke mar jaao,മരിക്കുക
mujhse panga mat lena,എന്നോട് കുഴപ്പത്തിലാക്കരുത്
nal,nal
uttejak,ആവേശകരമാണ്
sando,മണൽ
thaka,ശേഷിക്കുക
choodiyan,വളകൾ
zewar,ആഭരണങ്ങൾ
jajcket,ജജ്ച്കെത്
kagaj,പേപ്പർ
black kurta,കറുത്ത കുർത്ത
kala kurta,ഫിഷ് കുർത്ത
moti chain,കൊഴുപ്പ് ശൃംഖല
dangry,അപകടം
enjoyin,ആസ്വദിക്കൂ
flowerpot,പൂച്ചട്ടി
villa,വില്ല
jwellery,ജ്വല്ലറി
stairs,പടികൾ
statue,പ്രതിമ
pleased,സന്തോഷിച്ചു
gratified,തൃപ്‌തിപ്പെടുത്തി
murti,പ്രതിമ
sidhi,നേരെ
bhavan,ഭവൻ
ahankaar,അഹം
chandma,ചന്ദ്രൻ
chandr,ചന്ദ്ര
badhai,അഭിനന്ദനങ്ങൾ
shubhkamanaye,ആശംസകൾ
gulabi,പിങ്ക്
mohhabat,സ്നേഹം
hairani,അതിശയകരമെന്നു പറയട്ടെ
chauka dena,ആശ്ചര്യപ്പെടുത്താൻ
akasmat,അപകടം
pokemon ball,പോക്ക്മാൻ ബോൾ
gend,മതി
vishwas,വിശ്വാസം
nirvanaya,നിർവാണ
teabag,ടീ ബാഗ്
chini,ചുവടെ
chai patti,ചായ് പുട്ടി
chai bag,ടീ ബാഗ്
dena,എല്ലാം
puchna,ചോദിക്കാൻ
mangna,ഭക്ഷണം
floral,പുഷ്പം
polka dots,പോൾക്ക ഡോട്ടുകൾ
bindu pant,ബിന്ദു പന്ത്
samjhana,വിശദീകരിക്കാൻ
rope,കയർ
curtain, toy,മൂടുശീല, കളിപ്പാട്ടം
grateful,നന്ദിയുള്ളവർ
registan,റെജിസ്ഥാൻ
aadar,ഇഞ്ചി
samman,ഒന്നിച്ച്
haal chal,സമീപകാല ട്രിക്ക്
shirt, pant. stadium, lights, chairs, mike,,ഷർട്ട്, പാന്റ്. 
frustate,വാദഗതിയാണ്
gilla,പോലെ
bent,വളഞ്ഞു
chidhan,പ്രകോപനം
narazgi,നെഞ്ചെരിച്ചിൽ
afsos,അയ്യോ
gulal,ഗുലാൽ
khelna,കളിക്കാൻ
dhum dham,ആഡംബരം
nachana,നാചാന
mug beer,മഗ് ബിയർ
nashe,ഞങ്ങളുടെ
saste nashe,വിലകുറഞ്ഞ മരുന്നുകൾ
desi daru,ഞാൻ നൽകിയാലും
bewda,bewda
question mark,ചോദ്യചിഹ്നം
poorn viram,പൂർണ്ണ സ്റ്റോപ്പ്
poochna,ചോദിക്കാൻ
boom,കുതിച്ചുചാട്ടം
bubbles,കുമിളകൾ
handcuffs,കരക uff ശലം
hathkadi,കരക uff ശലം
utsaah,ഉത്സാഹം
sticks,വിറകുകൾ
wall,മതിൽ
dandi,ഘട്ടം
diwar,എന്നോട് പറയൂ
chalaki,ട്രിക്ക്
bag, school,ബാഗ്, സ്കൂൾ
kulfi,കുൽഫി
baraf,മഞ്ഞ്
kitabein,പുസ്തകങ്ങൾ
paathshala,സ്കൂൾ
unpotential,കഴിവില്ലാത്ത
inability,കഴിവില്ലായ്മ
mayuus,മയൂസ്
lighter,ഭാരം കുറഞ്ഞത്
matchbox,തീപ്പെട്ടി
cigaratte,സിഗരട്ട്
rani,റാണി
heere,പ്രഭു
atama vishwas,മുൻകാല വിശ്വാസം
jigyasa,ജിജ്ഞാസ
positions,സ്ഥാനങ്ങൾ
exicting,ആവേശകരമായ
langoti,ദീർഘായുസ്സ്
narangi,ഓറഞ്ച്
kesariya,കുങ്കുമം
ajana,അജ്ഞാതം
batana,ബറ്റാന
panty,പാന്റി
under garments,വസ്ത്രങ്ങൾക്കടിയിൽ
UGs,യു.ജി.
clips,ക്ലിപ്പുകൾ
kache,സമീപം
clip,ക്ലിപ്പ്
dhup,സൂര്യൻ
sooraj,സൂര്യൻ
dumb ball,ഓർമയുള്ള പന്ത്
bisecps,കൈകാലുകൾ
massage,മസാജ് ചെയ്യുക
tagad,ഇപ്പോൾ
tagadwar,സ്ട്രോംഗ്മാൻ
hairs,രോമങ്ങൾ
pankh,ചിറകുകൾ
disagreed,വിയോജിച്ചു
shirt pant,ഷർട്ട് പാന്റ്
line marna,വരിയിൽ തട്ടുന്നു
letna,ലെറ്റ്ന
taar,അവളുടെ
ocean water,സമുദ്രജലം
dhoop,സൂര്യൻ
neela,ബ്ലൂ
bhoo,ഭൂമി
dried,ഉണങ്ങിയ
feared,ഭയപ്പെട്ടു
chandrma,ചന്ദ്രൻ
chanda,സബ്സ്ക്രിപ്ഷൻ
darawana,എന്റെ അടുക്കലേക്കു മടങ്ങിവരിക
khauf,ഖ uf ഫ്
bhootiya,പ്രേതബാധ
safed,വെള്ള
disheartened,നിരാശനായി
fox,കുറുക്കൻ
jackal,കുറുക്കൻ
gidad,കൊണ്ടുവന്നു
shurbs,കുറ്റിച്ചെടികൾ
herbs,bs ഷധസസ്യങ്ങൾ
raasta,താമ്രജാലം
jhaadi,ബുഷ്
gadi,വർഷങ്ങൾ
stones,കല്ലുകൾ
convincing,ബോധ്യപ്പെടുത്തുന്ന
pathar,കല്ല്
tashtari,ഡിഷ്
aaloo,aaloo
chaipatti,ചായ ഇലകൾ
araam,വിശ്രമിക്കുക
sleepers,സ്ലീപ്പർമാർ
wine, bottle,വീഞ്ഞു കുപ്പി
indra dhanush,ഇന്ദ്ര ധനുഷ്
hara ujala,പച്ച വെളിച്ചം
jahag,കപ്പൽ
utsuk,ആകാംക്ഷയുള്ള
lock,ലോക്ക് ചെയ്യുക
tala,സ്പീക്ക്
graph,ഗ്രാഫ്
atma vishwas,ആത്മവിശ്വാസം
sweter,സെറ്റര്
trowel,trowel
swetr,swetr
kurpi,തൂവാലകൾ
samajhdaar,സെൻസിബിൾ
sleeper,സ്ലീപ്പർ
bow top,വില്ലു ടോപ്പ്
sleeveless,സ്ലീവ്‌ലെസ്
kata baju,കുപ്പായം പറഞ്ഞു
sabr,sabr
mez,ജേഴ്സി
atma vishwaas,ആത്മവിശ്വാസം
hairy chest,രോമമുള്ള നെഞ്ച്
shirt, pant,ഷർട്ട്, പാന്റ്
chati,ചാർട്ട്
mubarakein,വാഴ്ത്തപ്പെട്ടവൻ
entertaining,വിനോദം
bhara,പൂരിപ്പിച്ചു
suit. tree,സ്യൂട്ട്. 
love, happy, romantic, lovable, lovely, miss,,സ്നേഹം, സന്തോഷം, റൊമാന്റിക്, സ്നേഹനിർഭരമായ, മനോഹരമായ, മിസ്,
suit, pant,സ്യൂട്ട്, പാന്റ്
intezaar, pyaar,സ്നേഹം കാത്തിരിക്കുക
anger, sad, disagreed,കോപം, സങ്കടം, വിയോജിക്കുന്നു
muaja,മാസം
shaktimaan, chakra, circle, gold, band,ശക്തിയേറിയ, സൈക്കിൾ, കാലാതീതമായ, സ്വർണം, ബാൻഡ്
chata, badal,ആറാമത്, മാറ്റം
manzil,വീട്
dhoti,mala, rudraksh,ധോതി, മാള, രുദ്രാക്ഷ്
CID,സി.ഐ.ഡി.
behnsa,ബെഹ്ംസ
todna,തകർക്കാൻ
juju,ജുജു
nishana,ലക്ഷ്യം
dahi valle,താഴ്വര പോലും
taskari,കള്ളക്കടത്ത്
pajayma,പൈജാമ
slip,തെന്നുക
signs,അടയാളങ്ങൾ
confident, proud, happy, serious,ആത്മവിശ്വാസം, അഭിമാനം, സന്തോഷം, ഗുരുതരമായത്
nishaan,അടയാളപ്പെടുത്തുക
ache,വേദന
audience,പ്രേക്ഷകർ
gilli,ഗില്ലി
underpant,അടിവശം
kacha,അപ്‌ലോഡുചെയ്യുക
laat,വൈകി
peela,മഞ്ഞ
chest,നെഞ്ച്
roar,അലറുക
dahad,അലറുക
poonch,പൂഞ്ച്
garaj,ഗാരേജ്
sleveless,സ്ലീവ്‌ലെസ്
baju kata,വേഡ് ഷർട്ട്
perm,പെർം
brown,തവിട്ട്
ruthna,ദേഷ്യം വരാൻ
petu,ചോദിക്കുക
decorated,അലങ്കരിച്ചിരിക്കുന്നു
hatered,പക
khafa,ദേഷ്യം
preshan,അസ്വസ്ഥത
bin baju,വസ്ത്രങ്ങളുടെ ബിൻ
sharbat,ജ്യൂസ്
thandai,തണുപ്പ്
cleverness,മിടുക്ക്
innocence,നിരപരാധിതം
chalu,ഓണാണ്
bholapan,വിശ്വാസ്യത
shareer,പങ്കിടുക
paddle,പാഡിൽ
pahiye,ചക്രങ്ങൾ
chakka,ജ്വലനം
prem prasang,പ്രേം പ്രസാങ്
suit pant,സ്യൂട്ട് പാന്റ്
size, body,വലുപ്പം, ശരീരം
bare chest,നഗ്നമായ നെഞ്ച്
karate dress,കരാട്ടെ വസ്ത്രധാരണം
kimono,കിമോണോ
karate,കരാട്ടെ
judo,ജൂഡോ
chingari,തീപ്പൊരി
bijli,വൈദ്യുതി
daudna,പ്രവർത്തിക്കുന്നു
bhagna,മിക്കതും
gulaab,ഗുലാബ്
mens accessries,പുരുഷന്മാരുടെ ആക്സസറികൾ
figure,കണക്ക്
mannequin,കൃത്രിമം
worked up,പ്രവർത്തിച്ചു
frustrate,നിരാശപ്പെടുത്തുക
cargo jeans,കാർഗോ ജീൻസ്
two wheeler,ഇരുചക്ര വാഹനം
premmaya,ഇഷ്ടപ്പെട്ടു
flower shirt,പുഷ്പ ഷർട്ട്
whiskey, wine,വിസ്കി, വൈൻ
mens accessories,പുരുഷ ആക്സസറികൾ
hanuman pendant,ഹനുമാൻ പെൻഡന്റ്
hankerchief,തൂവാല
Indian jersey,ഇന്ത്യൻ ജേഴ്സി
cricket gloves,ക്രിക്കറ്റ് കയ്യുറകൾ
coal,കൽക്കരി
microwave,മൈക്രോവേവ്
hath pankha,ഹാൻഡ് ഫാൻ
koella,കൊഎല്ല
pure butter,ശുദ്ധമായ വെണ്ണ
containers,പാത്രങ്ങൾ
shudh ghee,shudh നെയ്യ്
kanaster,കാനിസ്റ്റർ
indian salwaar kameez,ഇന്ത്യൻ സൽവാർ കമീസ്
pigs,പന്നികൾ
garmjosh,M ഷ്മളത
tshirt, jeans,ഷർട്ട്, ജീൻസ്
saw,കണ്ടു
aari,പ്രോപ്പർട്ടി
nokila gada,നികില ഗഡ
romanntic,റൊമാന്റിക്
premaya,പ്രെമയ
motor cycle,മോട്ടോർ സൈക്കിൾ
sweathsirt,വിയർപ്പ് ഷർട്ട്
s weater,സ്വെറ്റർ
ice cubes,ഐസ് ക്യൂബുകൾ
lugges,ലഗേജുകൾ
overcoat,ഓവർ‌കോട്ട്
hairaan,ബോറടിക്കുന്നു
pillows,തലയിണകൾ
jacet,കള്ളം
jeans shoes,ജീൻസ് ഷൂസ്
ties,ബന്ധങ്ങൾ
inquiring,അന്വേഷിക്കുന്നു
jean,ജീൻ
horney,കൊമ്പൻ
joote, dil, titliyan,ബൂട്ട്സ്, ഹാർട്ട്സ്, ചിത്രശലഭങ്ങൾ
stains,കറ
kichar,ചെളി
joote, bike,ഷൂസ്, ബൈക്ക്
ganji,നന്ദിയുള്ളവർ
joote, beer,ജൂട്ട്, ബിയർ
flies,ഈച്ചകൾ
tank,ടാങ്ക്
makhkhi,മഖി
makhkhiyaan,ബീംസ്
garlands,മാല
noebook,നോട്ടുബുക്ക്
bamboo,മുള
crocs,മുതലകൾ
baans,ജോലി
spot light,സ്പോട്ട്‌ലൈറ്റ്
injection,കുത്തിവയ്പ്പ്
syringe,സിറിഞ്ച്
hospital bed tshirt,ആശുപത്രി ബെഡ് ഷർട്ട്
sui,ന്
haspataal,ആശുപത്രി
pandit ji ki poshaak,പണ്ഡിറ്റ് ജി കീ വസ്ത്രധാരണം
pleading,വാദിക്കുന്നു
pilla,കൊള്ള
minnat mangna,അഭ്യർത്ഥിക്കാൻ
khiloney,ബ്ലൂം
kitabey,പുസ്തകങ്ങൾ
fire ball,ഫയർ ബോൾ
aag ka gola,aag ka gola
kurta payjama,കുർത്ത പൈജാമ
madhhosh,മധുരം
shwal,ഷാവാൽ
fanda,ഫാൻ
armour,കവചം
nirbhaya,നിർഭയ
aatamvishwas,aatamvishwas
Ash Ketchum,ആഷ് കെച്ചും
bangls,വളകൾ
shrewd,സമർത്ഥൻ
cookies,കുക്കികൾ
tools,ഉപകരണങ്ങൾ
spaner,രഹസ്യ
kilwish,കിലോവിഷ്
shaolin,ഷാവോളിൻ
knickers,നിക്കറുകൾ
film roll,ഫിലിം റോൾ
hopeful,പ്രതീക്ഷ
cinema roll,സിനിമാ റോൾ
ummeed,ഉമ്മിഡ്
shrewed,സമർത്ഥൻ
dolle,ഭ്രാന്തൻ
sockes,സോക്കുകൾ
biscuit,ബിസ്കറ്റ്
teeshart,ടി-ഷർട്ട്
tissues,ടിഷ്യൂകൾ
hand wash,കൈ കഴുകാനുള്ള
dhotti,ധോതി
gold Bangle,സ്വർണ്ണ വള
gold kada,സ്വർണ്ണ കട
vase,പൂത്തട്ടം
stool,മലം
banitan,banitan
Lightning,മിന്നൽ
bijali,വൈദ്യുതി
vishvaas,വിശ്വാസ്
indian jarsee,ഇന്ത്യൻ ജേഴ്സി
jarsee,ജേഴ്സി
bull's eye,കാളയുടെ കണ്ണ്
target board,ടാർഗെറ്റ് ബോർഡ്
kamaan,കമാൻഡ്
gaans,പോകൂ
kaode,നേടുക
long shoe,നീളമുള്ള ഷൂ
labme jute,ചണം
himmatwala,ധൈര്യമുള്ള
wave,തരംഗം
lahar,ലാവ
tuti,ഉറപ്പായി
vase coat,വാസ് കോട്ട്
gmacha,gmacha
ladle,ലാൻഡിൽ
spray,സ്പ്രേ
kadachhi,കഠിനമാണ്
raviya,മനോഭാവം
mant,mant
gold bangals,സ്വർണ്ണ വളകൾ
juty,ഒത്തുകൂടി
hand strap,കൈ വടി
hath ki patti,ഹാൻഡ് സ്ട്രിപ്പ്
sone ki chian,സോനെകി ചിയാൻ
titali,ചിത്രശലഭം
pyarbhara,സ്നേഹിക്കുന്നു
boxing gloves,ബോക്സിംഗ് കയ്യുറകൾ
wrestling stage,ഗുസ്തി ഘട്ടം
ladai dastane,കയ്യുറകളോട് പോരാടുക
sone ka locket,സ്വർണ്ണ ലോക്കറ്റ്
laher,ലാഹർ
samundra,കടൽ
headphone,ഹെഡ്‌ഫോൺ
bread,റൊട്ടി
pudi,നടപ്പാത
roti,തിരിക്കുക
khopadi,പകർത്തുക
uniforms,യൂണിഫോം
tie. note book,ടൈ. 
murga,മുർഗ
bed sheet,ബെഡ് ഷീറ്റ്
chaddr,chaddr
atma vishvas,ആത്മവിശ്വാസം
rabaiya,കോവർ നം
chunni,സുന്നി
deepika padukon,ദീപിക പദുക്കോൺ
convince,ബോധ്യപ്പെടുത്തുക
ghanti,മണി
sliper,ഷാർപ്പ്നർ
roshani,വിളക്കുകൾ
shaher,നഗരം
neckless,കഴുത്തില്ലാത്ത
saadi,സാദി
chudi,ചുവടെ .ട്ട്
gudda,ഗുദ്ദ
shahar,നഗരം
talk bubble,ടോക്ക് ബബിൾ
prashn chinh,ചോദ്യചിഹ്നം
bazooka,bazooka
hath ka patta,കൈ ഇല
cricket pads,ക്രിക്കറ്റ് പാഡുകൾ
durbin,ഡർബിൻ
punching gloves,കയ്യുറകൾ കുത്തുക
sidiyan,പടികൾ
seb,സെബ്
alsi,alsi
nuteral,നിഷ്പക്ഷത
shoping bag,ഷോപ്പിംഗ് ബാഗ്
thaila,തായ്‌ല
kitabe,പുസ്തകങ്ങൾ
mukahuta,മുകുട്ട
naquaab,സിനിമ
plat,പ്ലാറ്റ്
phuchka,.തുക
gupchup,നിശബ്ദമായി
gigner,ഹിംസാ
adrakh,അദ്ര
punching bag,ഇടിസഞ്ചി
t-shrt,ടി-ഷർട്ട്
l bottle,l കുപ്പി
superman shuit,സൂപ്പർമാൻ സ്യൂട്ട്
superman logo,സൂപ്പർമാൻ ലോഗോ
superman suit,സൂപ്പർമാൻ സ്യൂട്ട്
blancket,ബ്ലന്ച്കെത്
bangle,വള
kammej,കംമെജ്
qutub minar,ഖുതുബ് മിനാർ
london bridge,ലണ്ടൻ പാലം
bat-chit,ബാറ്റ്-ചിറ്റ്
pad,പാഡ്
tooth brush,ടൂത്ത് ബ്രഷ്
danto ka brush,നിങ്ങളുടെ ബ്രഷിൽ പറ്റിനിൽക്കുക
cart,കാർട്ട്
trolly,ട്രോളി
t-short,ടി-ഹ്രസ്വ
