bobble,குமிழ்
ओ,ஓ
हैरान,அதிர்ச்சியடைந்தார்
अचरज,வியக்க வைக்கிறது
मस्त,கூல்
हम्म,ஹ்ம்
सोचना,சிந்திக்க
जवाब,பதில்
सोच,சிந்திக்கிறது
हे भगवान्,கடவுளே
भोचक्का,முட்டாள்
बकवास,குப்பை
फ़क,வித்தியாசம்
हल्क,ஹல்க்
हरा,பச்சை
ताकतवर,வலிமைமிக்கவர்
बुरी,கெட்டது
अँधेरा,இருண்டது
नरक,நரகம்
मुआह,பாசம்
कमाल,ஆச்சரியம்
झक्कास,நகைச்சுவை
गल्ले लग्न,கல்லோப்பிங் லக்னா
हग,ஹாக்
मरना,இறக்க
मर गया,இறந்துவிட்டார்
मारा हुआ,கொல்லப்பட்டார்
म्रित्यु,இறந்தவர்
सतरंगी,நீல நிறம்
लोल,லோல்
हाहा,ஹா
गरम,சூடாக
सड़ता हुआ,அழுகிய
पारी,ஷிப்ட்
स्वर्ग,சொர்க்கம்
आ,வாருங்கள்
तबाही,அழிவு
विनती,கோரிக்கை
पप्पी,பப்பி
मासूम शकल,அப்பாவி முகம்
फचा,மடி
Arvind,அரவிந்த்
केजरीवाल,கெஜ்ரிவால்
kejriwal,கெஜ்ரிவால்
CM,முதல்வர்
Bacha,பச்சா
IIT,ஐ.ஐ.டி.
babysitter,குழந்தை பராமரிப்பாளர்
uthaye,எடு
उठाये,எடு
फंडिंग,நிதி
रुपए,பணம்
आई आई टी,ஐ.ஐ.டி.
कॉलेज,கல்லூரி
स्टूडेंट,மாணவர்
छात्र,மாணவர்
पढाई,ஆய்வுகள்
चेतन,நனவு
भगत,பகத்
chetan,சேதன்
bhagat,பகத்
leaf,இலை
पत्ता,முகவரி
novels,நாவல்கள்
नॉवेलिस्ट,நாவலாசிரியர்
author,நூலாசிரியர்
ीत,ीत
Alumni,முன்னாள் மாணவர்கள்
maggu,மாகோட்
कैसा है,எப்படி உள்ளது
पढ़ाकू,மேதாவி
हाल चाल,சமீபத்திய தந்திரம்
अकल्मन्द,புத்திசாலி
एकदम स्मार्ट,அவ்வளவு புத்திசாலி
स्मार्ट,ஸ்மார்ட்
ज्ञानी,அறிவுள்ளவர்
केमिस्ट्री,வேதியியல்
सफेद कोट,வெள்ளை கோட்
क्या बात,என்ன விஷயம்
मंगल,செவ்வாய்
शिकारी,வேட்டைக்காரன்
शिकार,வேட்டை
चाचा,மாமா
कसम,நான் சத்தியம் செய்கிறேன்
पहलवान,மல்யுத்த வீரர்
चौड़ा,பரந்த
नाच,நடனம்
नचवाना,நடனமாட
मार खायेगा,கொல்லும்
पिटाई,அடிப்பது
लड़ाई,சண்டை
मरूंगी,இறக்கும்
अच्छी,நல்லது
समझदार,விவேகமான
शुशील,சுஷில்
स्कूल,பள்ளி
विद्यालय,பள்ளி
नहीं जाना,போக வேண்டாம்
भागता किधर है,அவர் எங்கே ஓடுகிறார்
भागता,ஓடுகிறது
फ्रेंडज़ोन,ஃப்ரீண்ட்ஜோன்
राधा,ராதா
समः,கூட
कृष्ण,கிருஷ்ணா
बदलेकि भावना,பழிவாங்கும் உணர்வு
मां,அம்மா
कंस,கன்சா
अप्सरा,நிம்ஃப்
सब बढ़िया,எல்லாம் நல்லது
अच्छा,நல்லது
चोर,திருடன்
भागो,ஓடிவிடு
चौधरी,சவுத்ரி
पगड़ी,டர்பன்
मुच्,அதிகம்
डरो मत,பயப்பட வேண்டாம்
में आ गया,நான் வந்தேன்
लडू,லடூ
चुटकी,ஒரு பிஞ்ச்
षड्यंत्र,சதி
राजकुमारी,இளவரசி
ज़ेवर,நகைகள்
कलंदर,காலண்டர்
बन्दर,குரங்கு
भीम,பீம்
नीला बन्दर,நீல குரங்கு
छोटी,சிறியது
नीले कपडे,நீல உடைகள்
भोलू,போலு
ढोलू,டிரம்
गांव,கிராமம்
सब के लिए,அனைவருக்கும்
कार्टून,கார்ட்டூன்
बहादुर,தைரியமான
दोस्तों,நண்பர்கள்
क्या हाल है,நீங்கள் எப்படி இருக்கிறீர்கள்
चड्डी,டைட்ஸ்
राजू,ராஜு
में हु राजा,நான் ராஜா
महँ,நான்
जय हो,வணக்கம்
मुकुट,கிரீடம்
रोटी,ரொட்டி
वापस लाओ,மீண்டும் கொண்டு வாருங்கள்
गल्ले लगजा,என்னைக் கட்டிப்பிடி
कालिया,கலியா
तीसरी,மூன்றாவது
आँख,கண்
खुल,திற
carry,எடுத்துச் செல்லுங்கள்
minati,ஆர்வம்
कैर्री,எடுத்துச் செல்லுங்கள்
मिनाती,வேண்டுகோள்
शुरू,தொடங்கு
बिना,இல்லாமல்
सस्ते,மலிவானது
नशे,மருந்துகள்
harpic,ஹார்பிக்
cheap,மலிவானது
hathoda,சுத்தி
तोड़,இடைவெளி
pebble,கூழாங்கல்
तोडना,உடைக்க
बीज,விதைகள்
seed,விதை
किसका,யாருடையது
कट्टा,புளிப்பு
बंदूक,துப்பாக்கி
पिला,பிலா
सालो,ஆண்டுகள்
saalo,மைத்துனர்
कितना,எவ்வளவு
फूकता,வெடிப்பு
ciggrate,சிகரெட்
fookta,fookta
बहुत,பல
दोस्ती यारी,தோஸ்தி யாரி
dosti yaari,தோஸ்தி யாரி
गाली,துஷ்பிரயோகம்
मत,வாக்களியுங்கள்
देना,கொடுக்க
abusive,தவறான
agree,ஒப்புக்கொள்கிறேன்
समझना,புரிந்து கொள்ள
अपना,எங்கள்
कैसे,எப்படி
आप,நீங்கள்
लोग,மக்கள்
जनता,பொதுமக்கள்
RABTA,இணைப்பு
RAABTA,ரப்தா
गणेश,கணேஷ்
गणेशा,விநாயகர்
गणेश जी,திரு கணேஷ்
गणेश चतुर्थी,கணேஷ் சதுர்த்தி
पाठ,உரை
गणपति बाप्पा,கணபதி பாப்பா
मोरिया,மோரியா
अगले,அடுத்தது
बरस,மழை
तू,நீங்கள்
जल्दि,விரைவில்
राम,ராம்
नाम,பெயர்
जय राम जी की,ஜெய் ராம் ஜி
जय,ஜெய்
श्री,திரு.
धनुष,வில்
लक्ष्मी,லட்சுமி
मैया,அம்மா
कृपा,கருணை
बनि,பானி
रहे,இருங்கள்
दिवाली,தீபாவளி
श्रद्धा,பயபக்தி
शिव जी,சிவபெருமான்
नमय,நமய்
शिवाय,தவிர
आस्था,நம்பிக்கை
भक्ति,பக்தி
सबूरी,சபுரி
ज़ूज़ू,ஜு ஜு
वोडाफोन,வோடபோன்
हमम,ஹ்ம்ம்
मदत,உதவி
आवाज,குரல்
वोडा,வோடா
डराना,பயமுறுத்துவதற்கு
मासूम,அப்பாவி
सुनने,கேளுங்கள்
स्पीकर,பேச்சாளர்
भाषण,பேச்சு
डोला,டோலா
मुझसे डर,எனக்கு அஞ்சுங்கள்
नहीं पता,தெரியாது
तंग मत कर,தொந்தரவு செய்ய வேண்டாம்
परेशान मत कर,கவலைப்பட வேண்டாம்
बात मत कर,பேச வேண்டாம்
समुन्दर किनारे,கடல் கரை
ज़ूम,பெரிதாக்கு
इज़हार,எக்ஸ்பிரஸ்
मोहोबत,காதல்
सिनेमा,சினிமா
मूवी,திரைப்படம்
फिल्म,படம்
बंक,பங்க்
नहीं दे रहा,கொடுக்கவில்லை
डब्बा,வழக்கு
मम्मी का खाना,மம்மி டின்னர்
sparrow,குருவி
minions,கூட்டாளிகள்
spidergirl,சிலந்தி பெண்
web,வலை
spider,சிலந்தி
gardians,gardians
galazy,விண்மீன்
gamara,கமாரா
galaxy,விண்மீன்
nebula,நெபுலா
despecableme,என்னை கிழித்தெறியுங்கள்
Tubelight,குழல்விளக்கு
Despecable,வெறுக்கத்தக்கது
gru,கிரேன்
हवेली,மாளிகை
आओ कभि,எப்போதும் வாருங்கள்
अमरीश,அம்ரிஷ்
पुरी,பூரி
amrish,amrish
haveli,ஹவேலி
मौका,வாய்ப்பு
टीम,அணி
स्टार,நட்சத்திரம்
स्टेडियम,அரங்கம்
स्पोर्ट्स,விளையாட்டு
गर्ल,பெண்
ठग,ஸ்மூத்தி
लाइफ,வாழ்க்கை
जिंदगी,வாழ்க்கை
thug,குண்டர்
गोल्ड,தங்கம்
चौड,ச ud த்
यो,இது
रेड,சிவப்பு
आंसू,கண்ணீர்
मोरनी,மயில்
मोर,மயில்
i need,எனக்கு வேண்டும்
national bird,தேசிய பறவை
बस,பஸ்
केवल,மட்டும்
i can,என்னால் முடியும்
पम्मी,பம்மி
pammi,பம்மி
फैशन,ஃபேஷன்
i love,நான் நேசிக்கிறேன்
फैन,ரசிகர்
आओ कभी,எப்போதும் வாருங்கள்
ये,இது
बिक,விற்கப்பட்டது
गई,போய்விட்டது
है,என்பது
गौरमिंट,நல்ல உணவை சுவை அறிந்து சொல்வதில் வல்லவர்
gormint,gormint
रिपोर्टर,நிருபர்
reporter,நிருபர்
बॉय,பையன்
गयी,சென்றது
चैन,அமைதி
chain,சங்கிலி
बाबा,பாபா
बाबा जी,பாபா ஜி
नागिन,பாம்பு
सपेरा,பாம்பு வசீகரம்
SUPERSINGH,SUPERSINGH
DALJIT,டால்ஜீத்
actors,நடிகர்கள்
actress,நடிகை
heroine,கதாநாயகி
manners,நடத்தை
tameez,தமீஸ்
बद्तमीज़,துரதிர்ஷ்டவசமானது
साले,அண்ணி
भाभी,அண்ணி
तेरी,உங்கள்
तमीज,தமீஸ்
धमकी,அச்சுறுத்தல்
जिसको,யாருக்கு
देखो,பார்
बजाने,இயக்கக்கூடியது
मेरी,என்
लगा,உணர்ந்தேன்
चेयर,நாற்காலி
helpless,உதவியற்ற
शेर,சிங்கம்
kiddo,கிடோ
शाबाशी,ஓக்கி
ये है,இது
ye hai,மேலும்
गर्व,பெருமை
खुश,மகிழ்ச்சி
बोल,பேசுகிறார்
ना,இல்லை
मेरे,என்
insist,வலியுறுத்துங்கள்
जबरदस्ती,கட்டாயமாக
बहुत देर,மிகவும் தாமதமானது
रिमोट,தொலைநிலை
सॉरी,மன்னிக்கவும்
माफ़ी,மன்னிப்பு
मूव,நகர்த்து
हिलो,ஹிலோ
नहीं,இல்லை
हो,இரு
सकता,முடிந்தது
जस्ट,வெறும்
माय,என்
बिल्ली,பூனை
कैट,பூனை
माऊवव,ம'வ்
सोफे,படுக்கை
टी वि,டிவி
कोक,கோக்
पेप्सी,பெப்சி
सॉफ्ट,மென்மையான
ड्रिंक,குடிக்கவும்
पेट,வயிறு
सुकून,நிதானமாக
टेबल,அட்டவணை
झूला,ஸ்விங்
ालास,ालास
चिल,சில்
मारो,அடியுங்கள்
नो,இல்லை
प्रॉब्लम,சிக்கல்
कुछ,சில
दिक्कत,பிரச்சனை
परेशानी,பிரச்சனை
चिल मारो,வெளியேறவும்
यारर,யர்
मन,மனம்
नहीं है,இல்லை
मूड,மனநிலை
बोर्ड,போர்டு
दुखी,சோகம்
आत्मा,ஆன்மா
परेशां,கவலை
होम,வீடு
कारपेट,தரைவிரிப்பு
कागज़,காகிதம்
स्पेक्स,விவரக்குறிப்புகள்
चाहते,வேண்டும்
बादल,மேகம்
पीस,துண்டு
आसान,எளிதானது
मोह,மோகம்
मया,மாயா
रणबीर,ரன்பீர்
घंटा,மணி
सुकून पीस,நிம்மதியான அமைதி
प्यारर,காதல்
तो,பின்னர்
मैं,நான்
नाचूँ,நடனம்
आस्क,கேளுங்கள்
बजाना,விளையாடுகிறது
करू,அதை செய்யுங்கள்
मग,பின்னர்
कल,நாளை
पक्का,நிச்சயமாக
परसों,நாளை மறுநாள்
दौड़,இனம்
दौड़ना,ஓடுகிறது
करना,செய்ய
नीड,தேவை
चॉइस,தேர்வு
अलिअ,ஆலியா
खा,சாப்பிடுங்கள்
अर्जुन,அர்ஜுன்
बूटी,துவக்க
दवा,மருந்து
गोवा,கோவா
जो,எது
गॉन,சென்றது
ज़ोंबी,ஜாம்பி
सन्यासी,ஹெர்மிட்
वर्क,வேலை
ओवर,ஓவர்
ख़तम,சரியானது
होगया,முடிந்தது
लगता,தெரிகிறது
डरावनी,திகில்
जगा,எழுந்திரு
शर्त,நிலை
मुझे,நான்
जगाना,எழுந்திரு
हमसे,எங்களிடமிருந்து
पाएगा,முடியும்
पाना,பெறுங்கள்
भावनाओ,உணர்வுகள்
को,க்கு
समझो,புரிந்து கொள்ளுங்கள்
इमोशंस,உணர்ச்சிகள்
फीलिंग्स,உணர்வுகள்
समझाना,விளக்க
ओह्ह तेरी,ஓ உங்கள்
ओह्ह,ஓ
सांता,சாந்தா
क्रिसमस,கிறிஸ்துமஸ்
मानना,நம்ப
अफ़सोस,மன்னிக்கவும்
में,இல்
निकल,நிக்கல்
बाहर,வெளியே
नोट,குறிப்பு
चलना,நடைபயிற்சி
चलता,நடக்கிறது
हुआ,இடம் பிடித்தது
कब,எப்போது
अरे,ஏய்
हम,நாங்கள்
मिल,பெறுங்கள்
हैं,உள்ளன
मिलो,சந்திப்போம்
मिलाप,சாலிடர்
मेल,அஞ்சல்
किचन,சமையலறை
पकाना,சமைக்க
एप्रन,ஏப்ரன்
मास्टर,மாஸ்டர்
शेफ,சமையல்காரர்
कुकिंग,சமையல்
वैलेंटाइन्स,காதலர்
मेरा,என்னுடையது
वैलेंटाइन,காதலர்
प्रोपोज़,முன்மொழியுங்கள்
प्रस्ताव,சலுகை
प्रेम,காதல்
अनिवादन,வாழ்த்துக்கள்
पिंकी,பிங்கி
प्रॉमिस,வாக்குறுதி
वादा,வாக்குறுதி
अंगुली,விரல்
रहा,தங்கியிருந்தார்
हमेसा,எப்போதும்
सादा,வெற்று
सदा,எப்போதும்
नॉट,இல்லை
सिंगल,ஒற்றை
अकेला,தனியாக
इस,இது
साल,ஆண்டு
कोई,ஏதேனும்
बिचारा,ஏழை
यू,யு
तुम,நீங்கள்
दिख,தெரியும்
रे,ரே
प्यारी,அழகான
सुंदरी,அழகான
लॉट्स,நிறைய
ज्यादा,மேலும்
किस्सेस,கதைகள்
काफी,போதும்
साडी,சேலை
हर्ट्स,இதயங்கள்
तुमसे,உங்களிடமிருந்து
हमे,எங்களை
करता,செய்கிறது
हूँ,நான்
गिव,கொடுங்கள்
मझे,நான்
हुग,ஹூக்
पा,பா
चॉकलेट,சாக்லேட்
लाया,கொண்டு வரப்பட்டது
तुम्हारे,உங்கள்
लिए,க்கு
रोजेज,ரோஜாக்கள்
कार,கார்
सीट,இருக்கை
रही,இருந்துள்ளது
बचा,இடது
जल्दी,ஆரம்பத்தில்
थोड़ा,சிறிய
तोफहा,பரிசு
गिफ्ट,பரிசு
लाओ,கொண்டு வாருங்கள்
चाइये,சி
तुम्हे,உங்களுக்கு
मुबारक हो,வாழ்த்துக்கள்
दिन का,நாள்
बल्लूंस,பலூன்கள்
हैंड्स,கைகள்
साथ में,உடன்
हमेशा,எப்போதும்
रहेंगे,இருக்கும்
हमलोग,நாங்கள்
टेडी,டெடி
बेयर सॉफ्ट,வெற்று மென்மையானது
तोय,கால்
भालू,கரடி
तुम्हारी,உங்கள்
इगनोर,புறக்கணிக்கவும்
मेको,மக்காவு
न,இல்லை
एनफ,போதும்
अब,இப்போது
मुझसे,என்னிடமிருந்து
करनी,செய்ய
इतना,இவ்வளவு
चिपक,குச்சிகள்
थी,இருந்தது
वो,அது
छिपकली,பல்லி
चिपकना,ஒட்டிக்கொள்ள
नापसंद पसंद,விருப்பு வெறுப்புகள்
बोलते,பேசுங்கள்
पूछ,கேளுங்கள்
क्यों जवाब,ஏன் பதில் சொல்ல வேண்டும்
जाओ,போ
उसी,அதே
से,இருந்து
मजसे,வேடிக்கை
जाओ उसी,அப்படியே செல்லுங்கள்
करो बात,பேசுங்கள்
मझे नहीं,நான் அல்ல
अपनी,எங்கள்
पिछली,முந்தையது
गफ,போ
उसे,அவரை
उससे,அவரிடமிருந்து
अभी,இப்போது
तक,வரை
करते,செய்யுங்கள்
एक्स,எக்ஸ்
उठाया,எழுப்பப்பட்டது
तुमने,நீங்கள்
बोलै,சொல்லுங்கள்
मेने,நான்
तुम्हारा,உங்கள்
येलो,மஞ்சள்
पेह्नने,எழுதியவர் பெஹ்னே
तुम पहनने,நீங்கள் அணியுங்கள்
भी,மேலும்
कर्रे हो,கோரே அது
कर्रे,கர்ரே
बताओ,சொல்லுங்கள்
स्कर्ट,பாவாடை
रिचार्ज,ரீசார்ஜ்
करदु,கராடு
बैलेंस,இருப்பு
डलवा,தல்வா
दू में,டுவில்
है क्या,என்ன
एयरटेल,ஏர்டெல்
ग्रीन,பச்சை
मुझपे,நான்
मुझपर,என் மீது
आबए,இப்போது
ोई,ोई
भेजो,அனுப்பு
तुमको,உங்களுக்கு
क्या भेजू,என்ன அனுப்ப வேண்டும்
मझसे,எனக்கு
करती,செய்கிறது
कौन,யார்
था,இருந்தது
जिससे,எந்த
जाऊंगा,போகும்
सबसे,மிக அதிகம்
तेरे,உங்கள்
वाले,தான்
कोई नहीं,யாரும் இல்லை
लिया,எடுத்தது
मेरा शोना,என் ஷோனா
खाना खाओ,உணவை உண்ணுங்கள்
प्लीज,தயவுசெய்து
मेरे लिए,எனக்கு
फ्रूट्स,பழங்கள்
नम्वर,இல்லை.
आगया,அகயா
आगया में,நடந்து கொண்டிருக்கிறது
एयरोप्लेन,விமானம்
गिला,கிலா
दर्द,வலி
कालिंग,அழைக்கிறது
फॉलिंग,வீழ்ச்சி
गिर,வீழ்ச்சி
जल्दी ही,விரைவில்
फॉरएवर,என்றென்றும்
करूँगा,செய்வேன்
रहेगा,இருக்கும்
सच्चा,உண்மை
तुमसे है,நீங்கள் வந்தவர்
तुम ही,நீங்கள் மட்டும்
ही,மட்டும்
कर,வரி
सकता तुम्हे,முடியுமா
में नहीं,நான் இல்லை
खोना,இழக்க
खो,இழந்தது
खो दिया,இழந்தது
राउंगा,போகும்
ऑरेंज,ஆரஞ்சு
शर्ट,சட்டை
माइन,என்னுடையது
क्लॉक,கடிகாரம்
वेयर,வேர்
मेरा प्यार,என் காதல்
हार्ट,இதயம்
मेल्ट,உருக
एंड,மற்றும்
आल,அனைத்தும்
रेड लाल,சிவப்பு சிவப்பு
तुम्हाररी,உங்கள்
चुराना,திருட
चुरा,சூரா
लाल रेड,சிவப்பு சிவப்பு
षोषो,காட்டு
डिल,ஒப்பந்தம்
हूँ बस,நான் தான்
रहूंगी,தங்குவார்
नूडल्स,நூடுல்ஸ்
मेरी पसंद,என் விருப்பம்
जग,குடம்
जाओ उठो,எழுந்து போ
चलो,வாருங்கள்
उठो अभी,இப்போது எழுந்திரு
चलो उठो,எழுந்திருப்போம்
चलो उठो अभी,இப்போது எழுந்திருப்போம்
मेने बोलै,நான் சொல்கிறேன்
मेने\,நான்
बिलकुल,நிச்சயமாக
इसी,அதே
वक़्त,நேரம்
इसी वक़्त,அதே நேரத்தில்
घड़ी,கடிகாரம்
डिडन्ट,டிட்ன்ட்
एनीथिंग,எதையும்
कहा है,நீங்கள் எங்கே இருக்கிறீர்கள்
थॉट्स,எண்ணங்கள்
आईटी,ஐ.டி.
बस होगया,நடந்தது
ओह्ह्ह,ஓ
यी,இவை
यह,இது
कोण,யார்
कौन ये,யார் இது
हे,இது
इतस,எனவே
ओनली,மட்டும்
डरो,பயப்படுங்கள்
एनीमेशन,அனிமேஷன்
कुं फु,குன் ஃபூ
लेट,தாமதமாக
उस,அது
बिगिन,தொடங்குங்கள்
हमें,எங்களை
शुरुआत,ஆரம்பம்
करने,செய்ய
हमारी,எங்கள்
बरी,கையகப்படுத்தப்பட்டது
कु फु,கு ஃபூ
पांडा,பாண்டா
सकदुसह,சகாதுவுடன்
कु,சில
फु,ஃபூ
स्काडूश,ஸ்கடோஷ்
आगे है,முன்னால் உள்ளது
आगया है,வந்துவிட்டது
इंडिपेंडेंस,சுதந்திரம்
डे,நாள்
फ्लैग,கொடி
तिरंगा,முக்கோணம்
चक्र,சுழற்சி
सैफरन,குங்குமப்பூ
गुलाबी,இளஞ்சிவப்பு
नारंगी,ஆரஞ்சு
स्वंतत्र,இலவசம்
सफ़ेद,வெள்ளை
भारतीय,இந்தியன்
हिंदुस्तान,இந்துஸ்தான்
हमारा,எங்கள்
भारत,இந்தியா
गर्व है,பெருமை
हिंदुस्तानी,இந்துஸ்தானி
प्राउड,பெருமை
रिपब्लिक,குடியரசு
देस,டெஸ்
हिन्दुस्तान,இந்துஸ்தான்
औरतों,பெண்கள்
की,இல்
आदर,மரியாதை
किआ,கியா
जाता,செல்கிறது
इज़्ज़त,மரியாதை
उनकी,அவர்களின்
नारी,பெண்
दे,கொடுங்கள்
बसंती,வசந்தம்
है अपने,உங்கள்
महान,பெரியது
सबकी,எல்லோரும்
सफाई होगी,சுத்தம் செய்யும்
बचेगा,பிழைக்கும்
कोईनहीं,யாரும் இல்லை
किसान,விவசாயி
किसान ही,விவசாயி மட்டுமே
का,இல்
लहराए,அசைந்தது
ज़िंदाबाद,வாழ்க
नृतय,நடனம்
इनक्रेडिबल,நம்பமுடியாதது
चकरा,தடுப்புகள்
गांधीगिरी,காந்திகிரி
लाठी,குச்சிகள்
महात्मा,மகாத்மா
बापू,பாபு
जी,ஆம்
गाँधी,காந்தி
गांधीनगर,காந்திநகர்
स्वाग,ஸ்வாக்
खेत,பண்ணை
देसी ही,வீடு மட்டும்
शक्ति,சக்தி
मटके,பானை
बन्दे,கட்டுண்டது
वनडे,ஒருநாள்
मातरम,மாதரம்
तिरंगा चक्र,முக்கோண சக்கரம்
वो वो,அந்த
वो हेरोइन,அந்த ஹெராயின்
कही,எங்கோ
की क्या,என்ன
हीरोइन,கதாநாயகி
एक्टर,நடிகர்
कही की,எங்கோ
साला,அண்ணி
नाक,மூக்கு
काट,வெட்டு
कट,வெட்டு
अब तो,இப்போது
शाबाश,நல்லது
बीटा,பீட்டா
बीटा है,பீட்டா
पगलेट,பக்லெட்
बी,பி
माध,மத்
क्रेजी,பைத்தியம்
हमको,எங்களுக்கு
पता,முகவரி
सब,அனைத்தும்
सब कुछ,எல்லாம்
बोलना,பேச
मालूम मालूम है,உங்களுக்குத் தெரியும்
मालूम,தெரிந்து கொள்ளுங்கள்
मौलम है,ம ula லம் ஹை
बनो,இருங்கள்
मत बनो,இருக்க வேண்டாம்
हमारे,எங்கள்
हमारे सामने,எங்களுக்கு முன்னால்
सामने,முன்
बनो मत,இருக்க வேண்டாம்
पापा,பாப்பா
डैडी,அப்பா
गजब,ஆச்சரியம்
वाह,ஆஹா
गुरु,மாஸ்டர்
चा,இல்
गए,சென்றது
तुम तो,நீங்கள்
भौकाल,புருவம்
झाड़ो,ஸ்வீப்
ोकय,ोकय
मत झाड़ो,துடைக்க வேண்டாம்
भौकाल है,நேரம்
ये मर्द,இந்த ஆண்கள்
के,இல்
ढाई,இரண்டரை
किलो,கி.கி.
का हाथ,கை
मत समझना,புரியவில்லை
आई,நான் வந்தேன்
ऍम,ஆம்
अवसोमे,அவாசோம்
आई ऍम,நான்
आई ऍम अवसोमे,நான் அவாசோம்
awsome,awsome
हेलल,ஹாலெல்
येह,இது
येआ,வாருங்கள்
हेल,நரகம்
yeahh,ஆமாம்
फीड,ஊட்டம்
थे,இருந்தன
चैम्प,சாம்பியன்
हेरे,பார்
चैंपियन,சாம்பியன்
बेल्ट,பெல்ட்
रेसलिंग,மல்யுத்தம்
ब्लैक बेल्ट,கருப்பு பெல்ட்
जहां,எங்கே
सीना,தைக்க
व्हाट,என்ன
गोंना,கோனா
बरोथेर,தம்பி
गोत्रा,பழங்குடி
gonna,போகிறது
फाड़,கிழித்தல்
मास्क,முகமூடிகள்
यस,இது
फाइट,சண்டை
wwe,wwe
रिंग,மோதிரம்
आया,வந்தது
दर्द pain,வலி வலி
comes,வருகிறது
कैन,முடியும்
दिग,தோண்டி
तहत,கீழ்
सुक्का,உலர்
तुम खोद,நீங்கள் தோண்டி எடுக்கிறீர்கள்
सकते,முடியும்
हो उस,ஹோ என்று
ब्रिंग,கொண்டு வாருங்கள்
रॉक,பாறை
ब्लूओ उसे,அவரை ப்ளூ
लड़ा,போராடியது
वे विल,அவர்கள் செய்வார்கள்
वे,அவர்கள்
विल,வில்
विन,வெற்றி
अगेन,மீண்டும்
पिरसे,நூல்
स्टेडयम,அரங்கம்
गर्ल लड़की,பெண் பெண்
DILJIT,தில்ஜித்
रोमांचक,த்ரில்லர்
एंकरिंग,தொகுத்தல்
थर्ड,மூன்றாவது
एम्पायर,பேரரசு
विक्ट्री,வெற்றி
फिक्स्ड,சரி செய்யப்பட்டது
नरगाज़ी,நர்காசி
एंगर,கோபம்
देखना,பார்க்க
बंद,மூடப்பட்டது
देखूंगा,பார்ப்பார்
टीवी,தொலைக்காட்சி
गिरवा,கீழே விழும்
दिया,கொடுக்கப்பட்டுள்ளது
मनहूस,தவறான
शक,சந்தேகம்
तोह,தோ
जीतेंगे,வெல்லும்
बोतल,பாட்டில்
ख़ुशी,மகிழ்ச்சி
फुटबॉल,கால்பந்து
तोडना नरगाज़ी,ஸ்மாஷ் வெற்றி
शानदार,பெரியது
फ़ेईल्दिंग,பீல்டிங்
पकड़ना,பிடிக்க
हारो,இழக்க
या,அல்லது
जीतो,வெற்றி
बनती,செய்யப்பட்டது
रणवीर,ரன்வீர்
baar,பார்
balla,பேல்
is baar,திறன் கொண்டது
yayy,ஆம்
cjhair,தொடர்பாக
कुश,குஷ்
रक्षाबंधन,ராக்ஷாபந்தன்
लव राखी,காதல் ராக்கி
करीना,கரீனா
त्यौहार,திருவிழா
रक्षा,பாதுகாப்பு
बंधन,பிணைப்பு
राखी,ராக்கி
गुफ्त,இலவசம்
हुई,ஹுய்
उसके,அவனது
इसे,இது
तरस,ஏங்குதல்
छेद,துளை
बहना,ஓட்டம்
आईटी इस,அது
सीक्रेट,ரகசியம்
तोहफा,பரிசு
सिस्टा,சிஸ்டா
कूद,ஜம்ப்
मज़ा,வேடிக்கை
तुरंत,உடனே
चिन्ना,சின்னா
दूर,தொலைவில்
रहो,இருங்கள்
गेम,விளையாட்டு
मालेगाव,மாலேகான்
सूट,வழக்கு
बागवान,தோட்டக்காரர்
गॉड,கடவுள்
कंट्री,நாடு
ओवन्स,அடுப்புகள்
हेवन,ஹேவன்
ों,ों
एअर्थ,பூமி
धरती,பூமி
हैदराबाद,ஹைதராபாத்
यारों,நண்பர்கள்
ब्यूटीफुल,அழகான
हरयाणी,ஹரியானா
बरअक्स,பெட்டி
बोनस,போனஸ்
हेर्त्स,இதயங்கள்
तोड़ते,உடைத்தல்
टूटना,பிரிந்து செல்லுங்கள்
शॉर्ट्स,குறும்படங்கள்
बीच इन,இவற்றில்
फन,வேடிக்கை
दिलवालों,இதயங்கள்
इल्ली,புழு
मेट्रो,மெட்ரோ
दिलसे,தில்ஸ்
कैपिटल,மூலதனம்
मंद,மங்கலான
एना,அனா
साउथ,தெற்கு
तमिल,தமிழ்
नाडु,நாடு
चंगा,குணமாகும்
चंडीगढ़,சண்டிகர்
कुड़ी,குப்பை
पंजाबी,பஞ்சாபி
मुंडी,முண்டி
मिष्टी,இனிப்பு
रसोगुल्ला,ரசகுல்லா
बंगाल,வங்கம்
बेनेली,பெனெல்லி
लैंड,நிலம்
राइजिंग,உயரும்
सुन,கேளுங்கள்
शरती,ஷரி
अरुणाचा;,அருணாச்சா;
अरुणाचल,அருணாச்சல்
प्रदेश,மாநிலம்
नार्थ,வடக்கு
ईस्ट,கிழக்கு
यू पी,யு ப
है\,என்பது
ठुमका,பாலாடை
वाला,ஒன்று
ताज,கிரீடம்
महल,அரண்மனை
आगरा,ஆக்ரா
रेट,விகிதம்
क,அ
राजस्थान,ராஜஸ்தான்
पायरा,படி
सूखा,உலர்
बल्ले,பேட்
नेचर,இயற்கை
आमची,நம்முடையது
मुंबई,மும்பை
बॉम्बे,பம்பாய்
गेट,வாயில்
ऑफ़,முடக்கு
वाचेया,படியுங்கள்
सेलेना,செலினா
गोमेज़,கோம்ஸ்
पिंक,இளஞ்சிவப்பு
