sunday hai aaj,संडे है आज
will reach sooner,जल्द पहुंचेंगे
groups,समूहों
smiles,मुस्कान
group chats,समूह चैट
bonjour,नमस्ते
bon vivante,अच्छा जीवन
bon voyage,एक अच्छी यात्रा है
have a good luck,सौभाग्य हो
wish you the best,आपको शुभकामनायें
I am with you,मैं आपके साथ हूँ
i lovve you,मैं तुमसे प्यार करता हूँ
Phir Hera Pheri,फिर हेरा फेरी
Agent vinod desi boyz,एजेंट विनोद देसी बॉयज़
Desi Boyz,देसी लड़के
Paresh Rawal,परेश रावल
Suniel Shetty,सुनील शेट्टी
Tabu,पुनीत
Om Puri,शुद्ध आदमी
Hera Pheri 3,हेरा फेरी 3
John Abraham,जॉन अब्राहम
Ahmed Khan will direct 'Hera Pheri 3',अहमद खान विल डायरेक्ट 'हेरा फेरी 3'
Dabangg boys,दबंग लड़के
Kinsmart Diecast Metal Turbo Scooter,किंसमार्ट डायस्टॉक मेटल टर्बो स्कूटर
scooter - Honda,स्कूटर - होंडा
Calvin Klein Boys,केल्विन क्लेन लड़के
Johnnie Lene Boy's,जॉनी लेन बॉय
Spring Notion Little Boys,वसंत धारणा छोटे लड़के
keep calm and hawabaaz,शांत और हौवाज रखें
BHADKANA HAWABAAZ,धन्यवाद
rahulgandhi HAWABAAZ,rahulgandhi HAWABAAZ
ehdostihumnaitodenge,HDO तिम्ना के लिए आ रहा था todenge
redlight,लाल बत्ती
onmyhip,onmyhip
cool launde,शांत लांडे
timepaas,समय गुजारना
Haryanvi Gujjar,हरियाणवी गुर्जर
dhakkad,धक्कड़
dunali,दुनाली
315 bore rifle,315 बोर की राइफल
Bundook,Bundook
lath gaad du,दो का अंतिम
Vishwanath,विश्वनाथ
Marathi films,मराठी फिल्में
Apna toh ussool hai,अपना तोह उसूल है
pehle laat,पहले लाट
phir baat,फिर बात
uske baad,उसके बाद
mulaqat,मुलाक़ात
tee shirt,टी शर्ट
baisakhi,बैसाखी
vasakhi,वैसाखी
vahdhaiya,वहदहैया
ounjab,ounjab
Alootikki,Alootikki
Mexican taste,मैक्सिकन स्वाद
commando,कमांडो
khatarnaak hai,खतरनाक है
tumhara baap hai,तुम्हारा बाप है
Khusnasib hota,खुशनसीब होता
hai wo khoon,है वो खून
Jo desh ke,जो देश के
kaam aata hai,काम आता है
Daag GULAMi ka,दाग गुलामी का
dhoya hai jaan Luta kar,धोया है जान लुटा कर
Deep jalaye,डीप जलाये
hai kitne,है कितने
DEEP bhujha kar,दीप भुझे कर
Mili hai,मिली है
jab yeh AZADi,जब यह आज़ादी
to fir is azadi ko,तो फिर इस आज़ादी को
Rakhna hoga,रखना होगा
har DUSHMAN,हर दुश्मन
se aaj bachakar,से आज बचाकर
formalistic,औपचारिक थी
gymnastic,व्यायाम
communistic,साम्यवादी
hello1,hello1
hello2,हेलो 2
hello3,hello3
hello4,hello4
sample,नमूना
tag,टैग
shero,shero
kndf,एनडीएफ
kjf,kjf
efw,EFW
bvcngfnb,bvcngfnb
fgth,fgth
ehfrth,ehfrth
rgrh,rgrh
rhrrth,rhrrth
barsatan,बरसतान
Kisti,ब्रश
enjoyable,सुखद
sleet,ओले के साथ वर्षा
torrent water,धार वाला पानी
faisal,फैसल
rajesh khanna,राजेश खन्ना
pushpa,पुष्पा
graduate,स्नातक
scholar,पंडित
stuff,सामग्री
studentboy,studentboy
studentgirls,studentgirls
aboutstudents,aboutstudents
boythings,boythings
girlsthings,girlsthings
schoolboy,स्कूली बच्चा
schoolgirls,स्कूली छात्राओं
academy,अकादमी
seminary,पाठशाला
universityboy,universityboy
universitygirls,विश्वविद्यालय की लड़कियां
aprilmonth,अप्रैल महीने
feelgood,अच्छा लगना
april fool day,अप्रैल फूल का दिन
Jai Maharashtra,जय महाराष्ट्र
Jai Maharashtra new,जय महाराष्ट्र नया
Maharashtranews,महाराष्ट्रनेवस
Maharashtravideo,महाराष्ट्राविदेओ
Maharashtraphoto,महाराष्ट्रफोटो
Maharashtraimages,महाराष्ट्रीमागेस
hideous,भयंकर
malicious,दुर्भावनापूर्ण
vicious,शातिर
vile,नीच
red evil,लाल बुराई
sinful,पापी
desiman,desiman
college time,कॉलेज का समय
gabbar daaku,गब्बर डाकू
commission,आयोग
jhoot bole,झूट बोले
Kauva Kaate,कौवा काटे
kale kauve se daro,काले कौवे से डरो
kontha,कुछ
according to what,किस हिसाब से
after what,किसके बाद
diminutive,अल्पार्थक
midget,बौना
delightful,रमणीय
go at,पर जाओ
japanman,जापान में
japancartoon,japancartoon
cheater,बेईमान
swindler,ठग
swindlergirl,swindlergirl
deceiver,धोखेबाज़
scammer,धोखाधड़ी करने वाले विक्रेता
exploitation,शोषण
misconduct,दुराचार
misdeed,कुकर्म
buck,हिरन
salmaan khan,सलमान खान
bluster,धमकी
aniversary,सालगिरह
bewadey,bewadey
talkies,टाल्कीस
saini,सैनी
chating,बातें
comments,टिप्पणियाँ
rapper,रैपर
draft,प्रारूप
workflow,कार्यप्रवाह
left swipe,बाएं स्वाइप करें
girls on tinder,टिंडर पर लड़कियां
boys on tinder,टिंडर पर लड़के
lovin it,पसंद आ रहा है
loving it,इसे पसंद करता हूँ
mac d,मैक डी
onlyonflipkart,onlyonflipkart
shop on phone,फ़ोन पर खरीदारी करें
shopping app,शॉपिंग ऐप
hottest shopping app,सबसे हॉट शॉपिंग ऐप
fashion shopping,फैशन खरीदारी
electronics shopping,इलेक्ट्रॉनिक्स खरीदारी
shopping mobile,खरीदारी मोबाइल
TrendingOnFlipkart,TrendingOnFlipkart
flipkart sports,फ्लिपकार्ट के खेल
flipkart sports days,फ्लिपकार्ट खेल के दिन
shop on flipkart,फ्लिपकार्ट पर खरीदारी करें
end of season sale,सीजन बिक्री का अंत
flipkart sale,फ्लिपकार्ट बिक्री
thanda matlab coca cola,thanda matlab कोका कोला
food order,भोजन क्रम
order food,खाना मंगाओ
restaurants in the city,शहर में रेस्तरां
bars in,में सलाखों
restaurants in,रेस्तरां में
deliver food,भोजन वितरित करें
restaurant delivery,रेस्तरां डिलीवरी
zomato deals,zomato के सौदे
zomato reviews,zomato समीक्षाएँ
zomato app,zomato ऐप
online food ordering,ऑनलाइन खाना ऑर्डर करना
hungry souls,भूखी आत्माएं
kattapa,Kattappa
wkkb,wkkb
mara,समय
Heroines,नायिकाओं
chagayeguru,chagaeguru
purabkabeta,पुरबकाबेटा
bhojrurifunny,bhojrurifunny
Maccha,Maccha
Macchi,मच्छी
nasionalisme,राष्ट्रवाद
perjuangan,लड़ाई
thankful,कृतज्ञ
happy mothers day,मातृ दिवस की शुभकामना
14 may,14 हो सकता है
Moms love,माताओं को प्यार
guddu,गुड्डू
super powers,महाशक्तियाँ
super heores,सुपर हीरो
super heroes,सुपर हीरो
jla,JLA
super humans,सुपर इंसान
aqua man,एक्वा आदमी
carry minati,मिंट्टी ले जाना
IIT alumni,IIT के पूर्व छात्र
make my trip,मेरी यात्रा करो
dhichak,ढिचक
roza,गुलाब
roze,गुलाबी
sehri,के शहर
AC DC,प्रत्यावर्ती धारा दिष्ट धारा
hymn,भजन
modern,आधुनिक
jazz,जाज
fusion,विलय
acoustic,ध्वनिक
opera,ओपेरा
instrumental,सहायक
hard rock,कड़ी चट्टान
heavy metal,भारी धातु
mahua,मुड़
lolipop,चूसने की मिठाई
lagelu,lagelu
sushant,सुशांत
kriti,क्रेते
tesing,tesing
loilipop,चूसने की मिठाई
javani,जवानी
Nazarbattu,नज़रबट्टू
NB,एनबी
tarakMehta,तारकमेहता
Jethalal,जेठालाल
baaga,संयुक्त अरब अमीरात
suvidha,सुविधा
daily dialogues,दैनिक संवाद
super power,सुपर पावर
sdfghj,sdfghj
dfghjk,dfghjk
dfghjkl;,dfghjkl;
sdfghjkl,sdfghjkl
edrftghj,edrftghj
xcvghbjnkm,xcvghbjnkm
Superhero Indonesia,इंडोनेशियाई सुपरहीरो
rent,किराए
lease,पट्टा
masak,पका हुआ
trend,प्रवृत्ति
buzzword,मूलमंत्र
lough,झील
daily meme,दैनिक मेमे
funny jokes,मजाकिया चुटकुले
acara,घटना
proklamasi,घोषणा
garuda,गरुड़
garudaIndonesia,गरुड़ इंडोनेशिया
dorga puja,दुर्गा पूजा
suku,जनजाति
dedemit,बुराइयों
okay jaanu,ठीक है जानू
kuch kuch locha hai,कुछ कुछ लोचा है
kudi saturday,शनिवार को पैसा
baywatch bitches,बेवॉच bitches
kaala chasma,समय चस्मा
main lovely ho gayi yaar,मैं लवली हो गयी यार
alia bhatt,आलिया भट्ट
priyanka chopra,प्रियंका चोपड़ा
ram kapoor,राम कपूर
siddhart malhotra,सिद्धार्थ मल्होत्रा
my girlfriend,मेरी प्रेमिका
meri girlfriends hai,मेरी गिर्ल्फ्रेंड्स है
you are too sexy,तुम बहुत सेक्सी हो
sportif,खेल
Selamat Hari Ibu,हैप्पी मदर्स डे
ny2018,ny2018
byebye2017,byebye2017
bada din,तुम्हारा स्नान
christmas day,क्रिसमस का दिन
lucu,अजीब
stiker,कँटिया
mendengar,सुनना
mendengarbro,सुन लो
hari ulang tahun,जन्मदिन
perayaan,उत्सव
HumBadlengeDesh,हमबदलेंगेदेश
testtest,परीक्षण परीक्षण
testertest,परीक्षण परीक्षण
festval,FesTVal
Tags: IPL,टैग: आईपीएल
memes everyday,हर रोज याद करता है
What's Hot,गर्म क्या है
feeling low,उदास होना
Ghanshyam Tiwari,घनश्याम तिवारी
bhaibahen,भाईबहन
groom,दूल्हा
jiwansathi,jiwansathi
benglish,अंग्रेजी डालो
iss,iss
valentine's day,वैलेंटाइन दिवस
dilmoji,dilmoji
trump in india,भारत में ट्रम्प
namaste trump,नमस्ते ट्रम्प
sherawalima,sherawalima
maiya,माल्ट
navratren,navratren
workaday,workaday
aloha,Aloha
notice,नोटिस
respects,सम्मान
salaam,सलाम
acknowledgment,स्वीकृति
mocha,कहवा
demitasse,demitasse
cappuccino,कैपुचिनो
espresso,एस्प्रेसो
feature,सुविधा
talkie,टॉकी
grief,शोक
empathy,सहानुभूति
animated umozi,एनिमेटेड umozi
vivid,ज्वलंत
animate,चेतन
arnab,ख़रगोश
flatmate,flatmate
mikesh,Mikesh
tanya,तान्या
tannu,तन्नु
tanu,स्वयं
permanent roommate,स्थायी रूममेट
companion,साथी
ally,मित्र
sidekick,सहायक
schoolmate,सहपाठी
attachment,आसक्ति
delight,आनंद
double,दोहरा
soulmate,जान से प्यारा
boy friend,लड़का दोस्त
admirer,प्रशंसक
Conversation Starters,बातचीत शुरू
initiator,प्रारंभ करने वाला
begn,begn
initiate,आरंभ
kickoff,शुरू करना
creation,सृष्टि
expressing,व्यक्त
knowing,ज्ञान
uth,उठ
uthh,उठो
whats been up,क्या हो रहा है?
bliss,परमानंद
amusement,मनोरंजन
glee,उल्लास
heartening,खुशी
pleasurable,सुखद
rapturous,मनमौजी
cheery,प्रसन्न
lighthearted,उल्लासमय
jubilant,उल्लसित
gala,पर्व
fiesta,पर्व
fireplace,चिमनी
fireside,अग्नि स्थान
hose,नली
giveaway,मुफ्त में मिली वस्तु
pleasure,अभिराम
snowfall,हिमपात
snowdrift,snowdrift
snowflake,हिमपात का एक खंड
snow crystal,बर्फ का क्रिस्टल
wintertime,सर्दियों
mischievous,दुष्ट
hop,कूद
salutation,अभिवादन
carouse,दावत देना
glorify,Glorify
observance,पालन
triumph,विजय
jesus,यीशु
Good Shepherd,उद्धारकर्ता
King of Kings,राजाओं के राजा
Lamb of God,परमेश्वर का मेमना
Lord of Lords,देवों का देव
Messiah,मसीहा
Prince of Peace,शांति का राजकुमार
pleasing,मनभावन
engaging,मनोहन
alluring,मनोहर
enchanting,करामाती
graceful,सुंदर
dainty,सुन्दर
captivating,मनोरम
sumptuous,वैभवशाली
impressive,प्रभावशाली
dazzling,चकाचौंधा
good-looking,सुंदर
ravishing,सुंदर
splendid,शानदार
elegant,शिष्ट
exquisite,अति सुंदर
newlyweds,नववरवधू
enchantment,आकर्षण
flirtation,चोंचला
courtship,प्रेमालाप
compassion,दया
datenight,डेटा रात
beau,बांका
dearest,प्यारे
flame,ज्योति
hit on,पर हिट करें
rouge,लाल होना
appealing,आकर्षक
relationship goals,संबंध लक्ष्य
likeness,समानता
bond,बंधन
cupckae,कप केक
cupcake,कप केक
peach,आड़ू
cutie-pie,प्यारी
dream girl,सपनों की राजकुमारी
closeness,निकटता
acquaintance,जान पहचान
shout,चिल्लाना
frends,frends
pact,संधि
sympathy,सहानुभूति
agony,यंत्रणा
parting,जुदाई
splitsville,splitsville
tear,आँसू
new year greetings,नव वर्ष की शुभकामनाएं
kickass,किक ऐस
solid,ठोस
new year party,नव वर्ष की पार्टी
NYE PARTY,नई पार्टी
guru gobind singh,गुरु गोबिंद सिंह
guru govind singh,गुरु गोविन्द सिंह
guru govind singh ji,गुरु गोविन्द सिंह जी
guru gobind singh ji,शिक्षक गोबिंद सिंह जी
festivities,उत्सव
observe,निरीक्षण
Guru Govind Singh Jayanti,गुरु गोविन्द सिंह जयंती
dance moves,नृत्य कला
spin,स्पिन
single ladies,अविवाहित महिलाएं
beyonce,beyonce
michael jackson,माइकल जैक्सन
bollywood dance,बॉलीवुड डांस
bollywood songs,बॉलीवुड के गाने
twerk,twerk
twerking,twerking
psy,psy
gangnam style,गंगनम स्टाइल
towel dance,तौलिया नृत्य
jawani fir na aaye,जवानी फिर न आये
jawani fir na aae,फेर न आवे
macarena,Macarena
ik pal ka jeena,मैं पल का जेना
ek pal ka jeena,एक पल का जीना
hrithink roshan dance,रितिक रोशन नृत्य
beat it,इसे हरायें
jabardast,जबरदस्त
one liners,एक लाइनर
spontaneous,स्वाभाविक
impromptu,बिना पहले सोचे हुए
waheguru,सचाई
bajrang,बजरंग
luxmi,लुक्मी
balaji,बालाजी
venkateshwara,वेंकटेश्वर
godesses,देवी
kaanha,kaanha
natraj,नटराज
what's,क्या
yoo,Yoo
muhaavra,मुहावरा
jabar,Jabar
middle finger,बीच की ऊँगली
st. valentine,सेंट। 
muaah,muaah
patch up,सुलझाना
lovestruck,प्यार में डूबा
love at first sight,पहली नजर में प्यार
warm hug,गर्मजोशी भरी झप्पी
yours forever,हमेशा के लिए तुम्हारा
forever and always,फ़ोर एवर एंड ऑलवेज़
fights,झगड़े
movie time,फिल्म का समय
poporn,poporn
international,अंतरराष्ट्रीय
love you forever,तुम्हें हमेशा के लिए प्यार करता हूं
treadmill,ट्रेडमिल
warm up,जोश में आना
push ups,पुश अप
medidation,ध्यान
om shanti om,शांती के बारे में
balanced diet,संतुलित आहार
jinendra,जिनेन्द्र
guru nanak,एक अच्छा शिक्षक
ibaadat,पूजा
christians,ईसाई
jainism,जैन धर्म
hinduism,हिन्दू धर्म
nanak sahib,नानक साहब
sabka maalik ek,सबका मालिक एक
buddhism,बुद्ध धर्म
buddham,buddham
sarnam,सरनाम
gacchami,gacchami
faith,आस्था
almighty,सर्वशक्तिमान
honour,सम्मान
God is one,ईश्वर एक है
rivals,प्रतिद्वंद्वियों
LBW,एलबीडब्ल्यू
stamina,सहनशीलता
royal challengers,शाही चुनौती देने वाले
switch hit,स्विच हिट
reverse sweep,रिवर्स स्वीप
fourth umpire,चौथा अंपायर
chaukka,चौक्का
no ball,नो बॉल
six runs,छह रन
no runs,कोई रन नहीं
white ball,सफेद गेंद
man of the match,मैच का सर्वोत्तम खिलाड़ी
veg,शाकाहारी
non veg,गैर शाकाहारी
meals,भोजन
m loving it,मैं इसे प्यार कर रहा हूँ
quenched,Quenched
happines,ख़ुशी
favorite meal,पसंदीदा भोजन
mc puff,एमसी पफ
non veg burger,नॉन वेज बर्गर
just kidding,मजाक कर रहा हूं
hahahahha,hahahahha
fools month,मूर्ख महीना
mauj,मौज
kadak launde,कड़क लौंडे
patana,पटना
patao,पृष्ठ पर
aa rahe hain,आ रहे हैं
cool',ठंडा'
cuss words,कसम खाने वाला शब्द
gujjar bhai,गुज्जर भाई
track,धावन पथ
wrestler,पहलवान
wrestler wwe,पहलवान wwe
psychedelic,साइकेडेलिक
hallucinations,दु: स्वप्न
smoke up,धुआं लेना
trippy,trippy
IMDB,IMDB
release,रिहाई
themes,विषयों
topics,विषय
gif,gif
spider man,स्पाइडर मैन
wwe raw,WWE रॉ
tussle,संघर्ष
wrestlers,पहलवानों
john cena,जॉन सीना
BOBBY ROODE,बॉबी रूडी
Alexa Bliss,एलेक्सा ब्लिस
Trish Stratus,त्रिश स्ट्रेटस
Naomi,नाओमी
Mickie James,मिकी जेम्स
Asuka,असुका
Alicia,एलिसिया
Neville,नेविल
Great Khali,महान खली
Dean Ambrose,डीन एम्ब्रोज़
Brock Lesnar,ब्रॉक लेसनर
damm,धूल
dangdut,dangdut
hari merdeka,स्वतंत्रता दिवस
lomba,प्रतियोगिता
tujuhbelasan indonesia,सात गुना इंडोनेशिया
independece day,स्वतंत्रता दिवस
royal enfield,शाही एनफील्ड
imran hashmi,इमरान हैशमी
shradha,श्रद्धा
have a dog,एक कुत्ता है
tomy,मेरे लिए
manali,मनाली
simla,शिमला
ab toh kar le,अब तोह कर ले
ladakh,लद्दाख
is saal,इस साल
ab toh,अब तोह
valentine gif,वैलेंटाइन जिफ
love gif,प्यार जिफ
propose gif,प्रस्ताव gif
reebok,रिबॉक
bahna,कीचड़
New year 2019,नया साल 2019
iss saal soch badal daal,इस साल सोच बदल डाल
chit-chat,चिट-चैट
office-office,कार्यालय ऑफिस
coulege,साथ काम करने वाला
kumbhkaran,कुम्भकरण
wakey,wakey
suna,कॉल
occupied,कब्जा कर लिया
tied,बंधे
busy bee,परिश्रमी व्यक्ति
bohat,Bohat
complaining,उपालंभ देना
seeking,मांग
chale,छोड़ दो
openning,openning
waving,लहराते
arey,यह बात है
knock knock,खट खट
suno,सिरका
pointed,नुकीला
wheeler,व्हीलर
two wheeeler,दो पहिया
see saw,देखा देखा
snow mountains,बर्फ के पहाड़
shiny,चमकदार
decoration,सजावट
guyy,अच्छी तरह से
bringing,लाना
merry xmas,क्रिसमस की शुभकामनाएं
cristmas,क्रिसमस
enter,दर्ज
youve,youve
mischieve,mischieve
mischievious,शरारती
sited,sited
fiance,मंगेतर
hlding,पकड़े
cutness,मासूमियत
listing,लिस्टिंग
bab,अध्याय
goals,लक्ष्य
strumming,झनकार
forvever,सदैव
bed time,बिस्तर का समय
late night calls,देर रात कॉल
chats,चैट
conference,सम्मेलन
chuddi,आप छुपाना
fooling,धोखा
lounge,लाउंज
tearup,tearup
tore up,फ़ाड़ दिया
chuddy,Chuddy
childhood friend,बचपन के दोस्त
popcorn tub,पॉपकॉर्न का टब
theater,थिएटर
hung,त्रिशंकु
soulsister,soulsister
slaying,हत्या
zone,क्षेत्र
crack,दरार
toot,हार्न
bruhs,bruhs
hi5,hkh
sodey,न्यायाधीशों
jagah,जगह
soda,सोडा
fill,भरण
pour,के लिए
spilling,spilling
coolio,coolio
bha,यह बाहर
mada,अब तक
fakka,fakka
dj set,डीजे सेट
console,कंसोल
wants,चाहता हे
pictchers,चित्रों
janna,समिति
chahta,चाहता
sit,बैठिये
private,निजी
privately,निजी तौर पर
lekin,लेकिन
good bye,अलविदा
petey,पाने के लिए
thubs,thubs
heyya,IUP
thats,thats
arghhhh,arghhhh
puzzled,हैरान
pictures,चित्रों
gangnam,गंगनम
campagne,अभियान
caprio,कैप्रियो
gentle man,भद्र पुरुष
masks,मास्क
sprinkle,छींटे डालना
dushman,दुश्मन
haters,नापसंद करने
Happy Gurpurab,हैप्पी गुरपुरब
Guru Govind Singh Jayanti in India,गुरु गोविन्द सिंह जयंती इन इंडिया
joining,में शामिल होने
gurpurab,gurpurab
khanda,खण्डार
beyonce dancing,शानदार नृत्य
hrithik roshan,हृतिक रोशन
hrithik dancing,रितिक नाच
girl dancing,लड़की नाच रही है
salmaan khan dancing,सलमान खान डांस करते हुए
got this babe,यह बेब मिला
sexy dance moves,सेक्सी डांस मूव्स
cha cha,चा चा
cha cha cha,चा चा चा चा
oppa,OPPA
watch my swag,मेरा स्वैग देखो
moonwalk,moonwalk
moonwalking,moonwalking
moon walking,चाँद चलना
moon walk,चाँद की सैर
man dancing,आदमी नाच रहा है
oppa gangnam style,oppa gangnam शैली
guy dancing,आदमी नाच रहा है
boy dancing,लड़का नाच रहा है
ted,टेड
round,गोल
arent,arent
ape,अनुकरण करना
chimpanzee,चिंपांज़ी
disgusting,घिनौना
specticles,चश्मा
chimp,चिम्पांजी
siet,जल्दी
hungover,hungover
upgrading,उन्नयन
documents,दस्तावेजों
mustache,मूंछ
french,फ्रेंच
deleted,हटाए गए
account,लेखा
offline,ऑफ़लाइन
fateh,खोलो
wahe,प्रवाह
dev,देव
jab,प्रहार
kripa,नमक
shee,shee
raamnavmi,रामनवमी
vaishno,वैष्णो
banke,बैंक
vighn,विघ्न
harta,नक्शा
karta,कार्ड
ganeshaye,गणेशाये
namha,Namha
maurya,मौर्य
venkateswara,वेंकटेश्वर
saibaba,साईबाबा
vaishnu,विष्णु
barjangbali,barjangbali
tod,लोमड़ी
nali,जहाँ
mouriya,मौरिया
bhadiya,भेड़िया
chauchak,chauchak
hipster,हिप्स्टर
speakers,वक्ताओं
dawat,कॉल
kumbkaran,kumbkaran
muaaf,मुआफ
eiffel,एफिल
snapchat,Snapchat
oke,अच्छा
oki,मुझे परवाह है
doke,Doke
dokey,dokey
kameene,कमीने
haraami,हरामी
that's,कि के
okey,अच्छा
clapping,ताली बजाने
yey,उसके
rehne de,से दुश्मनी
unki,उनकी
hoti,होती
jinki,Jinki
jhandbaa,झंडबह
ghamandbaa,घमंडबा
gram,ग्राम
hojayegi,होजायेगी
jayegi,जाएगी
dip,डुबोना
sone,क्षेत्र
hass,हैस
ander,अन्य
ashleel,ashleel
nanga,नंगा
takraoge,टकराओगे
choor,चूर
hojaoge,होजाओगे
walnut,अखरोट
phrase,मुहावरा
muhavra,मुहावरा
tricolor,तिरंगा
airoplane,विमान
airpane,विमान
jet,जेट
tircolor,तिरंगा
jind,तड़प
deol,देओल
kite flying,पतंगबाजी
rooftop,छत
roof,छत
patangbaazi,पतंगबाज़ी
let's,के जाने
pongli,में पौंग
lodri,Lodr
wadhayi,wadhayi
bhanngra,भंगरा
giddha,गिद्ध
bonfire,होलिका
shivaye,शिवाये
shivraatri,शिवरात्रि
naag,महिला
panchmi,पंचमी
selfie stick,स्वफ़ोटो छड़ी
lagenge,लगेंगे
pelne,पूर्ण
lagoge,लगोगे
khelne,खेलने
jaha,ओह अच्छी तरह से
padh,पढ़
rah,राह
chuke,चुके
giploma,एक डिप्लोमा
destroy,नष्ट
destroys,नष्ट कर देता है
life lesson,जीवन का सबक
accident,दुर्घटना
purpose,उद्देश्य
watersplash,पानी की छपाक
balam pichkari,बलम पिचकारी
coloured water,रंगीन पानी
proud women,गर्व करने वाली महिलाएं
proud woman,गर्व करने वाली महिला
made for each other,एक दूजे के लिये बने
love birds,प्रेमी
loveable,loveable
valentine 's day,वैलेंटाइन दिवस
4eva,चेवेन
love you always,आपको हमेशा प्यार
adore,प्यार करते हैं
as sweet as chocolate,चॉकलेट जितना मीठा
lets',की सुविधा देता है '
you are my life,तुम मेरी जिंदगी हो
valnetine,वेलेंटाइंस
jaaanu,ज़ीन क्या है
love you alot,तुम्हें बहुत प्यार करता हूँ
love you so much,मुझ तुमसे बहुत प्यार है
token of love,प्यार का टोकन
thats',thats '
in the gym,जिम में
fitness goal,फिटनेस लक्ष्य
body and soul,शरीर और आत्मा
dumbles,dumbles
shanti shanti shanti,शांति शांति शांति
om chant,जप के बारे में
stopping,रोक
jog,धकेलना
eary morning,बहुत सवेरे
zat,शनिवार
fitness comes first,फिटनेस पहले आता है
relieve,राहत
beating stress like,धड़कन तनाव की तरह
chaos,अराजकता
heart out,दिल लगाया
regret,खेद
enna,क्या
mind it,ध्यान दो
thalaivaa,बरामदा
heropanti,हीरोपंती
sun na,मैं ना
jalti hai,जलती है
i like you,मैं तुम्हें पसंद करता हूं
good friends,अच्छे दोस्त
hook me up,मुझसे जुड़ाे
dudevorce,dudevorce
betrayal,विश्वासघात
bonding,संबंध
happy bday,जन्मदिन की शुभकामनाएं
hour,घंटा
light energy,प्रकाश ऊर्जा
darkness,अंधेरा
no lights,कोई प्रकाश नहीं
lights off,लाइटें बंद
zero visibility,शून्य दृश्यता
movement,आंदोलन
groove,नाली
Sai ka saath,साई का साथ
sab maalik ek,उप स्वामी एक
worries,चिंता
Saranam,छंद
Lord Buddha,भगवान बुद्ध
nam myoho renge kyo,नाम म्योहो रेंगे क्यों
jai jinendra,जय जिनेन्द्र
believers,विश्वासियों
mary,मेरी
God is once,ईश्वर एक बार है
Lord jesus,प्रभु यीशु
preacher,उपदेशक
cover,आवरण
wheels,पहियों
greed,लालच
want one,एक चाहता हूँ
wanna be,होना चाहते हैं
donalds,Donalds
friench fries,फ्रेंच फ्राइज
para pa pa,पीए के लिए
no share,कोई हिस्सा नहीं
nom nom  nom,नाम का नाम
hate sharing,नफरत बांटना
potato fries,तले हुए आलू
priority,प्राथमिकता
yumm,Yumm
happy april fool,अप्रैल फूल मुबारक हो
hindi new year,हिंदी नया साल
shubhkamnayein,शुभकामनाएं
best wishes,शुभकामनाएँ
gudi padwa,तुम सच में नहीं हो
happy gudi padwa,हैप्पी गुड़ी पड़वा
congratulation,बधाई
travel story,यात्रा की कहानी
ehsas,भावना
items,आइटम
bazar,बाजार
kharidari,खरीदारी
achanak,अचानक
larki,Larki
paheli,पहेली
flip,फ्लिप
ungli kerna,ऊँगली करने
ungli dikhana,ऊँगली दिखाने
gali dena,dena कर सकते हैं
alvida,अलविदा
chalta hoon,चलता हूँ
jaraha hoon,जारहा हूँ
larka,Larka
admi,आदमी
accha hai,अच्छा है
troll,ट्रोल
ungli dekhana,ऊँगली देखना
ungli karna,ऊँगली करना
sunyeah,sunyeah
pukarna,पुकारना
gana,इच्छा
suwagatam,सुवागतं
haat,नफरत
birdu,BrdU
notepad,नोटपैड
interview,साक्षात्कार
sundar,सुंदर
malik,मलिक
chairman,अध्यक्ष
vip,वीआईपी
honeymoon,सुहाग रात
naachna,नाचना
rowdy,उपद्रवी
bajana,बजाना
vespa,Vespa
batli,batli
takya,यदि आप चाहते हैं
pent,बंद किया हुआ
party bombs,पार्टी बम
party bombers,पार्टी बमवर्षक
recruit,रंगरूट
hire,किराये
taanka,शायद
duddies,duddies
biddu,पूछना
bhai chara,भाईचारा
budddies,मित्र
drees,drees
goggle,आंख मारना
dosit,Dosit
aniverssary,सालगिरह
saalgira,सालगिरा
choorna,पाउडर
gheerna,gheerna
hirt,hirt
sunder,सूंदर
hud,त्वचा
vyast,व्यस्त
conservative,अपरिवर्तनवादी
target,लक्ष्य
maarna,बदल गया
laundiya,लौंडिया
moove,Moove
ugadi,उगादी
artri,ARTHRO
arti,अर्थ
chaaand,चावंड
auraat,औरत
ungli korna,युवा मकई
chummban,chummban
Farishta,देवदूत
bhaloo,अच्छा भी
galey milna,मलना दर्ज करें
naive,अनुभवहीन
hameshaa,सदैव
shitr,शीटर
fitness girl,फिटनेस लड़की
kasrat,कसरत
stretching,खींच
fitness boy,फिटनेस लड़का
refresh,ताज़ा करना
taat,का पालन
uga,से
lein,ऑनलाइन
jashan,जश्न
natan,नतन
rupea,तोड़ना
paisawala,paisawala
ameer,अमीर
shakira,शकीरा
badword,बुरा शब्द
101,101
kabootaron me,कबूतरों में
batunga,वे खुद हैं
cannabis,कैनबिस
kabooter,Kabooter
charsi,Charsi
cocain,कोकीन
charas,हर्ष
ladkaadmi,लड़कादमी
pighal,पिघल
ria,रिया
Shannu,शान रोष
medical,मेडिकल
dawa khana,दवा खाना
Bholi,भोली
kitne,नीला
loss,नुकसान
10kg,10kg
10 days,दस दिन
Itne,Itne
yehi,एहि
milega,मिलेगा
jens,जेन्स
mohabbot,मोहबबत
woma,woma
