bobble,Bobble
commit suicide,ఆత్మహత్య చేసుకోండి
by drowning in a,a లో మునిగిపోవడం ద్వారా
cupped hand of water,నీటితో కప్పబడిన చేతి
One doesn’t know,ఒకరికి తెలియదు
how to dance,ఎలా నృత్యం
and blames it,మరియు దానిని నిందించాడు
on the stage,వేదికపై
being uneven,అసమానంగా ఉండటం
mausam,వాతావరణం
pomegranate,దానిమ్మ
Punica granatum,పునికా గ్రానటం
fruit-bearing,పండు మోసే
Important Nutrients,ముఖ్యమైన పోషకాలు
Fiber,ఫైబర్
Vitamin K,విటమిన్ కె
A pomegranate,ఒక దానిమ్మ
hundred sick,వంద జబ్బుపడిన
one fruit,ఒక పండు
cures,నివారిణులు
hundred diseases.,వంద వ్యాధులు.
good person to tackle,పరిష్కరించడానికి మంచి వ్యక్తి
number of patients,రోగుల సంఖ్య
doesn't know,తెలియదు
the taste of ginger,అల్లం రుచి
sailor,నావికుడు
young woman,యువతి
girlbody,girlbody
young man,యువకుడు
manbody,manbody
womenbody,womenbody
rupaiya nai hai boss,రూపయ్య నాయి హై బాస్
kadki hai,అగ్లీ
jeb khali hain,పాకెట్స్ ఖాళీగా ఉన్నాయి
all is,అన్నీ ఉంది
nothing else,ఇంకేమి లేదు
intution,ఊహ
sutta marne,చుట్టూ మోర్న్
chain smoker,గొలుసు ధూమపానం
chal bhai,రా సోదరుడు
goa chalte hain,గోవా వెళ్ళండి
kantala,kantala
araha,నేను చూశాను
pakkaraha,pakkaraha
PJ mat,పిజె మత్
mar bhai,మార్ భాయ్
bhuk lagi hain,ఆకలితో ఉన్నారు
khana do,ఆహారం ఇవ్వండి
hungry brother,ఆకలితో ఉన్న సోదరుడు
see here,ఇక్కడ చూడండి
my brother,నా సోదరుడు
idhar dekh,ఇక్కడ చూడండి
mere dost,నా స్నేహితులు
ek beer,నేను భరిస్తాను
marteh hain,చంపేద్దాం
alchol,మద్యం
vodhka,వాటర్ గైడ్
urine,మూత్రం
sussu,sussu
ek number,ek సంఖ్య
zor se lagi,zor se lagi
control nai,నియంత్రణ నాయి
hota bhai,సోదరుడు ఉండేవాడు
areh mere,మరింత
bhabhi lagti,సోదరి కనిపిస్తోంది
she is,ఆమె
my girl,నా అమ్మాయి
kissy,ముద్దుపెట్టే
kiss le,ముద్దు లే
take my,నా తీసుకోండి
hand kiss,చేతి ముద్దు
baap-bhai-koi,తండ్రి మరియు అక్కడ సోదరులు
nai hain ka,నాయి హై కా
you have,మీకు ఉంది
aye le le,ఈ ఒక వెళ్ళండి
selfiee lele re,సెల్ఫీ రీ రీ
selfieeish,selfieeish
selfiee king,సెల్ఫీ కింగ్
pouting,అలిగిన
lets take a,ఒక తీసుకుందాం
selfiee,selfiee
havent,ఉండకపోతే
seen,చూసిన
a guy,ఒక వ్యక్తి
earlier,ముందు
or before,లేదా ముందు
are you,మీరు
starring,నటించిన
like this,ఇలా
i also,నేను కూడా
to eat,తినడానికి
ice cream,ఐస్ క్రీం
ice-cream,ఐస్ క్రీం
you scream,మీరు అరుస్తారు
we all,మనం అందరం
scream for,కోసం కేకలు
ice-creammmm,మంచు creammmm
ohh mere bete,ఓహ్ మరింత దుంప
ladki hain,అమ్మాయి
is your,మీది
brother's,సోదరుడి
whisky-wine,విస్కీని వైన్
sab kuch,అంతా
i dont',నేను డోంట్ '
coustume,దుస్తులు
ka fan,కా అభిమాని
should,చదవాల్సిన
be always,ఎల్లప్పుడూ ఉండండి
to fight,పోరాడటానికి
with difficulties,ఇబ్బందులతో
strongest,బలమైన
boldness,ధైర్యం
no limitations,పరిమితులు లేవు
nothing as such,అలాంటిదేమీ లేదు
masti majha,masti majha
enjoynilife,enjoynilife
pabandi nai,పరిమితం నై
jeele,లు
lamha,క్షణం
mayne,mayne
karta hai,డజ్
har second,ఆమె రెండవది
is important,ముఖ్యం
to us,మనకు
jeene ke,జీవించడానికి
lado,వైపు
fighting spirit,పోరాట ఆత్మ
zindagani,Zindagani
zindagi na,జిందాగి మరియు
milegi,పొందుతారు
editing,ఎడిటింగ్
changes,మార్పులు
in your,మీలో
life ofently,జీవితం యొక్క
trendy in,లో అధునాతన
your life,నీ జీవితం
dream out,కలలు కండి
bigger,పెద్ద
prospective,భావి
out of the box,బాక్స్ వెలుపల
about you,నీ గురించి
khud ke liye,నా కోసం
nayi,తాజా
cheezon,థింగ్స్
haan bolo,అవును అని చెప్పండి
yourselves,నిన్ను నీవు
mehenat,మనిషి
shantise,Shantise
mahenat karo,కష్టపడి పనిచేయండి
fal,ఫ్రూట్
mat karo,ద్వేషం మరణించింది
results,ఫలితాలు
der,ది
lagati,అబద్ధం
are always,ఎల్లప్పుడూ
time consuming,సమయం తీసుకుంటుంది
mera sona,నా బంగారం
Ok Jaanu,సరే జాను
sorry janu,క్షమించండి జాను
Angry girlfriend,కోపంగా ఉన్న స్నేహితురాలు
to hurt,బాధించటానికి
jio,జియో
Phone raised,ఫోన్ పెంచింది
phone nahi,ఫోన్ లేదు
lag raha hai,అనుభూతి
you taking,మీరు తీసుకుంటున్నారు
my Phone,నా ఫోన్
Three rules,మూడు నియమాలు
in a relationship,సంబంధంలో
Don’t lie,అబద్ధం చెప్పవద్దు
don’t cheat,మోసం చేయవద్దు
don’t make promised,వాగ్దానం చేయవద్దు
) Relationships,) సంబంధాలు
mix-up,సెమీస్
unfriendly,ప్రతికూలమైన
DUPATTA SARAK,కండువా రోల్
RAHA HAI,ఉంది
DHADAK RAHA HAI,కొట్టుకుంటోంది
Dhak Dhak,ఆ
Dil dhadak'ta hai,గుండె కొట్టుకుంటుంది
hichkiyo'n ke saath..,ఎక్కిళ్ళతో ..
Tadap Ke Keh Raha Hai,కోసం ఆరాటపడుతున్నారు
Pyaar ho gaya hai,ప్రేమలో పడింది
Phul khil gaye hai,పువ్వులు వికసించాయి
ignorance,అజ్ఞానం
mystification,mystification
There is,ఉంది
No Scale,స్కేల్ లేదు
Measure the love,ప్రేమను కొలవండి
Love isn't,ప్రేమ కాదు
love story,ప్రేమకథ
If you,ఒకవేళ నువ్వు
fall in love,ప్రేమ లో పడటం
Love in Life,జీవితంలో ప్రేమ
Make the life beautiful..,జీవితాన్ని అందంగా చేసుకోండి ..
True Love,నిజమైన ప్రేమ
No doubts,సందేహాలు లేవు
blue shrit,నీలం చొక్కా
Doraemon,Doraemon
Jeena ka sahi,జీవించే హక్కు
dhang,పద్ధతిలో
sikho tum,మీరు నేర్చుకోండి
iske sung.,దాని పాడారు
pleasant,ఆహ్లాదకరమైన
cutebaby,ముద్దొచ్చే శిశువు
try you,మిమ్మల్ని ప్రయత్నించండి
will succeed,విజయవంతమవుతుంది
Motivational Quote,ప్రేరణ కోట్
Encouraging,ప్రోత్సహించడమే
You To,యు టు
Succeed In Anything,ఏదైనా విజయవంతం
womb,గర్భం
Suceed,Suceed
Doesn’t Work,పని చేయదు
Stop Trying,ప్రయత్నించడం మానుకో
Suggestions,సలహాలు
Great advice.,గొప్ప సలహా.
Deciding to,నిర్ణయించడం
trying to appear,కనిపించడానికి ప్రయత్నిస్తున్నారు
the same,అదే
Nobita,Nobita
Nisaan,నిస్సాన్
My mistake,నా తప్పిదం
Baby i 'm,బేబీ నేను
inconvenience,అసౌకర్యానికి
Sorry Guys,క్షమించండర్రా
Disgusting!,విసుగుగా!
Forgiving,క్షమా
is not,కాదు
forgetting,మర్చిపోకుండా
remain alive,సజీవంగా ఉండండి
adieu,దండం
bye-bye,వీడ్కోలు
good day,మంచి రోజు
nipple,నిపుల్
brew,బ్ర్యు
refreshment,ఉపాహారంగా
biting,కొరకడం
chilly,చల్లని
belch,పంపు
indianbaby,indianbaby
littlebaby,చిన్న పాప
cuteson,cuteson
hellobaby,hellobaby
hibaby,hibaby
love friends,స్నేహితులను ప్రేమించండి
mate girlfriend,సహచరుడు స్నేహితురాలు
jigri,అది జరుగుతుంది
sibling,తోబుట్టువులు
rhyming slangskin,ప్రాస స్లాన్స్కిన్
working together,కలిసి పని
characters,అక్షరాలు
japan cartoon,జపాన్ కార్టూన్
accept,అంగీకరించాలి
adopt,దత్తత
appoint,నియమించాలని
determine,గుర్తించడానికి
japan girls,జపాన్ అమ్మాయిలు
organization,సంస్థ
nickname,మారుపేరు
signature,సంతకం
term,పదం
fondness,అభిమానానికి
devotion,భక్తి
infatuation,వాంఛ
tenderness,సున్నితత్వం
emperor,చక్రవర్తి
monarch,చక్రవర్తి
bikegirl,Bikgirl
catgirl,Catgirl
japangirl,japangirl
japanboy,japanboy
designate,నియమిత
hook,హుక్
finest,అత్యుత్తమ
leading,ప్రముఖ
outstanding,అసాధారణ
Olympic Skills,ఒలింపిక్ నైపుణ్యాలు
athelets,అథ్లెట్లు
toy hoop,బొమ్మ కట్టు
twirled around,చుట్టూ తిరుగుతుంది
waist,నడుము
storytelling dance,కథ చెప్పే నృత్యం
hoopdance,hoopdance
weight loose,బరువు తగ్గడం
India sports,భారతదేశం క్రీడలు
is best,ఉత్తమమైనది
gymnastics,జిమ్నాస్టిక్స్
weight training,బరువు శిక్షణ
games motivation,ఆటల ప్రేరణ
practice practising,సాధన సాధన
never lose,ఎప్పుడూ కోల్పోకండి
gold silver,బంగారము వెండి
bronze,కాంస్య
athletes,అథ్లెట్లు
chakka chauka,సిక్సర్లు ఫోర్లు
motivating,ప్రేరేపించడం
luck  leader,అదృష్ట నాయకుడు
caricature,వ్యంగ్య
comic strip,హాస్య గుళిక
japan,జపాన్
with ghost,దెయ్యం తో
framework of bone,ఎముక యొక్క చట్రం
the human skeleton,మానవ అస్థిపంజరం
framestar,framestar
women power,మహిళా శక్తి
shaadi ke,వివాహం
tayyar ho,స్ట్రీమ్
shaadi barbadi,వివాహ నాశనము
do you,మీరు
punjaban,punjaban
kuyun,Kuyun
late ho,చివరలో
your servant,మీ సేవకుడు
naukarni,పనిమనిషి
excuse me,క్షమించండి
i am manjith singh,నేను మంజిత్ సింగ్
my address,నా చిరునామా
is sector 17,సెక్టార్ 17
babyy,బేబి
out loudly,బిగ్గరగా
daddi,దడ్డి
muchahe,Muchahe
status,స్థితి
posts,పోస్ట్లు
messages,సందేశాలను
weblinks,weblinks
invites,ఆహ్వానాలను
pokes,pokes
blue top,బ్లూ టాప్
royal blue\,రాయల్ నీలం \
royalness,royalness
old woman,ముసలావిడ
atrocious,దారుణమైన
crummy,crummy
dreadful,భయంకరంగా
bajena chaiye,అవి నిజమైనవి
ganaa,టైమ్స్
gana gana ganaaa,win win win
playing it,అది ఆడుతున్నారు
continously,నిరంతరం
lets do,చేద్దాం
something different,భిన్నమైనది
hatke,చేతికి
wear this,దీన్ని ధరించండి
life will,జీవితం రెడీ
be awesome,అద్భుతంగా ఉండండి
earnings,ఆదాయాలు
red hot dress,ఎరుపు వేడి దుస్తులు
hotness overloaded,హాట్‌నెస్ ఓవర్‌లోడ్
lets hold,పట్టుకోనివ్వండి
whole,మొత్తం
palms,అరచేతులు
obama,ఒబామా
ruling,పాలక
leadership,నాయకత్వం
saus,సాస్
chili tomato sauce,మిరప టమోటా సాస్
sandwhich,sandwhich
tastier,రుచిగా
maggiee,maggiee
choolate,చాక్లెట్
is melting,కరుగుతోంది
for alpenliebe,ఆల్పెన్లీబ్ కోసం
beautiful women,అందమైన మహిళలు
airel,airel
stain,మరక
dirty stains,మురికి మరకలు
shirts,చొక్కాలు
top load,టాప్ లోడ్
front load,ముందు లోడ్
washing powder,బట్టలు ఉతికే పొడి
bigg wala,బిగ్ వాలా
toing !!,toing !!
sad women,విచారకరమైన మహిళలు
khichna,లాగడానికి
bedsheet,దుప్పటి
cold drink,శీతల పానీయం
summer time,వేసవి సమయం
stunts,విన్యాసాలు
chakle zara,కొద్దిగా
salman da fan,సల్మాన్ మరియు అభిమాని
awesome for,కోసం అద్భుతం
white clothes,తెలుపు బట్టలు
drops,చుక్కల
washing technique,వాషింగ్ టెక్నిక్
washing liquid,వాషింగ్ ద్రవ
white shirt,తెల్ల చొక్కా
is enough,సరిపోతుంది
haapy face,సంతోషకరమైన ముఖం
less strain,తక్కువ ఒత్తిడి
easy to use,ఉపయోగించడానికి సులభం
cute kitty,అందమైన కిట్టి
white small dog,తెలుపు చిన్న కుక్క
\women,\ మహిళలు
muchawale,chawale లో
acha nai,ace na
jo bhi,ఏది
baatb karna,మాట్లాడటానికి
haath se,చేతితో
lady in,లేడీ ఇన్
girl in black,నలుపు రంగులో ఉన్న అమ్మాయి
hanbag,డోరతీ బ్యాగ్
ghar science,హౌస్ సైన్స్
se nai,చాలా ఎక్కువ
home science,హోమ్ సైన్స్
chalta,ప్రదర్శనలు
runs not,పరుగులు కాదు
due to science,సైన్స్ కారణంగా
due to,వలన
home science.,హోమ్ సైన్స్.
the kapil sharma show,కపిల్ శర్మ ప్రదర్శన
bitto,బిట్
2 min,2 నిమి
quick to eat,త్వరగా తినడానికి
ready to make,చేయడానికి సిద్ధంగా ఉంది
kaappuu,షీల్డింగ్ కోసం
wifey,wifey
fulfilling demands,డిమాండ్లను నెరవేర్చడం
malls,మాల్స్
jewelleries,jewelleries
shaadi ke phele,వివాహానికి ముందు
before mariiage,వివాహానికి ముందు
after marriage,వివాహం తరువాత
cermony,వేడుక
haldi,అదుపు
rasam,రసం
mehendi,మెహేంది
expenses,ఖర్చులు
pati,కూడా
unlog ka,వాటిలో
raja hai,రాజు హై
king of all,అందరికీ రాజు
husband - wife,భర్త - భార్య
i wanted,నాకు కావాలి
simple,సాధారణ
hsuband,భర్త
like you,మీ లాగా
compalint,ఫిర్యాదు
]not like you,] మీకు ఇష్టం లేదు
lady of house,ఇంటి లేడీ
kahavat,సామెత
happy girl,ఆనందంగా వున్న అమ్మాయి
happy lady,హ్యాపీ లేడీ
nanniji,ఏమి నిర్వహణ
ginger that,అల్లం
growing from,నుండి పెరుగుతోంది
any side,ఏదైనా వైపు
phelana,phelana
spreading,వ్యాపించడం
badhana,పెంచడానికి
disaster,విపత్తు
kapusharma,kapusharma
simpsons,ది సింప్సన్స్
frank family,ఫ్రాంక్ కుటుంబం
MattGroening,MattGroening
comical,హాస్య
Springfield.,స్ప్రింగ్ఫీల్డ్.
in bits and pieces,బిట్స్ మరియు ముక్కలుగా
piece by piece,ముక్క ముక్క
approved,ఆమోదం
good work,మంచి పని
yippy,yippy
ya ho,ఓహ్ అతను
and calm,మరియు ప్రశాంతత
Woo,వూ
Hoo!,అతను!
asked,కోరారు
kuch bhi,ఏ
ainvay bolneka,బిగ్గరగా మాట్లాడటానికి
pakkav,Pakkave
dare to,ఎవరితో
yoyo honey singh,యో యో హనీ సింగ్
knees,మోకాలు
is he,వాడేనా
giving you,మీకు ఇస్తుంది
woh kya,ఏమిటి
deraha hai,ఆలస్యం అయింది
angry mood,కోపం మూడ్
mooddy,mooddy
royal blue shirt,రాయల్ బ్లూ షర్ట్
more time,ఎక్కువ సమయం
titan,టైటాన్
rolex,రోలెక్స్
fast track,ఫాస్ట్ ట్రాక్
men's watch,పురుషుల గడియారం
bas hua,అతను మాత్రమే
bhaut der,చాలా ఆలస్యం
karahe ho,మీరు ఏమి చేస్తున్నారు
want to,కావలసిన
actually,నిజానికి
kya chahte ho,మీకు ఏమి కావాలి
saaf saaf bolo,స్పష్టంగా మాట్లాడండి
be clear,స్పష్టంగా ఉండండి
from here,ఇక్కడనుంచి
dont stay,ఉండకండి
in front,ముందు
of my eyes,నా కళ్ళలో
just leave it,వదిలేయ్
go from here,ఇక్కడి నుండి వెళ్ళు
come back,తిరిగి రా
from,నుండి
bunking,bunking
dont say,చెప్పకండి
two of,రెండు
them,వాటిని
are talking,మాట్లాడుతున్నారు
keep your,మీ ఉంచండి
mouth,నోటి
okkk,Okkk
are now,ఇప్పుడు
weak,బలహీనమైన
not strong,బలంగా లేదు
kacha nimbu\,ముడి నిమ్మకాయ
kuddos,కుడ్ లు
bachkani harkat,పిల్లతనం చర్య
you count,మీరు లెక్కించండి
10 numbers',10 సంఖ్యలు '
speed,వేగం
high speed,అతి వేగం
bas agaya,ఇప్పుడే అందుకుంది
aaj ke,నేడు
baad,కొన్ని
aapko,మీకు
complaint,ఫిర్యాదు
accusation,ఆరోపణ
dialog bollywood,డైలాగ్ బాలీవుడ్
hindi movie,హిందీ సినిమా
inclination,వొంపు
overjoyed,సంతోషించారు
apologetic,క్షమాపణ
contrite,తప్పు
touched,తాకిన
old film,పాత చిత్రం
succhi,రసాలను
apne,మీ
lag jaati h,ఇది కనిపిస్తుంది
bureaucratic,అధికారిక
neta,నేతను
samba,samba
political,రాజకీయ
not give,ఇవ్వలేదు
bnana,చేయడానికి
indian neta,ఇండియన్ నేటా
bahart,bahart
country,దేశంలో
without,లేకుండా
nightmare,నైట్మేర్
imagination,ఊహ
slef,slef
effort,ప్రయత్నంతో
endeavor,ప్రయత్నిస్తారు
how are you,మీరు ఎలా ఉన్నారు
block,బ్లాక్
pause,విరామం
itt,ఇక్కడ
barricade,బారికేడ్
equitable,సమాన
doesnot,అది కాదు
in the trees,చెట్లలో
papaji,papaji
angry dad,కోపంగా ఉన్న నాన్న
you considered,మీరు పరిగణించారు
home as,ఇల్లు
hotel?,హోటల్?
hotels,హోటల్స్
bapuji,బాపు
from the,నుండి
neighbourhood,పొరుగు
padhosi,couldnt
bajuwale,bajuwale
sikho,తెలుసుకోండి
good manners,మంచి అలవాట్లు
blue sweeter,నీలం స్వెటర్
values,విలువలు
bheaving,bheaving
good to,మంచిది
anymore,ఇకపై
nai raha,కాదు
nomore,nomore
flying dad,ఎగిరే నాన్న
will cut,కట్ చేస్తుంది
my nose,నా ముక్కు
one day,ఒక రోజు
insult,అవమానాన్ని
badnami,దూషణలు
izzat gavana,Gvna రెస్పెక్ట్
after getting elder,పెద్దయ్యాక
will you,మీరు
selll,selll
potatos?,potatos?
sweet potatos,తీపి బంగాళాదుంపలు
alooffry,alooffry
babuji,బాబుజి
orange lungi,పొడవైన నారింజ
u cant,నీ వల్ల కాదు
do my son,నా కొడుకు చేయండి
my dear,నా ప్రియమైన
its not,అది కాదు
cup of,కప్పు
what will,ఏమి కావచ్చు
blue t shirt,బ్లూ టి షర్ట్
frustated,విసుగు
boring son,బోరింగ్ కొడుకు
dhoti wale papa,ధోటి పాపా
have you,మీరు కలిగి
understnad me,నన్ను అర్థం చేసుకోండి
as your servant,మీ సేవకుడిగా
wrong understanding,తప్పు అవగాహన
misconception,దురభిప్రాయం
showting,showting
surprising,ఆశ్చర్యకరమైన
zeus,జ్యూస్
rap,రాప్
jaystar,జెస్టర్
raftar,స్పీడ్
imran,ఇమ్రాన్
bohemia,బొహేమియా
badshah,కింగ్
searching,శోధన
comparing,పోల్చడం
cheating,చీటింగ్
enjoying,ఆనందించే
testing,పరీక్ష
dashboard,డాష్బోర్డ్
monday,సోమవారం
resignation,రాజీనామా
admin,అడ్మిన్
peon,గుమాస్తాను
cafetaria,ఫలహారశాల
stayback,వెనుక నిలబడు
smoker,ధూమపానం అలవాటు లేదు
sutta-break,బ్రేక్ ఆల్రౌండ్
yellow dress,పసుపు దుస్తులు
yellow top,పసుపు టాప్
lets meet,మనం కలుద్దాం
swipe right material,కుడి పదార్థాన్ని స్వైప్ చేయండి
pink sweater,పింక్ ater లుకోటు
polo t shirt,పోలో టి చొక్కా
super like,చాలాబాగుంది
orange top,నారింజ టాప్
coffee mug,కాఫీ చెంబు
ask out,డేట్ కోసం అడుగుట
blue cardigan,నీలం కార్డిగాన్
heart it,గుండె అది
swipe right,కుడివైపు స్వైప్ చేయండి
pink top,పింక్ టాప్
swipe left,ఎడమవైపు స్వైప్ చేయండి
blue shirt,నీలం చొక్కా
green top,గ్రీన్ టాప్
mc donalds wrap,mc డోనాల్డ్స్ చుట్టు
green shirt,ఆకుపచ్చ చొక్కా
red t,ఎరుపు టి
red tshirt,ఎరుపు చొక్కా
blue jeans,నీలిరంగు జీన్స్
big burger,పెద్ద బర్గర్
extra fries,అదనపు ఫ్రైజ్
tomato sauce,టమోటా సాస్
indian suit,ఇండియన్ సూట్
tights,బిగుతైన దుస్తులు
leggings,leggings
sports wear,క్రీడా దుస్తులు
pink tp,పింక్ టిపి
easy shopping,సులభమైన షాపింగ్
flipkart delivery,ఫ్లిప్‌కార్ట్ డెలివరీ
delivery man,సరఫరాదారుడు
courier,కొరియర్
online shopping,ఆన్‌లైన్ షాపింగ్
delivry,డెలివరీ
flipkart pe shopping,షాపింగ్‌లో ఫ్లిప్‌కార్ట్
shopping on flipkart,ఫ్లిప్‌కార్ట్‌లో షాపింగ్
chill maar,కానీ చల్ల
credit card shopping,క్రెడిట్ కార్డ్ షాపింగ్
easy emi,చేయడం సులభం
debit card,డెబిట్ కార్డు
delivery boy,డెలివరీ బాయ్
red top,ఎరుపు టాప్
trusted app,విశ్వసనీయ అనువర్తనం
led tv,దారితీసిన టీవీ
lcd tv,lcd టీవీ
buying,కొనుగోలు
flipkart,ఫ్లిప్కార్ట్
new box,క్రొత్త పెట్టె
new clothes,కొత్త బట్టలు
orange dress,నారింజ దుస్తులు
mac,Mac
lenovo,లెనోవా
hp,hp
dell,డెల్
mobile shopping,మొబైల్ షాపింగ్
bedroom,బెడ్ రూమ్
furniture,ఫర్నిచర్
coat,కోటు
deals,ఒప్పందాలు
shopping on mobile,మొబైల్ లో షాపింగ్
flipkart app,ఫ్లిప్‌కార్ట్ అనువర్తనం
mobil,కారు
dreaming,కలలు
flipkart shopping,ఫ్లిప్‌కార్ట్ షాపింగ్
hottest destination,హాటెస్ట్ గమ్యం
shopping online,ఆన్‌లైన్‌లో షాపింగ్
shop and save,షాపింగ్ చేసి సేవ్ చేయండి
offers,ఆఫర్లు
sales,అమ్మకాలు
save money,డబ్బు దాచు
red t shirt,ఎరుపు టి చొక్కా
striped top,చారల టాప్
taste of life,జీవితం యొక్క రుచి
girl holding bottle,అమ్మాయి బాటిల్ పట్టుకొని
bottle of coke,కోక్ బాటిల్
holding bottle,బాటిల్ పట్టుకొని
share happiness,ఆనందాన్ని పంచుకోండి
softdrinks,శీతలపానీయాలు
professional wear,ప్రొఫెషనల్ దుస్తులు
wrist band,మణికట్టు బ్యాండ్
shake up party,పార్టీని కదిలించండి
red dress,ఎరుపు దుస్తుల
real thing,అసలు విషయం
white pants,తెలుపు ప్యాంటు
lets have,కలిగి ఉంటుంది
crop top,క్రాప్ టాప్
love coke,ప్రేమ కోక్
track pants,ట్రాక్ ప్యాంటు
opener,ఓపెనర్
open happiness,బహిరంగ ఆనందం
want pizza,పిజ్జా కావాలి
black jeans,బ్లాక్ జీన్స్
grey jeans,బూడిద జీన్స్
lets eat,తిందాం రా
food delivery,ఆహార పంపిణీ
bags of food,ఆహార సంచులు
jeas,jeas
lets meet up,మనం కలుద్దాం
meet up,కలుద్దాం
hang out,తరచుగా సందర్శించే స్థలం
dinning,తెల్పి
restaurant booking,రెస్టారెంట్ బుకింగ్
food joke,ఆహార జోక్
cooking tonight,ఈ రాత్రి వంట
flames,జ్వాలల
like it hot,ఇది వేడిగా ఉంటుంది
taco bell,టాకో బెల్
mexican tacos,మెక్సికన్ టాకోస్
food talks,ఆహార చర్చలు
midnight delivery,అర్ధరాత్రి డెలివరీ
midnight bites,అర్ధరాత్రి కాటు
mdnight food joints,అర్ధరాత్రి ఆహార కీళ్ళు
midnight food,అర్ధరాత్రి ఆహారం
midnight food joints,అర్ధరాత్రి ఆహార కీళ్ళు
late night order,అర్థరాత్రి ఆర్డర్
plane,విమానం
lollypop,చప్పరబిళ్ళ
bhojpuri,భోజ్ పూరి
lolas,Lolas
asd,ASD
ddd,DDD
lahnga,లంగా
uthadeb,Utadeb
chokariya,Cokria
golgappa,Golgppa
pardesh,భూభాగం
lechala,పచ్చిక
lagalba,lagalba
betaji,Betaji
patak,క్రీక్
marab,అరబిక్
jia,ప్లస్
mehraru,Mehraru
chahi,Cahi
hamka,హంకాస్
lagal,అబద్దం
goriya,బలి
curent,ప్రస్తుత
Tamilgreetings,Tamilgreetings
bangla,బంగ్లా
regional,ప్రాంతీయ
newspaper,వార్తాపత్రిక
newday,కొత్త రోజు
curd,పెరుగుతో
dhoti,పంచె
traditiona,సంప్రదాయకమైన
bangali,బెంగాలీ
roshogolla,roshogolla
indonesia,ఇండోనేషియా
soekarno,Soekarno
quote,కోట్
kartini,kartini
mothersday,mothersday
words,పదాలు
pancasila,Pancasila
muffin,మఫిన్
widdow,widdow
marvel,మార్వెల్
gamora,Gamora
guardians,సంరక్షకులు
harley,హార్లే
quinn,క్విన్
comics,కామిక్స్
supergirl,భలే అమ్మాయి
laura,లారా
xmen,X మెన్
wanda,Wanda
avengers,ఎవెంజర్స్
kiara,Kiara
ancient,ప్రాచీన
female hero,మహిళా హీరో
freedom fighter,స్వాతంత్ర సమరయోధుడు
freedom hero,స్వాతంత్ర్య వీరుడు
bluepant pinkshoes,బ్లూ ప్యాంట్ పింక్ బూట్లు
bharat mahaan,భారతదేశం గొప్పది
india is great,భారతదేశం గొప్పది
Darksheid,Darksheid
Darkseid,డార్క్ సీడ్
super man,గొప్ప మనిషి
green lantern,ఆకు పచ్చని లాంతరు
Cyborg,సైబోర్గ్
aquaman,Aquaman
salam,సంబంధించి
islami,ఇస్లామిక్
muslim,ముస్లిం మతం
islamic,ఇస్లామిక్
seding,సతిన్
astagfirullah,Astagfirullah
inalillahi,inalillahi
islam,ఇస్లాం మతం
subhanallah,subhanallah
masyaallah,Mashallah
alhamdulillah,దేవుని ధన్యవాదాలు
taaruf,taarof
yarhamukallah,yarhamukallah
wallahualam,దేవుని సత్యాన్ని తెలుసు
jazakallah,jazakAllah
tabayyun,tabayyun
DEVOTIONAL,భక్తి
dhinchak,దించాకే
girly,girly
hip,హిప్
GODESS,godess
LAKSHMI,లక్ష్మి
SHIVA,శివ
puasa,ఉపవాసం
ramadhan,రంజాన్
sahur,sahur
tarawih,tarawih
buka,దాన్ని తెరవండి
berbuka,ఉపవాసం విచ్ఛిన్నం
assalamualaikum,ధన్యవాదాలు
waalaikum,మీరు ఒకే
jazakalla,Dzacla
tabayun,tabayun
cow boy,ఆవు బాలుడు
hippie,హిప్పీ
tattoo,పచ్చబొట్టు
electric guitar,విద్యుత్ గిటారు
platform,వేదిక
hot pants,హాట్ ప్యాంట్లు
cave,గుహలో
gramophone,గ్రామ్ఫోన్
motorcycle,మోటార్ సైకిల్
chakkhna,Cakakhana
kholte,తెరవండి
kanchha,kanchha
setting,అమరిక
karade,ఎందుకంటే
यार,స్నేహితుని
बड़ा भाई,పెద్దన్నయ్య
बेस्ट भाई,బెస్ట్ బ్రదర్
दोस्त,సహచరుడు
दोस्ती,స్నేహం
यारी,యరి
बॉडी,శరీర
चेस्ट,ఛాతీ
शुबरात्रि,గుడ్ నైట్
रात्रि,నైట్
नींद,స్లీప్
सोना,బంగారం
सपने,కలలు
मीठे सपने,తీపి కలలు
चाँद,చంద్రుడు
तारे,నక్షత్రాలు
बकरी,మేక
लेटना,పడుకో
पार्टी,పార్టీ
कुशिया,Kushia
महोत्सव,ఫెస్టివల్
जशन,బాంబోరీలో
जन्मदिन,పుట్టినరోజు
मुबारक,హ్యాపీ
ब्रेकअप,వేర్పాటు
गुब्बारे,బుడగలు
मज़्ज़े,ఆనందించండి
मस्ती,వ్యాపారం
घूमना,తిరుగుటకు
मिलना,కలవడానికి
याद,గుర్తుంచుకో
यादे,మెమోరీస్
कुत्ता,కుక్క
प्यार,ప్రేమ
मिस,మిస్
क्यूट,అందమైన
बाते,థింగ్స్
काम,పని
कुछ नई,క్రొత్తది
हेल्लो,హలో
नमस्ते,హలో
बिजी,బిజీ
किधर,ఎక్కడ
कहा,సెడ్
क्यों,ఎందుకు
जगह,స్థలం
समय,సమయం
टाइम,సమయం
जाना,వెళ్ళడానికి
आना,రావడానికి
घुम,రోలింగ్
पता नहीं,తెలియదు
पास,Close
मोहब्बत,లవ్
