bobble,ବବଲ୍ |
एंगर,କ୍ରୋଧ
देखना,ଦେଖିବାକୁ
बंद,ବନ୍ଦ |
देखूंगा,ଦେଖିବେ |
टीवी,ଟିଭି
गिरवा,ତଳେ ପଡ଼ିଯାଅ |
दिया,ଦିଆଗଲା |
मनहूस,ଅସୁସ୍ଥ
शक,ସନ୍ଦେହ |
तोह,ତୋ
जीतेंगे,ଜିତିବ |
बोतल,ବୋତଲ
ख़ुशी,ସୁଖ
फुटबॉल,ଫୁଟବଲ୍
तोडना नरगाज़ी,ସ୍ମାଶ୍ ହିଟ୍ |
शानदार,ଉତ୍ତମ
फ़ेईल्दिंग,ଫିଲ୍ଡିଂ
पकड़ना,ଧରିବାକୁ
हारो,ହାରିଯାଅ |
या,କିମ୍ବା
जीतो,ଜିତନ୍ତୁ |
बनती,ପ୍ରସ୍ତୁତ |
रणवीर,ରଣଭୀର |
baar,ବାର୍
balla,Bale
is baar,ସକ୍ଷମ ଅଟେ |
yayy,yayy
cjhair,ସମ୍ମାନ ସହିତ
कुश,କୁଶ
रक्षाबंधन,ରାକ୍ଷସଭାନ୍
लव राखी,ପ୍ରେମ ରାଖୀ |
करीना,କରୀନା
त्यौहार,ପର୍ବ |
रक्षा,ପ୍ରତିରକ୍ଷା |
बंधन,ବନ୍ଧନ |
राखी,ରାଖୀ |
गुफ्त,ମାଗଣା |
हुई,ହୁଇ |
उसके,ତାଙ୍କର
इसे,ଏହା
तरस,ଇଚ୍ଛା
छेद,ଗର୍ତ୍ତ
बहना,ପ୍ରବାହ
आईटी इस,ଏହା ହେଉଛି |
सीक्रेट,ଗୁପ୍ତ
तोहफा,ଉପହାର
सिस्टा,ସିଷ୍ଟା |
कूद,ଡେଇଁବା |
मज़ा,ମଜା |
तुरंत,ତତକ୍ଷଣାତ୍
चिन्ना,ଚିନ୍ନା |
दूर,ଦୂର
रहो,ରୁହ |
गेम,ଖେଳ
मालेगाव,ମାଲେଗାଓଁ
सूट,ସୁଟ୍
बागवान,ବଗିଚା
गॉड,ଭଗବାନ |
कंट्री,ଦେଶ
ओवन्स,ଚୁଲି
हेवन,ହେଭେନ୍
ों,ों
एअर्थ,ପୃଥିବୀ
धरती,ପୃଥିବୀ
हैदराबाद,ହାଇଦ୍ରାବାଦ
यारों,ବନ୍ଧୁଗଣ
ब्यूटीफुल,ସୁନ୍ଦର
हरयाणी,ହରିୟାଣା
बरअक्स,ବାକ୍ସ
बोनस,ବୋନସ୍
हेर्त्स,ହୃଦୟ
तोड़ते,ଭାଙ୍ଗିବା
टूटना,ବ୍ରେକଅପ୍ କରନ୍ତୁ |
शॉर्ट्स,ସର୍ଟସ୍
बीच इन,ଏଗୁଡ଼ିକ ମଧ୍ୟରେ |
फन,ମଜା
दिलवालों,ହୃଦୟ
इल्ली,କୀଟ
मेट्रो,ମେଟ୍ରୋ
दिलसे,ଦିଲସେ |
कैपिटल,ରାଜଧାନୀ
मंद,ଡିମ୍
एना,ଆନା |
साउथ,ଦକ୍ଷିଣ
तमिल,ତାମିଲ୍ |
नाडु,ନାଡୁ
चंगा,ସୁସ୍ଥ
चंडीगढ़,ଚଣ୍ଡିଗଡ଼
कुड़ी,ଲିଟର |
पंजाबी,ପଞ୍ଜାବୀ |
मुंडी,ମୁଣ୍ଡି
मिष्टी,ମିଠା
रसोगुल्ला,ରସୋଗୁଲ୍ଲା |
बंगाल,ବଙ୍ଗଳା
बेनेली,ବେନେଲି |
लैंड,ଜମି
राइजिंग,ଉଠିବା
सुन,ଶୁଣ
शरती,ଶାରି |
अरुणाचा;,ଅରୁଣାଚା;
अरुणाचल,ଅରୁଣାଚଳ |
प्रदेश,ରାଜ୍ୟ
नार्थ,ଉତ୍ତର
ईस्ट,ପୂର୍ବ
यू पी,U p
है\,ହେଉଛି
ठुमका,ଡମ୍ପିଂ
वाला,ଗୋଟିଏ
ताज,ମୁକୁଟ
महल,ପ୍ରାସାଦ
आगरा,ଆଗ୍ରା
रेट,ହାର
क,କ
राजस्थान,ରାଜସ୍ଥାନ
पायरा,ପଦାଙ୍କ
सूखा,ଶୁଖିଲା |
बल्ले,ବ୍ୟାଟ୍
नेचर,ପ୍ରକୃତି
आमची,ଆମର
मुंबई,ମୁମ୍ବାଇ |
बॉम्बे,ବମ୍ବେ |
गेट,ଫାଟକ
ऑफ़,ବନ୍ଦ
वाचेया,ପ Read ନ୍ତୁ |
सेलेना,ସେଲିନା |
गोमेज़,ଗୋମେଜ୍
पिंक,ଗୋଲାପୀ |
जस्ट टेक्स्ट,କେବଳ ଟେକ୍ସଟ୍ କରନ୍ତୁ |
बंग,ବାଙ୍ଗ
बंग बंग,ବ୍ୟାଙ୍ଗ୍ ବ୍ୟାଙ୍ଗ୍ |
पिस्तौल,ପିସ୍ତଲ
ेमकोउन्टर,ेमकोउन्टर
पर्पल,ବାଇଗଣୀ |
ड्रेस,ପୋଷାକ
शूट,ଗୁଳି କର
वाओ,ୱାଓ |
वोविस,ଭୋଭିସ୍ |
वोह,ତାହା
नीस,ଭଲ
कोल्ड,ଥଣ୍ଡା
जानते,ଜାଣନ୍ତୁ |
अचे,ଠିକ ଅଛି |
क्नोव,Knov
डाट,ଷ୍ଟପର୍ |
टॉकिंग,କଥାବାର୍ତ୍ତା |
हांजी,ହଁ
हाँ,ହଁ
हैंडल,ହ୍ୟାଣ୍ଡଲ୍ |
कांत,କାଣ୍ଟ |
पाओगे,ପାଇବ |
ोप्स,ोप्स
ोंग,ोंग
गपड,ଗପସପ
बगवान्न,ବୁଗାନେ |
ी,ी
रेट्रो,ରେଟ୍ରୋ |
लड़किओं,Girls ିଅମାନେ
तरह,ଲାଇକ୍ କରନ୍ତୁ |
गर्ल्स,Girls ିଅମାନେ
लिखे,ଲେଖନ୍ତୁ |
इतर,ଅନ୍ୟମାନେ |
ाचा,ाचा
बजा,ବାଜା
डुंग,ଗୋବର
उड़ा,ଧକ୍କା ଦିଅ |
पतंग,କିଟ୍
धागा,ସୂତା
लपेट,ଗୁଡ଼ାଇ ଦିଅ |
पो,ପୋ
छे,ଛଅ
बजी,ରଙ୍ଗ
ढील,ଆରାମ
डील,କାରବାର |
पहात,ଦେଖୁଛି |
बाज़ी,ପାର୍ଲେ
अजा,ଅଜା |
पेंच,ସ୍କ୍ରୁ |
एस्टी,ଇଷ୍ଟୀ
अटक,ଗିରଫ
शौक,ହବି
पन्नी,ଫଏଲ୍ |
कन्नी,କନି
कुरता,ସାର୍ଟ
मंचा,ମଞ୍ଚା |
कच्चा,କଞ୍ଚା
कटा,କଟା
कटे,କାଟି ଦିଅ |
काटे,କାଟ |
दौड़ो,ଚଲାନ୍ତୁ |
डोगग्य,କୁକୁର
ब्वॉय,ବାଳକ
पूगगी,ପୁଗି
दादा जी,ଦାଦା
दांत,ଦାନ୍ତ
चचा,ଆଲୋଚନା
अंकल,ମାମୁଁ
च च च,F f f
बुआ,ମାଉସୀ
की दुआ,ଆଶୀର୍ବାଦ
व,ଏବଂ
ब्लेस्सिंग्स,ଆଶୀର୍ବାଦ
सहारा,ସମର୍ଥନ
भाई है,ଭାଇ ଅଟେ |
स्टाइल,ଶ Style ଳୀ
स्टाइलिश,ଷ୍ଟାଇଲିସ୍ |
भाभी जी,ବୋହୂ
मेरी प्यारी,ମୋର ସୁନ୍ଦର
प्यारी भाभी,ସୁନ୍ଦରୀ ବୋହୂ
बेहेन,ଭଉଣୀ |
नकरे,ନାକାରେ |
चूसे,ସ୍ତନ୍ୟପାନ କର |
नौटंकी,ଜିମିକ୍ |
नानी,ଜେଜେ
कहानिया,କାହାଣୀ
कान्हा,କାନହା
चवल,ଚାଲ୍ |
चावल,ଚାଉଳ |
अत,ତେଣୁ
टिया,ଟିଆ
चक्ति,ଶକ୍ତି
चलती,ଗତି
बाई,ବାଇ
टाटा,ଟାଟା |
फॉर,ପାଇଁ
चपल,ଖେଳାଳୀ
मोड,ମୋଡ୍
साइलेंट,ନୀରବ |
लेटस,ଲେଥୁସ୍ |
चलते,ଚାଲ ଯିବା |
बास्केट,ଟୋକେଇ |
खाओगे,ଖାଇବ |
प्याला,କପ୍
बाउल,ପାତ୍ର
चिलिंग,ଥଣ୍ଡା
अलग,ଭିନ୍ନ |
शॉप,ଦୋକାନ କରନ୍ତୁ |
विंडो,ୱିଣ୍ଡୋ |
खरीदना,କିଣିବା ପାଇଁ |
करोड़,କୋଟି
थकन,ଥଙ୍କ |
टायर्ड,କ୍ଳାନ୍ତ
हु,ହୁ
साद,ସମତଳ
चल,ଚାଲ
यहां,ଏଠାରେ |
आपका,ତୁମର
सबका,ସମସ୍ତେ
स्वागत,ସ୍ Welcome ାଗତ
कूल,ଥଣ୍ଡା |
थिस,ଏହା
चाट,ଚାଟିବା |
मुलाकात,ସଭା |
एंड्स,ଆଣ୍ଡସ୍
राइट,ଠିକ୍ |
इधर ही,ଏଠାରେ କେବଳ |
आवर,ଆମର
ग्रुप,ଗୋଷ୍ଠୀ
ऐड,ଯୋଡନ୍ତୁ |
पोस्ट,The post
लड़ो,ସଂଗ୍ରାମ କର |
रिप्लाई,ଉତ୍ତର ଦିଅ
तोह किआ,ତେଣୁ କିୟା |
करा,ଦୟାକରି
ा\रा,ରା
लीविंग,ବଞ୍ଚିବା |
नाउ,ବର୍ତ୍ତମାନ
बई,ବାଇ
होगे,ହେବ |
तेरा,ତୁମର
होगया है,କରାଯାଇଛି
काली,କଳା
दू,କର |
तुझे,ତୁମ ପାଇଁ
तब,ତା’ପରେ
मानेगा,ବିଚାର କରିବେ |
गलोच,ଗ୍ଲୋଚ୍ |
एरर,ତ୍ରୁଟି |
दारु बियर,ଲିକୋରାଇସ୍ ବିୟର |
स्वीटी,ମିଠା
व्हस्की,ୱିସ୍କି
होंनई,ହୋନାଇ |
होनी,ହେବାକୁ
जैकपोट,ଜ୍ୟାକପଟ୍ |
लग,ଦେଖ |
गइबे,ଗିବ୍
अल्कोहल,ମଦ୍ୟପାନ
किंग,ରାଜା
चियर्स,ଖୁସି
ब्रांडी,ବ୍ରାଣ୍ଡି
बाथ बियर,ସ୍ନାନ ବିୟର |
बाथ,ସ୍ନାନ
टल्ली,ପ୍ୟାରିସ୍
थपड,ଚାପୁଡ଼ା |
चांटा,ଚାପୁଡ଼ା |
ग्लोब,ପୃଥିବୀ
कनेक्ट,ସଂଯୋଗ କରନ୍ତୁ |
वर्ल्ड,ଦୁନିଆ
डोमिनेशन,ପ୍ରାଧାନ୍ୟ
काठ,କାଠ |
पुतली,ଡଲି |
शकल,ଚେହେରା |
पर,ରେ
जा,ଯାଅ |
अकाल,ଦୁର୍ଭିକ୍ଷ
पावर,ଶକ୍ତି
पुअर,ଗରିବ
गरीब,ଗରିବ
किसी,କେହି ଜଣେ
कभी,ସର୍ବଦା
जागो,ଜାଗ୍ରତ ହୁଅ
ग्राहक,ଗ୍ରାହକ
जागूओ,ଜାଗ୍ରତ ହୁଅ
जाग,ଜାଗ୍ରତ ହୁଅ
है र,ହେଉଛି ସୁ
हर,ପ୍ରତ୍ୟେକ
फ्रेंड,ବନ୍ଧୁ
ज़रूरी,ଆବଶ୍ୟକ
होता,ପାଇବ |
व्राप्पेड,ଗୁଡ଼ାଇ |
चुतियापा,ଛତିଆପା |
है डब्बा,ବାକ୍ସ ଅଟେ |
सुनदर,ସୁନ୍ଦର
फ्री,ମାଗଣା |
२,२
पूल,ପୁଷ୍କରିଣୀ
स्विमिंग,ପହଁରିବା |
ाभु,ाभु
दज,ପ୍ରବେଶ
सम,ଏପରିକି
गो,ଯାଅ |
एपिक,ଏପିକ୍
टुनाइट,ଆଜି ରାତିରେ |
ही ृत्त,ସମାନ ସର୍କଲ୍ |
ृत्त,ृत्त
डोंट,କରନ୍ତୁ ନାହିଁ |
ड्राइव,ଡ୍ରାଇଭ୍ କରନ୍ତୁ |
चलाओ,ଡ୍ରାଇଭ୍ କରନ୍ତୁ |
बे,ବାଇ
ा,ा
पूपर,ପପୁର୍ |
ब्योब,ବାଇବ୍ |
जाए,ଯାଅ |
बीरदारु,ବିର୍ଡେରୁ |
दम,ଶକ୍ତି
सांग,ମୋତେ କୁହ
तो पार्टी,ତେଣୁ ପାର୍ଟୀ |
दासी,ଚାକରାଣୀ
ई,ଇ
ड्रंक,ମଦ୍ୟପ
छोड़,ଛାଡ
सुता,ସୁଟା |
स्मोकिंग,ଧୂମପାନ
कॉसेस,କାରଣ
इम्पोटेंसी,ଗୁରୁତ୍ୱ
सग्गड़ाते,Sagnate
फुल,ପୂର୍ଣ୍ଣ
आठ,ଆଠ
खूब,ପ୍ରଚୁର
करेंगे,କରିବେ |
तोंगट,ଟୋଙ୍ଗାଦ |
बूम,ବୁମ୍ |
परतीयय,ଏଲିଏନ୍
ीीाहहह,ीीाहहह
आह्ह्ह्ह,ଆହା
डी,ଡି
शेक,ହଲ
बेल्ली,ବେଲି
डेज,ଦିନଗୁଡିକ
यूनिफार्म,ୟୁନିଫର୍ମ
शूज,ଜୋତା |
होमवर्क,ହୋମୱାର୍କ |
वसुप,ଭାସୁପ୍ |
गाइस,ପିଲାମାନେ
सॉक्स,ସକ୍ସ
हग्स,ଆଲିଙ୍ଗନ
गुड्डा,ଗୁଡଦା |
तय,ସ୍ଥିର ହୋଇଛି |
थिंकिंग,ଚିନ୍ତା କରୁଛି |
अबाउट,ବିଷୟରେ
फूडी,ଖାଦ୍ୟ
हंगर,ଭୋକ
भूखी,ଭୋକିଲା |
बिस्किट,ବିସ୍କୁଟ |
जार,ପାତ୍ର |
आरा,ଦେଖିଲା |
ही हूँ,ମୁଁ କେବଳ
सच्चे,ସତ
हप्ते,କିସ୍ତିଗୁଡ଼ିକ
स्टोरी,କାହାଣୀ
बुक्स,ପୁସ୍ତକ
पेन,କଲମ
पेंसिल,ପେନ୍ସିଲ୍ |
पेजेज,ପୃଷ୍ଠାଗୁଡ଼ିକ |
कहना,କହିବାକୁ
और नहीं हो,ଆଉ ନାହିଁ |
कर्ली,କର୍ଲି |
ची ची,ଚି ଚି
लॉन्ग,ଲମ୍ବା |
चलिए,ଚାଲ ଯିବା |
बाइक,ବାଇକ୍
गण,ଗାନା |
पसनद,ପସନ୍ଦ
खिलौना,ଖେଳନା
ीआई,ीआई
बेटी,.ିଅ
कार्डो यूनिफार्म,କାର୍ଡୋ ୟୁନିଫର୍ମ |
नोटबुक,ନୋଟବୁକ୍ |
कॉपी,କପି କରନ୍ତୁ |
प्ले,ଖେଳନ୍ତୁ |
गैस,ଗ୍ୟାସ୍
डॉल,ଡଲ୍
फ्रॉक,ଫ୍ରକ୍ |
डिस्टर्ब,ବିଚଳିତ |
रोबोट,ରୋବଟ୍ |
आर्टिस्ट,କଳାକାର
ड्राइंग,ଚିତ୍ର
कलर्स,ରଙ୍ଗଗୁଡିକ |
पेंटिंग,ଚିତ୍ର
ी आ,ଶ୍ରୀ ଏ
ट्री,ବୃକ୍ଷ
हॉलिडे,ଛୁଟିଦିନ
अग्ली,ଅଶୁଭ
फेस्टिवल,ପର୍ବ
मेर्री,ଆନନ୍ଦ
फिटनेस,ଫିଟନେସ୍
मजबूत,ଶକ୍ତିଶାଳୀ |
तंदुरुस्त,ସୁସ୍ଥ
स्लिम,ପତଳା |
फिट,ଫିଟ୍ |
छाती,ଛାତି
भरा,ଭର୍ତି |
अंदर,ଇନ୍
तेल,ତେଲ |
गयम गैमिंग,ସମଲିଙ୍ଗୀ ଖେଳ
हिट,ହିଟ୍ କର |
गयम,ଗୟାମ
अस,ଯେପରି
फिडल,ଫିଡଲ୍ |
हेअल्थी,ସ୍ୱାସ୍ଥ୍ୟ
स्टे,ରୁହ |
डाइटिंग,ଡାଏଟିଂ
मोती,ମୋତି
होगयी,ହେବ |
पुमपैड,ପମ୍ପ୍
उप,ଡେପୁଟି
किलस,କିଲସ୍ |
स्लैम,ସ୍ଲାମ୍ |
धौंक,ବ୍ଲୋଅର୍ |
बोटा,ବୋଟା |
किसको,କାହାକୁ
तूने,ତୁମେ
हूँ में,ମୁଁ ଭିତରେ ଅଛି
चिकन,ଚିକେନ୍
टुडे,ଆଜି |
खाएंगे,ଖାଇବ |
सारा,ସମସ୍ତ
तंदूरी,ତାଣ୍ଡୁରି |
ी आई,ଶ୍ରୀ ଆଇ
डॉक्टर,ଡାକ୍ତର
पेशेंट,ରୋଗୀ
प्लस,ଏଥିସହ
हॉस्पिटल,ଡାକ୍ତରଖାନା
मोरे,ଅଧିକ
रनिंग,ଚାଲୁଛି |
जॉगिंग,ଜଗିଂ |
मॉर्निंग,ପ୍ରଭାତ
बालक,ବାଳକ
ऋ,ଆର
परांठा,ପାରଳା
दही,କଦଳୀ |
साइकिलिंग,ସାଇକେଲ ଚଲାଇବା |
पथ,ପଥ
लॉस्ट,ହଜିଯାଇଛି
१०,१०
कग,କାଗ୍
इतनी,ବହୁତ
गैमिंग,ଖେଳ
सिम,ସିମ୍
जाये,ଯାଅ |
लेक्चर,ଅଧ୍ୟାପନା
पर्स,ପର୍ସ
प्रोफेसर,ପ୍ରଫେସର ଡ
जाने,ଜାଣନ୍ତୁ |
देदे,ଦିଅ |
यारर भाई,ୟାର୍ ବ୍ରୋ
सीखा,ଶିଖିଲେ |
पढ़ा,ପ .଼ନ୍ତୁ |
रैगिंग,ରାଗିଙ୍ଗ୍ |
लेनी,ଲେନି |
दन,ଦିନ
बीएड,B.Ed.
आलास,ହାୟ!
रेडी,ପ୍ରସ୍ତୁତ |
कॉलेज त्यार,କଲେଜ ପ୍ରସ୍ତୁତ |
में पूरी,ମୁଁ ପୁରା
लेली,ଲେଲି
पहनने,ପିନ୍ଧନ୍ତୁ |
नथिंग,କିଛି ନୁହେଁ |
वियर,ପିନ୍ଧନ୍ତୁ |
नई क्लोथ्स,ନୂଆ ପୋଷାକ |
फ्रेशर्स,ଫ୍ରେଶର୍
लिए लिए,ପାଇଁ
ब्रोके,ଭାଙ୍ଗିଗଲା |
सिक,ଅସୁସ୍ଥ
बीमार,ରୋଗୀ
बीमारी,ଏହି ରୋଗ
फेमस,ପ୍ରସିଦ୍ଧ
गिटार,ଗିଟାର |
परफॉरमेंस,ପ୍ରଦର୍ଶନ
रोल म,ରୋଲରେ |
रोल,ରୋଲ୍
नाईट,ରାତି
बमार,ବାମର |
वेल,ଠିକ୍ ଅଛି |
नॉट फीलिंग,ପୂରଣ କରୁନାହିଁ |
सही हूँ,ମୁଁ ଠିକ ଅଛି
मुंडा,କେଶ
सैंतींस,ସାଣ୍ଟାଇନ୍ସ |
छाए,ଛାଇ
चलें,ଚାଲ ଯିବା |
चलोगे,ତୁମେ ଯିବ କି?
मेरे साथ,ମୋ ସହିତ
अस्सीगंमनेट्स,Assigumnets
गयी है,ଚାଲିଯାଇଛି |
हुए,ଅଛି |
डीडेड,ସମର୍ପିତ |
स्टार्ट,ଆରମ୍ଭ କରନ୍ତୁ |
स्टडी,ଅଧ୍ୟୟନ |
डिसिशन,ନିଷ୍ପତ୍ତି
लेलिऐ,ଏହାକୁ ନିଅ |
आल अबाउट,ସବୁ ବିଷୟରେ
कलगे,କୁଲେନ୍ |
बोझ,ଭାର
पढ़ने,ପ .଼ନ୍ତୁ |
कंसंट्रेशन,ଏକାଗ୍ରତା |
प्लैसे,ପ୍ଲେସି
दे एरर,ତ୍ରୁଟି ଦିଅ |
वाला टॉपिक,ୱାଲା ପ୍ରସଙ୍ଗ |
टॉप्स अत,ଶୀର୍ଷରେ
तपोस,ଟାପୋସ୍ |
टॉपिक,ବିଷୟ
एक्साम,ପରୀକ୍ଷା
बाउट,ବାଉଟ୍ |
जयादा है,ଅଧିକ ଅଟେ |
प्लस पास,ପ୍ଲସ୍ ପାସ୍ |
करवा,ଏହାକୁ ସମାପ୍ତ କର |
मेकिंग,ତିଆରି କରିବା |
डीडीओ एरर प्लीज,ଦୟାକରି DDO ତ୍ରୁଟି |
डीडीओ,DDO
समथिंग,କିଛି
ेल्स,ेल्स
कक,ତାହା
करें,କର
मरते,ମରିବାକୁ
मरेगा,ମରିବ |
असाइनमेंट,ଆସାଇନମେଣ୍ଟ
करदे,କରାଡେ |
करदिओ,କର୍ରି ଅପ୍ |
प्रॉक्सी,ପ୍ରକ୍ସି
लगदे,ସଂଲଗ୍ନ ହୋଇଛି
लगा डीओ,ରଖନ୍ତୁ |
aai,ମୁଁ ଆସିଲି
aam,ବର୍ଷ
ba,ରଖନ୍ତୁ |
रेडी त्यार,ପ୍ରସ୍ତୁତ |
होगयी फॉर,ହୋଗି ପାଇଁ
सीनियर,ସିନିୟର
तमीज़,ତାମିଜ୍ |
मुबारक दारु,ଶୁଭ ମଦ
चीज़,ପନିର
मस्त है,ଥଣ୍ଡା ଅଟେ |
बड़ी,ବଡ
हठी,କୁକୁର
देर,ବିଳମ୍ବ
होगयी है,କରାଯାଇଛି
बर्ड,ପକ୍ଷୀ
व्हो,Vo
ओह,ଓ Oh
शीप,ମେଷ
पी,ପି
जाउन्गा प्यासा,ଜାଙ୍ଗା ତୃଷାର୍ତ୍ତ |
मचार,ମାଚର |
मॉस्क्वीटो,ମଶା
ब्लड,ରକ୍ତ
स्लो,ଧୀର
स्नैल,ଶାବକ
धीरे,ଧୀର
बुरा,ଖରାପ
खासा,ବହୁତ ଭଲ |
हैंग,ଟାଙ୍ଗନ୍ତୁ |
लटक,ଫାଶୀ
इन,ଇନ୍
बुड़ीय,ବୁଡି |
पेड़,ଗଛ
नकलची बन्दर,ଅନୁକରଣକାରୀ ମାଙ୍କଡ଼ |
नकलची,ଅନୁକରଣକାରୀ |
केला,କଦଳୀ |
मंकी,ମାଙ୍କଡ଼
बग,ତ୍ରୁଟି |
ऑफ,ବନ୍ଦ
माखी,ମାଖୀ |
हाउस,ଘର
फ्लाई,ମାଛି
छी,ୟକ୍
डा,ଡ।
पुत्तर,ପୁଅ
लायन,ସିଂହ
दहाड़,ଗର୍ଜନ
दहाड़ेगा,ଗର୍ଜନ କରିବ
कहुआफ,କାହୁଫ୍ |
ऍम स्टक,ମୁଁ ଷ୍ଟକ୍ |
सांप,ସାପ
स्नेक,ସାପ
सर्प,ସାପ
वर्किंग,କାର୍ଯ୍ୟ କରିବା
हार्ड,କଠିନ |
अंत,ଶେଷ
कलेक्टिंग,ସଂଗ୍ରହ
इक्कठा,ଷ୍ଟକ୍ |
ग्राफ़ी,ଗ୍ରାଫି
गिराफ़,ଜିରାଫ୍ |
दिनों,ଦିନଗୁଡିକ
कपूर,କ୍ୟାମ୍ପୋର |
गोरिल्ला,ଗୋରିଲା |
जंगली,ବନ୍ୟପ୍ରାଣୀ
मेंढक,ବେଙ୍ଗ
लोटस,ଲୋଟସ୍ |
लेक,ହ୍ରଦ
मामू,ମାମୁ |
कॉक,କୁକୁର
मुर्गा,କୁକୁଡ଼ା
पाक,ପାକ୍
पाक पाक,ପାକ୍ ପାକ୍ |
क्रोकोडाइल मगर,କୁମ୍ଭୀର
मच,ମ୍ୟାଚ୍
व्हिले,ଭିଲ୍
तुतले कछुआ,ଶ To ଚାଳୟ କଇଁଛ |
टर्टल,କଇଁଛ |
कछुआ,କଇଁଛ |
इजी,ସହଜ
स्कूबी,ସ୍କୁବି |
भागू,ଭାଗୁ
हैवे,ଅଛି |
ान,ान
आईडिया,ଆଇଡିଆ
एन,N।
समझ,ବୁ understanding ାମଣା
वांनै,ୱାନାଇ |
सीं,ସି
देखोगे,ଦେଖିବେ |
नाचोगे,ନାଚିବେ |
पंच,ପୁଞ୍ଚ |
तलह,ପାଦଦେଶ
बहुत ही,ବହୁତ ବହୁତ |
टॉक,କଥାବାର୍ତ୍ତା |
हाउ,ହଁ
इन्क्रेडिबिलिटी,ଅବିଶ୍ୱାସନୀୟତା |
ऑब्जरवेशन,ପର୍ଯ୍ୟବେକ୍ଷଣ
वन्स,ଥରେ |
सेव्ड,ସଞ୍ଚୟ ହୋଇଛି |
पफ,ପଫ୍ |
इम्पॉसिबल,ଅସମ୍ଭବ
पॉसिबल,ସମ୍ଭବ
मेक,ପ୍ରସ୍ତୁତ କର |
वंडर,ଚମତ୍କାର |
वीमेन,ମହିଳାମାନେ
कैच,ଧର
आ ',ଆସ |
फ़्लैश,ଫ୍ଲାସ୍
आजाऊंगा,ଆସିବ |
गोत,ଡଙ୍ଗା
मैजिक,ଯାଦୁ
याबा,ୟାବା |
दबा,ଦମନ କରାଯାଇଛି |
फ्लिन,ଫ୍ଲିନ୍ |
स्टोन्स,ପଥରଗୁଡିକ |
स्पिनच,ପାଳଙ୍ଗ |
पालक,ପିତାମାତା |
पोपोए,ପପୋ
सेलर,ସେଲାର୍ |
म्यूजिक,ସଙ୍ଗୀତ
डूबी,ବୁଡ଼ିଗଲା |
जिन्किइस,ଜିନକିସ୍ |
सेक्सी,ସେକ୍ସି |
झांय,ଜାନ
ब्रावो,ବ୍ରାଭୋ |
ग्लासेज,ଚଷମା |
मोव,MOV
मिआओवो,ମିଆଓ
बेट,ବେଟ୍ |
कामे,କାର୍ଯ୍ୟଗୁଡିକ
स्टिकी,ଷ୍ଟିକି |
तून,ଟୁନ୍ |
सुपर,ସୁପର |
सुपर मन,ସୁପର ମନ |
आयरन,ଲ Iron ହ |
बाई बाई,ବାଇ ବାଇ
लोहा,ଲ Iron ହ |
टोनी,ଟନି |
स्टार्क,ଷ୍ଟାର୍କ |
बैक,ପଛକୁ
थॉर,ଥୋର |
पे,ଅନ୍
राओगे,ରାଗ
वजन,ଓଜନ
ब्लू ड्रेस,ନୀଳ ପୋଷାକ |
हील्स,ହିଲ୍ |
नाग,ସାପ
योगी य,ଯୋଗୀ
योगि,ଯୋଗୀ
माआला,ମାଲା
वास्ते,ପାଇଁ
टाइम की,ଟାଇମ୍ କୀ |
बर्बादी,ଏକ ଆବର୍ଜନା |
बर्बाद,ନଷ୍ଟ
लप्पी,ଲାପି
नो चांस,କ chance ଣସି ସୁଯୋଗ ନାହିଁ |
चांस,ସମ୍ଭାବନା |
गाउन,ଗାଉନ୍
लुक,ଦେଖ |
डेल्हो,ଡେଲହୋ |
बॉलर,ବୋଲର
बोलरा,ବୋଲେରୋ |
लंच,ମଧ୍ୟାହ୍ନ ଭୋଜନ
बी चांस,ବି ସୁଯୋଗ |
अपने,ଆମର
बी लक,ବି ଭାଗ୍ୟ
कोट,କୋଟ
लड़के,ପୁଅମାନେ
क्लोज,ବନ୍ଦ
डिस्कशन,ଆଲୋଚନା
बंद भी,ଅଫ୍ ମଧ୍ୟ |
karoge,କରିବେ |
hmara,ଗଧ
ku,କେଉଁଠାରେ
करोगे हमारा,ତୁମେ ଆମର କରିବ କି?
करोगे,କରିବେ |
टेक,ଟେକ୍
होगी,ହେବ |
कहाँ,କେଉଁଠାରେ
सब क,ସମସ୍ତ
कहाँ हैं,କେଉଁଠାରେ ଅଛି
थैंक्यू,ଧନ୍ୟବାଦ
आइये,ଆସ
अर्ज़,ଆର୍ଜ
हिअ,ହାଏ
सिंगिंग,ଗୀତ
श्पवेर,ଶେଭର୍ |
रूम,କୋଠରୀ |
सिंगर,ଗାୟକ
ईपी,ଇପି
यययय,ୟାୟାୟେ |
ध्यान,ଧ୍ୟାନ |
व्होज़,ଯାହାର
देखो तो,ତାପରେ ଦେଖନ୍ତୁ |
कहेंगे,କହିବେ
लोगो,ଲୋଗୋ
ट्रू,ସତ
डेकोरेशन,ସାଜସଜ୍ଜା |
लड़किआं,Girls ିଅମାନେ
ताजा,ସତେଜ
खबर,ସମ୍ବାଦ
न्यूज़,ସମ୍ବାଦ
एग्स,ଅଣ୍ଡା
बच गया,ବଞ୍ଚିଛନ୍ତି
बच,ପଳାୟନ କର |
पैराशूट,ପାରାଚ୍ୟୁଟ୍ |
सन्नाटा,ନୀରବତା
शॉकिंग,ଚକିତ |
बिजली,ବିଦ୍ୟୁତ୍
