bobble,ધક્કો મારવો
last one,છેલ્લા એક
aur nai,અને નવા
akhari hai,છેલ્લું છે
vidheshi product,વિદેશી ઉત્પાદન
foreign product,વિદેશી ઉત્પાદન
not indian,ભારતીય નથી
desi nai videshi hai,મૂળ વિદેશી છે
sirf aapkeliye,ફક્ત તમારા માટે
tumhareliye,તમારા માટે
khaas discount,ખાસ ડિસ્કાઉન્ટ
special offer,ખાસ ઓફર
buyer,ખરીદનાર
no deal,કોઈ સોદો
is better than this,આ કરતાં વધુ સારું છે
perfect one,સંપૂર્ણ
awesome one,અદ્ભુત
awesome item,ભયાનક વસ્તુ
awesome blossom,ભયાનક મોર
bestest,બેસ્ટ
wajhse,ને કારણે
majhe,વચ્ચે
loose pants,છૂટક પેન્ટ
casual wear,કેઝ્યુઅલ વસ્ત્રો
grand masti,ભવ્ય ચરબી
hotter than tea,ચા કરતાં ગરમ
masala chai,મસાલા ચા
kudi kamaal ki,અદ્ભુત
hotest,સૌથી ગરમ
life partner,જીવન સાથી
girl wali friend,છોકરી વાલી મિત્ર
love of life,જીવન પ્રેમ
only mine,ફક્ત મારું
pyaari bindu,લવલી પોઇન્ટ
spiciest,સ્પીલિસેટ
chatkedaar,ખીચડી
masaledar,મસાલેદાર
janemann,જન્મ
tu hi hain,તમે એક છો
zanzanith,ઝાંઝાનિથ
thika,છરીઓ
hott,ઝૂંપડું
mat nach,હજુ પણ સાથે
en kuthon ke samane,en kuthon સમન્સ છે
jai veru,જય જુદા પડે છે
basanti meri jann,બસંતી મેરી જાનન
love is in the air,પ્રેમ હવા માં છે
sirf tumse,બસ તમે
only you,ફક્ત તમે
become my life,મારું જીવન બની જાય છે
hot ladki,ગરમ છોકરી
kala chashma,કાળા ચશ્મા
hunk,હંક
gud looking,સારું દેખાવું
oye hoye,બનવું
handsomehunk,હેન્ડસમહંક
phela din,પ્રથમ દિવસ
pheli baar,પહેલી વાર
new clas teacher,નવી ક્લાસ શિક્ષક
garmi gayi,ઉનાળો ગયો
its over,તે પૂરું થયું
rain water,વરસાદનું પાણી
thanda mausam,ઠંડુ હવામાન
khidki,બારી
nafarat,ધિક્કાર
subha,સવાર
sannan,પછી
soap,સાબુ
garampani,ગરમ પાણી
subh ka alaram,સવારે એલાર્મ
trin tring tring,પગલું ટ્રિંગ ટ્રિંગ
subha hogayi,સારું રહેશે
hai mamu,નમ
uthja bhai,ભાઈ ભાઈ
schooljana hai,શાળાએ જવું પડે
time up,સમય પુરો
get up,ઉભા થાઓ
awesome wali,અદ્ભુત વાલી
majhe ke din,મારા દિવસે
ghar ka kaam,ઘરકામ
boring job,કંટાળાજનક નોકરી
punishment,સજા
daily work,દૈનિક કામ
bhulgaya main,હું ભૂલી ગયો
phelaphela pyaar,નિષ્ફળ પ્રેમ
first love,પહેલો પ્રેમ
meri phela pyaar,મારો પહેલો પ્રેમ
uthavala,ઉથવાલા
new start,નવી શરૂઆત
nayi shuruwaat,નવી શરૂઆત
back to pevilion,પાછા સાથે પેવેલિયન
chutti khatam,રજા પૂરી થઈ
no molre holidays,વધુ રજાઓ નહીં
exams',પરીક્ષાઓ
subha ka alaram,શુભ સવાર
this year,આ વર્ષ
important exam,મહત્વપૂર્ણ પરીક્ષા
yeh saal,યે સાલ
preparation,તૈયારી
prelims,પ્રારંભિક
pre exam,પૂર્વ પરીક્ષા
mock test,મોક ટેસ્ટ
resourceful,સાધનસંપન્ન
passionate,ઉત્સાહી
secretive,ગુપ્ત
a true friend,સાચો મિત્ર
Tenacious,કઠોર
sympathetic,સહાનુભૂતિશીલ
insecure],અસુરક્ષિત]
moody,મૂડી
analytical,વિશ્લેષણાત્મક
shyness,સંકોચ
nature,પ્રકૃતિ
cleanliness,સ્વચ્છતા
healthy food,તંદુરસ્ત ખોરાક
reliable,વિશ્વસનીય
oractical,વલણવાળું
devoted,સમર્પિત
stable,સ્થિર
gardening,બાગકામ
promises,વચનો
generous,ઉદાર
idealistic,આદર્શવાદી
great sense of humor,રમૂજ મહાન અર્થમાં
philosophy,ફિલસૂફી
compassionate,કરુણાશીલ
fruitful,ફળદાયી
musical,સંગીતવાદ્યો
fearful,ભયાનક
desire,ઇચ્છા
co-operative,સહકારી
gracious,દયાળુ
diplomatic,રાજદ્વારી
fair minded,ન્યાયી
self pity,સ્વ દયા
harmony,સંવાદિતા
injustice,અન્યાય
warm hearted,ગરમ દિલનું
inflexible,જટિલ
taking holidays,રજાઓ લેતા
being admire,પ્રશંસક છે
humanitarian,માનવતાવાદી
uncompromising,કાલ્પનિક
being lonely,એકલા રહેવું
affectionate,પ્રેમાળ
adaptable,સ્વીકાર્ય
nervous,નર્વસ
inconsistent,અસંગત
mazgines,ગાંઠો
responsible,જવાબદાર
visual media,વિઝ્યુઅલ મીડિયા
Courageous,હિંમતવાન
challenges,પડકારો
Inactivity,નિષ્ક્રિયતા
aggressive,આક્રમક
Christmas spells,ક્રિસમસ બેસે છે
out love,પ્રેમ બહાર
hope and joy,આશા અને આનંદ
bear hugs,રીંછ hugs
loving kisses,પ્રેમાળ ચુંબન
jingle all the way,બધી રીતે જિંગલ કરો
Yuletide cheer,યુલેટાઇડ ઉત્સાહ
Father Christmas,ફાધર ક્રિસમસ
Santa Clause,સાન્તા ક્લોઝ
teddy bears,ટેડી રીંછ
chocholate,થોડું
History,ઇતિહાસ
Christmas Trees,નાતાલનાં વૃક્ષો
Christmas Spider,ક્રિસમસ સ્પાઇડર
Jesus Christ,ઈસુ ખ્રિસ્ત
Noël,ક્રિસમસ
Nativity,જન્મ
Yule,યુલે
Merry Xmas buddy,ક્રિસ્ટમસ શબ્દનું ટૂંકું રૂપ મિત્ર
lovely spirit,મનોરમ ભાવના
wishing you,તમે ઈચ્છતા
Wonderful Christmas,વન્ડરફુલ ક્રિસમસ
wonderful holiday,અદભૂત રજા
Joy of Giving,આપવાનો આનંદ
Prosperity,સમૃદ્ધિ
reason to smil,સ્મિત કારણ
Ladies,મહિલાઓ
Laughing all the way,બધી રીતે હસવું
teddy bear,ટેડી રીંછ
pleasent,સુખદ
snow fall,બરફ પતન
warm clothes,ગરમ કપડાં
bobtail ring,બોબટેલ રિંગ
ride and sing,જુલમ અને ગાઓ
through the snow,બરફ દ્વારા
toffees,toffees
shocks,આંચકા
moon light,ચંદ્ર પ્રકાશ
bundle of gifts,ભેટો બંડલ
red ballon,લાલ બલૂન
yellow ballon,પીળો બલૂન
girls loves,છોકરીઓ પ્રેમ
going for vication,વેકેશન પર જવું
holiday cheer,રજા ઉત્સાહ
hoilday season,રજા મોસમ
trips,ટ્રિપ્સ
climbing,ચડવું
Alpinism,આલ્પિનિઝમ
mountaineering,પર્વતારોહણ
starrock climbing,સ્ટારરોક ક્લાઇમ્બીંગ
day of rest,આરામનો દિવસ
holy day,પવિત્ર દિવસ
routine,નિયમિત
being alone,એકલા હોવા
being confined,મર્યાદિત હોવા
repitition,પુનરાવર્તન
learn quickly,ઝડપથી શીખો
exchange ideas,વિચારોની આપલે કરો
good managers,સારા મેનેજરો
reponsible,જવાબદાર
self - control,સ્વ નિયંત્રણ
unforgiving,ક્ષમાકારક
tradittion,વેપાર
understated status,અલ્પોક્તિ થયેલ સ્થિતિ
short tempered,ટૂંકા સ્વભાવનું
gentleness,નમ્રતા
caring,કાળજી
confirmity,સુસંગતતા
self - minded,સ્વયં
hard working,ખુબ મહેનતું
taking centre stage,કેન્દ્ર તબક્કામાં લેતા
true friend,સાચો મિત્ર
dishonesty,બેઈમાની
passive people,નિષ્ક્રીય લોકો
good sense of humor,રમૂજ સારી અર્થમાં
general,સામાન્ય
arrogant,ઘમંડી
stuborn,જિદ્દી
being admired,પ્રશંસા કરવામાં આવી રહી છે
expensive,ખર્ચાળ
bright colours,તેજસ્વી રંગો
disciplined,શિસ્તબદ્ધ
self control,સ્વ નિયંત્રણ
condescending,ઘનિષ્ઠ
good managers',સારા સંચાલકો
expecting the worst,સૌથી ખરાબ અપેક્ષા
famlly,કુટુંબ
highly imaginative,ખૂબ કાલ્પનિક
manipulative',ચાલાકી
home based hobbies,ઘર આધારિત શોખ
Runs from emotional expression,ભાવનાત્મક અભિવ્યક્તિથી ચાલે છે
aloof,દૂર
hogi,હશે
i will succedd,હું સફળ થઈશ
sarphod,સરફોડ
tarika,બેન્ડ
brilliant,તેજસ્વી
wonderful,અદભૂત
better option,વધુ સારો વિકલ્પ
best option,શ્રેષ્ઠ વિકલ્પ
perfect option,સંપૂર્ણ વિકલ્પ
creative one,સર્જનાત્મક
meri zindagi,મારું જીવન
barbad hogayi,વિનાશ થશે
meri life,મારું જીવન
zindagi na milegi dobara,ફરીથી જીવન નહીં મળે
barbadi,એક કચરો
good for nothing,કંઇ માટે સારું
compeletly destroyed,સંપૂર્ણપણે નાશ
kya main,મે
kharab dekhti hun,ખરાબ દેખાય છે
chehra,ચહેરો
uglyiest,નીચ
bekar,એક
i do not look beautiful,હું સુંદર દેખાતો નથી
used,વપરાયેલ
mazak,ઓછું
isthamal,Istamal
pj,પી.જે.
entertainment,મનોરંજન
too much care,ખૂબ કાળજી
rukjao,rukjao
baskaro,બાસ્કરો
bhaut hogaya,પૂરતું
chinta,વિચારો
chup baith,બેસો
badbadbad,સલામત
blablablabla,દોષમુક્ત
chapchapdchapd,chapchapdchapd
unpleasant,અપ્રિય
gandha,ગંધ
bhaut gandha,ખૂબ જ ગંદા
usne kiya,તેણે કર્યું
bandriya,વાંદરો
motu,મોટુ
bandar ne kiya,વાંદરે કર્યું
galat insaan,ખોટી વ્યક્તિ
alchemy,કીમિયો
allurement,હસ્તાંતરણ
biggboss,બિગ બોસ
biggboss10,બિગબોસ 10
tumhey,તમને
procedure,પ્રક્રિયા
Fried,તળેલી
browned,બ્રાઉન
sauteed,sauteed
frizzled,તરંગી
rahuldialogue,સંતોષકારક સૂચિ
twin,જોડિયા
jyotis,જ્યોતિષવિદ્યા
astrologer,જ્યોતિષી
biggbossbaba,બિગબોસબાબા
mamabhakt,પોમ્પોસ
luscious,લ્યુસિયસ
sweetened,મધુર
syrupy,ચાસણી
sweetu,સ્વીટુ
kehtey,કહો
melodramatic,મેલોડ્રેમેટિક
overplayed,ઓવરપ્લેડ
theatrical,થિયેટર
draw,દોરો
gain,લાભ
biggbossgirl,બિગબોસગર્લ
accomplished,પરિપૂર્ણ
admirable,વખાણવા યોગ્ય
attractive,આકર્ષક
consciousness,ચેતના
altercation,બહિષ્કાર
confrontation,મુકાબલો
dijaati,હોદ્દો
jaati,જાતિ
DANGALJAATI,મોંગ્રેલ
aamirkhanbeta,આમિરખાનબેતા
aamirkhanjaati,અમેરિકા
aamirkhanbeti,આમિરખાનબેટ્ટી
aamirkhan,આમીરખાન
gilt,ગિલ્ટ
halcyon,halcyon
hotahai,તે થાય છે
levve,levve
DANGALGold,દંગલગોલ્ડ
contented,સંતોષ
delighted,આનંદ
ecstatic,પ્રસન્ન
elated,આનંદિત
glad,પ્રસન્ન
acceptable,સ્વીકાર્ય
exceptional,અપવાદરૂપ
mahri,માહરી
kam nhi,કોઈ કામ નથી
dangel,ડેંગેલ
adolescent,કિશોરવયના
schoolgirl,શાળાની છોકરી
teenager,કિશોર
Taketwer,ટેકટવેર
athletic,એથલેટિક
capable,સક્ષમ
durable,ટકાઉ
verdict,ચુકાદો
settlement,સમાધાન
decision,નિર્ણય
arrangement,વ્યવસ્થા
program,કાર્યક્રમ
come2017,come2017
noprogram,noprogram
planno,યોજના
noplan,noplan
noparty,noparty
sadgirl,ઉદાસી
stillnow,હજી પણ
intention,હેતુ
method,પદ્ધતિ
sadboy,સડ્વો
newyearwish,newyearwish
girlswish,ગર્લ્સવિશ
wishnewyear,wishnewyear
fungirls,ફૂગર્લ્સ
considerable,નોંધપાત્ર
immense,અપાર
boyfun,છોકરો
party time,પાર્ટી સમય
boypartytime,બાયપાર્ટીટાઇમ
boynewyear,boynewyear
girlsparty,ગર્લસ્પર્ટી
girlsnewyear,girlsnewyear
fullfun,ફુલફન
girlsfun,girlsfun
boyparty,બાયપાર્ટી
treatment,સારવાર
newperiod,newperiod
completed,પૂર્ણ
justcomplate,justcomplate
catnap,ખુશખુશાલ
interlude,અંતરાય
intermission,મધ્યસ્થતા
obligation,જવાબદારી
duplicate,નકલ
imitation,અનુકરણ
photocopy,ફોટોકોપી
print,છાપો
redassignments,ફરીથી સોંપણી
smartgirl,smartgirl
college girls,કોલેજની છોકરીઓ
manage,મેનેજ કરો
sad boy,ઉદાસી છોકરો
college boy,કોલેજ છોકરો
collegesadboy,કોલેજ એડબાય
boybag,બોયબેગ
barso re megha,બારસો રે મેઘા
rainwater,વરસાદી પાણી
barish kapaani,વરસાદ આરામ
oye balle balle,હે વ્હેલ વ્હેલ
paani main aag lagaye,પાણીને આગ લગાડો
drop by drop,ડ્રોપ દ્વારા છોડો
rain dance,વરસાદ નૃત્ય
badal,ભથ્થું
kale megha,બ્લેક મેઘા
colorful umbrella,રંગબેરંગી છત્ર
muddy smell....,કાદવ ગંધ ....
chai chap chai,બોટલ ચાપ ચાય
chapak chai,ચા ચા
naav,નાવ
aweome feeling,ભયાનક લાગણી
great masti,મહાન મસ્તી
chilling out,બહાર ઠંડક
monsoon season,ચોમાસાની seasonતુ
kalemegha,kalemegh માટે
paani toh barso,પાની તો બારોસો
beautiful weather,સુંદર હવામાન
thanda thanda,ઠંડી ઠંડી
evening time,સાંજનો સમય
nachna,nachna
awesome mausam,અદ્ભુત મૌસમ
yeh mausam ka jadoo,આ મોસમનો જાદુ
hai mitwa,હૈ મીતવા
mausam bigh bigha,હવામાન બિગહ બિઘા
main to main toh bigh,મુખ્ય થી મુખ્ય
HAI ALLA,તમારી પાસે છે
satrang bahar ke,દુનિયાની બહાર
mindblasting,માઇન્ડબ્લાસ્ટિંગ
beautful colours,સુંદર રંગો
bhulgaya,ભુલગાયા
visarla,વિસર્લા
chatri,વિદ્યાર્થી
heavy rain,ભારે વરસાદ
coolcool water,ઠંડુ ઠંડુ પાણી
muddy smell,કાદવ ગંધ
pakode,ભજિયા
adrak chai,આદુ ચા
garama garam,ગરમ ગરમ
khidhki,લઈ જા
awesome view,અદ્ભુત દૃશ્ય
favorite season,પ્રિય મોસમ
muddy water,કીચડ પાણી
awesome experience,અદ્ભુત અનુભવ
cool weather,ઠંડુ હવામાન
games,રમતો
kichad,કાદવ
barish ka panni,વરસાદ ગેજ
great feeling,મહાન લાગણી
masti with friends,મિત્રો સાથે મસ્તી
urgent,તાત્કાલિક
requirement,જરૂરિયાત
course,કોર્સ
examination,પરીક્ષા
nonsense,બકવાસ
badboy,ખરાબ છોકરો
clear,ચોખ્ખુ
painless,પીડારહિત
moving,ખસેડવું
bustling,ખળભળાટ
movable,જંગમ
next day,બીજા દિવસે
shockedgirl,આશ્ચર્યજનક
girlskite,મોં
barsore,barsore
playing girl,રમત છોકરી
sucker,સકર
buffoon,બફૂન
moron,મોરોન
youngster,યંગસ્ટર
lovelady,લવલેડી
funnygirl,રમૂજી છોકરી
girlfun,છોકરી
ullubanaya,ullubanaya
fullmaza,fullmaza
badamaza,બદમાઝા
aprilfool,એપ્રિલ ફૂલના
boyapprilfool,બોયાપ્રિલફૂલ
lovegirl,લવગર્લ
enraged,ક્રોધિત
boymind,boymind
nomind,નામ છે
ghutno,ઘૂંટણ
contact,સંપર્ક
girls fun,છોકરીઓ મજા
happygirl,હેપ્પીગર્લ
Maharashtragirl,મહારાષ્ટ્ર
Maharashtrasaari,મહારાષ્ટ્ર
girlssaari,છોકરી
gir,પૂરું પાડે છે
girls attitude,છોકરીઓનું વલણ
Maharashtra women,મહારાષ્ટ્રની મહિલાઓ
maharashtra traditional,મહારાષ્ટ્ર પરંપરાગત
girlsaari,girlsaari
Maharashtrawomen,મહારાષ્ટ્રમાં
redsaari,redsaari
maharashtraman,મહારાષ્ટ્રમાં
language,ભાષા
desiindian,desiindian
tallest guy,સૌથી guyંચી વ્યક્તિ
giggle,હસવું
gigs,જીગ્સ
gitygity,gytygity
good one,સરસ
red shirt,લાલ શર્ટ
waparna,waparna
use karna,તે કરવા માટે
grandmasti,ભવ્ય મસ્તી
useful,ઉપયોગી
enough is enough,બસ બહુ થયું હવે
be in limits,મર્યાદામાં રહો
shaitani,ડાયબોલિકલ
madness,ગાંડપણ
bhag gaya,ભાગી ગયો
runned away,ભાગી ગયો
shayad main,કદાચ હું
bagh jata,વાઘ જાય છે
escapisim,પલાયનવાદ
escaped,છટકી ગયો
eyeglasses,ચશ્મા
kalachashma,કલાચશ્મા
lenses,લેન્સ
where is it,તે ક્યાં છે
kidhar hai,તમે ક્યાં છો
tall boy,tallંચો છોકરો
bhai kahan hain tu,તમે ક્યાં છો ભાઈ
kidhar mar gaya,જ્યાં મોત નીપજ્યું હતું
zinda hai,જીવંત છે
are you dere,તમે ડિયર છો
i cantg find you,હું તને શોધી શકતો નથી
where have you hidden,તમે ક્યાં છુપાવ્યા છે?
guy with red pants,લાલ પેન્ટ સાથે વ્યક્તિ
brown bread,બ્રાઉન બ્રેડ
double decker sandwhich,ડબલ ડેકર સેન્ડવિચ
cheese toast,ચીઝ ટોસ્ટ
brown doggiee,બ્રાઉન ડોગી
chocolate color dogiee,ચોકલેટ રંગ ડોગી
kutha,શહેર
dogiee,ડોગી
rock and roll,રોક અને રોલ
pampara,પમ્પરા
scooby-dobbiee prampa,સ્કુબ્ય-ડોબ્બીએ પ્રમ્પ
brown dogiee,બ્રાઉન ડોગી
labrador,લેબ્રાડોર
freinds,freinds
lets get \,ચલેા મેળવીઍ \
scattered,વેરવિખેર
bhikharna,ભિખારી
bat jana,વાત કરવી
splitting,વિભાજન
suspense,રહસ્યમય
conclusion,નિષ્કર્ષ
answer,જવાબ
tum kya karoge,તમે શું કરશો?
kyakaroge,તમે શું કરશો?
beautiful girl,સુંદર છોકરી
scoobydooo,સ્કૂબી ડૂ
will u come,તું આવીશ?
to my,મારા માટે
house party,ઘર પાર્ટી
myhouse,મારું ઘર
home sweet home,ઘર પ્યારું ઘર
you all,તમે બધા
all of you,તમે બધા
why your mouth,કેમ તમારું મોં
isshut,ઇશટ
quite,તદ્દન
chupchap,શાંતિથી
why are,શા માટે છે
you not,તું નહિ
sayanything,કંઇપણ બોલ
balnk,બાલ્ક
nowords,કોઈ શબ્દ નથી
paisapaisa,પૈસા પૈસા
karti,કાર્ડ્સ
main paise pe marta hun,હું પૈસા માટે મરી જાઉં છું
income,આવક
i amhungry,મને ભૂખ લાગી છે
mujhebhuk,હું
goodfood,સારુ ભોજન
khanado,આ બ્લોક્સ
khaneko,અસ્વીકાર
kuchdo,કુ સી.એચ.
i have,મારી પાસે
brillantidea,ઝળહળતો
tarkib',સામગ્રી '
tu gaya,તમે ગયા
aabbb,aabbb
gone now,હવે ગયો
i will see you,હું તને જોઈ લઈશ
i will,હું કરીશ
also come',પણ આવો '
i m coming,હું આવું છુ
me aya,અંદર આવ્યા
is this,આ છે
half pant,અર્ધ પેન્ટ
tera hai kya,તમારું શું છે
light pink pants,પ્રકાશ ગુલાબી પેન્ટ
comeon,ચલ
we will,આપણે કરીશું
aprty,પાર્ટી
atmyplace,એટીએમપ્લેસ
houseparty,હાઉસપાર્ટી
fullon,ફૂલોન
djwale babu,djwale બાબુ
runrun,રનરન
escapsim,પલાયનવાદ
bagh gaya,વાઘ ગયો
bagh bagh,વાઘ વાઘ
bagh,બાગ
bhag milka,ભાગ મિલ્ખા
bhaag bhaag,ભાગી
G-mail,જી-મેઇલ
Kar raha,કરી રહ્યા છે
santy,રેતાળ
spiritual,આધ્યાત્મિક
heart-warming,હાર્ટ-વોર્મિંગ
heart touching,હૃદય સ્પર્શ
soul-stirring,આત્મા-પ્રેરણા
Emotional Chora,ભાવનાત્મક ચોરા
Distemper,ડિસ્ટેમ્પર
bhar dunga,ભરશે
asian paints,એશિયન પેઇન્ટ્સ
Paint Dealers,પેઇન્ટ ડીલર્સ
royal paint,શાહી પેઇન્ટ
joint family,સંયુક્ત કુટુંબ
chocolate boy,ચોકલેટ છોકરો
boyish charm,બાલિશ વશીકરણ
gyan devi,જ્yanાન દેવી
sexy woman,સેક્સી સ્ત્રી
destructive,વિનાશક
heinous,ઘૃણાસ્પદ
villainous,ખલનાયક
tomatogirls,ટોમેટોગર્લ્સ
devilish,શૈતાની
capability,ક્ષમતા
capacity,ક્ષમતા
talent,પ્રતિભા
potential,સંભવિત
yourmind,તમારું મન
malevolent,દુષ્ટ
corrupt,ભ્રષ્ટ
nefarious,બેભાન
evilgirls,દુષ્ટ દુશ્મનો
catevil,catevil
disturbed,વ્યગ્ર
red shree,લાલ શ્રી
rahul gandhi,રાહુલ ગાંધી
bhasan,ફ્લોટ
nehru jacket,નેહરુ જેકેટ
bussiness,bussiness
work hard,સખત કામ કરવું
black court,બ્લેક કોર્ટ
lime water,ચૂનો પાણી
sunny day,સન્ની દિવસ
busy day,વ્યસ્ત દિવસ
:	household,:	ઘરગથ્થુ
mother love,માતા પ્રેમ
thing,વસ્તુ
cool boy,મજાનો છોકરો
red nikkar,લાલ નીકર
ka laadla,પ્રિય
bigad gya,બગડેલું
togetherness,એકતા
similarity,સમાનતા
yelllow,યેલ્લો
dirt fellow,ગંદકી સાથી
sexual,જાતીય
MAd woman,મેડ સ્ત્રી
provoked,ઉશ્કેરવું
take a holiday,રજા લો
sweet heart,મીઠી હૃદય
baabu,બાબુ
swab,સ્વેબ
bhokh,ભૂખ
laggi,લટકનાર
wateress,પાણીયુક્ત
Katari Wateress,કટારી વાટરેસ
hostess,પરિચારિકા
candle light,મીણબત્તી પ્રકાશ
jokar,જોકરો
budha,બુદ્ધ
red nose,લાલ નાક
chudal,ચૂડેલ
vampires,વેમ્પાયર
redevil,ફરી વળવું
evilgirl,દુષ્ટ દુશ્મન
evilwomen,દુષ્ટ સ્ત્રી
redlady,redlady
evillady,ઉદ્દીપક
clemency,ક્ષુદ્રતા
forgiveness,ક્ષમા
clamor,ધ્રુજારી
deliberate,ઇરાદાપૂર્વક
genuine,અસલી
grin,હસવું
smirk,સ્મિર્ક
Babyevil,બેબી એવિલ
evilboy,દુષ્ટ બોય
evilsmile,દુષ્ટતા
evillaugh,ગુલામી
entertain,મનોરંજન
gratify,પ્રસન્ન કરવું
amuse,મનોરંજન
Girlevil,ગિરવીલ
gujarati traditional,ગુજરાતી પરંપરાગત
desigirl,desigirl
gujaratigirl,ગુજરતીગિરલ
indiandesi,indiandesi
desigirls,desigirls
desiboy,દેશીબોય
gujaratiboy,ગુજરતબોય
.,.
pagdi,પેગડી
gujarati choli,ગુજરાતી ચોલી
Mind it!,વાંધો!
Jhund mein,ઘેટાના .નનું પૂમડું
toh soovar,તોહ સોવર
aate hai \,આવો
sher akela,સિંહ એકલો
hi aata hai,માત્ર આવે છે
you better,તમે વધુ સારું
understand!,સમજવું!
Aaj Sunday hai,આજે રવિવાર છે
toh daru peene,તોહ દારૂ પીને
ka din hai,નો દિવસ છે
figter,અંજીર
assailant,હુમલો કરનાર
combatant,લડાકુ
jack,જેક
mercenary,ભાડૂતી
militant,આતંકવાદી
support for women,સ્ત્રીઓ માટે આધાર
great woman,મહાન સ્ત્રી
election parties,ચૂંટણી પક્ષો
leaders,નેતાઓ
great leader,મહાન નેતા
managing director,વહીવટી સંચાલક
victor,વિજેતા
victory,વિજય
Shirtless drunk,શર્ટલેસ નશામાં
lost in love,પ્યાર માં ખોવાયેલ
crazy boy,પાગલ છોકરો
Blended,મિશ્રિત
Scotch,સ્કોચ
Whiskies,વ્હિસ્કીઝ
forthcoming,આગામી
love affair,પ્રેમ ચક્કર
love emotions,લાગણીઓ પ્રેમ
Romantic music,ભાવનાપ્રધાન સંગીત
loved one,એક પ્રેમભર્યા
amplifier,એમ્પ્લીફાયર
smartphone,સ્માર્ટફોન
communication,વાતચીત
again and  again,ફરીથી અને ફરીથી
emotions,લાગણીઓ
rose day,ગુલાબ દિવસ
valetine day,વેલેન્ટાઈન દિવસ
cute boy,સુંદર છોકરો
beterhalf,ઉત્તમ અડધા
of Your Heart,તમારા હાર્ટ ઓફ
crushes my heart.,મારા હૃદયને કચડી નાખે છે.
angry women,ગુસ્સો સ્ત્રીઓ
ill-tempered,દુષ્ટ સ્વભાવનું
hateful,દ્વેષપૂર્ણ
bad tempered,ખરાબ સ્વભાવનું
full of hate,તિરસ્કારથી ભરેલું છે
blown a gasket,ગાસ્કેટ ઉડાવી
Strong women,મજબૂત મહિલાઓ
rule the world,દુનિયા પર શાસન
cherishingstar,ચેરીશીંગાર
zumba,ઝુમ્બા
aerobics,ઍરોબિક્સ
show love,પ્રેમ બતાવો
love bird,પ્રેમ પક્ષી
sexy lady,સેક્સી મહિલા
Rock stars,રોક સ્ટાર્સ
appo,appo
aa beta selfie le le,આ બીટા સેલ્ફી લે લે
salman khan,સલમાન ખાન
bajrangi bhaijaan,બજરંગી ભાઈજાન
photography,ફોટોગ્રાફી
oneself,પોતાને
webcam,વેબકૅમેરો
shared,વહેંચાયેલું
on facebook,ફેસબુક પર
YouCam Perfect,YouCam પરફેક્ટ
Takes 2 selfies,2 સેલ્ફી લે છે
Deletes 22 selfies!,22 સેલ્ફી કાleી!
A selfie,એક સેલ્ફી
a day,એક દિવસ
keeps the,રાખે છે
friends away.,મિત્રો દૂર.
Take my selfie,મારી સેલ્ફી લો
I don’t know,મને ખબર નથી
why I’m still waiting.,શા માટે હું હજી રાહ જોઈ રહ્યો છું.
sun to shine.,સૂર્ય ચમકવું.
first letter,પ્રથમ પત્ર
alphabetical,મૂળાક્ષર
I’m single,હું એકલો છું
right one to come along.,એક સાથે આવે છે.
You might fall,તમે પડી શકો છો
in love with me.,મારા પ્રેમમાં
gymanisium,અખાડો
excerise,કસરત
body buidler,શરીર બિલ્ડર
lets workout,વર્કઆઉટ દો
lets reduce our calories,ચાલો આપણી કેલરી ઓછી કરીએ
muscules,વજન
main tumse,મુખ્ય પેટ
pyaar kartahoon,લવ યુ
mohabatt,મોહિત
ikarar,કરાર
kya tum,તમે કરશે
ready ho,તૈયાર હો
lets try,ચાલો પ્રયત્ન કરીએ
body builder,શરીર બિલ્ડર
handsome hunk,હેન્ડસમ હંક
chalo mere,મારા પર આવો
baremien baat kartein,વિશે વાત કરો
selfieewala love,સેલ્ફીવાળા પ્રેમ
dole shole,ડોલ shole
6 packs,6 પેક
abb,અંજીર
solla ka dolla,ભટકવું
gudlooking,ગુડલોકિંગ
hero types,હીરો પ્રકારો
hows you baby,તમે કેવી રીતે બાળક
how are you baby,તું કેમ છે પ્રિયે
sab thik thak,બરાબર
all is welll,બધું બરાબર છે
all fine,બધું સારું છે
hot girl,સુંદર છોકરી
sexiest,સેક્સી
charming,મોહક
dinner date,રાત્રિભોજન તારીખ
kahne pe chale,કહેવા જાઓ
lets hang out,ચાલ બહાર જઈએ
onlyyouandme,ફક્ત તમે જ
romanic time,રોમન સમય
beautiful memories,સુંદર યાદો
awesome fun,અદ્ભુત મજા
royal enfiled,શાહી એનફિલ્ડ
oh brother,ઓહ ભાઈ
cool dude,કૂલ વરણાગિયું માણસ
lets go out for ride,ચાલો સવારી માટે નીકળીએ
night time,રાતનો સમય
awesome wheather,ભયાનક હવામાન
janemannn,જાહેર અભિપ્રાય
sweetiee,સ્વીટી
cutiepiee,cutiepiee
eve,પૂર્વસંધ્યા
dekho chand aya,જુઓ ચંદ્ર આવ્યો
chand nazar aya,ચંદ્ર જોયો
eid ka chand,ઈદ કા કેનેડા
half moon,અર્ધચંદ્ર
ardha chandra,અર્ધ ચંદ્ર
shanti se raho,શાંતિ રાખો
and happy iftar,અને ખુશ ઇફ્તાર
delicious food,સ્વાદિષ્ટ ખોરાક
festive season\,ઉત્સવની મોસમ \
special items,ખાસ વસ્તુઓ
meljol,સભા
wishing each other,દરેક અન્ય ઇચ્છા
