bobble,ڪوبہ
हैदराबाद,حيدرآباد
यारों,دوست
ब्यूटीफुल,خوبصورت
हरयाणी,هريانا
बरअक्स,بيڪس
बोनस,بونس
हेर्त्स,دليون
तोड़ते,ٽوڙڻ
टूटना,هٽ وڪندڙ آهي
शॉर्ट्स,شارٽس
बीच इन,انهن مان
फन,مزو
दिलवालों,دليون
इल्ली,ورم
मेट्रो,عام رستو
दिलसे,دليس
कैपिटल,پانڌيڙو
मंद,ايم
एना,اينا
साउथ,ڏکڻ
तमिल,تامل
नाडु,نادو
चंगा,شفا بخش ٿيو
चंडीगढ़,چانڊيگ
कुड़ी,ليٽر
पंजाबी,پنجابي
मुंडी,منڊي
मिष्टी,مٺو
रसोगुल्ला,راسوگولو
बंगाल,بنگال
बेनेली,بيني
लैंड,زمينداري
राइजिंग,اڀرڻ
सुन,ٻڌ
शरती,شيري
अरुणाचा;,اروناچا؛
अरुणाचल,اروناچل
प्रदेश,رياست
नार्थ,اتر
ईस्ट,اوڀر
यू पी,يو پي
है\,آھي
ठुमका,ڍنڍون
वाला,وارو
ताज,تاج
महल,محل
आगरा,آگره
रेट,اگھ
क,الف
राजस्थान,راجستان
पायरा,قدم
सूखा,وچن
बल्ले,بٽ
नेचर,فطرت
आमची,اسان جي
मुंबई,ممبئي
बॉम्बे,بمبئي
गेट,گيٽ
ऑफ़,بند آهي
वाचेया,پڙهو
सेलेना,سيلينا
गोमेज़,گومز
पिंक,گلابي
जस्ट टेक्स्ट,صرف لکت
बंग,بينگ
बंग बंग,بينگ بينگ
पिस्तौल,پستول
ेमकोउन्टर,ेमकोउन्टर
पर्पल,واڙائي
ड्रेस,لباس
शूट,شوٽ
वाओ,وائو
वोविस,وووس
वोह,چي
नीस,سٺو
कोल्ड,ڀڌ
जानते,Knowمايو
अचे,اوڪي
क्नोव,ڪوهو ـ
डाट,اسٽوپر
टॉकिंग,گفتگو ڪرڻ
हांजी,ھا آھن
हाँ,ها
हैंडल,سنڀالڻ
कांत,ڪانٽ
पाओगे,ڳولي وٺندا
ोप्स,ोप्स
ोंग,ोंग
गपड,گپ شپ
बगवान्न,بگين
ी,ी
रेट्रो,ريٽرو
लड़किओं,ڇوڪرين
तरह,پسند ڪريو
गर्ल्स,ڇوڪرين
लिखे,لکو
इतर,ٻيا
ाचा,ाचा
बजा,باجا
डुंग,گونگا
उड़ा,ڌڪ
पतंग,لغڙ
धागा,سلسلو
लपेट,ويڙهيو
पो,پو
छे,ڇهه
बजी,رنگ
ढील,آرام ڪرڻ
डील,ڊيل
पहात,ڏسي رهيو آهي
बाज़ी,پيرلي
अजा,ايجا
पेंच,ٺڪيو
एस्टी,اينٽي
अटक,گرفتار ٿيو
शौक,شوق
पन्नी,ورق
कन्नी,ڪني
कुरता,شرٽ
मंचा,منچا
कच्चा,خام
कटा,چٽ ٿيل
कटे,ڪٽ صفائي
काटे,ڪٽيو
दौड़ो,هلائي
डोगग्य,ڪتي
ब्वॉय,ڇوڪرو
पूगगी,پگگي
दादा जी,ڏاڏي
दांत,ڏند
चचा,بحث مباحثو
अंकल,چاچا
च च च,ايف جي ڀ
बुआ,چاچي
की दुआ,نعمتن جي
व,۽
ब्लेस्सिंग्स,نعمتون
सहारा,سپورٽ
भाई है,ڀاءُ آهي
स्टाइल,انداز
स्टाइलिश,سجيل
भाभी जी,ڀيڻ جو
मेरी प्यारी,منهنجي پيارو
प्यारी भाभी,پياري ڀيڻ واڻي
बेहेन,ڀيچي
नकरे,ننگيار
चूसे,ڪِنو
नौटंकी,مشمڪه
नानी,ناني
कहानिया,ڪهاڻيون
कान्हा,ڪنڌ
चवल,چولا
चावल,چاٻو
अत,تنهن ڪري
टिया,ٽيا
चक्ति,طاقت
चलती,منتقل ٿيڻ
बाई,بائي
टाटा,ٽاٽا
फॉर,لاءِ
चपल,چنچل
मोड,موڊ
साइलेंट,خاموش
लेटस,Lettuce
चलते,گڏيندا وڃون
बास्केट,ٽوڙي
खाओगे,کاڌو پائيندو
प्याला,ڪوپ
बाउल,ڪنول
चिलिंग,ھلائڻ
अलग,مختلف
शॉप,دڪان
विंडो,دري
खरीदना,خريد ڪرڻ
करोड़,ڪروڙ
थकन,ٿانون
टायर्ड,ٿڪل
हु,هو
साद,سڌو
चल,چڙهو
यहां,هتي
आपका,توهان جو
सबका,هر ڪو
स्वागत,ڀليڪار
कूल,ٿلهي
थिस,هِنَ
चाट,چوٽ چاڙهڻ
मुलाकात,گڏجاڻي
एंड्स,اينڊز
राइट,سا Rightو
इधर ही,هتي ئي
आवर,اسان جي
ग्रुप,ميڙ
ऐड,جوڙيو
पोस्ट,پوسٽ
लड़ो,وڙهڻ
रिप्लाई,جواب لکو
तोह किआ,سو ڪيا
करा,مهرباني ڪري
ा\रा,را
लीविंग,جيئرو
नाउ,ھاڻي
बई,بائي
होगे,ٿيندو
तेरा,توهان جو
होगया है,نوڪري ڪئي وئي
काली,ڪارو
दू,ٿا
तुझे,توھان لاء
तब,پوءِ
मानेगा,ويچار ڪندو
गलोच,گلوڪو
एरर,نقص
दारु बियर,مشروبات بيئر
स्वीटी,مٺي
व्हस्की,ويسڪ جو
होंनई,هوني
होनी,هئڻ
जैकपोट,جيڪپٽ
लग,ڏس
गइबे,گبي
अल्कोहल,شرابَ
किंग,بادشاهه
चियर्स,خوش رهو
ब्रांडी,برانڊي
बाथ बियर,غسل خاني
बाथ,غسلَ
टल्ली,پارش
थपड,ڌنڌلو
चांटा,ڌنڌلو
ग्लोब,دنيا
कनेक्ट,ڪنيڪٽ ڪريو
वर्ल्ड,جھان
डोमिनेशन,تسلط
काठ,ڪاٺ
पुतली,ڊولي
शकल,منهن
पर,At
जा,وڃ
अकाल,قحط
पावर,طاقت
पुअर,ڪمزور
गरीब,غريب
किसी,ڪو
कभी,هونئن به
जागो,راڳي
ग्राहक,گراهڪ
जागूओ,راڳي
जाग,راڳي
है र,سيو آهي
हर,هرڪو
फ्रेंड,دوست
ज़रूरी,ضروري
होता,ھا
व्राप्पेड,ويڙهيل
चुतियापा,چوٽيپا
है डब्बा,دٻي آهي
सुनदर,خوبصورت
फ्री,مفت
२,२
पूल,تلاءُ
स्विमिंग,ترڻ
ाभु,ाभु
दज,داخلا
सम,جيتوڻيڪ
गो,وڃ
एपिक,ايپڪ
टुनाइट,اight رات
ही ृत्त,ساڳيو دائرو
ृत्त,ृत्त
डोंट,نه ٿيو
ड्राइव,ڊرائيو
चलाओ,ڊرائيو
बे,ڪنارو
ा,ा
पूपर,ڪمزور
ब्योब,بوب
जाए,وڃ
बीरदारु,بارڊريو
दम,طاقت
सांग,ٻڌاءِ
तो पार्टी,پوءِ پارٽي
दासी,نوڪرياڻي
ई,اِي
ड्रंक,شرابي
छोड़,ڇڏي ڏيو
सुता,سوٽا
स्मोकिंग,ڌڪڻ
कॉसेस,سبب
इम्पोटेंसी,اهميت
सग्गड़ाते,ساٿي
फुल,مڪمل
आठ,اٻاوڙو
खूब,گهڻائي
करेंगे,ڪندا
तोंगट,ٽاڊاڊ
बूम,بوءِ
परतीयय,عليين
ीीाहहह,ीीाहहह
आह्ह्ह्ह,آهه
डी,ڊي
शेक,شڪي
बेल्ली,ٻلي
डेज,ڏينهن
यूनिफार्म,وردي
शूज,بوٽ
होमवर्क,گهر جو ڪم
वसुप,ويسوپ
गाइस,گوسائيو
सॉक्स,سوڪس
हग्स,ڀايون
गुड्डा,گڊا
तय,درست ٿيو
थिंकिंग,سوچيندي
अबाउट,جي باري
फूडी,کاڌو
हंगर,بکايل
भूखी,بکايل
बिस्किट,بيسکٽ
जार,jarار
आरा,ڏٺو
ही हूँ,مان صرف آهيان
सच्चे,سچو
हप्ते,قسطون
स्टोरी,ڪهاڻي
बुक्स,ڪتابَ
पेन,قلم
पेंसिल,پينسل
पेजेज,صفحا
कहना,چوڻ
और नहीं हो,وڌيڪ نه
कर्ली,ڪرلي
ची ची,چي چي
लॉन्ग,وڏو
चलिए,گڏيندا وڃون
बाइक,موٽر سائيڪل
गण,گانا
पसनद,چونڊ
खिलौना,رانديڪو
ीआई,ीआई
बेटी,ڌيءُ
कार्डो यूनिफार्म,ڪاريو يونيفارم
नोटबुक,نوٽ بوڪ
कॉपी,ڪاپي
प्ले,کيڏو
गैस,گئس
डॉल,گڏي
फ्रॉक,فراڪ
डिस्टर्ब,پريشان
रोबोट,روبوٽ
आर्टिस्ट,آرٽسٽ
ड्राइंग,ڊرائنگ
कलर्स,رنگَ
पेंटिंग,نقاشي
ी आ,مسٽر اي
ट्री,وڻ
हॉलिडे,موڪلون
अग्ली,بدصورت
फेस्टिवल,فيسٽيول
मेर्री,ميري
फिटनेस,صحتمند ھجڻ
मजबूत,مضبوط
तंदुरुस्त,صحتمند
स्लिम,سلم
फिट,فٽ
छाती,سينه
भरा,ڀريل آهي
अंदर,۾
तेल,تيل
गयम गैमिंग,هم جنس پرستن جي راند
हिट,ڀيٽيو
गयम,گيئيم
अस,جيئن
फिडल,فيلڊ
हेअल्थी,صحت
स्टे,بيهي رهڻ
डाइटिंग,غذا ڏيڻ
मोती,موتي
होगयी,ٿيندو
पुमपैड,پمپاڊٽ
उप,نائب
किलस,ڪليس
स्लैम,سليم
धौंक,ٻرندڙ
बोटा,بوٽا
किसको,ڪئين کي
तूने,توهان
हूँ में,مان آهيان
चिकन,ڪڪڙ
टुडे,ا
खाएंगे,کائيندو
सारा,سڀ
तंदूरी,ٽنڊووري
ी आई,مسٽر اي
डॉक्टर,ڊاڪٽر
पेशेंट,مريض
प्लस,وڌيڪ
हॉस्पिटल,اسپتال
मोरे,وڌيڪ
रनिंग,هلندڙ
जॉगिंग,جاگنگ
मॉर्निंग,صبح وارو
बालक,ڇوڪرو
ऋ,آر
परांठा,پروٿا
दही,وکر
साइकिलिंग,سائيڪل ھلائڻ
पथ,رستو
लॉस्ट,وڃايل
१०,१०
कग,ڇاگ
इतनी,تمام گهڻو
गैमिंग,رانديون
सिम,سم
जाये,وڃ
लेक्चर,ليڪچر
पर्स,پرس
प्रोफेसर,پروفيسر
जाने,ڄاڻو
देदे,ڏيو
यारर भाई,يار يار
सीखा,سکيو
पढ़ा,پڙهو
रैगिंग,راڳ ڏيڻ
लेनी,لينني
दन,ڏينھن
बीएड,بي ايڊ
आलास,افسوس
रेडी,تيار
कॉलेज त्यार,ڪاليج تيار آهي
में पूरी,س wholeو
लेली,ليلي
पहनने,وارا
नथिंग,ڪي به نه
वियर,وارا
नई क्लोथ्स,نوان ڪپڙا
फ्रेशर्स,تازيون ڪندڙ
लिए लिए,لاءِ
ब्रोके,ٽوڙيو
सिक,بيمار
बीमार,بيمار
बीमारी,بيماري
फेमस,مشهور
गिटार,گٽار
परफॉरमेंस,ڪارڪردگي
रोल म,رولڙي ۾
रोल,رول
नाईट,رات جو
बमार,بامر
वेल,کوھ
नॉट फीलिंग,ڀرڻ نه آهي
सही हूँ,صحيح آھيان
मुंडा,منڊي ويو
सैंतींस,سينٽيسين
छाए,شيڊ
चलें,گڏيندا وڃون
चलोगे,وڃين ها
मेरे साथ,مون سان گڏ
अस्सीगंमनेट्स,ايسوسيئيشن
गयी है,ٿي چڪو آهي
हुए,خوش ٿيو
डीडेड,وقف
स्टार्ट,شروع ڪريو
स्टडी,پڙهائي
डिसिशन,فيصلو
लेलिऐ,کڻجان
आल अबाउट,سڀ جي باري ۾
कलगे,ڪولن
बोझ,تڪليف
पढ़ने,پڙهو
कंसंट्रेशन,ويڙهاڪ
प्लैसे,جاءِ وارو
दे एरर,غلطي ڏيو
वाला टॉपिक,وِلا موضوع
टॉप्स अत,مٿان
तपोस,ٽيپو
टॉपिक,موضوع
एक्साम,امتحان
बाउट,ھلندڙ
जयादा है,وڌيڪ آهي
प्लस पास,پلس پاس
करवा,پورو ڪر
मेकिंग,ٺاهڻ
डीडीओ एरर प्लीज,ڊي ڊي او غلطي مهرباني ڪري
डीडीओ,ڊي ڊي او
समथिंग,ڪجھ
ेल्स,ेल्स
कक,چي
करें,ڪيو
मरते,مرڻ
मरेगा,مري ويندو
असाइनमेंट,منصب
करदे,ڪاريڊ
करदिओ,قريشي
प्रॉक्सी,پراکسي
लगदे,جڙيل آهي
लगा डीओ,رکو رکو
aai,مان آيو
aam,سال
ba,رکيو
रेडी त्यार,تيار تيار
होगयी फॉर,جي لاءِ
सीनियर,سينئر
तमीज़,تميز
मुबारक दारु,خوش شراب
चीज़,پنيس
मस्त है,ٿورڙو آهي
बड़ी,وڏو
हठी,ڪتي
देर,دير
होगयी है,نوڪري ڪئي وئي
बर्ड,پکي
व्हो,وو
ओह,او
शीप,رepن
पी,پي
जाउन्गा प्यासा,جيونگا پياسي
मचार,ميڪر
मॉस्क्वीटो,مڇر
ब्लड,رت
स्लो,آھستي
स्नैल,ڇڪڻ
धीरे,آھستي
बुरा,ڇتو
खासा,ڪافي
हैंग,رکو
लटक,ھڻڻ
इन,۾
बुड़ीय,بڊي
पेड़,وڻ
नकलची बन्दर,تقليد بندر
नकलची,امتياز
केला,ڪيلي
मंकी,بندر
बग,بگ
ऑफ,بند آهي
माखी,مکي
हाउस,ايوان
फ्लाई,مکڻ
छी,يارڪ
डा,ڊاڪٽر
पुत्तर,پٽ
लायन,شعر
दहाड़,ڪنارو
दहाड़ेगा,داروغي ڪندو
कहुआफ,ڪاهوف
ऍम स्टक,آئون اسٽاڪ آهيان
सांप,نانگ
स्नेक,نانگ
सर्प,نانگ
वर्किंग,ڪم ڪري رهيو آهي
हार्ड,ڏکي
अंत,پاڻي
कलेक्टिंग,گڏ ڪرڻ
इक्कठा,اسٽاڪ
ग्राफ़ी,گرافاتي
गिराफ़,جراف
दिनों,ڏينهن
कपूर,ڪئمپور
गोरिल्ला,گورئلا
जंगली,جهنگلي
मेंढक,ڏيارڪو
लोटस,لوطس
लेक,Lakeن
मामू,مامو
कॉक,ڪڪ
मुर्गा,مرغو
पाक,پاڪ
पाक पाक,پاڪ پاڪ
क्रोकोडाइल मगर,ڪرڪوڊيل ڪروڪ
मच,ميچ
व्हिले,وِيل
तुतले कछुआ,ٽوائليٽ ڪتو
टर्टल,ڪمي
कछुआ,ڪمي
इजी,آسان
स्कूबी,اسڪوبي
भागू,ڀاڳي
हैवे,آھي
ान,ान
आईडिया,خيال
एन,اين
समझ,سمجهه ۾ اچي ٿو
वांनै,وناائي
सीं,سي
देखोगे,ڏسنداسين
नाचोगे,نچيندس
पंच,پنگريو کان
तलह,ٻچڙا
बहुत ही,تمام گهڻو
टॉक,ڳالهايم
हाउ,ھائو
इन्क्रेडिबिलिटी,ناڪامياب
ऑब्जरवेशन,مشاهدو
वन्स,هڪ ڀيرو
सेव्ड,محفوظ ٿيو
पफ,پ
इम्पॉसिबल,ناممڪن
पॉसिबल,ممڪن آهي
मेक,ٺاهيو
वंडर,حيرت
वीमेन,عورتون
कैच,پڪڙيو
आ ',اچڻ
फ़्लैश,فليش
आजाऊंगा,اچي ويندو
गोत,ڪشتي
मैजिक,جادو
याबा,يابا
दबा,دٻيل
फ्लिन,فلين
स्टोन्स,پٿر
स्पिनच,پالنا
पालक,والدين
पोपोए,پوپو
सेलर,سيلار
म्यूजिक,موسيقي
डूबी,وسريو
जिन्किइस,جينسيس
सेक्सी,سڪون
झांय,جهان
ब्रावो,براوو
ग्लासेज,شيشي
मोव,ايم او او
मिआओवो,مائو
बेट,شرط لڳايو
कामे,ڪم
स्टिकी,چپچپا
तून,وڏون
सुपर,سپر
सुपर मन,سپر دماغ
आयरन,لوڀي
बाई बाई,بائي بائي
लोहा,لوڀي
टोनी,ٽوني
स्टार्क,اسٽارڪ
बैक,پوئتي
थॉर,ٿيوري
पे,تي
राओगे,راھو
वजन,وزن
ब्लू ड्रेस,نيري لباس
हील्स,ہیلس
नाग,نانگ
योगी य,يوگي
योगि,يوگي
माआला,مالا ـ
वास्ते,لاءِ
टाइम की,وقت جي چاٻي
बर्बादी,هڪ فضول
बर्बाद,برباد ٿيو
लप्पी,لاپي
नो चांस,ڪو به موقعو نه
चांस,موقعو
गाउन,گاؤن
लुक,ڏس
डेल्हो,ڊيلو
बॉलर,بولر
बोलरा,بوليو
लंच,مانجھاندو
बी चांस,بي موقعو
अपने,اسان جو
बी लक,ب لک
कोट,ڪوٽ
लड़के,ڇوڪرا
क्लोज,بند ڪريو
डिस्कशन,بحث مباحثو
बंद भी,پڻ
karoge,ڪندا
hmara,گدلو
ku,ڪٿي
करोगे हमारा,ڇا تون اسان سان ڪندين؟
करोगे,ڪندا
टेक,ٽيڪ
होगी,ٿيندو
कहाँ,ڪٿي
सब क,سڀني
कहाँ हैं,ڪٿي آهن؟
थैंक्यू,توهان جي مهرباني
आइये,لالو ھليو آيو
अर्ज़,آرز
हिअ,هن Hiورجا
सिंगिंग,ڳائڻ
श्पवेर,ڇڪيندڙ
रूम,ڪمرو
सिंगर,ڳائڻي
ईपी,EP
यययय,بلڪه
ध्यान,ڄاڻ
व्होज़,جن جو
देखो तो,پوءِ ڏسو
कहेंगे,چئو
लोगो,لوگو
ट्रू,سچو
डेकोरेशन,· سينگار
लड़किआं,ڇوڪرين
ताजा,تازو
खबर,خبر
न्यूज़,خبرون
एग्स,اٻڻيون
बच गया,بچيل
बच,فرار
पैराशूट,پيراشوٽ
सन्नाटा,خاموشي
शॉकिंग,شاڪار ڏيڻ
बिजली,بجلي
इलेक्ट्रिसिटी,بجلي
टॉवल,ٽوالين
कर्टेंस,پردي
शेयर,حصيداري ڪريو
योर,توهان جو
लोकेशन,هنڌ
अभी ही,هينئر ئي
बताओ ना,ٻڌاءِ نه
जैसी,جيئن
वैसे,رستي جي ذريعي
भरनी,چڪاس
मिटटी,مٽي
कीप,فني
क्लीन,صاف
साफ़,صاف
क्लीन क्लीन,صاف پاڪ
सफाई पसंद,صفائي جي چونڊ
ॉव,ॉव
कह,واءِ
झांट,جنت
फिर,پوء
सलफेट,سلفيٽ
निकला,ٻاهر آيو
आइस क्रीम,آئس ڪريم
उन,جيڪي
रोड,روڊ
ब्रोस,ڀاءُ
बिफोर,بيفور
हॉर्स घोडा,گهوڙي جو گهوڙو
प्लान्स,منصوبو
स्वीट,مٺو
प्रतिशत,في سيڪڙو
वेल्ला,ويلا
बाउंड्री,بائونڊري
सुंगलीगत,چشما
नोबडी,ڪو به نه
केयर परवाह,پرواهه
स्पेशल,خاص
कुक,کاڌو
खास,خاص
मानती,واسلوبي
मैंने,مان
किया,ڪيو
टिका,ٽنگون
आरती,آرتي
बहिन,ڀيچي
टर्न,موڙيو
चैंट,شانتي
सी,سي
लड़का बॉय,يار ڇوڪرو
बफफ,مانوارو
फ्रेंड्स,دوستو
प्यारे बेस्टेस्ट,پيارا سڀني کان بهترين
मैदान,زمين
आजा,اچڻ
मैदान\,ميدان
खेल कूद,راندين جو ٽپو
डॉग्स,ٻچڙا
फाइनली,آخرڪار
नहाऊंगा,غسل ڪندو
घास,گاهه
आलिआ,الييا
भट्ट,ڀٽ
कट्टी,ڪيٽي
येल्लो,پيلو
बै,Bai
मी,ايم
िफ़,िफ़
रॉंग,غلط آهي
डंगरौद,دنگرود
बाद,کان پوء
दी,ڏني آهي
ब्यौरे,خاصيتون
बुरे,ڇتو
पिक्चर,تصوير
विथ,سان
सनशाइन,سج جي روشنائي
शुगर,ٻني
दिलवाले,دلوالي
गॉर्जियस,خوبصورت
ड्राप,ڳرا
डेड,مئل
कम्पलीट,مڪمل ٿيو
वरशिप,عبادت ڪريو
दलसे,دلسو
पैर,پيرَ
मैंट,منٿ
शार्ट,نن Shortو
हॉट,گرم
शाय,بسترو
डंगरुड,دنگرود
हैव,آھي
सांग फॉर,لاءِ لاءِ
यु,Y
इट,اهو
पसीना,سڪائڻ
विटामिन,وٽامن سي
फलंग,فلانانگ
गिरन,گرن
बटरफ्लाईज़,تیتلي
बुय,پوائڻ
ब्रेथ,ساه
अवे,پري
वाइट,اڇي
में बैग,اندر جو
पेज,پيج
पंत,پنڊ
यूनिफार्म ड्रेस,وردي وارو لباس
पिलो,پيلو
लगेगी,ڏسندو
करले,ڪريل
फोड़,ٿي رهيو آهي
ी\टाई,شري ٽڪي
आओ,اچو
पेपर,ڪاغذ
पांच,پنج
मिनट,منٽ
मिन,منٽ
मई,مئي
जानती,Knowمايو
दन्त,ڏند
सब्ज़ी,سبزيون
लेने,وٺڻ
साग,گرينز
ले,وٺو
रिश्तेदार,رشتي
मम्मी मम्मा,مامو ماما
आने,اچڻ وارو
डांट,دڙڪا
खाना है,کاڌو کائو
चूड़ी,بينگل
सफाई करने दे,صاف ڪرڻ ڏيو
धूल,مٽي
मेहमान,آيل مھمان
मिलेगा,حاصل ڪندو
नौप,Naup
नहीं ना,نه
ग्रे,ڀورو
शेड्स,شيڊس
मीटिंग,گڏجاڻي
फ्राइडे,جمعو
हेट,هٽ
मोंडेस,مونٽيس
नहीं पसंद,پسند نه ڪريو
डू,ٻه
काम करो,ڪم ڪيو
दोनोट,ڊونٽ
दोने,ٻئي
अभी नहीं,هاڻي نه
aao kabhi,ڪڏهن آيو
tea cup,چانھ جو پيالو
चाइए,چائي
ब्लूए,بلو
kabhi,هونئن به
जिदने,ضد
फ्लोर,فرش
रूनी,روني
ताल,سيڊريشن
बीआरओ,BRO
डेविल्स,شيطان
वास्,هوندو هو
मेस्सिंग,ميسيج
अराउंड,چوڌاري
हैंड,هٿَ
रेड्स,ڳاڙهيون
ग्लोरी,پاڪ
बाल्ड,گنجا
बब्द,ڪلام
बेंड,موڙيو
बेकहम,بيڪہم
नेवर,ڪڏهن نه
वाक,تقرير
अलोन,اڪيلو
रुशिंग,تڪڙ ڪندي
स्टक,اسٽاڪ
ट्रैन,ٽان
बुर्नेद,سڙي ويو
ओट,اوٽس
कीबोर्ड,ڪي بورڊ
ट्रैफिक,ٽريفڪ
भीड़,مجمع
गेटिंग,حاصل ڪرڻ
ड्रेस्ड,لباس
त्यार,تيار
होना,هئڻ
थाबाद,آباد
थाबड़,آباد
ढोलक,ڊرمر
तबला,طبلا
बजाओ,اجهو
कच,ڪڇ
डिस्क,ڊسڪ
पियानो,پيانو
पुंगी,ڇڪي
बजेगगी,اوچي
फॉलो,پيروي ڪريو
माया,وهم
लीड,اڳواڻي
दूंगा,ڏيندو
ड्रम,ڊرم
सेट,سيٽ
वन्ना,وانا
कम,گھٽ
व्हाई,ڇَوَ
टोटली,ٽولي
वर्थ,پنڌ
मदर,ماءُ
भगवन,خدا
मुम्मा,مم
कॉन्टिनोएड,جاري آهي
लकी,خوش قسمت
इवू,ايوو
ष्यौर,يقينن
साइंस,سائنس
केमिकल,ڪيميائي
टेस्टोबे,ٽيسٽبيو
टुब,ٽيوب
खिलाओ,کاڌو
बोरिंग,بورنگ
इसको,هي
टीचर,استاد
किसने,ڪير
काजल,ڪجال
फैला,پکڙيل
समुद्गे,برادري
मरूंगा,مري ويندو
बहोत,گهڻن
लोड,لوڊ ڪريو
माय रूल्स,منهنجا اصول
रूल्स,ضابطا
मेरे हैं,مون سان تعلق رکي ٿو
देख,ڏسو
गाए,گانا
क्रश,سڙي
पहना,ڄمندي
अछि,سٺو
थैंक,توهان جي مهرباني
छोडूंगा,ڇڏيندس
लट्टू,چوٽي
लूंगा,وٺندس
ग्लव्स,گوليون
लैला,ليلي
चिलौंगा,چيلونگا
ठरकी,اسٽنگ
करंट,موجوده
मरती,مرو
लौंडा,کيتدار
लफंगा,لفنگا
फ्रंशी,فرانسيسي
फ्रेंडशिप,دوستي
फ्लावर्स,ٻوڏون
पलट,ورهايو ويو
ठरक,حملو ٿيو
बजौ,باجو
सांग्स,گويڪن
चलेगी,هلندو
मोमबत्ती,هڪ ميڻ بتي
उजाला,لائٽ
गुड,سٺو
मिक्की,مڪي
मेमोरीज,ياداشتون
दास्य,پابنديون
डक,دُڪي
बतख,دُڪي
कार्टून्स,ڪارٽون
इंसाने,رستي جي ذريعي
मेटली,پوري طرح سان
हिलारिणास,هيلريانا
बचपन,ننڍپڻ
माउस,ڪوئو
फोर्बिडन,منع ٿيل
रोमांटिक,رومانوي
इट्स,اهو آهي
स्टार्टस,شروع ٿئي ٿو
विथ आ,سان گڏ اچو
ओने,هڪ
सबके,سڀني جو
जनम,ڄمڻ
कीतरस,ڪيٽيارس
माउस है,ڪو چوڪو آهي
एकदम,سڀ
टॉस,ٽاس
सेल्ल,سيل
स्कर्ट गर्ल,سکرٽ ڇوڪري
स्मूथ,ڌاڙيل
डिलीवरी,پهچائڻ
सेल,وڪرو
१२थ,१२ थ
क्रिकेक्ट,ڪرڪيٽ
कूद फैन,جمپ فين
बता,ٻڌاءِ
मोबाइल फैन,موبائل فين
सेफ्टी,حفاظت
फर्स्ट,پهرين
बाँट,تقسيم
सचिन,سچن
ा बे,ڪنارو
चक्का,مکهڙي
चौका,چار فری
मारा क्रिकेट,ڪرڪيٽ کي هٽايو
उसने,هن
स्टंप,اسٽمپ
बॉल्स,بالز
थिस इस,هي آهي
२०,२०
उगता,اُٿي
पौधा,پلانٽ
आगयी,ٻرندڙ
वर्ड,ڪلام
पससवर्ड,پاسورڊ
आगे,وڌيڪ
घुस,چڙهڻ
टी,ٽي
ऐश,ايش
ुदलो,ुदलो
पापा डैडी,والد صاحب
सांगत,ٻڌائڻ
पद,پوسٽ
गया है,ٿي چڪو آهي
हो तुम,ڇا تون آهين؟
हेड,جي سر
देखि,کان
गोल,مقصد
लूसिंग,لوڙڻ
सर,سائين
गिरना,پيرسن ٿيڻ
जमीन,زمين
प्रोग्राम्ड,پروگرام ٿيل
प्रोग्राम,پروگرام
बोत,بوتلون
डाउनलोड,ڊائون لوڊ
ईंटो,برڪ
नट्स,نٿيون
लो,وٺو
स्क्रू,سکرو
करना चाहत,پسند ڪندو
सिग्न,سائن
प्लेस,جاءِ
फील,محسوس ڪيو
महसूस,محسوس ڪيو
बिटवीन,وچ
स्पार्क,اسپارڪ
चिंगारी,اسپارڪ
बीच,وچ
सर्किट,سرڪٽ
करब,ڪارب
वायर्स,تارون
बत्ती,لائٽ
बम्बू,بانس
लेले,ليلي
सोकड़ा,سوڪرا
लौरा,لورا
लसां,ويڪسينس
साथी,ساٿي
मोमो,مومو
अखरोट,اخروٽ
दूंगी,ڏيندو
आदि,وغيره.
मंडी,مارڪيٽ
शांडि,شندي
चूड़ियां,ڌمڪيون
बँगलेस,بي نياز
अस्स,گدا
गधा,گندي
सुक,سک
घोसला,گوسلا
आम,عام
टक्के,سيڪڙو
लारी,لياري
जुग्गेणोत,جگنوٽ
फोर्क,ڪانٽو
खीरा,ڪڪڙ
विश,ڪاش
वेल फॉर,جي لاءِ
यू नॉट,توهان نه
नहो,نوح
भला,کوھ
होप,اميد
लेस्स,ليس
क्रेअटुरे,خالق
फेस,منهن
चेहरा,چهرو
बोर,غضب
मझे बोरियत,مونکي بور ڪيو
बोरियत,بورڊن جو
एनिमल,جانورن
जानवर,جانور
सुररौनडेड,گھرايو ويو
इडियट्स,بيوقوف
बुद्धू,بيوقوف
फरक,مختلف
पड़ता,فالس
मर्द,مڙس
तौह्त,ڇڪ
हिम,برف
मूव्स,منتقل ٿئي ٿو
स्वीपर,واهپيدار
बाजु,پاسي تي
हैट,ٽوپي
स्तुन्निंग लड़की,ٻڌندڙ ڇوڪري
क्वीन,ڪوئين
िष्ट्यले,िष्ट्यले
फवौरीते,پسنديده
नो नहीं,نه
बट,بٽي
समझा,سمجھو
खुदको,پاڻ
सोन,پٽ
एंग्री,ناراض
ऐटिटूड,ظاهر
दिखा,ڏيکاريندي
सुधरेगा,بهتر ڪندو
हट,هٽ
ज़्यादा,وڌيڪ
सीरियस,سنجيده
चित्तर,چمار
कहनी,ڪهاڻي
औकाद,اڪاد
रह,بيهي رهڻ
बिसनेस,ڌنڌو
लसन,لان
भैंस,بوفي
आंख,اکيون
खाएगा,کائيندو
