bobble,ಬಬಲ್
पायरा,ಹೆಜ್ಜೆ
सूखा,ಒಣ
बल्ले,ಬ್ಯಾಟ್
नेचर,ಪ್ರಕೃತಿ
आमची,ನಮ್ಮದು
मुंबई,ಮುಂಬೈ
बॉम्बे,ಬಾಂಬೆ
गेट,ಗೇಟ್
ऑफ़,ಆಫ್
वाचेया,ಮುಂದೆ ಓದಿ
सेलेना,ಸೆಲೆನಾ
गोमेज़,ಗೊಮೆಜ್
पिंक,ಗುಲಾಬಿ
जस्ट टेक्स्ट,ಕೇವಲ ಪಠ್ಯ
बंग,ಬ್ಯಾಂಗ್
बंग बंग,ಬ್ಯಾಂಗ್ ಬ್ಯಾಂಗ್
पिस्तौल,ಪಿಸ್ತೂಲ್
ेमकोउन्टर,ेमकोउन्टर
पर्पल,ನೇರಳೆ
ड्रेस,ಉಡುಗೆ
शूट,ಶೂಟ್ ಮಾಡಿ
वाओ,ವಾವೊ
वोविस,ವೋವಿಸ್
वोह,ಅದು
नीस,ಒಳ್ಳೆಯದು
कोल्ड,ಶೀತ
जानते,ತಿಳಿಯಿರಿ
अचे,ಸರಿ
क्नोव,ನಾವ್
डाट,ಸ್ಟಾಪರ್
टॉकिंग,ಮಾತನಾಡುತ್ತಿದ್ದಾರೆ
हांजी,ಹೌದು
हाँ,ಹೌದು
हैंडल,ಹ್ಯಾಂಡಲ್
कांत,ಕಾಂತ್
पाओगे,ಹುಡುಕುತ್ತದೆ
ोप्स,ोप्स
ोंग,ोंग
गपड,ಗಾಸಿಪ್
बगवान्न,ದೇವರು
ी,ी
रेट्रो,ರೆಟ್ರೊ
लड़किओं,ಹುಡುಗಿಯರು
तरह,ಲೈಕ್
गर्ल्स,ಹುಡುಗಿಯರು
लिखे,ಬರೆಯಿರಿ
इतर,ಇತರೆ
ाचा,ाचा
बजा,ಬಾಜಾ
डुंग,ಸಗಣಿ
उड़ा,ಬ್ಲೋ
पतंग,ಗಾಳಿಪಟ
धागा,ದಾರ
लपेट,ಸುತ್ತು
पो,ಪೊ
छे,ಆರು
बजी,ರಂಗ್
ढील,ವಿಶ್ರಾಂತಿ
डील,ವ್ಯವಹರಿಸಿ
पहात,ನೋಡುವುದು
बाज़ी,ಪಾರ್ಲೆ
अजा,ಅಜಾ
पेंच,ತಿರುಪು
एस्टी,ಎಸ್ಟೀ
अटक,ಬಂಧಿಸಲಾಗಿದೆ
शौक,ಹವ್ಯಾಸ
पन्नी,ಫಾಯಿಲ್
कन्नी,ಕಣ್ಣಿ
कुरता,ಶರ್ಟ್
मंचा,ಮಂಚ
कच्चा,ಕಚ್ಚಾ
कटा,ಕತ್ತರಿಸಿದ
कटे,ಕತ್ತರಿಸಿ
काटे,ಕತ್ತರಿಸಿ
दौड़ो,ರನ್
डोगग्य,ನಾಯಿಮರಿ
ब्वॉय,ಹುಡುಗ
पूगगी,ಪುಗ್ಗಿ
दादा जी,ಅಜ್ಜ
दांत,ಹಲ್ಲುಗಳು
चचा,ಚರ್ಚೆ
अंकल,ಅಂಕಲ್
च च च,ಎಫ್ ಎಫ್ ಎಫ್
बुआ,ಚಿಕ್ಕಮ್ಮ
की दुआ,ನ ಆಶೀರ್ವಾದ
व,ಮತ್ತು
ब्लेस्सिंग्स,ಆಶೀರ್ವಾದ
सहारा,ಬೆಂಬಲ
भाई है,ಸಹೋದರ
स्टाइल,ಶೈಲಿ
स्टाइलिश,ಸ್ಟೈಲಿಶ್
भाभी जी,ಅತ್ತಿಗೆ
मेरी प्यारी,ನನ್ನ ಸುಂದರ
प्यारी भाभी,ಸುಂದರ ಅತ್ತಿಗೆ
बेहेन,ಸಹೋದರಿ
नकरे,ನಕರೆ
चूसे,ಸಕ್
नौटंकी,ಗಿಮಿಕ್
नानी,ಅಜ್ಜಿ
कहानिया,ಕಥೆಗಳು
कान्हा,ಕನ್ಹಾ
चवल,ಚಾಲ್
चावल,ಅಕ್ಕಿ
अत,ಆದ್ದರಿಂದ
टिया,ಟಿಯಾ
चक्ति,ಶಕ್ತಿ
चलती,ಚಲಿಸುತ್ತಿದೆ
बाई,ಬಾಯಿ
टाटा,ಟಾಟಾ
फॉर,ಫಾರ್
चपल,ತಮಾಷೆಯ
मोड,ಮೋಡ್
साइलेंट,ಮೌನ
लेटस,ಲೆಟಿಸ್
चलते,ಹೋಗೋಣ
बास्केट,ಬುಟ್ಟಿ
खाओगे,ತಿನ್ನುತ್ತದೆ
प्याला,ಕಪ್
बाउल,ಬೌಲ್
चिलिंग,ಚಿಲ್ಲಿಂಗ್
अलग,ವಿಭಿನ್ನ
शॉप,ಅಂಗಡಿ
विंडो,ವಿಂಡೋ
खरीदना,ಖರೀದಿಸಲು
करोड़,ಕೋಟಿ
थकन,ಥಂಕ್
टायर्ड,ಆಯಾಸಗೊಂಡಿದೆ
हु,ಹೂ
साद,ಸರಳ
चल,ನಡೆಯಿರಿ
यहां,ಇಲ್ಲಿ
आपका,ನಿಮ್ಮ
सबका,ಎಲ್ಲರೂ
स्वागत,ಸ್ವಾಗತ
कूल,ಕೂಲ್
थिस,ಇದು
चाट,ನೆಕ್ಕುವುದು
मुलाकात,ಸಭೆ
एंड्स,ಆಂಡ್ಸ್
राइट,ಸರಿ
इधर ही,ಇಲ್ಲಿ ಮಾತ್ರ
आवर,ನಮ್ಮದು
ग्रुप,ಗುಂಪು
ऐड,ಸೇರಿಸಿ
पोस्ट,ಪೋಸ್ಟ್
लड़ो,ಹೋರಾಡಿ
रिप्लाई,ಪ್ರತ್ಯುತ್ತರ
तोह किआ,ಆದ್ದರಿಂದ ಕಿಯಾ
करा,ದಯವಿಟ್ಟು
ा\रा,ರಾ
लीविंग,ಲಿವಿಂಗ್
नाउ,ಈಗ
बई,ಬಾಯಿ
होगे,ಇರುತ್ತದೆ
तेरा,ನಿಮ್ಮ
होगया है,ಮಾಡಲಾಗಿದೆ
काली,ಕಪ್ಪು
दू,ಡು
तुझे,ನಿಮಗೆ
तब,ನಂತರ
मानेगा,ಪರಿಗಣಿಸುತ್ತೇವೆ
गलोच,ಗ್ಲೋಚ್
एरर,ದೋಷ
दारु बियर,ಲಿಕ್ಕರೈಸ್ ಬಿಯರ್
स्वीटी,ಸ್ವೀಟಿ
व्हस्की,ವಿಸ್ಕಿ
होंनई,ಹೊನೈ
होनी,ಎಂದು
जैकपोट,ಜಾಕ್‌ಪಾಟ್
लग,ನೋಡಿ
गइबे,ಗಿಬೆ
अल्कोहल,ಆಲ್ಕೋಹಾಲ್
किंग,ರಾಜ
चियर्स,ಚೀರ್ಸ್
ब्रांडी,ಬ್ರಾಂಡಿ
बाथ बियर,ಬಾತ್ ಬಿಯರ್
बाथ,ಸ್ನಾನ
टल्ली,ಪ್ಯಾರಿಷ್
थपड,ಕಪಾಳಮೋಕ್ಷ
चांटा,ಕಪಾಳಮೋಕ್ಷ
ग्लोब,ಗ್ಲೋಬ್
कनेक्ट,ಸಂಪರ್ಕಿಸಿ
वर्ल्ड,ಜಗತ್ತು
डोमिनेशन,ಪ್ರಾಬಲ್ಯ
काठ,ವುಡ್
पुतली,ಡಾಲಿ
शकल,ಮುಖ
पर,ನಲ್ಲಿ
जा,ಹೋಗಿ
अकाल,ಕ್ಷಾಮ
पावर,ಶಕ್ತಿ
पुअर,ಕಳಪೆ
गरीब,ಬಡವರು
किसी,ಯಾರೋ
कभी,ಎಂದೆಂದಿಗೂ
जागो,ಎದ್ದೇಳು
ग्राहक,ಗ್ರಾಹಕ
जागूओ,ಎದ್ದೇಳಿ
जाग,ಎದ್ದೇಳಿ
है र,ಸು
हर,ಪ್ರತಿ
फ्रेंड,ಸ್ನೇಹಿತ
ज़रूरी,ಅಗತ್ಯ
होता,ಹೊಂದಿರುತ್ತದೆ
व्राप्पेड,ಸುತ್ತಿ
चुतियापा,ಚುಟಿಯಾಪ
है डब्बा,ಬಾಕ್ಸ್ ಆಗಿದೆ
सुनदर,ಸುಂದರ
फ्री,ಉಚಿತ
२,2
पूल,ಪೂಲ್
स्विमिंग,ಈಜು
ाभु,ाभु
दज,ಪ್ರವೇಶ
सम,ಸಹ
गो,ಹೋಗಿ
एपिक,ಮಹಾಕಾವ್ಯ
टुनाइट,ಟುನೈಟ್
ही ृत्त,ಅದೇ ವಲಯ
ृत्त,ृत्त
डोंट,ಮಾಡಬೇಡಿ
ड्राइव,ಡ್ರೈವ್ ಮಾಡಿ
चलाओ,ಡ್ರೈವ್ ಮಾಡಿ
बे,ಕೊಲ್ಲಿ
ा,ा
पूपर,ಪೂಪರ್
ब्योब,ಬೈಬ್
जाए,ಹೋಗಿ
बीरदारु,ಬಿರ್ದುರು
दम,ಶಕ್ತಿ
सांग,ಹೇಳಿ
तो पार्टी,ಆದ್ದರಿಂದ ಪಾರ್ಟಿ
दासी,ಸೇವಕಿ
ई,ಇ
ड्रंक,ಕುಡಿದ
छोड़,ಬಿಡಿ
सुता,ಸೂತಾ
स्मोकिंग,ಧೂಮಪಾನ
कॉसेस,ಕಾರಣ
इम्पोटेंसी,ಪ್ರಾಮುಖ್ಯತೆ
सग्गड़ाते,ಸಾಗ್ನೇಟ್
फुल,ಪೂರ್ಣ
आठ,ಎಂಟು
खूब,ಸಾಕಷ್ಟು
करेंगे,ಮಾಡುತ್ತೇನೆ
तोंगट,ಟೋಂಗಡ್
बूम,ಬೂಮ್
परतीयय,ಅನ್ಯ
ीीाहहह,ीीाहहह
आह्ह्ह्ह,ಆಹ್
डी,ಡಿ
शेक,ಅಲುಗಾಡಿಸಿ
बेल्ली,ಬೆಲ್ಲಿ
डेज,ದಿನಗಳು
यूनिफार्म,ಏಕರೂಪ
शूज,ಶೂಸ್
होमवर्क,ಮನೆಕೆಲಸ
वसुप,ವಾಸೂಪ್
गाइस,ಗೈಸ್
सॉक्स,ಸಾಕ್ಸ್
हग्स,ಅಪ್ಪುಗೆಗಳು
गुड्डा,ಗುಡ್ಡಾ
तय,ಸ್ಥಿರವಾಗಿದೆ
थिंकिंग,ಯೋಚಿಸುತ್ತಿದೆ
अबाउट,ಬಗ್ಗೆ
फूडी,ಆಹಾರ
हंगर,ಹಸಿವು
भूखी,ಹಸಿವು
बिस्किट,ಬಿಸ್ಕತ್ತುಗಳು
जार,ಜಾರ್
आरा,ಸಾ
ही हूँ,ನಾನು ಮಾತ್ರ
सच्चे,ನಿಜ
हप्ते,ಕಂತುಗಳು
स्टोरी,ಕಥೆ
बुक्स,ಪುಸ್ತಕಗಳು
पेन,ಪೆನ್
पेंसिल,ಪೆನ್ಸಿಲ್
पेजेज,ಪುಟಗಳು
कहना,ಹೇಳಲು
और नहीं हो,ಇನ್ನು ಇಲ್ಲ
कर्ली,ಕರ್ಲಿ
ची ची,ಚಿ ಚಿ
लॉन्ग,ಉದ್ದ
चलिए,ಹೋಗೋಣ
बाइक,ಬೈಕ್
गण,ಗಣ
पसनद,ಆಯ್ಕೆ
खिलौना,ಆಟಿಕೆ
ीआई,ीआई
बेटी,ಮಗಳು
कार्डो यूनिफार्म,ಕಾರ್ಡೋ ಸಮವಸ್ತ್ರ
नोटबुक,ನೋಟ್ಬುಕ್
कॉपी,ನಕಲಿಸಿ
प्ले,ಪ್ಲೇ ಮಾಡಿ
गैस,ಅನಿಲ
डॉल,ಗೊಂಬೆ
फ्रॉक,ಫ್ರಾಕ್
डिस्टर्ब,ತೊಂದರೆ
रोबोट,ರೋಬೋಟ್
आर्टिस्ट,ಕಲಾವಿದ
ड्राइंग,ಚಿತ್ರ
कलर्स,ಬಣ್ಣಗಳು
पेंटिंग,ಚಿತ್ರಕಲೆ
ी आ,ಶ್ರೀ ಎ
ट्री,ಮರ
हॉलिडे,ರಜಾದಿನ
अग्ली,ಅಗ್ಲಿ
फेस्टिवल,ಹಬ್ಬ
मेर्री,ಮೆರ್ರಿ
फिटनेस,ಫಿಟ್ನೆಸ್
मजबूत,ಬಲವಾದ
तंदुरुस्त,ಆರೋಗ್ಯಕರ
स्लिम,ಸ್ಲಿಮ್
फिट,ಹೊಂದಿಸು
छाती,ಎದೆ
भरा,ತುಂಬಿದೆ
अंदर,ಇನ್
तेल,ತೈಲ
गयम गैमिंग,ಗೇ ಗೇಮಿಂಗ್
हिट,ಹಿಟ್
गयम,ಗಾಯಮ್
अस,ಹಾಗೆ
फिडल,ಪಿಟೀಲು
हेअल्थी,ಆರೋಗ್ಯ
स्टे,ಉಳಿಯಿರಿ
डाइटिंग,ಪಥ್ಯದಲ್ಲಿರುವುದು
मोती,ಮುತ್ತು
होगयी,ಇರುತ್ತದೆ
पुमपैड,ಪಂಪಡ್
उप,ಉಪ
किलस,ಕಿಲಸ್
स्लैम,ಸ್ಲ್ಯಾಮ್
धौंक,ಬ್ಲೋವರ್
बोटा,ಬೋಟಾ
किसको,ಯಾರಿಗೆ
तूने,ನೀವು
हूँ में,ನಾನು ಸೈನ್ ಇನ್ ಆಗಿದ್ದೇನೆ
चिकन,ಚಿಕನ್
टुडे,ಇಂದು
खाएंगे,ತಿನ್ನುತ್ತದೆ
सारा,ಎಲ್ಲಾ
तंदूरी,ತಂದೂರಿ
ी आई,ಶ್ರೀ ಐ
डॉक्टर,ಡಾಕ್ಟರ್
पेशेंट,ರೋಗಿ
प्लस,ಜೊತೆಗೆ
हॉस्पिटल,ಆಸ್ಪತ್ರೆ
मोरे,ಇನ್ನಷ್ಟು
रनिंग,ಚಾಲನೆಯಲ್ಲಿದೆ
जॉगिंग,ಜಾಗಿಂಗ್
मॉर्निंग,ಬೆಳಿಗ್ಗೆ
बालक,ಹುಡುಗ
ऋ,ಆರ್
परांठा,ಪರಾಥಾ
दही,ಮೊಸರು
साइकिलिंग,ಸೈಕ್ಲಿಂಗ್
पथ,ಮಾರ್ಗ
लॉस्ट,ಕಳೆದುಹೋಯಿತು
१०,10
कग,ಕಾಗ್
इतनी,ತುಂಬಾ
गैमिंग,ಗೇಮಿಂಗ್
सिम,ಸಿಮ್
जाये,ಹೋಗಿ
लेक्चर,ಉಪನ್ಯಾಸ
पर्स,ಪರ್ಸ್
प्रोफेसर,ಪ್ರೊಫೆಸರ್
जाने,ತಿಳಿಯಿರಿ
देदे,ನೀಡಿ
यारर भाई,ಯಾರ್ ಬ್ರೋ
सीखा,ಕಲಿತರು
पढ़ा,ಓದಿ
रैगिंग,ರ‍್ಯಾಗಿಂಗ್
लेनी,ಲೆನ್ನಿ
दन,ದಿನ
बीएड,ಬಿ.ಎಡ್.
आलास,ಅಯ್ಯೋ
रेडी,ಸಿದ್ಧ
कॉलेज त्यार,ಕಾಲೇಜು ಸಿದ್ಧವಾಗಿದೆ
में पूरी,ನನಗೆ ಸಂಪೂರ್ಣ
लेली,ಲೇಲಿ
पहनने,ಧರಿಸಿ
नथिंग,ಏನೂ ಇಲ್ಲ
वियर,ಧರಿಸಿ
नई क्लोथ्स,ಹೊಸ ಬಟ್ಟೆ
फ्रेशर्स,ಫ್ರೆಶರ್ಸ್
लिए लिए,ಫಾರ್
ब्रोके,ಮುರಿಯಿತು
सिक,ಅನಾರೋಗ್ಯ
बीमार,ಅನಾರೋಗ್ಯ
बीमारी,ರೋಗ
फेमस,ಪ್ರಸಿದ್ಧ
गिटार,ಗಿಟಾರ್
परफॉरमेंस,ಪ್ರದರ್ಶನ
रोल म,ರೋಲ್ನಲ್ಲಿ
रोल,ರೋಲ್
नाईट,ರಾತ್ರಿ
बमार,ಬಮರ್
वेल,ಸರಿ
नॉट फीलिंग,ಭರ್ತಿ ಮಾಡುತ್ತಿಲ್ಲ
सही हूँ,ಸರಿ
मुंडा,ಕ್ಷೌರ
सैंतींस,ಸ್ಯಾಂಟೈನ್ಸ್
छाए,ನೆರಳು
चलें,ಹೋಗೋಣ
चलोगे,ನೀವು ಹೋಗುತ್ತೀರಾ
मेरे साथ,ನನ್ನೊಂದಿಗೆ
अस्सीगंमनेट्स,ಅಸೈಗ್ಮೆನೆಟ್ಸ್
गयी है,ಹೋಗಿದೆ
हुए,ಸಂಭವಿಸಿದೆ
डीडेड,ಸಮರ್ಪಿಸಲಾಗಿದೆ
स्टार्ट,ಪ್ರಾರಂಭಿಸಿ
स्टडी,ಅಧ್ಯಯನ
डिसिशन,ನಿರ್ಧಾರ
लेलिऐ,ತೆಗೆದುಕೊಳ್ಳಿ
आल अबाउट,ಎಲ್ಲಾ ಬಗ್ಗೆ
कलगे,ಕಲೆನ್
बोझ,ಹೊರೆ
पढ़ने,ಓದಿ
कंसंट्रेशन,ಏಕಾಗ್ರತೆ
प्लैसे,ಪ್ಲೇಸಿ
दे एरर,ದೋಷ ನೀಡಿ
वाला टॉपिक,ವಾಲಾ ವಿಷಯ
टॉप्स अत,ನಲ್ಲಿ ಟಾಪ್ಸ್
तपोस,ಟ್ಯಾಪೋಸ್
टॉपिक,ವಿಷಯ
एक्साम,ಪರೀಕ್ಷೆಗಳು
बाउट,ಬೌಟ್
जयादा है,ಹೆಚ್ಚು
प्लस पास,ಪ್ಲಸ್ ಪಾಸ್
करवा,ಅದನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ
मेकिंग,ತಯಾರಿಸುವುದು
डीडीओ एरर प्लीज,ದಯವಿಟ್ಟು ಡಿಡಿಒ ದೋಷ
डीडीओ,ಡಿಡಿಒ
समथिंग,ಏನೋ
ेल्स,ेल्स
कक,ಅದು
करें,ಮಾಡಿ
मरते,ಸಾಯಲು
मरेगा,ಸಾಯುತ್ತದೆ
असाइनमेंट,ನಿಯೋಜನೆ
करदे,ಕರಾಡೆ
करदिओ,ಮೇಲೋಗರ
प्रॉक्सी,ಪ್ರಾಕ್ಸಿ
लगदे,ಲಗತ್ತಿಸಲಾಗಿದೆ
लगा डीओ,ಪುಟ್ ಡು
aai,ನಾನು ಬಂದೆ
aam,ವರ್ಷ
ba,ಪುಟ್
रेडी त्यार,ಸಿದ್ಧವಾಗಿದೆ
होगयी फॉर,ಇದಕ್ಕಾಗಿ ಹೊಗಿ
सीनियर,ಹಿರಿಯ
तमीज़,ತಮೀಜ್
मुबारक दारु,ಹ್ಯಾಪಿ ವೈನ್
चीज़,ಚೀಸ್
मस्त है,ತಂಪಾಗಿದೆ
बड़ी,ದೊಡ್ಡದು
हठी,ನಾಯಿ
देर,ತಡವಾಗಿ
होगयी है,ಮಾಡಲಾಗಿದೆ
बर्ड,ಪಕ್ಷಿ
व्हो,Vo
ओह,ಓಹ್
शीप,ಕುರಿಗಳು
पी,ಪಿ
जाउन्गा प्यासा,ಜಾವೊಂಗಾ ಬಾಯಾರಿದ
मचार,ಮಾಚರ್
मॉस्क्वीटो,ಸೊಳ್ಳೆ
ब्लड,ರಕ್ತ
स्लो,ನಿಧಾನವಾಗಿ
स्नैल,ಬಸವನ
धीरे,ನಿಧಾನವಾಗಿ
बुरा,ಕೆಟ್ಟದು
खासा,ಸಾಕಷ್ಟು
हैंग,ಹ್ಯಾಂಗ್
लटक,ನೇತಾಡುತ್ತಿದೆ
इन,ಇನ್
बुड़ीय,ಬುಡಿ
पेड़,ಮರ
नकलची बन्दर,ಅನುಕರಿಸುವ ಕೋತಿ
नकलची,ಅನುಕರಿಸುವವನು
केला,ಬಾಳೆಹಣ್ಣು
मंकी,ಮಂಕಿ
बग,ದೋಷ
ऑफ,ಆಫ್
माखी,ಮಖಿ
हाउस,ಮನೆ
फ्लाई,ನೊಣ
छी,ಯುಕ್
डा,ಡಾ.
पुत्तर,ಮಗ
लायन,ಸಿಂಹ
दहाड़,ಘರ್ಜನೆ
दहाड़ेगा,ಘರ್ಜಿಸುತ್ತದೆ
कहुआफ,ಕಹುಫ್
ऍम स्टक,ನಾನು ಸ್ಟಾಕ್
सांप,ಹಾವು
स्नेक,ಹಾವು
सर्प,ಹಾವು
वर्किंग,ಕೆಲಸ
हार्ड,ಕಠಿಣ
अंत,ಅಂತ್ಯ
कलेक्टिंग,ಸಂಗ್ರಹಿಸಲಾಗುತ್ತಿದೆ
इक्कठा,ಸ್ಟಾಕ್
ग्राफ़ी,ಗ್ರ್ಯಾಫಿ
गिराफ़,ಜಿರಾಫೆ
दिनों,ದಿನಗಳು
कपूर,ಕರ್ಪೂರ
गोरिल्ला,ಗೊರಿಲ್ಲಾ
जंगली,ಕಾಡು
मेंढक,ಕಪ್ಪೆ
लोटस,ಕಮಲ
लेक,ಸರೋವರ
मामू,ಮಾಮು
कॉक,ಹುಂಜ
मुर्गा,ರೂಸ್ಟರ್
पाक,ಪಾಕ್
पाक पाक,ಪಾಕ್ ಪಾಕ್
क्रोकोडाइल मगर,ಮೊಸಳೆ ಮೊಸಳೆ
मच,ಮ್ಯಾಕ್
व्हिले,ವಿಲ್ಲೆ
तुतले कछुआ,ಶೌಚಾಲಯ ಆಮೆ
टर्टल,ಆಮೆ
कछुआ,ಆಮೆ
इजी,ಸುಲಭ
स्कूबी,ಸ್ಕೂಬಿ
भागू,ಭಾಗು
हैवे,ಹ್ಯಾವ್
ान,ान
आईडिया,ಐಡಿಯಾ
एन,ಎನ್
समझ,ತಿಳುವಳಿಕೆ
वांनै,ವನ್ನೈ
सीं,ಸಿ
देखोगे,ನೋಡುತ್ತೇವೆ
नाचोगे,ನೃತ್ಯ ಮಾಡುತ್ತದೆ
पंच,ಪಂಚ್
तलह,ತಪ್ಪಲಿನಲ್ಲಿ
बहुत ही,ತುಂಬಾ
टॉक,ಮಾತನಾಡಿ
हाउ,ಹೌದು
इन्क्रेडिबिलिटी,ನಂಬಲಾಗದಿರುವಿಕೆ
ऑब्जरवेशन,ವೀಕ್ಷಣೆ
वन्स,ಒಮ್ಮೆ
सेव्ड,ಉಳಿಸಲಾಗಿದೆ
पफ,ಪಫ್
इम्पॉसिबल,ಅಸಾಧ್ಯ
पॉसिबल,ಸಾಧ್ಯ
मेक,ಮಾಡಿ
वंडर,ಅದ್ಭುತ
वीमेन,ಮಹಿಳೆಯರು
कैच,ಕ್ಯಾಚ್
आ ',ಬನ್ನಿ
फ़्लैश,ಫ್ಲ್ಯಾಶ್
आजाऊंगा,ಬರುತ್ತದೆ
गोत,ದೋಣಿ
मैजिक,ಮ್ಯಾಜಿಕ್
याबा,ಯಬಾ
दबा,ನಿಗ್ರಹಿಸಲಾಗಿದೆ
फ्लिन,ಫ್ಲಿನ್
स्टोन्स,ಕಲ್ಲುಗಳು
स्पिनच,ಪಾಲಕ
पालक,ಪೋಷಕರು
पोपोए,ಪೊಪೊ
सेलर,ನೆಲಮಾಳಿಗೆ
म्यूजिक,ಸಂಗೀತ
डूबी,నిమజ్జనం
जिन्किइस,ಜಿನ್ಕ್ವಿಸ್
सेक्सी,ಸೆಕ್ಸಿ
झांय,Ha ಾನ್
ब्रावो,ಬ್ರಾವೋ
ग्लासेज,ಕನ್ನಡಕ
मोव,MOV
मिआओवो,ಮಿಯಾವೊ
बेट,ಬೆಟ್
कामे,ಕಾರ್ಯಗಳು
स्टिकी,ಜಿಗುಟಾದ
तून,ಟೂನ್
सुपर,ಸೂಪರ್
सुपर मन,ಸೂಪರ್ ಮನಸ್ಸು
आयरन,ಕಬ್ಬಿಣ
बाई बाई,ಬಾಯಿ ಬಾಯಿ
लोहा,ಕಬ್ಬಿಣ
टोनी,ಟೋನಿ
स्टार्क,ಸ್ಟಾರ್ಕ್
बैक,ಹಿಂದೆ
थॉर,ಥಾರ್
पे,ಆನ್
राओगे,ರಾವ್
वजन,ತೂಕ
ब्लू ड्रेस,ನೀಲಿ ಉಡುಗೆ
हील्स,ಹೀಲ್ಸ್
नाग,ಹಾವು
योगी य,ಯೋಗಿ
योगि,ಯೋಗಿ
माआला,ಮಾಲಾ
वास्ते,ಫಾರ್
टाइम की,ಸಮಯ ಕೀ
बर्बादी,ಒಂದು ತ್ಯಾಜ್ಯ
बर्बाद,ವ್ಯರ್ಥವಾಯಿತು
लप्पी,ಲಪ್ಪಿ
नो चांस,ಯಾವುದೇ ಅವಕಾಶವಿಲ್ಲ
चांस,ಅವಕಾಶ
गाउन,ನಿಲುವಂಗಿ
लुक,ನೋಡಿ
डेल्हो,ಡೆಲ್ಹೋ
बॉलर,ಬೌಲರ್
बोलरा,ಬೊಲೆರೊ
लंच,.ಟ
बी चांस,ಬಿ ಅವಕಾಶ
अपने,ನಮ್ಮ
बी लक,ಬಿ ಲಕ್
कोट,ಕೋಟ್
लड़के,ಹುಡುಗರು
क्लोज,ಮುಚ್ಚಿ
डिस्कशन,ಚರ್ಚೆ
बंद भी,ಆಫ್ ಕೂಡ
karoge,ಮಾಡುತ್ತೇನೆ
hmara,ಕತ್ತೆ
ku,ಎಲ್ಲಿ
करोगे हमारा,ನೀವು ನಮ್ಮ ಮಾಡುತ್ತೀರಾ
करोगे,ಮಾಡುತ್ತೇನೆ
टेक,ಟೆಕ್
होगी,ಇರುತ್ತದೆ
कहाँ,ಎಲ್ಲಿ
सब क,ಎಲ್ಲಾ
कहाँ हैं,ಎಲ್ಲಿವೆ
थैंक्यू,ಧನ್ಯವಾದಗಳು
आइये,ಬನ್ನಿ
अर्ज़,ಅರ್ಜ್
हिअ,ಹಾಯ್
सिंगिंग,ಹಾಡುವುದು
श्पवेर,ಕ್ಷೌರಿಕ
रूम,ಕೊಠಡಿ
सिंगर,ಗಾಯಕ
ईपी,ಇಪಿ
यययय,ಯಯ್ಯೆ
ध्यान,ಗಮನ
व्होज़,ಯಾರದು
देखो तो,ನಂತರ ನೋಡಿ
कहेंगे,ಹೇಳುತ್ತೇನೆ
लोगो,ಲೋಗೋ
ट्रू,ನಿಜ
डेकोरेशन,ಅಲಂಕಾರ
लड़किआं,ಹುಡುಗಿಯರು
ताजा,ತಾಜಾ
खबर,ಸುದ್ದಿ
न्यूज़,ಸುದ್ದಿ
एग्स,ಮೊಟ್ಟೆಗಳು
बच गया,ಬದುಕುಳಿದರು
बच,ಎಸ್ಕೇಪ್
पैराशूट,ಧುಮುಕುಕೊಡೆ
सन्नाटा,ಮೌನ
शॉकिंग,ಆಘಾತಕಾರಿ
बिजली,ವಿದ್ಯುತ್
इलेक्ट्रिसिटी,ವಿದ್ಯುತ್
टॉवल,ಟವೆಲ್
कर्टेंस,ಕರ್ಟನ್ಸ್
शेयर,ಹಂಚಿಕೊಳ್ಳಿ
योर,ನಿಮ್ಮ
लोकेशन,ಸ್ಥಳ
अभी ही,ಇದೀಗ
बताओ ना,ಇಲ್ಲ ಎಂದು ಹೇಳಿ
जैसी,ಹಾಗೆ
वैसे,ಮೂಲಕ
भरनी,ಸ್ಟಫಿಂಗ್
मिटटी,ಮಣ್ಣು
कीप,ಫನಲ್
क्लीन,ಸ್ವಚ್ .ಗೊಳಿಸಿ
साफ़,ಸ್ವಚ್ .ಗೊಳಿಸಿ
क्लीन क्लीन,ಕ್ಲೀನ್ ಕ್ಲೀನ್
सफाई पसंद,ಸ್ವಚ್ aning ಗೊಳಿಸುವ ಆಯ್ಕೆ
ॉव,ॉव
कह,ಹೇಳಿ
झांट,ಜಂತ್
फिर,ನಂತರ
सलफेट,ಸಲ್ಫೇಟ್
निकला,ಹೊರಬಂದಿತು
आइस क्रीम,ಐಸ್ ಕ್ರೀಮ್
उन,ಆ
रोड,ರಸ್ತೆ
ब्रोस,ಬ್ರದರ್ಸ್
बिफोर,ಬಿಫೋರ್
हॉर्स घोडा,ಕುದುರೆ ಕುದುರೆ
प्लान्स,ಯೋಜನೆಗಳು
स्वीट,ಸಿಹಿ
प्रतिशत,ಶೇಕಡಾ
वेल्ला,ವೆಲ್ಲಾ
बाउंड्री,ಗಡಿ
सुंगलीगत,ಸನ್ಗ್ಲಾಸ್
नोबडी,ಯಾರೂ ಇಲ್ಲ
केयर परवाह,ಆರೈಕೆ ಆರೈಕೆ
स्पेशल,ವಿಶೇಷ
कुक,ಅಡುಗೆಯವನು
खास,ವಿಶೇಷ
मानती,ಒಪ್ಪುತ್ತೇನೆ
मैंने,ನಾನು
