bobble,berbandul
झूट,Berbohong
सचाई,Kebenaran
पागल,Gila
हैरोज़,Pahlawan
गल्ले,Kawanan domba
हाथ,Tangan
गिनती,Hitungan
अंक,Nomor
जीत,Kemenangan
दोबारा,Lagi
बेज़त्ती,Bezzatti
एक,Satu
दिमाग,Otak
कुछ नहीं,Tidak ada
गोला,Bola
बेजत्ती,Bezzi
किसी पर नहीं,Pada siapa pun
क्रॉस,Salib
फटे कपडे,Pakaian robek
torn,robek
दाढ़ी,Beard
give me,berikan padaku
torn clothes,pakaian sobek
appereciate,menghargai
खून,Darah
अकल,Kebijaksanaan
भोजन,Makanan
zombies,zombie
दरवाज़ा,Pintu
खोलो,Buka
जरुरत,Kebutuhan
निनी,Nini
तागत,Kekuatan
बूट्स,Sepatu bot
ब्लैक,Hitam
नाप,Mengukur
पॉपकॉर्न,Popcorn
टी.वी.,TV
मैच,Pertandingan
क्रिकेट,Jangkrik
आउट,Keluar
गया,Gaya
टी.वि.,T.V.
स्कोर,Skornya
रन,Lari
इंडिया,India
बॉल,Ball
आखरी,Yang terakhir
बेटिंग,Taruhan
जुआ,Judi
कुछ भी,Apa saja
बोल्ड,Berani
गालिया,Kasar
अशब्द,Kata
फिक्स,Perbaiki
कमेंटेटर,Komentator
समाचार,Berita
मार,Bunuh
जोश,Gairah
leg,kaki
तांग,Tang
मैन,Bung
ट्रॉफी,Piala
टोली,Tim
झंडा,Bendera
चीयर गर्ल,Gadis ceria
बेंट,Bent
खेलो,Main
फॉर फ्रंट,Untuk depan
खेलना,Untuk bermain
ओड,Od
इवन,Bahkan
पूछना,Untuk bertanya
सबको,Untuk semua
हराएगा,Akan mengalahkan
लौंडे,Polandia
दिल लाल जोर,Dil lal jor
दिल दिल्ली दिलसे,Dil delhi dilse
खान,Khan
daredevils,pemberani
बावर्ची,Masak
स्वादिष्ठ,Enak
परोसना,Untuk melayani
प्लेट,Piring
नमक,Garam
स्वाद,Rasanya
धमाका,Bang
करछी,Perebutan
लप लपाये,Mengejar ketinggalan
छुरी कांटा,Garpu pisau
चमच्च,Sendok
साथ,Dengan
पहला,Yang pertama
चक,Chuck
बनाना,Untuk membuat
ज़िन्दगी,Hidup
मालिक,Pemilik
सर्कार,Jenis
दादागिरी,Dadagiri
दबाना,Untuk menekan
गन,Senapan
रिश्ता,Hubungan
सत्ता,Kekuatan
भाग,Bagian
नौकर,Pelayan
चमचागिरी,Chamchagiri
रविवार,Minggu
स्टीव जॉब्स,Pekerjaan Steve
नो जॉब,Tidak ada pekerjaan
नो मनी,Tidak ada uang
पैसा,Uang
बड़ा,Yang besar
कुश्ती,Gulat
बॉक्सिंग,Tinju
नौकरी,Pekerjaan
कंपनी,Perusahaan
छोड़ दूंगा,Akan pergi
नहीं करनी,Bukan untuk
कमाना,Hasilkan
जीतना,Untuk menang
इनाम,Hadiahnya
मनी,Uang
धन,Uang
सैलरी,Gaji
अमीर,Kaya
तबियत,Kesehatan
आदमी,Pria itu
ऊपर,Naik
ऊंचाई,Tingginya
चढ़ गयी,Memanjat
खाओ,Makanlah
सो,Jadi
दुबारा,Lagi
करो,Lakukan
कमाओ,Hasilkan
ख्याल,Peduli
बल्ब,Bohlam
रौशनी,Ringan
बचाओ,Simpan
बचाएगा,Akan menghemat
ग्राफ,Grafik
मनी की तरफ,Di sisi uang
दयान,Dayan
तीर,Panah
बीच में,Di tengah
होली,Holi
रंग,Warnanya
त्योहार,Festival
पिचकारी,Alat penyemprot
अब तो तू गया,Kamu sudah pergi sekarang
बुरा ना  मनो होली है,Bad na mano holi hai
रंगूंगी,Rangungi
चुन चुन के,Chun chun ke
भांग,Ganja
दूध,Susu
कब है होली,Kapan holi
कह के मारूंगा,Mengatakan bahwa aku akan membunuh
तेरा क्या होगा,Apa yang akan terjadi padamu
मतलबी,Berarti
चश्मिश,Kacamata
मेक अप,Rias
सजावट,Dekorasi
सुंदरता,Kecantikan
हसना मज़ाक उड़ाना,Buatlah tawa yang menyenangkan
मैं हूँ ना,Saya benar
बुरा ना मानो होली है,Jangan pedulikan holi
चलो होली खेलते है,Ayo main holi
अब तोह तू गया,Sekarang kamu sudah pergi
चुन चुन के मरूंगी,Chun chun ke marungi
दारु,Alkohol
चढ़ाना,Plating
गिलास,Gelas itu
गब्बर,Gabbar
कह के मरूंगा,Mengatakan aku akan mati
मुश्किल,Sulit
समझादे,Mengerti
एग्जाम टाइम,Waktu ujian
पढ़ादे,Baca
फर्रे बना रहा हु,Membuat Farre
कागज,Kertas
भगवान,Dewa
फेल,Gagal
पूजा,Ibadah
प्रार्थना,Doa
बस 5 मिनट और,Hanya 5 menit lagi
आंसर शीट,Lembar jawaban
प्रशन,Pertanyaan
उत्तर,Jawab
एक्स्ट्रा टाइम,Waktu ekstra
यार तू ही टॉप मरेगा,Teman kamu akan mati atas
सबसे उप्पर,Di atas segalanya
अचे मार्क्स,Nilai bagus
रिजल्ट,Hasil
तेरा कितना हुआ,Berapa harga Anda
कोर्स,Tentu saja
सिलेबस,Silabus
पक्का फेल,Tentu gagal
हार मानता हु,Menyerah
लाल झंडा,Bendera merah
बता दियो यार,Beritahu saya teman
आंसर,Jawab
अच्छा करना,Untuk melakukannya dengan baik
बढ़िया करना,Baik-baik saja
शुभ कामनाये,Semoga beruntung
भगवान्,Dewa
चमत्कार,Keajaiban
खतरनाक,Berbahaya
सरकार,Pemerintah
आलस,Kemalasan
अलसी,Biji rami
बुढ़ापा,Usia tua
उम्र,Usia
ओल्ड,Tua
बघवान,Baghwan
इंसान,Manusia
आमना,Tatap muka
सामना,Wajah
भक्त,Pemuja
नाशवान,Mudah rusak
लेक्स लुथोर,Lex luthor
डी.सी.,D.C.
दिमाग खराब,Pikiran buruk
हिल्ला हुआ,Terguncang
सनकी,Aneh
लोइस लेन,Lois Lane
क्लार्क केंट,Clark kent
सुपरमैन,Superman
महा आदमी,Pria hebat
झुक जाओ,Sujud
निचे रहो,Turun
हार मान लो,Menyerah
ब्रूस वेन,Bruce Wayne
बैटमैन,Batman
चमकाडर आदमी,Pria berkilauan
तुम्हारे साथ है,Apakah dengan kamu
वंडर वुमन,Wonder Woman
तलवार,Pedang
कवच,Armor
डायना,Diana
लोगो को साथ लाना पसंद है,Suka membawa orang
इखट्टा,Ikhta
क्या वह तुम्हारे साथ है,Apakah dia bersamamu?
सुपर मैन,Manusia super
उम्मीद,Harapannya
इशारा,Petunjuk
क्या तुम्हारा खून निकलता है,Apakah kamu berdarah
मत्त डल्लो,Matt Dallow
गीली,Basah
मिठाई,Permen
माल पुए,Barang dibayar
ढोल,Gendang
खेलते है,Ayo bermain
कहा छुपाया है,Dimana kamu bersembunyi
होली है,Itu holi
भाभी को बहार निकालो,Ambil saudari ipar itu
बलम पिचकारी,Balam Pichkari
बड़े जोश में हो,Bersemangatlah
आज ना छोडूंगा,Saya tidak akan pergi hari ini
फोड़ दूंगा,Akan pecah
कहाँ छुपाया है,Dimana disembunyikan
बाल्टी,Ember
मेरी पिचकारी पकड़ो,Pegang muncratku
थोड़ा रंग दे ना,Beri aku warna
देख भाई,Lihat saudara
कह के लेंगे,Akan mengatakan
मरेंगे,Akan mati
देख बहन,Lihat saudara perempuan
बंदा,Kawan
बी.ऍफ़.,B.F.
फोन उठा,Angkat telepon
मेरे लगेंगे,Saya akan ambil
में अपनी फेवरेट हूँ,Saya adalah favorit saya
अपने आप को,Dirimu sendiri
देख बे,Lihat teluk
बकचोदी,Gibberish
मत कर,Tidak
मूड खराब है,Moodnya buruk
मुक्का,Pukulan
पसंद करो,SEPERTI
बट्टो,Batto
मज़्ज़े करो,Selamat bersenang-senang
मेहनत,Kerja keras
जल मत,Jangan terbakar
जलन,Kecemburuan
सेहत,Kesehatan
अच्छा नहीं हु,Tidak bagus
देख पगली,Dekh Pagli
ऐसे न देख,Jangan terlihat seperti ini
प्यार हो जायेगा,Akan jatuh cinta
तुमसे ना हो पायेगा,Anda tidak akan bisa
फत्तू,Fattu
घूमाना,Untuk menjelajah
ट्रेवल,Bepergian
ध्यान से जाना,Pergi dengan hati-hati
घुमाना,Putar
साइकिल,Sepeda
दुनिया हमारी है,Dunia adalah milik kita
समह,Sama sekali
गेटवे,Gerbang
चलो कहीं खोह जाये,Ayo pergi ke suatu tempat
अमेरिका,Amerika
ट्रेवल घूमना,Jalan-jalan berjalan
वेकेशन,Liburan
छुटियाँ,Liburan
ट्रिप,Perjalanan
सामान बांधो,Dasi barang
बहार,Musim semi
बहार साथ चलोगे,Akan keluar bersama
घूमने साथ चलोगे,Apakah Anda akan berjalan bersama?
चलो दुनिया देखे,Mari kita lihat dunia
मैप,Peta
देसी चाय,Teh Desi
चाह,Keinginan
बर्तन,Kapal
कप,Piala
मसाला चाय,Teh Masala
मसाला,Rempah-rempah
खोके की चाय,Teh Khoya
पत्ते,Pergi
खोका,Pisau
गांजा,Rami
अफीम,Opium
चरस,Hashish
कड़क चाय,Teh keras
बढ़िया चाय,Teh yang enak
मस्त चाय,Teh dingin
गरम चाय,Teh panas
हाई चाय,Teh tinggi
चाय शये,Teh teh
सुबह की चाय,Teh pagi
चाय पार्टी,Pesta teh
कटिंग चाय,Memotong teh
बहार की चाय,Teh musim semi
सड़क की चाय,Teh jalanan
कटिंग वाली चाय,Memotong teh
चाय सुट्टा,Teh Sutta
और,Dan
बारिश,Hujan
बरसात,Hujan
पकोरा,Pakora
पकोड़े,Goreng
चाय की चुस्की,Cangkir teh
चुस्किआ,Chuskia
सिप,Sip
समोसा,Samosa
आलू,Kentang
चाय समोसा,Teh Samosa
में हूँ औरत,Saya seorang wanita
लड़कियाँ,Gadis-gadis
आंटी,Bibi
औरतें,Wanita
खाना बनाना,Untuk memasak
खाना पकाना,Memasak makanan
कसरत,Latihan
पढ़ना,Membaca
में हूँ घरवाली,Saya seorang ibu rumah tangga
घरवाली,Ibu rumah tangga
घर की पत्नी,Istri rumah
सफाई,Kebersihan
अध्यापक,Guru
पढ़ाना,Untuk mengajar
किताब,Buku itu
अध्यापिका,Guru
ब्लैक बोर्ड,Papan tulis
विजेता,Pemenang
विजय,Kemenangan
टेनिस,Tenis
राक्वेट,Raquette
नेट,Bersih
मालकिन,Nyonya
हक़,Benar
अम्मा,Amma
बच्चे,Anak-anak
खिलोने,Bloom
घूमने वाली,Berputar
पहाड़ चढ़ना,Mendaki gunung
सिपाही,Tentara itu
आर्मी,Tentara
सेना,Tentara
रैफेल,Undian
जवान,Yang muda
प्रेरणा,Inspirasi
योग,Yoga
व्यायाम,Latihan
रुको,Tunggu sebentar
रुकवाना,Untuk berhenti
चिन्ह,Simbol
सड़क चिन्ह,Tanda jalan
बाते बंद,Bicara off
चलने दो,Lepaskan
गाडी चलाओ,Mengemudikan mobil
बेताब,Putus asa
बेचैन,Gelisah
मरीज़,Pasien
हस्पताल,Rumah sakit
एक्सीडेंट,Kecelakaan
हादसा,Kecelakaan
सीट बेल्ट,Sabuk pengaman
लगाओ,Terapkan
बांधो,Dasi
कस्सो,Wah
सेफ ड्राइविंग,Mengemudi dengan aman
अँधा,Buta
पार,Di luar
डेट,Tanggal
ब्लाइंड डेट,Tanggal buta
तेज़्ज़ी सीमा,Batas asam
स्पीड लिमिट,Batas kecepatan
चालीस,Empatpuluh
तेज़ नहीं,Tidak cepat
हाईवे,Jalan raya
रनवे नहीं,Tidak ada landasan
ड्राइविंग,Mengemudi
आवाज़,Suara itu
सोना नहीं,Jangan tidur
पीप पीप,Pus nanah
व्हिस्की,Wiski
ड्राइविंग नहीं,Tidak mengemudi
पी के मत चलाओ,Jangan mengemudi pk
आदमी काम पे,Pria di tempat kerja
निर्माण,Konstruksi
निर्माण की तरफ,Sisi konstruksi
अगर तुम्हे पता है में क्या कहे रहा हु,Jika Anda tahu apa yang saya katakan
समझदार को इशारा,Gesture ke waras
समझे,Mengerti
मुझे नहीं पता,Saya tidak tahu
में क्या कर रहा हु,Apa yang aku lakukan
दफक,Dafak
क्या,Apa
समझ नहीं आया,Tidak mengerti
शर्लाक,Sherlock
बेनेडिक्ट,Benediktus
कम्बरबैच,Cumberbatch
सम्भालो,Berhati-hatilah
तैयार हो जाओ,Bersiaplah
क्यों नहीं,Kenapa tidak
नहीं कर सकते क्या,Tidak bisa kamu
कुर्सी,Kursi
पढाई नहीं करी,Tidak belajar
पास हो गया,Telah berlalu
अचे अंक आये,Nilai bagus datang
में हु रत्तू,Saya Rattu
अजीब,Aneh
स्पार्टा,Sparta
मारना,Untuk membunuh
शांत रहो,Tetap tenang
कर्म करो,Lakukan perbuatan
बढ़ते चलो,Teruslah berkembang
क्या चल रहा है,Apa yang terjadi
इधर,Di sini
समझाओ,Jelaskan
ढूंढूंगा,Akan menemukan
मारूंगा,Akan membunuh
फ्रेंड जोन,Zona teman
बहाने नहीं,Tidak ada alasan
बहाने बाज़ी,Dalih
सच,Kebenaran
प्रीच इट,Memberitakannya
प्रीचिंग,Berkhotbah
पहले भी,Bahkan sebelumnya
बेवक़ूफ़,Tanpa otak
एलियंस,Alien
अंतरिक्षवासी,Dari luar angkasa
बहार क लोग,Orang di luar
फिरंगी,Firangi
मौका मौका,Peluang kebetulan
खेल,Permainan
विकेट,Gawang
किल्ली,Kunci
बदला,Balas dendam
हार जीत,Menangkan kemenangan
नीला,Biru
ब्लू,Biru
ब्लीड ब्लू,Biru pucat
दुनिया रंगदो नीले  से,Dua warna dunia
कोहली,Kohli
विराट खोली,Sangat terbuka
विराट,Virat
बी.सी.,SM
हार,Kalung itu
नाचना,Menari
गेल,Gayle
करिस गेल,Karis Gayle
शांत,Diam
सो खाओ दुबारा तकिया,Tidur makan bantal lagi
धोनी,Dhoni
माही,Mahi
एम. इस. धोनी,M. ini 
कप्तान,Kapten
धवन,Dhawan
इकलौता,Satu-satunya
बैट्समैन,Batsman
दे घुमाके,Berbaliklah
छक्का,Enam
चौक्का,Kotak
उत्साह,Antusiasme
दो,Dua
तीन,Tiga
चार,Empat
चीयर लीडर,Pemimpin yang ceria
आये,Tiba
मज़्ज़ा,Mazza
लुंगी,Lungi
डिपर,Biduk
इस्तेमाल,Digunakan
लाइट,Ringan
हेड लाइट,Kepala ringan
आगे की लाइट,Lampu depan
टोर्च,Obor
बुरी नज़र वाले,Mata iblis
तेरा मुह काला,Mulutmu hitam
कला,Seni
मुह,Mulut
थोप,Memaksakan
पोत,Kapal
बुरुश,Sikat
शादी,Pernikahan
नचाओ,Menari
देदो,Berikan
सुना,Dengar
सुनाई नहीं दिया,Tidak terdengar
तेज़्ज़ बोल,Tez Bol
सब बढ़िया है,Semuanya baik-baik saja
आल इज़ वेल,Semuanya baik-baik saja
झाडिया,Jhadia
पत्थर,Batu itu
गाडी चलाना,Berkendara
है मत,Tidak punya
हस्सी तो फास्सी,Hassi ke Fassi
जलता हुआ,Terbakar
दुआ,Berkah
rosses,mawar
भूमि,Tanah
ओ,O
हैरान,Terkejut
अचरज,Mengagumkan
मस्त,Keren
हम्म,Hmm
सोचना,Untuk berpikir
जवाब,Jawab
सोच,Berpikir
हे भगवान्,Ya Tuhan
भोचक्का,Bodoh
बकवास,Sampah
फ़क,Perbedaannya
हल्क,Hulk
हरा,Hijau
ताकतवर,Yang perkasa
बुरी,Yang buruk
अँधेरा,Gelap
नरक,Neraka
मुआह,Kasih sayang
कमाल,Luar biasa
झक्कास,Jest
गल्ले लग्न,Lagna yang berderap
हग,Tas itu
मरना,Untuk mati
मर गया,Telah meninggal
मारा हुआ,Terbunuh
म्रित्यु,Kematian
सतरंगी,Warna biru
लोल,Lol
हाहा,Haha
गरम,Panas
सड़ता हुआ,Busuk
पारी,Bergeser
स्वर्ग,Surga
आ,Datang
तबाही,Penghancuran
विनती,Minta
पप्पी,Pappi
मासूम शकल,Wajah polos
फचा,Lipat
Arvind,Arvind
केजरीवाल,Kejriwal
kejriwal,kejriwal
CM,CM
Bacha,Bacha
IIT,IIT
babysitter,pengasuh anak
uthaye,Angkat
उठाये,Angkat
फंडिंग,Pendanaan
रुपए,Uang
आई आई टी,IIT
कॉलेज,Perguruan tinggi
स्टूडेंट,Pelajar
छात्र,Siswa
पढाई,Studi
चेतन,Sadar
भगत,Bhagat
chetan,chetan
bhagat,Bhagat
leaf,daun
पत्ता,Alamat
novels,novel
नॉवेलिस्ट,Novelis
author,penulis
ीत,ीत
Alumni,Alumni
maggu,Belatung
कैसा है,Bagaimana
पढ़ाकू,Kutu buku
हाल चाल,Trik terbaru
अकल्मन्द,Bijaksana
एकदम स्मार्ट,Sangat pintar
स्मार्ट,Pintar
ज्ञानी,Berpengetahuan luas
केमिस्ट्री,Kimia
सफेद कोट,Mantel putih
क्या बात,Masalah apa
मंगल,Mars
शिकारी,Pemburu
शिकार,Perburuan
चाचा,Paman
कसम,Aku bersumpah
पहलवान,Pegulat
चौड़ा,Lebar
नाच,Tarian
नचवाना,Menari
मार खायेगा,Akan membunuh
पिटाई,Mengalahkan
लड़ाई,Pertarungan
मरूंगी,Akan mati
अच्छी,Bagus
समझदार,Masuk akal
शुशील,Sushil
स्कूल,Sekolah
विद्यालय,Sekolah
नहीं जाना,Jangan pergi
भागता किधर है,Di mana dia lari
भागता,Lari
फ्रेंडज़ोन,Freindzone
राधा,Radha
समः,Bahkan
कृष्ण,Krishna
बदलेकि भावना,Rasa balas dendam
मां,Ibu
कंस,Kansa
अप्सरा,Nimfa
सब बढ़िया,Semua baik
अच्छा,Bagus
चोर,Pencuri itu
भागो,Lari
चौधरी,Chaudhary
पगड़ी,Turban
मुच्,Banyak
डरो मत,Jangan takut
में आ गया,Saya tiba
लडू,Ladoo
चुटकी,Sedikit
षड्यंत्र,Konspirasi
राजकुमारी,Sang putri
ज़ेवर,Perhiasan
कलंदर,Kalender
बन्दर,Monyet
भीम,Bheem
नीला बन्दर,Monyet biru
छोटी,Kecil
नीले कपडे,Baju biru
भोलू,Bholu
ढोलू,Gendang
गांव,Desa
सब के लिए,Untuk semua
कार्टून,Kartun
बहादुर,Berani
दोस्तों,Teman
क्या हाल है,Apa kabar
चड्डी,Celana ketat
राजू,Raju
में हु राजा,Saya adalah raja
महँ,Saya
जय हो,Salam
मुकुट,Mahkota
रोटी,Roti
वापस लाओ,Bawa kembali
गल्ले लगजा,Peluk aku
कालिया,Kalia
तीसरी,Yang ketiga
आँख,Mata
खुल,Buka
carry,membawa
minati,minati
कैर्री,Bawa
मिनाती,Permohonan
शुरू,Mulai
बिना,Tanpa
सस्ते,Murah
नशे,Obat-obatan
harpic,harpa
cheap,murah
hathoda,Palu
तोड़,Hancurkan
pebble,kerikil
तोडना,Untuk istirahat
बीज,Bijinya
seed,benih
किसका,Milik siapa
कट्टा,Masam
बंदूक,Pistol
पिला,Pila
सालो,Bertahun-tahun
saalo,Adik ipar
कितना,Berapa banyak
फूकता,Meledak
ciggrate,rokok
fookta,fookta
बहुत,Banyak
दोस्ती यारी,Dosti Yaari
dosti yaari,Dosti Yaari
गाली,Kekerasan
मत,Pilih
देना,Memberi
abusive,kasar
agree,setuju
समझना,Untuk mengerti
अपना,Kami
कैसे,Bagaimana caranya
आप,Kamu
लोग,Orang-orang
जनता,Publik
RABTA,TERKAIT
RAABTA,Rabta
गणेश,Ganesha
गणेशा,Ganesha
गणेश जी,Tuan Ganesh
गणेश चतुर्थी,Ganesh Chaturthi
पाठ,Teks
गणपति बाप्पा,Ganpati Bappa
मोरिया,Moriya
अगले,Selanjutnya
बरस,Hujan
तू,Kamu
जल्दि,Segera
राम,Ram
नाम,Nama
जय राम जी की,Jai Ram Ji
जय,Jai
श्री,Tuan
धनुष,Bow
लक्ष्मी,Lakshmi
मैया,Ibu
कृपा,Kebaikan
बनि,Bani
रहे,Tinggal
दिवाली,Diwali
श्रद्धा,Hormat
शिव जी,Dewa Siwa
नमय,Namay
शिवाय,Selain itu
आस्था,Iman
भक्ति,Pengabdian
सबूरी,Saburi
ज़ूज़ू,Zhu Zhu
वोडाफोन,Vodafone
हमम,Hmmm
मदत,Bantuan
आवाज,Suara itu
वोडा,Voda
डराना,Untuk menakuti
मासूम,Tidak bersalah
सुनने,Dengarkan
स्पीकर,Pembicara
भाषण,Pidato
डोला,Dola
मुझसे डर,Takut saya
नहीं पता,Tidak tahu
तंग मत कर,Jangan ganggu
परेशान मत कर,Jangan repot-repot
बात मत कर,Jangan bicara
समुन्दर किनारे,Pantai laut
ज़ूम,Zoom
इज़हार,Ekspres
मोहोबत,Cinta
सिनेमा,Bioskop
मूवी,Film
फिल्म,Film
बंक,Tempat tidur
नहीं दे रहा,Tidak memberi
डब्बा,Kasing
मम्मी का खाना,Makan malam mumi
sparrow,burung gereja
minions,pelayan
spidergirl,spidergirl
web,web
spider,laba-laba
gardians,gardians
galazy,galaksi
gamara,gamara
galaxy,galaksi
nebula,nebula
despecableme,merobek saya
Tubelight,Cahaya tabung
Despecable,Tercela
gru,derek
हवेली,Rumah besar
आओ कभि,Datanglah selamanya
अमरीश,Amrish
पुरी,Puri
amrish,amrish
haveli,haveli
मौका,Peluang
टीम,Tim
स्टार,Bintang
स्टेडियम,Stadion
स्पोर्ट्स,Olah raga
गर्ल,Gadis
ठग,Smoothie
लाइफ,Hidup
जिंदगी,Hidup
thug,penjahat
गोल्ड,Emas
चौड,Chaud
यो,Ini
रेड,Merah
आंसू,Air mata
मोरनी,Merak
मोर,Merak
i need,saya butuh
national bird,burung nasional
बस,Bus
केवल,Hanya
i can,saya bisa
पम्मी,Pummy
pammi,pammi
फैशन,Mode
i love,aku cinta
फैन,Kipas angin
आओ कभी,Datanglah selamanya
ये,Ini
बिक,Dijual
गई,Sudah pergi
है,Apakah
गौरमिंट,Gourmint
gormint,Gormint
रिपोर्टर,Reporter
reporter,reporter
बॉय,Anak laki-laki
गयी,Hilang
चैन,Damai
chain,rantai
बाबा,Baba
बाबा जी,Baba Ji
नागिन,Ular
सपेरा,Pawang ular
SUPERSINGH,SUPERSINGH
DALJIT,Daljeet
actors,aktor
actress,aktris
heroine,pahlawan wanita
manners,tata krama
tameez,Tameez
बद्तमीज़,Disayangkan
साले,Kakak ipar
भाभी,Adik ipar
तेरी,Milikmu
तमीज,Tameez
धमकी,Ancamannya
जिसको,Kepada siapa
देखो,Lihat
बजाने,Dimainkan
मेरी,Saya
लगा,Merasa
चेयर,Kursi
helpless,tidak berdaya
शेर,Singa
kiddo,Nak
शाबाशी,Baiklah
ये है,Ini adalah
ye hai,Juga
गर्व,Bangga
खुश,Senang
बोल,Berbicara
ना,Tidak
मेरे,Saya
insist,bersikeras
जबरदस्ती,Dengan paksa
बहुत देर,Terlambat
रिमोट,Remote
सॉरी,Maaf
माफ़ी,Permintaan maaf
मूव,Bergerak
हिलो,Hilo
नहीं,Tidak
हो,Jadilah
सकता,Bisa
जस्ट,Adil
माय,Saya
बिल्ली,Kucing itu
कैट,Kucing
माऊवव,Ma'uv
सोफे,Sofa
टी वि,TV
कोक,Coke
पेप्सी,Pepsi
सॉफ्ट,Lembut
ड्रिंक,Minum
पेट,Perut
सुकून,Santai
टेबल,Meja
झूला,Ayun
ालास,ालास
चिल,Dingin
मारो,Hit up
नो,Tidak
प्रॉब्लम,Masalah
कुछ,Beberapa
दिक्कत,Masalah
परेशानी,Masalah
चिल मारो,Tenang
यारर,Yarr
मन,Pikiran
नहीं है,Bukan
मूड,Suasana hati
बोर्ड,Papan tulis
दुखी,Sedih
आत्मा,Jiwa
परेशां,Cemas
होम,Rumah
कारपेट,Karpet
कागज़,Kertas
स्पेक्स,Spesifikasi
चाहते,Mau
बादल,Awan
पीस,Sepotong
आसान,Mudah
मोह,Jatuh cinta
मया,Maya
रणबीर,Ranbir
घंटा,Jamnya
सुकून पीस,Damai tenang
प्यारर,Cinta
तो,Lalu
मैं,Saya
नाचूँ,Menari
आस्क,Tanya
बजाना,Bermain
करू,Lakukan itu
मग,Lalu
कल,Besok
पक्का,Tentu
परसों,Lusa
दौड़,Balapan
दौड़ना,Lari
करना,Untuk dilakukan
नीड,Kebutuhan
चॉइस,Pilihan
अलिअ,Aaliyah
खा,Makan
अर्जुन,Arjun
बूटी,Boot
दवा,Obatnya
गोवा,Goa
जो,Yang mana
गॉन,Hilang
ज़ोंबी,Zombi
सन्यासी,Hermit
वर्क,Bekerja
ओवर,Berakhir
ख़तम,Sempurna
होगया,Selesai
लगता,Sepertinya
डरावनी,Horor
जगा,Bangun
शर्त,Kondisi
मुझे,Saya
जगाना,Bangun
हमसे,Dari kami
पाएगा,Akan bisa
पाना,Dapatkan
भावनाओ,Perasaan
को,Untuk
समझो,Pahami itu
इमोशंस,Emosi
फीलिंग्स,Perasaan
समझाना,Untuk menjelaskan
ओह्ह तेरी,Ohh milikmu
ओह्ह,Ohh
सांता,Santa
क्रिसमस,Natal
मानना,Untuk percaya
अफ़सोस,Maaf
में,Di
निकल,Nikel
बाहर,Di luar
नोट,Catatan itu
चलना,Berjalan
चलता,Berjalan
हुआ,Berlangsung
कब,Kapan
अरे,Hai
हम,Kita
मिल,Dapatkan
हैं,Apakah
मिलो,Bertemu
मिलाप,Solder
मेल,Surat
किचन,Dapur
पकाना,Untuk memasak
एप्रन,Celemek
मास्टर,Tuan
शेफ,Koki
कुकिंग,Memasak
वैलेंटाइन्स,Kasih sayang
मेरा,Milik saya
वैलेंटाइन,Valentine
प्रोपोज़,Melamar
प्रस्ताव,Tawaran itu
प्रेम,Cinta itu
अनिवादन,Salam
पिंकी,Pinky
प्रॉमिस,Janji
वादा,Janji itu
अंगुली,Jari
रहा,Tinggal
हमेसा,Selalu
सादा,Biasa
सदा,Selalu
नॉट,Tidak
सिंगल,Lajang
अकेला,Sendiri
इस,Ini
साल,Tahun
कोई,Apa saja
बिचारा,Miskin
यू,U
तुम,Kamu
दिख,Terlihat
रे,Ray
प्यारी,Yang indah
सुंदरी,Indah
लॉट्स,Banyak sekali
ज्यादा,Lebih
किस्सेस,Cerita
काफी,Cukup
साडी,Saree
हर्ट्स,Hati
तुमसे,Dari anda
हमे,Kami
करता,Apakah
हूँ,Saya
गिव,Berikan
मझे,Saya
हुग,Hoog
पा,Pa
चॉकलेट,Cokelat
लाया,Dibawa
तुम्हारे,Milikmu
लिए,Untuk
रोजेज,Mawar
कार,Mobil
सीट,Kursi
रही,Telah
बचा,Kiri
जल्दी,Awal
थोड़ा,Sedikit
तोफहा,Hadiah itu
गिफ्ट,Hadiah itu
लाओ,Bawa
चाइये,Chie
तुम्हे,Untuk anda
मुबारक हो,Selamat
दिन का,Hari ini
बल्लूंस,Balon
हैंड्स,Tangan
साथ में,Dengan
हमेशा,Selalu
रहेंगे,Akan tetap
हमलोग,Kita
टेडी,Teddy
बेयर सॉफ्ट,Telanjang lembut
तोय,Toe
भालू,Beruang
तुम्हारी,Milikmu
इगनोर,Abaikan
मेको,Macau
न,Tidak
एनफ,Cukup
अब,Sekarang
मुझसे,Dari saya
करनी,Untuk dilakukan
इतना,Sangat banyak
चिपक,Tongkat
थी,Apakah
वो,Itu
छिपकली,Kadal
चिपकना,Menempel
नापसंद पसंद,Tidak suka suka
बोलते,Bicaralah
पूछ,Tanya
क्यों जवाब,Mengapa menjawab
जाओ,Pergi
उसी,Sama
से,Dari
मजसे,Menyenangkan
जाओ उसी,Pergi sama
करो बात,Bicaralah
मझे नहीं,Bukan saya
अपनी,Kami
पिछली,Sebelumnya
गफ,Pergi
उसे,Dia
उससे,Dari dia
अभी,Sekarang
तक,Sampai
करते,Lakukan
एक्स,X
उठाया,Dibesarkan
तुमने,Kamu
बोलै,Katakan
मेने,Saya
तुम्हारा,Milikmu
येलो,Kuning
पेह्नने,Oleh pehne
तुम पहनने,Kamu memakai
भी,Juga
कर्रे हो,Corre itu
कर्रे,Currey
बताओ,Beritahu saya
स्कर्ट,Roknya
रिचार्ज,Isi ulang
करदु,Karadu
बैलेंस,Saldo
डलवा,Dalwa
