bobble,बडबड
subha hogayi,चांगले होईल
hai mamu,स्तब्ध
uthja bhai,भाऊ भाऊ
schooljana hai,शाळेत जावे लागेल
time up,वेळ संपला
get up,उठ
awesome wali,अप्रतिम वाली
majhe ke din,माझ्या दिवशी
ghar ka kaam,घरकाम
boring job,कंटाळवाणे नोकरी
punishment,शिक्षा
daily work,रोजचं काम
bhulgaya main,मी विसरलो
phelaphela pyaar,अयशस्वी प्रेम
first love,प्रथम प्रेम
meri phela pyaar,माझे पहिले प्रेम
uthavala,uthavala
new start,नवीन सुरवात
nayi shuruwaat,नवीन सुरुवात
back to pevilion,परत सह मंडप
chutti khatam,सुट्टी संपली
no molre holidays,अधिक सुट्टी नाही
exams',परीक्षा '
subha ka alaram,सुप्रभात
this year,या वर्षी
important exam,महत्वाची परीक्षा
yeh saal,ये साल
preparation,तयारी
prelims,प्रिलिम्स
pre exam,पूर्व परीक्षा
mock test,मॉक टेस्ट
resourceful,संसाधनात्मक
passionate,उत्कट
secretive,गुप्त
a true friend,खरा मित्र
Tenacious,कठोर
sympathetic,सहानुभूतीशील
insecure],असुरक्षित]
moody,मूड
analytical,विश्लेषणात्मक
shyness,लाजाळूपणा
nature,निसर्ग
cleanliness,स्वच्छता
healthy food,निरोगी अन्न
reliable,विश्वसनीय
oractical,वक्तृत्वक
devoted,भक्त
stable,स्थिर
gardening,बागकाम
promises,आश्वासने
generous,उदार
idealistic,आदर्शवादी
great sense of humor,विनोद महान भावना
philosophy,तत्वज्ञान
compassionate,अनुकंपा
fruitful,फलदायी
musical,वाद्य
fearful,भीतीदायक
desire,इच्छा
co-operative,सहकारी
gracious,दयाळू
diplomatic,मुत्सद्दी
fair minded,प्रामाणिक मनाचा
self pity,आत्म दया
harmony,सुसंवाद
injustice,अन्याय
warm hearted,उबदार मनाचा
inflexible,अतुलनीय
taking holidays,सुट्टी घेत आहे
being admire,प्रशंसा करणे
humanitarian,मानवतावादी
uncompromising,बिनधास्त
being lonely,एकटे राहणे
affectionate,प्रेमळ
adaptable,अनुकूलनीय
nervous,चिंताग्रस्त
inconsistent,विसंगत
mazgines,गाठी
responsible,जबाबदार
visual media,व्हिज्युअल मीडिया
Courageous,धैर्यवान
challenges,आव्हाने
Inactivity,निष्क्रियता
aggressive,आक्रमक
Christmas spells,ख्रिसमस मंत्र
out love,प्रेम बाहेर
hope and joy,आशा आणि आनंद
bear hugs,अस्वल मिठी
loving kisses,प्रेमळ चुंबन
jingle all the way,संपूर्ण मार्ग जिंगल
Yuletide cheer,Yuletide उत्तेजित
Father Christmas,वडील नाताळ
Santa Clause,सांता क्लॉज
teddy bears,टेडी बिअर्स
chocholate,थोडेसे
History,इतिहास
Christmas Trees,ख्रिसमस झाडे
Christmas Spider,ख्रिसमस कोळी
Jesus Christ,येशू ख्रिस्त
Noël,ख्रिसमस
Nativity,जन्म
Yule,यूल
Merry Xmas buddy,मेरी ख्रिसमस मित्र
lovely spirit,सुंदर आत्मा
wishing you,आपण बनवू
Wonderful Christmas,अद्भुत ख्रिसमस
wonderful holiday,छान सुट्टी
Joy of Giving,देण्याचा आनंद
Prosperity,समृद्धी
reason to smil,हसण्याचे कारण
Ladies,बायका
Laughing all the way,सर्व प्रकारे हसणे
teddy bear,टेडी अस्वल
pleasent,आनंददायी
snow fall,बर्फ पडणे
warm clothes,गरम कपडे
bobtail ring,बॉबटेल रिंग
ride and sing,चालवा आणि गाणे
through the snow,बर्फ माध्यमातून
toffees,टॉफीज
shocks,धक्के
moon light,चंद्र प्रकाश
bundle of gifts,भेटवस्तूंचे बंडल
red ballon,लाल बलून
yellow ballon,पिवळा बलून
girls loves,मुली आवडतात
going for vication,सुट्टीसाठी जात आहे
holiday cheer,सुट्टीचा आनंद
hoilday season,सुट्यांचा काळ
trips,सहली
climbing,चढणे
Alpinism,अल्पानिझम
mountaineering,पर्वतारोहण
starrock climbing,स्टाररॉक क्लाइंबिंग
day of rest,विश्रांतीचा दिवस
holy day,पवित्र दिवस
routine,नित्यक्रम
being alone,एकटे राहणे
being confined,मर्यादित
repitition,पुनरावृत्ती
learn quickly,पटकन शिका
exchange ideas,कल्पनांची देवाणघेवाण करा
good managers,चांगले व्यवस्थापक
reponsible,जबाबदार
self - control,स्वत: ची नियंत्रण
unforgiving,क्षम्य
tradittion,व्यापार
understated status,अधोरेखित स्थिती
short tempered,लहान स्वभाव
gentleness,सभ्यता
caring,काळजी घेणे
confirmity,अनुरूप
self - minded,स्वत: चा विचार करणारा
hard working,कठोर परिश्रम करणारा
taking centre stage,केंद्र स्टेज घेत
true friend,खरा मित्र
dishonesty,बेईमानी
passive people,निष्क्रीय लोक
good sense of humor,चांगली विनोदबुद्धि
general,सामान्य
arrogant,गर्विष्ठ
stuborn,हट्टी
being admired,कौतुक केले जात आहे
expensive,महाग
bright colours,चमकदार रंग
disciplined,शिस्तबद्ध
self control,स्वत: ची नियंत्रण
condescending,घनरूप
good managers',चांगले व्यवस्थापक
expecting the worst,सर्वात वाईट अपेक्षा
famlly,कुटुंब
highly imaginative,अत्यंत काल्पनिक
manipulative',हाताळणी करणारा
home based hobbies,घर आधारित छंद
Runs from emotional expression,भावनिक अभिव्यक्तीपासून चालते
aloof,अलिप्त
hogi,होईल
i will succedd,मी यशस्वी होईल
sarphod,सरफोड
tarika,बँड
brilliant,हुशार
wonderful,अप्रतिम
better option,चांगला पर्याय
best option,सर्वोत्तम पर्याय
perfect option,परिपूर्ण पर्याय
creative one,सर्जनशील
meri zindagi,माझे जीवन
barbad hogayi,उध्वस्त होईल
meri life,माझे जीवन
zindagi na milegi dobara,पुन्हा जीवन मिळणार नाही
barbadi,एक कचरा
good for nothing,काही कामाचा नाही
compeletly destroyed,पूर्णपणे नष्ट
kya main,मी करू शकतो
kharab dekhti hun,वाईट दिसायला
chehra,चेहरा
uglyiest,कुरुप
bekar,एकच
i do not look beautiful,मी सुंदर दिसत नाही
used,वापरले
mazak,कमी
isthamal,Istamal
pj,pj
entertainment,करमणूक
too much care,खूप काळजी
rukjao,रुक्जाओ
baskaro,बास्करो
bhaut hogaya,पुरेशी
chinta,विचार
chup baith,उठून बस
badbadbad,सुरक्षित
blablablabla,निर्लज्ज
chapchapdchapd,chapchapdchapd
unpleasant,अप्रिय
gandha,गंध
bhaut gandha,खूप घाणेरडी
usne kiya,त्याने केले
bandriya,माकड
motu,मोटू
bandar ne kiya,माकडांनी केले
galat insaan,चुकीची व्यक्ती
alchemy,किमया
allurement,मिळकत
biggboss,बिगबॉस
biggboss10,बिगबॉस 10
tumhey,आपणास
procedure,प्रक्रिया
Fried,तळलेले
browned,browned
sauteed,sauteed
frizzled,कुरकुरीत
rahuldialogue,समाधानकारक कॅटलॉग
twin,जुळे
jyotis,ज्योतिषशास्त्र
astrologer,ज्योतिषी
biggbossbaba,बिगबॉसबाबा
mamabhakt,धक्कादायक
luscious,लुसलुशीत
sweetened,गोड
syrupy,सिरप
sweetu,स्वीटू
kehtey,म्हणा
melodramatic,मेलोड्रामॅटिक
overplayed,ओव्हरप्लेड
theatrical,नाट्य
draw,काढा
gain,मिळवणे
biggbossgirl,बिगबॉसगर्ल
accomplished,साध्य
admirable,प्रशंसनीय
attractive,आकर्षक
consciousness,शुद्धी
altercation,मतभेद
confrontation,टकराव
dijaati,पदनाम
jaati,जाती
DANGALJAATI,मॉंग्रेल
aamirkhanbeta,आमिरखानबेटा
aamirkhanjaati,अमेरिका
aamirkhanbeti,आमिरखानबेटी
aamirkhan,आमिरखान
gilt,गिल्ट
halcyon,हॅल्सीओन
hotahai,ते घडते
levve,लेव्ह
DANGALGold,दंगलगोल्ड
contented,समाधानी
delighted,आनंद झाला
ecstatic,उत्साही
elated,आनंदित
glad,आनंदी
acceptable,स्वीकार्य
exceptional,अपवादात्मक
mahri,माह्री
kam nhi,काम नाही
dangel,डेंगल
adolescent,पौगंडावस्थेतील
schoolgirl,शाळकरी मुलगी
teenager,किशोर
Taketwer,टेकटवर
athletic,.थलेटिक
capable,सक्षम
durable,टिकाऊ
verdict,निकाल
settlement,तोडगा
decision,निर्णय
arrangement,व्यवस्था
program,कार्यक्रम
come2017,come2017
noprogram,noprogram
planno,योजना
noplan,नॉपलॅन
noparty,नाही
sadgirl,दु: खी
stillnow,स्थिर
intention,हेतू
method,पद्धत
sadboy,सदो
newyearwish,नववर्ष
girlswish,मुली
wishnewyear,wishnewyear
fungirls,बुरशी
considerable,सिंहाचा
immense,अफाट
boyfun,मुलगा
party time,उत्सवाची वेळ
boypartytime,बायपार्टटाइम
boynewyear,boynewyear
girlsparty,मुलगी
girlsnewyear,girlsnewyear
fullfun,फुलफन
girlsfun,girlsfun
boyparty,Boyparty
treatment,उपचार
newperiod,newperiod
completed,पूर्ण
justcomplate,justcomplate
catnap,कुत्र्यासाठी घर
interlude,अंतर्भूत
intermission,मध्यस्थी
obligation,बंधन
duplicate,नक्कल
imitation,अनुकरण
photocopy,छायाप्रती
print,प्रिंट
redassignments,पुनर्निर्देशन
smartgirl,smartgirl
college girls,महाविद्यालयीन मुली
manage,व्यवस्थापित करा
sad boy,दु: खी मुलगा
college boy,महाविद्यालयीन मुलगा
collegesadboy,कॉलेज अ‍ॅडबॉय
boybag,बॉयबॅग
barso re megha,बारसो रे मेघा
rainwater,पावसाचे पाणी
barish kapaani,पाऊस विश्रांती
oye balle balle,हे व्हेल व्हेल
paani main aag lagaye,पाण्याला आग लावा
drop by drop,ड्रॉप बाय ड्रॉप
rain dance,पाऊस नृत्य
badal,भत्ता
kale megha,ब्लॅक मेघा
colorful umbrella,रंगीबेरंगी छत्री
muddy smell....,चिखलाचा वास ....
chai chap chai,बाटली चॅप चै
chapak chai,चहा चहा
naav,नाव
aweome feeling,छान भावना
great masti,मस्त मस्ती
chilling out,बाहेर थंड
monsoon season,पावसाळा
kalemegha,kalemegh करण्यासाठी
paani toh barso,paani toh barso
beautiful weather,सुंदर हवामान
thanda thanda,थंड थंड
evening time,संध्याकाळ
nachna,नचना
awesome mausam,मस्त
yeh mausam ka jadoo,या हंगामातील जादू
hai mitwa,है मिटवा
mausam bigh bigha,हवामान बिगाह बिघा
main to main toh bigh,मुख्य ते मुख्य ते उच्च
HAI ALLA,आपल्याकडे आहे
satrang bahar ke,जगाच्या बाहेर
mindblasting,mindblasting
beautful colours,सुंदर रंग
bhulgaya,भुल्गाया
visarla,विसारला
chatri,विद्यार्थी
heavy rain,जोराचा पाऊस
coolcool water,थंड पाणी
muddy smell,चिखलाचा वास
pakode,पट्टेबाज
adrak chai,आले चहा
garama garam,गरम गरम
khidhki,घेऊन जा
awesome view,अप्रतिम दृश्य
favorite season,आवडता हंगाम
muddy water,गढुळ पाणी
awesome experience,छान अनुभव
cool weather,थंड हवामान
games,खेळ
kichad,चिखल
barish ka panni,रेन गेज
great feeling,छान भावना
masti with friends,मित्रांसह मस्ती
urgent,त्वरीत
requirement,गरज
course,अर्थात
examination,परीक्षा
nonsense,मूर्खपणा
badboy,वाईट मुलगा
clear,स्पष्ट
painless,वेदनारहित
moving,हालचाल
bustling,खळबळ
movable,जंगम
next day,दुसर्‍या दिवशी
shockedgirl,स्तब्ध
girlskite,तोंडात
barsore,barsore
playing girl,खेळत मुलगी
sucker,शोषक
buffoon,बफून
moron,मुर्ख
youngster,तरुण
lovelady,lovelady
funnygirl,मजेदार मुलगी
girlfun,मुलगी
ullubanaya,ullubanaya
fullmaza,fullmaza
badamaza,बडमाझा
aprilfool,एप्रिल फूल
boyapprilfool,बोयाप्रिलफूल
lovegirl,lovegirl
enraged,संतापला
boymind,boymind
nomind,नाव देणे
ghutno,गुडघा
contact,संपर्क
girls fun,मुली मजा
happygirl,आनंदी मुलगी
Maharashtragirl,महाराष्ट्र
Maharashtrasaari,महाराष्ट्र
girlssaari,मुलगी
gir,उपलब्ध
girls attitude,मुलींचा दृष्टीकोन
Maharashtra women,महाराष्ट्र महिला
maharashtra traditional,महाराष्ट्र पारंपारिक
girlsaari,मुलीशारी
Maharashtrawomen,महाराष्ट्रात
redsaari,redsaari
maharashtraman,महाराष्ट्रात
language,इंग्रजी
desiindian,desiindian
tallest guy,सर्वात उंच माणूस
giggle,हास्य
gigs,gigs
gitygity,जागीरपणा
good one,चांगल्यापैकी एक
red shirt,लाल शर्ट
waparna,waparna
use karna,ते करणे
grandmasti,ग्रँडमास्टी
useful,उपयुक्त
enough is enough,बास म्हणजे बास
be in limits,मर्यादा असू
shaitani,डायबोलिकल
madness,वेडेपणा
bhag gaya,पळून गेले
runned away,पळून गेले
shayad main,कदाचित मी
bagh jata,वाघ जातो
escapisim,पलायन
escaped,सुटका
eyeglasses,चष्मा
kalachashma,काळाचश्मा
lenses,लेन्स
where is it,ते कुठे आहे
kidhar hai,आपण कुठे आहात
tall boy,उंच मुलगा
bhai kahan hain tu,आपण कुठे आहात भाऊ
kidhar mar gaya,जिथे मरण पावले
zinda hai,जिवंत आहे
are you dere,आपण डेरे आहात का?
i cantg find you,मी तुला शोधू शकत नाही
where have you hidden,आपण कुठे लपवले आहे?
guy with red pants,लाल अर्धी चड्डी असलेला माणूस
brown bread,तपकिरी ब्रेड
double decker sandwhich,डबल डेकर सँडविच
cheese toast,चीज टोस्ट
brown doggiee,तपकिरी कुत्रा
chocolate color dogiee,चॉकलेट रंग डॉगी
kutha,शहर
dogiee,डॉगी
rock and roll,मज्जाच मज्जा
pampara,पंपारा
scooby-dobbiee prampa,स्कूबी-डॉबी पंप
brown dogiee,तपकिरी डॉगी
labrador,लॅब्राडोर
freinds,freinds
lets get \,घेऊ द्या \
scattered,विखुरलेला
bhikharna,भिकारी
bat jana,बोलणे
splitting,विभाजन
suspense,रहस्य
conclusion,निष्कर्ष
answer,उत्तर
tum kya karoge,आपण काय कराल
kyakaroge,आपण काय कराल
beautiful girl,सुंदर मुलगी
scoobydooo,स्कूबी डू
will u come,तू येईल का?
to my,माझ्याकडे
house party,घर पार्टी
myhouse,माझे घर
home sweet home,घर गोड घर
you all,आपण सर्व
all of you,आपण सर्व
why your mouth,तुझे तोंड का
isshut,isshut
quite,जोरदार
chupchap,शांतपणे
why are,का आहेत
you not,तू नाही
sayanything,सायनीथिंग
balnk,बाल्कन
nowords,शब्द नाहि
paisapaisa,पैसापाईसा
karti,कार्डे
main paise pe marta hun,मी पैशासाठी मरत आहे
income,उत्पन्न
i amhungry,मी भुकेला आहे
mujhebhuk,मी
goodfood,चांगले अन्न
khanado,अवरोध
khaneko,नकार
kuchdo,कु सीएच
i have,माझ्याकडे आहे
brillantidea,चमकणारा
tarkib',सामग्री '
tu gaya,आपण गेला
aabbb,aabbb
gone now,आता गेला
i will see you,मी तुला बघेन
i will,मी करेन
also come',पण ये '
i m coming,मी येतोय
me aya,आत आली
is this,हे आहे
half pant,अर्धपंत
tera hai kya,तुझे काय आहे
light pink pants,फिकट गुलाबी पँट
comeon,कमॉन
we will,आम्ही करू
aprty,पार्टी
atmyplace,माझ्या घरी
houseparty,घरगुती
fullon,पूर्ण वर
djwale babu,djwale बाबू
runrun,रनरुन
escapsim,पलायन
bagh gaya,वाघ गेला
bagh bagh,वाघ वाघ
bagh,बाग
bhag milka,भाग मिल्खा
bhaag bhaag,पळून जा
G-mail,जी-मेल
Kar raha,करत आहे
santy,वालुकामय
spiritual,अध्यात्मिक
heart-warming,हृदय-तापमानवाढ
heart touching,हृदयस्पर्शी
soul-stirring,आत्मा-ढवळत
Emotional Chora,भावनिक चोरा
Distemper,Distemper
bhar dunga,भरेल
asian paints,आशियाई पेंट्स
Paint Dealers,पेंट डीलर्स
royal paint,रॉयल पेंट
joint family,संयुक्त कुटुंब
chocolate boy,चॉकलेट मुलगा
boyish charm,बालिश मोहिनी
gyan devi,ज्ञान देवी
sexy woman,मादक बाई
destructive,विध्वंसक
heinous,जघन
villainous,खलनायक
tomatogirls,tomatogirls
devilish,आसुरी
capability,क्षमता
capacity,क्षमता
talent,प्रतिभा
potential,संभाव्य
yourmind,तुझे मन
malevolent,द्वेषयुक्त
corrupt,भ्रष्ट
nefarious,वाईट
evilgirls,वाईट गोष्टी
catevil,केटव्हिल
disturbed,विचलित
red shree,लाल श्री
rahul gandhi,राहुल गांधी
bhasan,फ्लोट
nehru jacket,नेहरू जॅकेट
bussiness,व्यवसाय
work hard,कठोर परिश्रम करा
black court,काळा कोर्टा
lime water,लिंबू पाणी
sunny day,उन्हाळ्याचा दिवस
busy day,व्यस्त दिवस
:	household,: घरगुती
mother love,आई प्रेम
thing,गोष्ट
cool boy,मस्त मुलगा
red nikkar,रेड निकर
ka laadla,प्रिय
bigad gya,बिघडलेले
togetherness,एकरूपता
similarity,समानता
yelllow,येलो
dirt fellow,घाण सहकारी
sexual,लैंगिक
MAd woman,मॅड स्त्री
provoked,चिथावणी दिली
take a holiday,सुट्टी घ्या
sweet heart,गोड हृदय
baabu,बाबू
swab,लुटणे
bhokh,भूक
laggi,हॅन्गर
wateress,वॉटरप्रेस
Katari Wateress,कटारी वातारेस
hostess,परिचारिका
candle light,मेणबत्ती प्रकाश
jokar,जोकर
budha,बुद्ध
red nose,लाल नाक
chudal,डायन
vampires,पिशाच
redevil,पुनरुज्जीवन
evilgirl,दुष्टाई
evilwomen,दुष्ट स्त्री
redlady,redlady
evillady,फसव्या
clemency,शुद्धता
forgiveness,क्षमा
clamor,गोंधळ
deliberate,मुद्दाम
genuine,खरा
grin,हसणे
smirk,चिडखोर
Babyevil,बेबी वाईट
evilboy,दुष्ट
evilsmile,दुष्टपणा
evillaugh,आसुरी हास्य
entertain,करमणूक
gratify,आनंद देणे
amuse,करमणूक
Girlevil,गर्लव्हिल
gujarati traditional,गुजराती पारंपारिक
desigirl,desigirl
gujaratigirl,गुजराटीगिरल
indiandesi,indiandesi
desigirls,desigirls
desiboy,डेसिबॉय
gujaratiboy,गुजराटबॉय
.,.
pagdi,पगडी
gujarati choli,गुजराती चोळी
Mind it!,लक्षात ठेव!
Jhund mein,कळपात
toh soovar,toh soovar
aate hai \,या
sher akela,सिंह एकटा
hi aata hai,फक्त येतो
you better,आपण चांगले
understand!,समजून घ्या!
Aaj Sunday hai,आज रविवार आहे
toh daru peene,टो मद्यधुंद
ka din hai,चा दिवस आहे
figter,अंजीर
assailant,हल्लेखोर
combatant,लढाऊ
jack,जॅक
mercenary,भाडोत्री
militant,अतिरेकी
support for women,महिला समर्थन
great woman,महान स्त्री
election parties,निवडणूक पक्ष
leaders,नेते
great leader,महान नेता
managing director,व्यवस्थापकीय संचालक
victor,विजेता
victory,विजय
Shirtless drunk,शर्टलेस नशेत
lost in love,प्रेमात हरवलेला
crazy boy,वेडा मुलगा
Blended,मिश्रित
Scotch,स्कॉच
Whiskies,व्हिस्की
forthcoming,आगामी
love affair,प्रेम संबंध
love emotions,प्रेम भावना
Romantic music,प्रणयरम्य संगीत
loved one,एक प्रिय
amplifier,वर्धक
smartphone,स्मार्टफोन
communication,संप्रेषण
again and  again,पुन्हा पुन्हा
emotions,भावना
rose day,गुलाब दिवस
valetine day,व्हॅलेंटाईन डे
cute boy,गोंडस मुलगा
beterhalf,चांगले अर्धा
of Your Heart,आपल्या हृदयाची
crushes my heart.,माझे हृदय चिरडले.
angry women,संतप्त महिला
ill-tempered,दुर्दैवी
hateful,द्वेषपूर्ण
bad tempered,वाईट स्वभाव
full of hate,द्वेष पूर्ण
blown a gasket,एक गॅस्केट उडाला
Strong women,मजबूत महिला
rule the world,जगावर राज्य करा
cherishingstar,चेरीशिंगार
zumba,झुम्बा
aerobics,एरोबिक्स
show love,प्रेम दाखवा
love bird,प्रेम पक्षी
sexy lady,मादक बाई
Rock stars,रॉक तारे
appo,अपो
aa beta selfie le le,ए बीटा सेल्फी ले ले
salman khan,सलमान खान
bajrangi bhaijaan,बजरंगी भाईजान
photography,छायाचित्रण
oneself,स्वत: ला
webcam,वेबकॅम
shared,सामायिक
on facebook,फेसबुक वर
YouCam Perfect,YouCam परफेक्ट
Takes 2 selfies,2 सेल्फी घेतात
Deletes 22 selfies!,22 सेल्फी हटवित!
A selfie,एक सेल्फी
a day,एक दिवस
keeps the,ठेवते
friends away.,मित्र दूर.
Take my selfie,माझा सेल्फी घ्या
I don’t know,मला माहित नाही
why I’m still waiting.,मी अजूनही का थांबलो आहे?
sun to shine.,सूर्य प्रकाशणे
first letter,पहिले पत्र
alphabetical,वर्णमाला
I’m single,मी अविवाहित आहे
right one to come along.,बरोबर येण्यासाठी
You might fall,आपण पडणे कदाचित
in love with me.,माझ्या प्रेमात
gymanisium,व्यायामशाळा
excerise,व्यायाम
body buidler,शरीर बिल्डर
lets workout,कसरत करू देते
lets reduce our calories,आपल्या कॅलरी कमी करूया
muscules,वजन
main tumse,मुख्य पोट
pyaar kartahoon,तुझ्यावर प्रेम आहे
mohabatt,मोहित
ikarar,करार
kya tum,आपण इच्छित
ready ho,तयार हो
lets try,चला प्रयत्न करू
body builder,शरीर बिल्डर
handsome hunk,देखणा हंक
chalo mere,चला माझ्या
baremien baat kartein,बद्दल चर्चा
selfieewala love,सेल्फीवाला प्रेम
dole shole,dole shole
6 packs,6 पॅक
abb,अंजीर
solla ka dolla,भटकणे
gudlooking,गुडलोकिंग
hero types,नायक प्रकार
hows you baby,तुला कसे वाटते बाळ
how are you baby,कसे आहात बाळा
sab thik thak,ठीक आहे
all is welll,सर्व काही ठिक
all fine,सर्व ठीक
hot girl,गरम मुलगी
sexiest,सर्वात सेक्सी
charming,मोहक
dinner date,रात्रीच्या जेवणाची तारीख
kahne pe chale,सांगायला जा
lets hang out,हँग आउट करू या
onlyyouandme,फक्त तू आणि मी
romanic time,प्रणयरम्य वेळ
beautiful memories,सुंदर आठवणी
awesome fun,छान मजा
royal enfiled,रॉयल एनफील्ड
oh brother,अरे भाऊ
cool dude,छान मुला
lets go out for ride,चालण्यासाठी बाहेर जाऊ द्या
night time,रात्रीची वेळ
awesome wheather,छान हवामान
janemannn,जनमत
sweetiee,स्वीटी
cutiepiee,cutiepiee
eve,संध्याकाळ
dekho chand aya,पहा चंद्र आला
chand nazar aya,चंद्र पाहिले
eid ka chand,ईद का कॅनडा
half moon,अर्धा चंद्र
ardha chandra,अर्धा चंद्र
shanti se raho,शांततेत रहा
and happy iftar,आणि शुभेच्छा इफ्तार
delicious food,मधुर अन्न
festive season\,उत्सव हंगाम \
special items,विशेष वस्तू
meljol,बैठक
wishing each other,एकमेकांना शुभेच्छा
spreading happiness,आनंद पसरवत आहे
wishing good luck,शुभेच्छा शुभेच्छा
spreading love,प्रेम प्रसार
and happiness,आणि आनंद
hugging each other,एकमेकांना मिठी मारणे
celebrating joy,आनंद साजरा करत आहे
with god's,देवाचे सह
blessing's,आशीर्वाद च्या
prayers,प्रार्थना
masjidh,मशिद
ammaa yushrikoon,अम्मा युशेरिकुन
Glory be to God,देवाची जय होवो
celebrating happinees,आनंद साजरा करत आहे
relaxation,विश्रांती
joyness,आनंद
inviting relations,आमंत्रण देत असलेले नाते
and friends at home,आणि घरी मित्र
chemical,रासायनिक
combination,संयोजन
gonna die,मरणार
bhootiypa,पूर्ववर्ती
ka pyasa,ची तहान
of you blood,आपण रक्त
i want,मला पाहिजे
your blood,आपले रक्त
dian,पॉईंट
vamp,व्हँप
your screwis,आपला पेच
little loose,थोडे सैल
dimaag ka,तुमचा जोडीदार
screw dhilla,स्क्रू परिधान नाही
dumbness,मूर्खपणा
churaliya,चुरालिया
tumne jo,आपण कोण
dil ko,मनापासून
nazar nai,नजर नाई
churana,चोरणे
sanam,सनम
pyaar vyaar,प्रेम प्रेम
see kids,मुले पहा
your mom,तुझी आई
has arrived,आले आहेत
motherindia,मदरइंडिया
bachoon,सुटलेला
you can,आपण हे करू शकता
eat mine,माझे खा
kadu,कडू
wildest,वन्य
jungleejanwar,जंगलजनवार
wildestanimal,वाइल्डस्टेनिमल
broom stick,झाडूची काठी
bhejafry pasand hai,विनामूल्य पाठवू इच्छिता
myfavorite,माझे आवडते
meri pasand,माझी निवड
eat your,खा
khajaunga,वास येईल
chaatna,चाटणे
jaunga,जाईल
what is,काय आहे
bheind,एक स्त्री
the choli,चोळी
odhani,मफलर
chunari,चुनरी
chunari ke,चुनरीची
neeche,खाली
choli main dil,चोली मी हृदय
hain mera,माझे आहेत
chunari mein,चुनरी मध्ये
dil hain mera,माझे हृदय आहे
this world,हे जग
is also,ते सुद्धा
it is,हे आहे
our world,आपले जग
outdoor game,मैदानी खेळ
one of,एक
the best game,सर्वोत्तम खेळ
its my ball,तो माझा चेंडू आहे
my court,माझे कोर्ट
and my goal,आणि माझे ध्येय
its only,ते फक्त
and only,आणि फक्त
my turn,माझी पाळी
how much,किती
exams will,परीक्षा होईल
you take,तू घे
my lord,हे राश्याधिपती, हे नाथ, हे प्रभू
to go that side,त्या दिशेने जाणे
you will,तू करशील
have to,असणे आवश्यक आहे
cross ',फुली '
my dead,माझे मृत
us paar,आम्हाला दोन
that side,ती बाजू
dead body,मृत शरीर
crossing,ओलांडणे
this side,ही बाजू
nai toh,काही बिंदू
yeh nai,ये नाय
toh woh,तर ते
make everyone,प्रत्येकजण करा
on my,माझ्या वर
dance karna,नाचणे
red  card,लाल कार्ड
this is,हे आहे
my goal,माझे ध्येय
red card,लाल कार्ड
warnning,चेतावणी
suspend,निलंबित
footbaal,फुटबॉल
finale,शेवट
education,शिक्षण
hard study,कठोर अभ्यास
sucess,सक्सेस
jarurat,गरज
study hard,अभ्यास
english,इंग्रजी
math,गणित
science class,विज्ञानाचा वर्ग
for exam,परीक्षेसाठी
tests,चाचण्या
university,विद्यापीठ
Secondary school,माध्यमिक शाळा
middle school,माध्यमिक शाळा
outsider,बाहेरील
lifestyle,जीवनशैली
course study,अभ्यासक्रम
confident boy,आत्मविश्वास असलेला मुलगा
difficult test,कठीण चाचणी
easy test,सोपे चाचणी
hard work,मेहनत
english test,इंग्रजी चाचणी
tention,भाडे
expression,अभिव्यक्ती
unfavourable opinion,प्रतिकूल मत
college life,महाविद्यालयीन जीवन
don't get me angry,मला रागवू नकोस
copy cat,नक्कल करणारा
classmate,वर्गमित्र
angry bird,संतप्त पक्षी
piece of work,कामाचा तुकडा
Project,प्रकल्प
sytle,शैली
grade,ग्रेड
blossom,बहर
fantabalous,कल्पनाशक्ती
once again,पुन्हा एकदा
hogaya hai,केले गेले आहे
mujhko,मला
toh pyaar sajana,तो प्यार सजना
but,परंतु
you cant,आपण शकत नाही
my ego,माझा अहंकार
bollywood movie,बॉलीवूड चित्रपट
white saree,पांढरी साडी
hit movie,हिट चित्रपट
you cannot,तू करू शकत नाहीस
show them,त्यांना दाखवा
cahin smoker,कुठेतरी धूम्रपान करणारा
doston,मित्र
dost and cigaretee,dost and cigarette
sallu bhai,सल्लू भाई
pandey ji,बाजूंनी जी
best hera,बेस्ट हेरा
its awesome,एक नंबर
mindblowing,मनावर उडणारी
date pe,वर डेटा
vakil,वकील
judge,न्यायाधीश
case,केस
saza,शिक्षा
prem chopra,प्रेम चोप्रा
paint coat,पेंट कोट
mancloth,मॅनक्लोथ
monadarling,युनिटलिंग
hindi film,हिंदी चित्रपट
munch,गोंधळ
kurta pjama,कुर्ता पायजामा
badman,बॅडमन
dath,रंग
sochna,विचार करणे
tabiyat khrb,आरोग्य ट्रिलियन
pet dard,पाळीव प्राणी डार
and sleep tight,आणि घट्ट झोपा
love sleep,झोपेची आवड आहे
let me sleep,मला झोपु द्या
sleep naked,नग्न झोप
Just sleep,फक्त झोपा
Sleep More,अधिक झोपा
get away,दूर जा
distress,त्रास
aj door raho,मी दार राहो
please get out,कृपया बाहेर पडा
main nai aa sakta,मी येऊ शकत नाही
vacation cancel,सुट्टी रद्द
mom bimar hain,आई आजारी आहे
No Masti,चरबी नाही
fun time,मस्तीची वेळ
task,कार्य
employed,नोकरी
workforce,कार्यबल
salvage,तारण
