bobble,ਬੌਬਲ
kya main,ਮਈ
kharab dekhti hun,ਬੁਰਾ ਲੱਗ ਰਿਹਾ ਹੈ
chehra,ਚਿਹਰਾ
uglyiest,ਬਦਸੂਰਤ
bekar,ਸਿੰਗਲ
i do not look beautiful,ਮੈਂ ਸੋਹਣੀ ਨਹੀਂ ਲਗਦੀ
used,ਵਰਤਿਆ
mazak,ਘੱਟ
isthamal,Istamal
pj,pj
entertainment,ਮਨੋਰੰਜਨ
too much care,ਬਹੁਤ ਜ਼ਿਆਦਾ ਦੇਖਭਾਲ
rukjao,rukjao
baskaro,ਬਾਸਕਰੋ
bhaut hogaya,ਕਾਫ਼ੀ
chinta,ਵਿਚਾਰ
chup baith,ਬੈਠੋ
badbadbad,ਸੁਰੱਖਿਅਤ
blablablabla,ਦੋਸ਼-ਰਹਿਤ
chapchapdchapd,chapchapdchapd
unpleasant,ਕੋਝਾ
gandha,ਗੰਧ
bhaut gandha,ਬਹੁਤ ਗੰਦਾ
usne kiya,ਉਸਨੇ ਕੀਤਾ
bandriya,ਬਾਂਦਰ
motu,ਮੋਟੂ
bandar ne kiya,ਬਾਂਦਰ ਨੇ ਕੀਤਾ
galat insaan,ਗਲਤ ਵਿਅਕਤੀ
alchemy,ਕੀਮੀ
allurement,ਖਰੀਦ
biggboss,ਬਿਗਬੌਸ
biggboss10,biggboss10
tumhey,ਤੁਹਾਡੇ ਲਈ
procedure,ਵਿਧੀ
Fried,ਤਲੇ ਹੋਏ
browned,ਭੂਰੇ
sauteed,ਖਟਾਈ
frizzled,ਝਰਕਿਆ
rahuldialogue,ਤਸੱਲੀਬਖਸ਼ ਕੈਟਾਲਾਗ
twin,ਜੌੜੇ
jyotis,ਜੋਤਿਸ਼
astrologer,ਜੋਤਸ਼ੀ
biggbossbaba,biggbossbaba
mamabhakt,ਭਿਆਨਕ
luscious,ਪਿਆਰਾ
sweetened,ਮਿੱਠਾ
syrupy,ਸ਼ਰਬਤ
sweetu,ਸਵੀਟੂ
kehtey,ਕਹੋ
melodramatic,ਸੁਰੀਲੇ
overplayed,overplayed
theatrical,ਨਾਟਕ
draw,ਡਰਾਅ
gain,ਲਾਭ
biggbossgirl,biggbossgirl
accomplished,ਪੂਰਾ ਕੀਤਾ
admirable,ਪ੍ਰਸੰਸਾਯੋਗ
attractive,ਆਕਰਸ਼ਕ
consciousness,ਚੇਤਨਾ
altercation,ਝਗੜਾ
confrontation,ਟਕਰਾਅ
dijaati,ਅਹੁਦਾ
jaati,ਜਾਤ
DANGALJAATI,ਮੋਂਗਰੇਲ
aamirkhanbeta,ਆਮਿਰਖਾਨਬੇਟਾ
aamirkhanjaati,ਅਮਰੀਕਾ
aamirkhanbeti,ਆਮਿਰਖਾਨਬੇਤੀ
aamirkhan,ਅਮੀਰਖਾਨ
gilt,ਗਿਲਟ
halcyon,halcyon
hotahai,ਇਹ ਹੁੰਦਾ ਹੈ
levve,levve
DANGALGold,ਦੰਗਲਗੋਲਡ
contented,ਸੰਤੁਸ਼ਟ
delighted,ਖੁਸ਼ ਹੋਇਆ
ecstatic,ਅਨੰਦ
elated,ਖੁਸ਼
glad,ਖੁਸ਼
acceptable,ਮੰਨਣਯੋਗ
exceptional,ਬੇਮਿਸਾਲ
mahri,ਮਾਹੀ
kam nhi,ਕੋਈ ਕੰਮ ਨਹੀਂ
dangel,ਡੈਂਜਲ
adolescent,ਕਿਸ਼ੋਰ
schoolgirl,ਸਕੂਲ ਦੀ ਕੁੜੀ
teenager,ਕਿਸ਼ੋਰ
Taketwer,ਟੇਕਟਵਰ
athletic,ਅਥਲੈਟਿਕ
capable,ਕਾਬਲ
durable,ਟਿਕਾurable
verdict,ਫੈਸਲਾ
settlement,ਬੰਦੋਬਸਤ
decision,ਫੈਸਲਾ
arrangement,ਪ੍ਰਬੰਧ
program,ਪ੍ਰੋਗਰਾਮ
come2017,come2017
noprogram,noprogram
planno,ਯੋਜਨਾ
noplan,noplan
noparty,noparty
sadgirl,ਦੁਖੀ
stillnow,ਅਜੇ ਵੀ
intention,ਇਰਾਦਾ
method,.ੰਗ
sadboy,ਸਾਡਵੋ
newyearwish,ਨਵਾਂ ਸਾਲ
girlswish,ਕੁੜੀਆਂ
wishnewyear,wishnewyear
fungirls,ਉੱਲੀਮਾਰ
considerable,ਕਾਫ਼ੀ
immense,ਬੇਅੰਤ
boyfun,ਮੁੰਡਾ
party time,ਪਾਰਟੀ ਦਾ ਸਮਾਂ
boypartytime,Boypartytime
boynewyear,ਬੁਨਿਆਦ
girlsparty,ਲੜਕੀ
girlsnewyear,ਕੁੜੀਆਂ
fullfun,ਫੁੱਲਫਨ
girlsfun,ਕੁੜੀਆਂ
boyparty,Boyparty
treatment,ਇਲਾਜ
newperiod,newperiod
completed,ਮੁਕੰਮਲ
justcomplate,justcomplate
catnap,catnap
interlude,ਅੰਤਰਾਲ
intermission,ਰੁਕਾਵਟ
obligation,ਜ਼ਿੰਮੇਵਾਰੀ
duplicate,ਡੁਪਲਿਕੇਟ
imitation,ਨਕਲ
photocopy,ਫੋਟੋਕਾਪੀ
print,ਛਾਪੋ
redassignments,ਮੁੜ ਸਪੁਰਦਗੀ
smartgirl,smartgirl
college girls,ਕਾਲਜ ਦੀਆਂ ਲੜਕੀਆਂ
manage,ਪ੍ਰਬੰਧ ਕਰਨਾ, ਕਾਬੂ ਕਰਨਾ
sad boy,ਦੁਖੀ ਲੜਕਾ
college boy,ਕਾਲਜ ਲੜਕਾ
collegesadboy,ਕਾਲਜ
boybag,ਬੁਆਏਬੈਗ
barso re megha,ਬਰਸੋ ਰੇ ਮੇਘਾ
rainwater,ਬਰਸਾਤੀ ਪਾਣੀ
barish kapaani,ਮੀਂਹ ਆਰਾਮ
oye balle balle,ਓਏ ਵੇਲ ਵ੍ਹੇਲ
paani main aag lagaye,ਪਾਣੀ ਨੂੰ ਅੱਗ ਲਗਾਓ
drop by drop,ਬੂੰਦ ਸੁੱਟੋ
rain dance,ਮੀਂਹ ਦਾ ਨਾਚ
badal,ਭੱਤਾ
kale megha,ਕਾਲਾ ਮੇਘਾ
colorful umbrella,ਰੰਗੀਨ ਛੱਤਰੀ
muddy smell....,ਚਿੱਕੜ ਦੀ ਬਦਬੂ ....
chai chap chai,ਬੋਤਲ ਚੈਪ
chapak chai,ਚੈਪ ਚਾਹ
naav,ਨਾਵ
aweome feeling,ਸ਼ਾਨਦਾਰ ਭਾਵਨਾ
great masti,ਮਹਾਨ ਮਸਤੀ
chilling out,ਮੌਜ ਮਸਤੀ ਕਰਨਾ
monsoon season,ਮੌਨਸੂਨ ਦਾ ਮੌਸਮ
kalemegha,kalemegh ਨੂੰ
paani toh barso,ਪਾਨੀ ਤੋਹ ਬਾਰਸੋ
beautiful weather,ਸੁੰਦਰ ਮੌਸਮ
thanda thanda,ਠੰਡਾ ਠੰਡਾ
evening time,ਸ਼ਾਮ ਦਾ ਸਮਾਂ
nachna,nachna
awesome mausam,ਸ਼ਾਨਦਾਰ ਮੌਸਮ
yeh mausam ka jadoo,ਇਸ ਮੌਸਮ ਦਾ ਜਾਦੂ
hai mitwa,ਹੈ ਮਿਤਵਾ
mausam bigh bigha,ਮੌਸਮ ਬਿਗਾਹ ਬਿਘਾ
main to main toh bigh,ਮੁੱਖ ਤੋਂ ਉੱਚ ਤੋਂ ਉੱਚੇ
HAI ALLA,ਤੁਹਾਡੇ ਕੋਲ ਹੈ
satrang bahar ke,ਦੁਨੀਆ ਤੋਂ ਬਾਹਰ
mindblasting,ਦਿਮਾਗੀ
beautful colours,ਸੁੰਦਰ ਰੰਗ
bhulgaya,ਭੁਲਗਾਇਆ
visarla,ਵਿਸਰਲਾ
chatri,ਵਿਦਿਆਰਥੀ
heavy rain,ਭਾਰੀ ਮੀਂਹ
coolcool water,ਠੰਡਾ ਠੰਡਾ ਪਾਣੀ
muddy smell,ਗੰਦੀ ਬਦਬੂ
pakode,ਫਿਟਰ
adrak chai,ਅਦਰਕ ਦੀ ਚਾਹ
garama garam,ਗਰਮ ਗਰਮ
khidhki,ਤੁਹਾਨੂੰ ਲੈ
awesome view,ਸ਼ਾਨਦਾਰ ਦ੍ਰਿਸ਼
favorite season,ਪਸੰਦੀਦਾ ਮੌਸਮ
muddy water,ਗੰਦਾ ਪਾਣੀ
awesome experience,ਸ਼ਾਨਦਾਰ ਤਜਰਬਾ
cool weather,ਠੰਡਾ ਮੌਸਮ
games,ਖੇਡ
kichad,ਚਿੱਕੜ
barish ka panni,ਮੀਂਹ ਗੇਜ
great feeling,ਮਹਾਨ ਭਾਵਨਾ
masti with friends,ਮਿੱਤਰਾਂ ਨਾਲ ਮਸਤੀ
urgent,ਜ਼ਰੂਰੀ
requirement,ਲੋੜ
course,ਕੋਰਸ
examination,ਇਮਤਿਹਾਨ
nonsense,ਬਕਵਾਸ
badboy,ਬੁਰਾ ਲੜਕਾ
clear,ਸਾਫ
painless,ਦਰਦ ਰਹਿਤ
moving,ਚਲਦੀ
bustling,ਹਲਚਲ
movable,ਚਲ ਚਲਦਾ
next day,ਅਗਲੇ ਦਿਨ
shockedgirl,ਹੈਰਾਨ
girlskite,ਮੂੰਹ
barsore,barsore
playing girl,ਖੇਡਣ ਵਾਲੀ ਕੁੜੀ
sucker,ਚੂਸਣ ਵਾਲਾ
buffoon,ਬਫੂਨ
moron,ਬੇਵਕੂਫ਼
youngster,ਜਵਾਨ
lovelady,lovelady
funnygirl,ਮਜਾਕੀਆ ਕੁੜੀ
girlfun,ਕੁੜੀਆਂ
ullubanaya,ullubanaya
fullmaza,fullmaza
badamaza,ਬਦਮਾਜਾ
aprilfool,ਅਪ੍ਰੈਲ ਫੂਲ
boyapprilfool,ਬੋਆਏਪ੍ਰਿਲਫੂਲ
lovegirl,lovegirl
enraged,ਗੁੱਸੇ ਵਿੱਚ
boymind,boymind
nomind,ਨਾਮ ਕਰਨ ਲਈ
ghutno,ਗੋਡੇ
contact,ਸੰਪਰਕ
girls fun,ਕੁੜੀਆਂ ਮਜ਼ੇਦਾਰ
happygirl,ਖੁਸ਼ਹਾਲ
Maharashtragirl,ਮਹਾਰਾਸ਼ਟਰ
Maharashtrasaari,ਮਹਾਰਾਸ਼ਟਰ
girlssaari,ਕੁੜੀ
gir,ਪ੍ਰਦਾਨ
girls attitude,ਕੁੜੀਆਂ ਦਾ ਰਵੱਈਆ
Maharashtra women,ਮਹਾਰਾਸ਼ਟਰ womenਰਤਾਂ
maharashtra traditional,ਮਹਾਰਾਸ਼ਟਰ ਰਵਾਇਤੀ
girlsaari,ਕੁੜੀਆਂ
Maharashtrawomen,ਮਹਾਰਾਸ਼ਟਰ ਵਿਚ
redsaari,redsaari
maharashtraman,ਮਹਾਰਾਸ਼ਟਰ ਵਿਚ
language,ਭਾਸ਼ਾ
desiindian,desiindian
tallest guy,ਲੰਬਾ ਮੁੰਡਾ
giggle,ਹਿਲਾ
gigs,gigs
gitygity,gytygity
good one,ਵਧੀਆ ਸੀ
red shirt,ਲਾਲ ਕਮੀਜ਼
waparna,waparna
use karna,ਅਜਿਹਾ ਕਰਨ ਲਈ
grandmasti,ਗ੍ਰੈਂਡਮੈਸਟੀ
useful,ਲਾਭਦਾਇਕ
enough is enough,ਬਸ ਬਹੁਤ ਹੋ ਗਿਆ
be in limits,ਸੀਮਾ ਵਿੱਚ ਹੋ
shaitani,ਸ਼ੈਤਿਕ
madness,ਪਾਗਲਪਨ
bhag gaya,ਭੱਜ ਗਿਆ
runned away,ਭੱਜ ਗਿਆ
shayad main,ਹੋ ਸਕਦਾ ਹੈ ਕਿ ਆਈ
bagh jata,ਟਾਈਗਰ ਜਾਂਦਾ ਹੈ
escapisim,ਬਚਣਾ
escaped,ਬਚ ਗਿਆ
eyeglasses,ਐਨਕ
kalachashma,ਕਲਾਚਸ਼ਮਾ
lenses,ਅੱਖ ਦਾ ਪਰਦਾ
where is it,ਉਹ ਕਿਥੇ ਹੈ
kidhar hai,ਤੁਸੀਂ ਕਿੱਥੇ ਹੋ
tall boy,ਲੰਬਾ ਮੁੰਡਾ
bhai kahan hain tu,ਤੁਸੀਂ ਕਿੱਥੇ ਹੋ ਭਰਾ
kidhar mar gaya,ਜਿੱਥੇ ਮੌਤ ਹੋ ਗਈ
zinda hai,ਜੀਵਤ ਹੈ
are you dere,ਕੀ ਤੁਸੀਂ ਡੀਰ ਹੋ
i cantg find you,ਮੈਂ ਤੁਹਾਨੂੰ ਨਹੀਂ ਲੱਭ ਸਕਦਾ
where have you hidden,ਕਿੱਥੇ ਲੁਕਿਆ ਹੈ
guy with red pants,ਲਾਲ ਪੈਂਟ ਦੇ ਨਾਲ ਮੁੰਡਾ
brown bread,ਭੂਰੇ ਰੋਟੀ
double decker sandwhich,ਡਬਲ ਡੇਕਰ ਸੈਂਡਵਿਚ
cheese toast,ਪਨੀਰ ਟੋਸਟ
brown doggiee,ਭੂਰੇ ਡੌਗੀ
chocolate color dogiee,ਚਾਕਲੇਟ ਰੰਗ ਡੌਗੀ
kutha,ਸ਼ਹਿਰ
dogiee,ਡੌਗੀ
rock and roll,ਰੌਕ ਐਂਡ ਰੋਲ
pampara,ਪੰਪਾਰਾ
scooby-dobbiee prampa,ਸਕੂਬੀ-ਡੌਬੀ ਪੰਪ
brown dogiee,ਭੂਰੇ ਡੌਗੀ
labrador,labrador
freinds,freinds
lets get \,ਲੈਣ ਦਿਓ get
scattered,ਖਿੰਡੇ ਹੋਏ
bhikharna,ਭਿਖਾਰੀ
bat jana,ਗੱਲ ਕਰਨ ਲਈ
splitting,ਫੁੱਟਣਾ
suspense,ਸਸਪੈਂਸ
conclusion,ਸਿੱਟਾ
answer,ਜਵਾਬ
tum kya karoge,ਤੁਸੀਂ ਕੀ ਕਰੋਗੇ
kyakaroge,ਤੁਸੀਂ ਕੀ ਕਰੋਗੇ
beautiful girl,ਸੋਹਣੀ ਕੁੜੀ
scoobydooo,ਸਕੂਬੀ ਡੂ
will u come,ਕੀ ਤੁਸੀਂ ਆਓਗੇ
to my,ਨੂ ਮੇਰੇ
house party,ਹਾ partyਸ ਪਾਰਟੀ
myhouse,ਮੇਰਾ ਘਰ
home sweet home,ਘਰ ਪਿਆਰਾ ਘਰ
you all,ਤੁਸੀਂ ਸਾਰੇ
all of you,ਤੁਸੀ ਸਾਰੇ
why your mouth,ਕਿਉਂ ਤੁਹਾਡਾ ਮੂੰਹ
isshut,isshut
quite,ਕਾਫ਼ੀ
chupchap,ਚੁੱਪਚਾਪ
why are,ਕਿਉਂ ਹਨ
you not,ਤੁਸੀਂ ਨਹੀਂ
sayanything,ਕੁਝ ਵੀ
balnk,ਬਾਲਕ
nowords,ਹੁਣੇ
paisapaisa,ਪੈਸਾ ਪੈਸਾ
karti,ਕਾਰਡ
main paise pe marta hun,ਮੈਂ ਪੈਸੇ ਲਈ ਮਰਦਾ ਹਾਂ
income,ਆਮਦਨੀ
i amhungry,ਮੈਂ ਭੁੱਖਾ ਹਾਂ
mujhebhuk,ਮੈਨੂੰ
goodfood,ਵਧੀਆ ਖਾਣਾ
khanado,ਬਲਾਕ
khaneko,ਇਨਕਾਰ
kuchdo,ਕੁ ch
i have,ਮੇਰੇ ਕੋਲ ਹੈ
brillantidea,ਚਮਕਦਾ
tarkib',ਸਮੱਗਰੀ '
tu gaya,ਤੁਸੀਂ ਚਲੇ ਗਏ
aabbb,aabbb
gone now,ਹੁਣ ਚਲਾ ਗਿਆ
i will see you,ਮੈਂ ਤੁਹਾਨੂੰ ਦੇਖਾਂਗਾ
i will,ਹਾਂ ਮੈਂ
also come',ਵੀ ਆ '
i m coming,ਮੈਂ ਆ ਰਿਹਾ ਹਾਂ
me aya,ਆਈ
is this,ਕੀ ਇਹ
half pant,ਅੱਧਾ ਪੈਂਟ
tera hai kya,ਤੁਹਾਡਾ ਕੀ ਹੈ
light pink pants,ਹਲਕੇ ਗੁਲਾਬੀ ਪੈਂਟ
comeon,ਆ ਜਾਓ
we will,ਅਸੀਂ ਕਰਾਂਗੇ
aprty,ਪਾਰਟੀ
atmyplace,atmyplace
houseparty,ਘਰੇਲੂ ਪਾਰਟੀ
fullon,fullon
djwale babu,djwale ਬਾਬੂ
runrun,ਰਨਰਨ
escapsim,ਬਚਣਾ
bagh gaya,ਟਾਈਗਰ ਚਲਾ ਗਿਆ
bagh bagh,ਟਾਈਗਰ ਟਾਈਗਰ
bagh,ਬਾਘ
bhag milka,ਭਾਗ ਮਿਲਖਾ
bhaag bhaag,ਭੱਜੋ
G-mail,ਜੀ-ਮੇਲ
Kar raha,ਕਰ ਰਿਹਾ ਹੈ
santy,ਰੇਤਲੀ
spiritual,ਰੂਹਾਨੀ
heart-warming,ਦਿਲ-ਤਪਸ਼
heart touching,ਦਿਲ ਨੂੰ ਛੂਹਣ ਵਾਲਾ
soul-stirring,ਰੂਹ ਨੂੰ ਉਤੇਜਕ
Emotional Chora,ਭਾਵਾਤਮਕ ਚੋਰਾ
Distemper,ਵਿਗਾੜ
bhar dunga,ਭਰ ਦੇਵੇਗਾ
asian paints,ਏਸ਼ੀਅਨ ਪੇਂਟ
Paint Dealers,ਪੇਂਟ ਡੀਲਰ
royal paint,ਸ਼ਾਹੀ ਪੇਂਟ
joint family,ਸੰਯੁਕਤ ਪਰਿਵਾਰ
chocolate boy,ਚਾਕਲੇਟ ਲੜਕਾ
boyish charm,ਲੜਕੀ ਸੁਹਜ
gyan devi,ਗਿਆਨ ਦੇਵੀ
sexy woman,ਸੈਕਸੀ .ਰਤ
destructive,ਵਿਨਾਸ਼ਕਾਰੀ
heinous,ਘਿਨਾਉਣਾ
villainous,ਬਦਮਾਸ਼
tomatogirls,tomatogirls
devilish,ਸ਼ੈਤਾਨ
capability,ਸਮਰੱਥਾ
capacity,ਸਮਰੱਥਾ
talent,ਪ੍ਰਤਿਭਾ
potential,ਸੰਭਾਵੀ
yourmind,ਤੁਹਾਡਾ ਮਨ
malevolent,ਬਦਨਾਮੀ
corrupt,ਭ੍ਰਿਸ਼ਟ
nefarious,ਨਾਪਾਕ
evilgirls,ਦੁਸ਼ਟਤਾ
catevil,ਕੇਟਵਿਲ
disturbed,ਪਰੇਸ਼ਾਨ
red shree,ਲਾਲ ਸ਼੍ਰੀ
rahul gandhi,ਰਾਹੁਲ ਗਾਂਧੀ
bhasan,ਫਲੋਟ
nehru jacket,ਨੇਹਰੂ ਜੈਕਟ
bussiness,ਕਾਰੋਬਾਰ
work hard,ਸਖ਼ਤ ਮਿਹਨਤ
black court,ਕਾਲੀ ਅਦਾਲਤ
lime water,ਚੂਨਾ ਦਾ ਪਾਣੀ
sunny day,ਧੁੱਪ ਵਾਲਾ ਦਿਨ
busy day,ਵਿਅਸਤ ਦਿਨ
:	household,: ਪਰਿਵਾਰਕ
mother love,ਮਾਂ ਪਿਆਰ
thing,ਚੀਜ਼
cool boy,ਠੰਡਾ ਮੁੰਡਾ
red nikkar,ਰੈੱਡ ਨਿਕਰ
ka laadla,ਪਿਆਰੇ ਨੂੰ
bigad gya,ਖਰਾਬ ਹੋਇਆ
togetherness,ਇਕੱਠੇ ਹੋਣਾ
similarity,ਸਮਾਨਤਾ
yelllow,ਚੀਕਣਾ
dirt fellow,ਮੈਲ ਸਾਥੀ
sexual,ਜਿਨਸੀ
MAd woman,ਮਡ womanਰਤ
provoked,ਭੜਕਾਇਆ
take a holiday,ਛੁੱਟੀ ਲੈ
sweet heart,ਮਿੱਠਾ ਦਿਲ
baabu,ਬਾਬੂ
swab,ਝੰਡਾ
bhokh,ਭੁੱਖ
laggi,ਹੈਂਗਰ
wateress,ਸਿੰਜਿਆ
Katari Wateress,ਕਟਾਰੀ ਵਾਟਰੇਸ
hostess,ਹੋਸਟੇਸ
candle light,ਮੋਮਬੱਤੀ ਰੋਸ਼ਨੀ
jokar,ਜੋਕੇ
budha,ਬੁੱhaਾ
red nose,ਲਾਲ ਨੱਕ
chudal,ਡੈਣ
vampires,ਪਿਸ਼ਾਚ
redevil,ਮੁੜ
evilgirl,ਦੁਸ਼ਟ
evilwomen,ਦੁਸ਼ਟ omenਰਤ
redlady,redlady
evillady,ਗੁੰਡਾਗਰਦੀ
clemency,ਸਾਫ਼
forgiveness,ਮਾਫੀ
clamor,ਰੌਲਾ
deliberate,ਜਾਣ ਬੁੱਝ ਕੇ
genuine,ਸੱਚਾ
grin,ਮੁਸਕੁਰਾਉਣਾ
smirk,ਚੁਸਤ
Babyevil,ਬੇਬੀ ਬੁਰਾਈ
evilboy,ਦੁਸ਼ਟ
evilsmile,ਦੁਸ਼ਟਤਾ
evillaugh,ਵਿਗਾੜ
entertain,ਮਨੋਰੰਜਨ
gratify,ਪ੍ਰਸੰਨ
amuse,ਮਨੋਰੰਜਨ
Girlevil,ਗਿਰਲਵਿਲ
gujarati traditional,ਪੰਜਾਬੀ ਰਵਾਇਤੀ
desigirl,ਇੱਛਾ
gujaratigirl,ਗੁਜਰਾਤੀਗਿਰਲ
indiandesi,indiandesi
desigirls,desigirls
desiboy,desiboy
gujaratiboy,ਗੁਜਰਾਤਬੁਏ
.,.
pagdi,ਪਗੜੀ
gujarati choli,ਗੁਜਰਾਤੀ ਚੋਲੀ
Mind it!,ਇਸ ਨੂੰ ਮਨ!
Jhund mein,ਝੁੰਡ ਵਿਚ
toh soovar,ਤੋਹ ਸੋਵਰ
aate hai \,ਆਓ
sher akela,ਸ਼ੇਰ ਇਕੱਲਾ
hi aata hai,ਸਿਰਫ ਆਉਂਦੀ ਹੈ
you better,ਤੁਸੀਂ ਬਿਹਤਰ ਹੋ
understand!,ਸਮਝੋ!
Aaj Sunday hai,ਅੱਜ ਐਤਵਾਰ ਹੈ
toh daru peene,ਟੌਹ ਸ਼ਰਾਬੀ
ka din hai,ਦਾ ਦਿਨ ਹੈ
figter,ਅੰਜੀਰ
assailant,ਹਮਲਾਵਰ
combatant,ਲੜਾਕੂ
jack,ਜੈਕ
mercenary,ਕਿਰਾਏਦਾਰ
militant,ਅੱਤਵਾਦੀ
support for women,forਰਤਾਂ ਲਈ ਸਹਾਇਤਾ
great woman,ਮਹਾਨ womanਰਤ
election parties,ਚੋਣ ਪਾਰਟੀਆਂ
leaders,ਆਗੂ
great leader,ਮਹਾਨ ਨੇਤਾ
managing director,ਪ੍ਰਬੰਧ ਨਿਦੇਸ਼ਕ
victor,ਜੇਤੂ
victory,ਜਿੱਤ
Shirtless drunk,ਸ਼ਾਰਟਲੈਸ ਸ਼ਰਾਬੀ
lost in love,ਪਿਆਰ ਵਿੱਚ ਹਾਰ ਗਏ
crazy boy,ਪਾਗਲ ਮੁੰਡਾ
Blended,ਮਿਲਾਇਆ
Scotch,ਸਕੌਚ
Whiskies,ਵਿਸਕੀ
forthcoming,ਆਉਣ ਵਾਲਾ
love affair,ਪਿਆਰ ਸੰਬੰਧ
love emotions,ਪਿਆਰ ਭਾਵਨਾਵਾਂ
Romantic music,ਰੋਮਾਂਟਿਕ ਸੰਗੀਤ
loved one,ਇੱਕ ਪਿਆਰ ਕੀਤਾ
amplifier,ਐਂਪਲੀਫਾਇਰ
smartphone,ਸਮਾਰਟਫੋਨ
communication,ਸੰਚਾਰ
again and  again,ਵਾਰ ਵਾਰ
emotions,ਜਜ਼ਬਾਤ
rose day,ਗੁਲਾਬ ਦਾ ਦਿਨ
valetine day,ਵੈਲੇਨਟਾਈਨ ਦਿਵਸ
cute boy,ਪਿਆਰਾ ਮੁੰਡਾ
beterhalf,ਬਿਹਤਰ ਅੱਧਾ
of Your Heart,ਤੁਹਾਡੇ ਦਿਲ ਦਾ
crushes my heart.,ਮੇਰੇ ਦਿਲ ਨੂੰ ਕੁਚਲਦਾ ਹੈ.
angry women,ਗੁੱਸੇ womenਰਤਾਂ
ill-tempered,ਦੁਸ਼ਟ
hateful,ਘ੍ਰਿਣਾਯੋਗ
bad tempered,ਮਾੜਾ ਸੁਭਾਅ
full of hate,ਨਫ਼ਰਤ ਨਾਲ ਭਰੇ
blown a gasket,ਇੱਕ ਗੈਸਕੇਟ ਉਡਾ ਦਿੱਤੀ
Strong women,ਮਜ਼ਬੂਤ ​​.ਰਤਾਂ
rule the world,ਸੰਸਾਰ ਤੇ ਰਾਜ ਕਰੋ
cherishingstar,ਚੈਰੀਸ਼ਿੰਗ ਸਟਾਰ
zumba,zumba
aerobics,ਐਰੋਬਿਕਸ
show love,ਪਿਆਰ ਦਿਖਾਓ
love bird,ਪਿਆਰ ਪੰਛੀ
sexy lady,ਸੈਕਸੀ .ਰਤ
Rock stars,ਚੱਟਾਨ ਤਾਰੇ
appo,ਐਪੋ
aa beta selfie le le,ਏ ਬੀਟਾ ਸੈਲਫੀ ਲੈ ਲੇ
salman khan,ਸਲਮਾਨ ਖਾਨ
bajrangi bhaijaan,ਬਜਰੰਗੀ ਭਾਈਜਾਨ
photography,ਫੋਟੋਗ੍ਰਾਫੀ
oneself,ਆਪਣੇ ਆਪ ਨੂੰ
webcam,ਵੈਬਕੈਮ
shared,ਸਾਂਝਾ ਕੀਤਾ
on facebook,ਫੇਸਬੁੱਕ 'ਤੇ
YouCam Perfect,YouCam ਸੰਪੂਰਣ
Takes 2 selfies,2 ਸੈਲਫੀ ਲੈਂਦਾ ਹੈ
Deletes 22 selfies!,22 ਸੈਲਫੀਆਂ ਹਟਾਓ!
A selfie,ਇੱਕ ਸੈਲਫੀ
a day,ਇਕ ਦਿਨ
keeps the,ਰੱਖਦਾ ਹੈ
friends away.,ਦੋਸਤ ਦੂਰ.
Take my selfie,ਮੇਰੀ ਸੈਲਫੀ ਲਓ
I don’t know,ਮੈਂ ਨਹੀਂ ਜਾਣਦੀ
why I’m still waiting.,ਕਿਉਂ ਮੈਂ ਅਜੇ ਇੰਤਜ਼ਾਰ ਕਰ ਰਿਹਾ ਹਾਂ।
sun to shine.,ਸੂਰਜ ਚਮਕਣ ਲਈ.
first letter,ਪਹਿਲਾ ਪੱਤਰ
alphabetical,ਵਰਣਮਾਲਾ
I’m single,ਮੈਂ ਕਵਾਰਾ ਹਾਂ
right one to come along.,ਇਕ ਨਾਲ ਆਉਣ ਲਈ.
You might fall,ਤੁਸੀਂ ਡਿੱਗ ਸਕਦੇ ਹੋ
in love with me.,ਮੇਰੇ ਨਾਲ ਪਿਆਰ ਵਿੱਚ.
gymanisium,ਜਿਮਨੇਜ਼ੀਅਮ
excerise,ਕਸਰਤ
body buidler,ਸਰੀਰ ਨਿਰਮਾਤਾ
lets workout,ਕਸਰਤ ਕਰਨ ਦਿਓ
lets reduce our calories,ਆਓ ਸਾਡੀ ਕੈਲੋਰੀ ਘੱਟ ਕਰੀਏ
muscules,ਵਜ਼ਨ
main tumse,ਮੁੱਖ ਪੇਟ
pyaar kartahoon,ਤੁਹਾਨੂੰ ਪਿਆਰ
mohabatt,ਮੁਸਕਰਾਇਆ
ikarar,ਸਮਝੌਤਾ
kya tum,ਤੁਸੀਂ ਕਰੋਗੇ
ready ho,ਤਿਆਰ ਹੋ
lets try,ਆਓ ਕੋਸ਼ਿਸ਼ ਕਰੀਏ
body builder,ਸਰੀਰ ਨਿਰਮਾਤਾ
handsome hunk,ਖੂਬਸੂਰਤ ਕੂਕ
chalo mere,ਆਓ ਮੇਰੇ
baremien baat kartein,ਬਾਰੇ ਗੱਲ ਕਰੋ
selfieewala love,ਸੈਲਫੀਵਾਲਾ ਪਿਆਰ
dole shole,ਡੋਲ ਫਾੜ
6 packs,6 ਪੈਕ
abb,ਅੰਜੀਰ
solla ka dolla,ਭਟਕਣਾ
gudlooking,ਗੁਡਲੋਕਿੰਗ
hero types,ਹੀਰੋ ਕਿਸਮ
hows you baby,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ ਬੱਚੇ
how are you baby,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ ਬੱਚੇ
