colva,കോൾവ
yelloweyes,മഞ്ഞനിറം
supervillain,സൂപ്പർവൈലിൻ
silverdress,വെള്ളി വസ്ത്രം
archenemy,ആർക്കെനെമി
bluecape,ബ്ലൂകേപ്പ്
redhood,redhood
gambit,ഗാംബിറ്റ്
remy,remy
brownjacket,തവിട്ട് ജാക്കറ്റ്
purpleshirt,പർപ്പിൾഷർട്ട്
bluepants,ബ്ലൂപാന്റുകൾ
scott,സ്കോട്ട്
bluejumpsuit,ബ്ലൂജമ്പ്‌സ്യൂട്ട്
yellowmask,യെല്ലോമാസ്ക്
yellowband,യെല്ലോബാൻഡ്
marcel,മാർസെൽ
blue pant,നീല പാന്റ്
brownshoes,ബ്ര brown ൺഷോകൾ
WeWereOnABreak!,WeWereOnABreak!
rachel,റാച്ചൽ
rossgeller,റോസ്ഗെല്ലർ
rach,റാച്ച്
blueskirt,ബ്ലൂസ്‌കേർട്ട്
rachelgreen,റാച്ചൽഗ്രീൻ
tagjones,തഗ്ജൊനെസ്
monicageller,monicageller
Therachel,തെരച്ചൽ
haircut,മുടിവെട്ട്
pheobe,ഫിയോബ്
pheebs,pheebs
purplejacket,പർപ്പിൾജാക്കറ്റ്
greenskirt,ഗ്രീൻസ്കേർട്ട്
blueshoes,ബ്ലൂഷൂകൾ
smellycatsmellycat,smellycatsmellycat
cleanfreak,ക്ലീൻ‌ഫ്രീക്ക്
redtop,റെഡ്‌ടോപ്പ്
NotJustClean,നോട്ട്ജസ്റ്റ്ക്ലീൻ
MonicaClean!,മോണിക്കക്ലീൻ!
courtneycox,കോർട്ടനി കോക്സ്
joeytribbiani,joeytribbiani
blackjacket,ബ്ലാക്ക് ജാക്കറ്റ്
bluepant,ബ്ലൂപാന്റ്
pepperonipizza,pepperoni പിസ്സ
joeydoesn'tsharefood,joeydoesnotsharefood
mattleblanc,mattleblanc
Tribbiani'sEat,ട്രിബിയാനീസ് ഈറ്റ്
ChickJr,ChickJr
DuckJr,ദുച്ക്ജ്ര്
chandler,ചാൻഡലർ
chandlerbing,ചാൻഡലർബിംഗ്
howyoudoin?,എങ്ങനെയിരിക്കുന്നു?
janice,ജാനീസ്
OhMyGod!,ഓ എന്റെ ദൈവമേ!
animalprintjacket,അനിമല്പ്രിംത്ജച്കെത്
orangepant,ഓറഞ്ച്പാന്റ്
whitetshirt,വെള്ള ഷർട്ട്
whiteshirt,വെള്ള ഷർട്ട്
I'mChandlerBing,ഇമ്ഛംദ്ലെര്ബിന്ഗ്
SarcasmKing,സർകാസ്കിംഗ്
brownsaree,ബ്രൗൺസറി
goldensky,ഗോൾഡൻസ്‌കി
wings,ചിറകുകൾ
brownsuit,തവിട്ട് സ്യൂട്ട്
pinkorangeskirt,പിങ്കോറംഗ് പാവാട
goldchains,ഗോൾഡ്‌ചെയിനുകൾ
violetsaree,വയലറ്റ്സറി
word,വാക്ക്
command,കമാൻഡ്
intrepid,ഭയങ്കര
fearless,നിർഭയ
I'mFearless,ഞാൻ ഭയമില്ലാത്തവനാണ്
bow and arrow,അമ്പും വില്ലും
I'mBahubali,ഇംബഹുബലി
shivalinga,ശിവലിംഗ
outlive,ആയുർദൈർഘ്യം
flags,പതാകകൾ
yellowflags,യെല്ലോഫ്ലാഗുകൾ
slave,അടിമ
invaluable,വിലമതിക്കാനാവാത്ത
whitedress,വെള്ള വസ്ത്രം
whitedupatta,വൈറ്റുപട്ട
muscular,പേശി
orangecostume,ഓറഞ്ച് വസ്ത്രധാരണം
nosorry,ക്ഷമിക്കണം
nothankyou,nothankyou
purpletowel,പർപ്പിൾടോവൽ
JawaniFirNaAye,യുവത്വം
yellowtie,യെല്ലോട്ടി
violetshirt,വയലറ്റ്ഷർട്ട്
pant,പാന്റ്
myself,ഞാൻ തന്നെ
madhuriDixit,മധുരിദികൾ
Nisha,നിഷ
bluetooth,ബ്ലൂടൂത്ത്
DivyaKaBodyguard,DivyaKaBodyguard
BlackShades,ബ്ലാക്ക് ഷേഡ്സ്
purpletshirt,പർപ്പിൾഷർട്ട്
TooMuchFun,TooMuchFun
EkBaarJoCommitmentKarDi,ഒറ്റത്തവണ ജോലി കാർഡ്
ApneAapKiBhiNahiSunta,സ്വന്തമായി ശ്രദ്ധിക്കരുത്
bluedenim,ബ്ലൂഡെനിം
blackshoes,ബ്ലാക്ക്‌ഷോകൾ
pinkandwhitetshirt,പിങ്ക്, വൈറ്റ് ഷർട്ട്
border,അതിർത്തി
pakistan,പാക്കിസ്ഥാൻ
pavan,കാറ്റ്
munni,വായ
yellowskirt,മഞ്ഞ പാവാട
bluetop,ബ്ലൂടോപ്പ്
blueheels,നീല കുതികാൽ
purplegown,പർപ്പിൾഗ own ൺ
yellowhair,യെല്ലോഹെയർ
longhairnocare!,ലോംഗ്ഹെയർനോകെയർ!
longhair,നീണ്ട മുടി
bluejewellery,ബ്ലൂജുവല്ലറി
blackhair,കറുത്ത മുടി
browndress,ബ്രോൺ‌ഡ്രസ്
bluegown,ബ്ലൂഗ own ൺ
bowandarrow,അമ്പും വില്ലും
redhead,റെഡ്ഹെഡ്
curlyhair,curlyhair
aladdin,അലാഡിൻ
bluetiarra,ബ്ലൂറ്റിയറ
bluecostume,ബ്ലൂകോസ്റ്റ്യൂം
bluedress,നീല വസ്ത്രധാരണം
platinumhair,പ്ലാറ്റിനംഹെയർ
moutains,പർവതങ്ങൾ
crystalshoes,ക്രിസ്റ്റൽഷോകൾ
hairband,മുടി കെട്ടാന്ഉപയോഗിക്കുന്ന ചരട്
yellowgown,യെല്ലോഗ own ൺ
brownhair,ബ്ര brown ൺഹെയർ
beast,മൃഗം
blondehair,സുന്ദരമായ മുടി
pinkgown,പിങ്ക്ഗ own ൺ
pinkdress,പിങ്ക് വസ്ത്രധാരണം
mermaid,മെർമെയ്ഡ്
redhair,ചുവപ്പ് മുടി
blueeyes,നീലക്കണ്ണുകൾ
lavenderseashellbra,ലാവെൻഡെർഷെൽബ്ര
greenfishtail,greenfishtail
redjacket,റെഡ്ജാക്കറ്റ്
chutta,പാകംചെയ്ത
yellowtop,യെല്ലോടോപ്പ്
piggy,പിഗ്ഗി
gullak,പിഗ്ഗി ബാങ്ക്
bluetshirt,ബ്ലൂഷർട്ട്
udhaarlena,കടം വാങ്ങുക
rick,റിക്ക്
metersejana,മീറ്റർസെജാന
yellowgreenauto,yellowgreenauto
sharingauto,പങ്കിടൽ
ChutteNahiHai,അവധി അല്ല
officephone,ഓഫീസിലെ ഫോൺ
CallKar,കോൾകാർ
redphone,റെഡ്ഫോൺ
starbucks,സ്റ്റാർബക്സ്
luxury!,ലക്ഷ്വറി!
gharkicoffee,ഗാർകിക്കോഫി
bru,ബ്രൂ
nescafe,nescafe
greentop,ഗ്രെന്റോപ്പ്
BluejeansFromSarojini,സരോജിനിയിൽ നിന്നുള്ള ബ്ലൂജിയൻസ്
pinkexpensivetop,pinkexpensivetop
purpleskirt,പർപ്പിൾസ്കർട്ട്
blueshorts,നീല ഷോർട്ട്സ്
freekidaru,freekidaru
bestdaru,bestdaru
liqour,മദ്യം
gareeb,പാവങ്ങൾ
nosalary,നോസലറി
blackpant,ബ്ലാക്ക്പാന്റ്
greenshorts,ഗ്രീൻ‌ഷോർട്ട്സ്
cushions,തലയണകൾ
pinkcushion,പിങ്ക് തലയണ
beachfun,ബീച്ച്ഫൺ
greentubetop,greentubetop
beachbum,ബീച്ച്ബം
poser,പോസ്
greenbikini,പച്ച ബിക്കിനി
outdoor,do ട്ട്‌ഡോർ
dermicool,ദെര്മിചൊഒല്
redpant,റെഡ്പാന്റ്
beachbaby,ബീച്ച്ബാബി
greendress,പച്ച വസ്ത്രധാരണം
poolchair,പൂൾ കസേര
beachmat,ബീച്ച് പായ
coconuttrees,തേങ്ങ
floats,ഫ്ലോട്ടുകൾ
underwater,വെള്ളത്തിനടിയിൽ
nemo,nemo
ferns,ഫേൺസ്
pinkicecream,പിങ്ക് ഐസ്ക്രീം
YouKnowWhoIam,ഞാനാരാണെന്ന് നിനക്കറിയാമോ
SayMyName,SayMiNate
pinkjacket,പിങ്ക് ജാക്കറ്റ്
blonde,സുന്ദരിയായ
brunette,brunette
line,ലൈൻ
cocktail,കോക്ടെയ്ൽ
redshorts,റെഡ്ഷോർട്ടുകൾ
grass,പുല്ല്
barf,ബാർഫ്
redwhiteblue,redwhiteblue
beachlove,ബീച്ച് ലോവ്
posers,പോസറുകൾ
yellocape,yellocape
pinkmask,പിങ്ക്മാസ്ക്
imfab,ഇമാബ്
spidy,സ്പൈഡി
spidermansuit,സ്പൈഡർമാൻ സ്യൂട്ട്
redblueblack,റെഡ്ബ്ലൂബ്ലാക്ക്
blackdress,കറുത്ത വസ്ത്രം
rdj,rdj
robertdowneyjr,റോബർട്ട് ഡൌനീ ജൂനിയർ
ironmansuit,ironmansuit
redyellow,redyellow
greenskin,ഗ്രീൻസ്കിൻ
vioeletshorts,വയലറ്റ്ഷോർട്ടുകൾ
angryandhungry,കോപവും ഹംഗ്രിയും
captainamericasuitup!,ക്യാപ്റ്റൻ അമേരിക്ക സ്യൂട്ട് അപ്പ്!
blueredwhite,നീലനിറത്തിലുള്ള വൈറ്റ്
dedhkilokahaath,ഒന്നര കൈ
strongarm,കരുത്തുറ്റ ആയുധം
scarlett,സ്കാർലറ്റ്
whatyoulookingat,നിങ്ങൾ നോക്കുന്നത്
blackmask,കറുത്ത മാസ്ക്
black,കറുപ്പ്
emma,എമ്മ
mike,മൈക്ക്
ryan,റിയാൻ
ryansuperstar,ryansuperstar
redsuit,റെഡ്സ്യൂട്ട്
horns,കൊമ്പുകൾ
ryancowboy,ryancowboy
lasso,ലസ്സോ
orangeboots,ഓറഞ്ച് ബോട്ടുകൾ
cowboyhat,കൗബോയ് തൊപ്പി
chandamama,ചന്ദ്രൻ
nightsky,നൈറ്റ്സ്കി
casper,കാസ്പർ
reddress,ചുവന്ന വസ്ത്രം
devilhorns,ഡെവിൾഹോൺസ്
cowgirl,പശു
cottage,കോട്ടേജ്
witchbroom,മന്ത്രവാദി
greenwater,ഹരിതജലം
bikini,ബിക്കിനി
redbikini,രെദ്ബികിനി
orangedress,ഓറഞ്ചെഡ്രസ്
jacket,ജാക്കറ്റ്
cutedress,കട്ടെഡ്രസ്
pup,പപ്പ്
corgi,കോർഗി
violetdress,വയലറ്റ് ഡ്രസ്
doggie,ഡോഗി
cutedog,കട്ടെഡോഗ്
browndog,ബ്രോണ്ടോഗ്
happydog,ഹാപ്പിഡോഗ്
fashionista,ഫാഷനിസ്റ്റ
blouse,ബ്ല ouse സ്
bluesky,നീലാകാശം
clearsky,തെളിഞ്ഞ ആകാശം
pinktop,പിങ്ക്ടോപ്പ്
whiteskirt,വെളുത്ത പാവാട
skateboard,സ്കേറ്റ്ബോർഡ്
skates,സ്കേറ്റ്സ്
cutepup,കട്ട്‌അപ്പ്
redband,റെഡ്ബാൻഡ്
stocking,സംഭരണം
blackswan,കറുത്ത ഹംസം
whiteswan,വൈറ്റ്സ്വാൻ
entrechat,എൻട്രെചാറ്റ്
gowmata,കൊല്ലാൻ
greensalwar,ഗ്രീൻസൽവാർ
purpledupatta,purpledupatta
pinksalwar,പിങ്‌സൽവാർ
yellowdupatta,മഞ്ഞപ്പട്ട
dupatta,ദുപ്പട്ട
salwarkameez,സാൽ‌വർ‌കമീസ്
chakkar,ഒരു കാര്യം
yellosalwar,yellosalwar
bluedupatta,ബ്ലൂഡുപട്ട
roaming,റോമിംഗ്
swetatiwari,സ്വതതിവാരി
redgamcha,റെഡ്ഗാംച
moustache,മേൽമീശ
yellowshirt,യെല്ലോ ഷർട്ട്
orangekurta,ഓറഞ്ച്കുർത്ത
biharibhaiya,ബിഹാരിഭയ്യ
yellowsalwar,യെല്ലോസാൽവാർ
lalluswag,പ്രണയിനി
greenkurta,പച്ചകുർത്ത
whitehair,വൈറ്റ്ഹെയർ
landline,ലാൻഡ്‌ലൈൻ
pinktshirt,പിങ്ക് ഷർട്ട്
fracture,ഒടിവ്
brownshorts,ബ്ര brown ൺ‌ഷോർട്ടുകൾ‌
bheegi Gai,ഒലിച്ചിറങ്ങി
redskirt,റെഡ്സ്കർട്ട്
yellowtshirt,മഞ്ഞ ഷർട്ട്
purplepant,പർപ്പിൾപാന്റ്
yellowpant,യെല്ലോപാന്റ്
bin,ബിൻ
desert,ഏകാന്ത
plasticbagse,പ്ലാസ്റ്റിക്ബാഗ്സ്
greenpant,ഗ്രീൻപാന്റ്
uk,യുകെ
khullachange,ഖുൽചേഞ്ച്
redshoes,റെഡ്ഷോകൾ
pages,പേജുകൾ
suitup,സ്യൂട്ട്അപ്പ്
whitebeard,വെളുത്ത താടി
Sun Lega,സൺ ലെഗ
wand,വടി
brownrags,ബ്ര brown ൺ‌റാഗുകൾ‌
bigeyes,വലിയ കണ്ണുകള്
malnourished,പോഷകാഹാരക്കുറവ്
browncostume,ബ്ര brown ൺ‌കോസ്റ്റ്യൂം
bahar aa,ഇത് തീർന്നു
KhelteHai,പ്ലേ ചെയ്യുക
hairnocare,ഹെയർനോകെയർ
abrakadabra,abrakadabra
voldemort,voldemort
nonose,നൊനൊസെ
badhabit,ബാഡ്‌ഹാബിറ്റ്
whitedeer,വൈറ്റിയർ
blackcape,ബ്ലാക്ക്‌കേപ്പ്
blackgown,ബ്ലാക്ക്ഗ own ൺ
achibaat,achibaat
thenga,വാങ്ങുക
naturescall,naturescall
chupbey,ചപ്പേ
thikhai,മൂർച്ചയുള്ളത്
daudtahai,റൺസ്
blueandwhite,blueandwhite
pinksando,പിങ്ക്സാണ്ടോ
redlehenga,റെഡ്‌ലെഹെംഗ
redblouse,റെഡ്ബ്ല ouse സ്
whitetop,വൈറ്റ്‌ടോപ്പ്
greenshirt,ഗ്രീൻ‌ഷർട്ട്
seagreenshirt,സീഗ്രീൻഷർട്ട്
orangedrapes,ഓറഞ്ച്ഡ്രേപ്പുകൾ
guruji,മാസ്റ്റർ
banyan,ബനിയൻ
vest,വെസ്റ്റ്
whitevest,വൈറ്റ്വെസ്റ്റ്
orangetshirt,orangetshirt
temple,ക്ഷേത്രം
orangetemple,orangetemple
mala,മോശം
tubedress,ട്യൂബ് വസ്ത്രധാരണം
littlegreendress,littlegreendress
blazer,ബ്ലേസർ
blackpant',ബ്ലാക്ക്പാന്റ് '
gymwear,ജിംവെയർ
greypants,ഗ്രേപാന്റുകൾ
blacktop,ബ്ലാക്ക് ടോപ്പ്
blackshorts,ബ്ലാക്ക്‌ഷോർട്ടുകൾ
yellowscarf,യെല്ലോസ്കാർഫ്
yellowflag,യെല്ലോഫ്ലാഗ്
youcrazydiamond,youcrazydiamond
pinkblouse,പിങ്ക്ബ്ല ouse സ്
miley,മൈലി
yellowcape,യെല്ലോകേപ്പ്
shinysuit,shinysuit
yellowstole,യെല്ലോസ്റ്റോൾ
yellowdress,യെല്ലോഡ്രസ്
polkadotblueskirt,polkadotblueskirt
orangejersery,ഓറഞ്ച്ജേഴ്സറി
miyaabhai,മിയാൻ‌ഭായ്
orangecape,ഒരന്ഗെചപെ
oraangeblackjersey,oraangeblackjersey
hyderabadi,ഹൈദരാബാദി
orangejersey,ഓറഞ്ച്ജേഴ്സി
hyderabadijersey,ഹൈദരാബാഡിജെർസി
orangeblack,ഓറഞ്ച്ബ്ലാക്ക്
hyderabadicheer,ഹൈദരാബാദിച്ചർ
hyderabadibiryaani,ഹൈദരാബാദിബിരിയാണി
tangdi,കസിൻ
viraat,വമ്പിച്ച
redblackjersey,റെഡ്ബ്ലാക്ക്ജേഴ്സി
cheerleaders,ചിയർ ലീഡർമാർ
blondes,ബ്ളോണ്ടുകൾ
whiteredsuit,വൈറ്റ്റെഡ്‌സ്യൂട്ട്
bandana,ബന്ദന
challengers,വെല്ലുവിളികൾ
mallya,മല്യ
macha,ഒരു മത്സരം
aag,തീ
stump,സ്റ്റമ്പ്
redjersey,റെഡ്ജേഴ്സി
stadium,സ്റ്റേഡിയം
dimples,ഡിംപിൾസ്
redjersery,റെഡ്ജേഴ്സറി
whitepant,വൈറ്റ്പാന്റ്
cap,തൊപ്പി
whitejacket,വൈറ്റ്ജാക്കറ്റ്
redkurta,റെഡ്കോർട്ട്
whitedhoti,വൈത്തോട്ടി
lassipot,ലസിപോട്ട്
yellowtrophy,യെല്ലോട്രോഫി
redsalwar,redsalwar
reddupatta,ഇരട്ടിയാക്കി
ringmaster,റിംഗ് മാസ്റ്റർ
hashtag,ഹാഷ്ടാഗ്
fort,കോട്ട
killa,കില്ല
greenmoney,ഗ്രീൻമണി
seat,ഇരിപ്പിടം
haalorehaalo,ഹലോ
ghagra,ഘാഗ്ര
orangeghagra,ഓറഞ്ച്ഗാഗ്ര
orangesuit,ഓറഞ്ച്യൂട്ട്
dhoklashoklatecricket,ധോക്ലാഷോക്ലേറ്റ്ക്രിക്കറ്റ്
orangetop,orangetop
bluejersey,ബ്ലൂജേഴ്സി
silvertrophy,സിൽവർട്രോഫി
bluecap,ബ്ലൂക്യാപ്പ്
handgloves,കൈത്തണ്ടകൾ
bleedblue,bleedblue
dillseindian,ഉത്സാഹമുള്ള
halo,ഹാലോ
bhagwaan,മിക്കവാറും
purplewings,പർപ്പിൾവിംഗ്സ്
balckpant,ബാൽക്പാന്റ്
greengrass,പച്ച പുല്ല്
purplesuit,പർപ്പിൾ സ്യൂട്ട്
cheerleadercostume,ചിയർ ലീഡർ വസ്ത്രധാരണം
pompom,പോംപോം
stimp,സ്തിംപ്
purplesaree,പർപ്പിൾസാരി
caution,ജാഗ്രത
helmet,ഹെൽമെറ്റ്
pinkshoes,പിങ്ക്ഷോകൾ
bluettshirt,ബ്ലൂറ്റ്ഷർട്ട്
har gaye,നഷ്ടപ്പെട്ടു
cellphone,സെൽ ഫോൺ
pigtails,പിഗ്ടെയിലുകൾ
wrapping,പൊതിയുന്നു
greenshoes,ഗ്രീൻഷോകൾ
chocolatecake,ചോക്ലേറ്റ് കേക്ക്
redgift,റെഡ്ജിഫ്റ്റ്
whitegloves,വൈറ്റ്ഗ്ലോവ്സ്
bluesuit,ബ്ലൂസ്യൂട്ട്
silvergloves,സിൽ‌വർ‌ഗ്ലോവ്സ്
silverboots,സിൽ‌വർ‌ബൂട്ടുകൾ‌
bluejacket,ബ്ലൂജാക്കറ്റ്
yellowboots,യെല്ലോബൂട്ട്സ്
purplehair,പർപ്പിൾ മുടി
golden,സ്വർണ്ണം
bluehandband,ബ്ലൂഹാൻഡ്ബാൻഡ്
suitedup,സ്യൂട്ട്അപ്പ്
redtie,റെഡ്റ്റി
redbelt,റെഡ്ബെൽറ്റ്
redflag,ചുവന്ന കൊടി
van,മുതൽ
yellowvan,യെല്ലോവാൻ
foolproof,വിഡ് p ി
proof,തെളിവ്
heartshades,ഹാർട്ട്ഷെയ്ഡുകൾ
don'tbelieveyou,വിശ്വസിക്കരുത്
magicball,മാജിക്ബോൾ
purpledress,പർപ്പിൾ വസ്ത്രധാരണം
purplegloves,പർപ്പിൾ ഗ്ലോവ്സ്
can't,കഴിയില്ല
can'tfoolme,കഴിയില്ല
youcan'tfoolmetoday,youcan'tfoolmetoday
jokeysuit,ജൊകെയ്സുഇത്
youfooledme,youfooledme
trustnoone,ആരെയും വിശ്വസിക്കരുത്
noone,ആരുമില്ല
whiteapron,വെളുത്ത ആപ്രോൺ
spatula,സ്പാറ്റുല
yellowspoon,യെല്ലോസ്പൂൺ
apron,ആപ്രോൺ
Fractuew hogya,എങ്ങനെയെന്ന് ഫ്രാക്ച്യൂ
pilaster bhi nai,പൈലസ്റ്ററും
lagega,എടുക്കും
prevention is better,പ്രതിരോധം നല്ലതാണ്
than cure,ചികിത്സിക്കുന്നതിനേക്കാൾ
fracture in hip,ഇടുപ്പിൽ ഒടിവ്
hoshudjayenge,കുലുങ്ങും
redhojayega,റെഡ്ഹോജ ചെയ്യും
Dhol ki awazpe,ഡ്രം ശബ്ദം
koi so,കൊയ്‌സോ
nai sakta,കഴിയില്ല
mujhepe,ഞാൻ
ko shaq,കോ ഷാക്ക്
ho nahi sakta,ആകാൻ കഴിയില്ല
Dhol Bajake,ഡ്രമ്മിംഗ്
dhol freestyle,dhol ഫ്രീസ്റ്റൈൽ
dholdhamaka,ഡ്രമ്മർ
mastiwithfriends,mastiwithfriends
dabangboy,സ്റ്റിക്ക് ഗെയിം
Tumhaara intezaar,നിങ്ങൾക്കായി കാത്തിരിക്കുന്നു
karte karte,കാർഡ് കാർഡ്
main so gaya,ഞാൻ ഉറങ്ങി
Yeh dekho,ഇത് കാണുക
mera  dhol,എന്റെ ഡ്രം
time out ho gaya,കാലഹരണപ്പെട്ടു
Zamalu,പുഷ്പം
thele,തള്ളുന്നു
chukandar,പഞ്ചസാര ബീറ്റ്റൂട്ട്
BEETROOT,ബീറ്റ്റൂട്ട്
BETA VULGARIS,ബീറ്റ വൾഗാരിസ്
rich in antioxidants,ആന്റിഓക്‌സിഡന്റുകൾ ധാരാളം
dietary fiber,നാരുകൾ
calcium,കാൽസ്യം
potassium,പൊട്ടാസ്യം
zamalukathela,ഇറ്റാലിക്സ്
Budda,ബുദ്ധൻ
padne,ഉയരും
RedRose,റെഡ് റോസ്
ishq wala love,പൊതിഞ്ഞില്ല, സ്നേഹിക്കുന്നു
ishq junoon,പ്രേമ അഭിനിവേശം
ishq baaz,ഉല്ലാസം
wins the race,ഓട്ടത്തിൽ വിജയിക്കുന്നു
walk on grass,പുല്ലിൽ നടക്കുക
good for the body.,ശരീരത്തിന് നല്ലത്.
Barefoot Walking,നഗ്നപാദ നടത്തം
propose day,ദിവസം നിർദ്ദേശിക്കുക
Propose my crush,എന്റെ ക്രഷ് നിർദ്ദേശിക്കുക
keep calm,ശാന്തമായിരിക്കുക
carry on,മുന്നോട്ടുപോകുക
putaikhane,പെയിന്റ് ബ്രഷ്
keep quiet,മിണ്ടാതിരിക്കുക
shhhhhh,shhhhhh
geniues at work,ജോലിസ്ഥലത്തെ പ്രതിഭ
angrybird,കോപ പക്ഷി
I;am,ഞാൻ
so Angry,ഭയങ്കര ദേഷ്യം
with you,നിങ്ങൾക്കൊപ്പം
chup kr ke kaam kro,ഷട്ട് അപ്പ് ചെയ്ത് ജോലി ചെയ്യുക
moodoff,മൂഡോഫ്
so stay away,അതിനാൽ മാറിനിൽക്കുക
Dekh Chotte,ചെറുപ്പമായി കാണുന്നു
Chup kr ab,ഇപ്പോൾ ഷട്ട് അപ്പ് ചെയ്യുക
Bc chup kr ja,മിണ്ടാതിരിക്കുക
chup kr chandraprakash,നിശബ്‌ദ ചന്ദ്രപ്രകാശം
Chup Kr Saale,നിശബ്ദ സുഹൃത്തുക്കൾ
chup kr bhai warna,നിശബ്ദ സഹോദരൻ സഹോദരൻ
Bhaad mein ja,നരകത്തിലേക്ക് പോകുക
boys hair,ആൺകുട്ടികളുടെ മുടി
adult boy,മുതിർന്ന കുട്ടി
full body hair,പൂർണ്ണ ശരീര മുടി
veet,വെഎത്
blackkurta,കറുത്ത കുർത്ത
blackpants,ബ്ലാക്ക്പാന്റുകൾ
whitekurta,വ്ഹിതെകുര്ത
pullover,തലയിൽ കൂടി ഇടുന്ന കുപ്പായം
bluescarf,ബ്ലൂസ്‌കാർഫ്
jeans,ജീൻസ്
hockeystick,ഹോക്കി സ്റ്റിക്ക്
blackblazer,ബ്ലാക്ക് ബ്ലേസർ
orangeshirt,ഓറഞ്ച്ഷർട്ട്
greenbook,ഗ്രീൻബുക്ക്
redbook,റെഡ്ബുക്ക്
sheets,ഷീറ്റുകൾ
yellowmattress,യെല്ലോമാട്രസ്
greentie,ഗ്രെന്റി
yellowsaree,യെല്ലോസാരി
redsaree,റെഡ്സറി
necklace,കണ്ഠാഭരണം
whitepyjama,വൈറ്റ്പിജാമ
blackshirt,ബ്ലാക്ക് ഷർട്ട്
policesuit,പോളിസ്യൂട്ട്
redyellowsuit,redyellowsuit
redstole,റെഡ്സ്റ്റോൾ
plates,പ്ലേറ്റുകൾ
blacksalwar,ബ്ലാക്ക്‌സാൽവാർ
blackcostume,കറുത്ത വസ്ത്രധാരണം
brownkurta,ബ്രൊവ്ന്കുര്ത
brownbag,ബ്ര brown ൺ‌ബാഗ്
longhairs,ലോംഗ്ഹെയറുകൾ
redcape,റെഡ്കേപ്പ്
dollars,ഡോളർ
redbag,റെഡ്ബാഗ്
bargraph,ബാർ ഗ്രാഫ്
dartboard,ഡാർട്ട്ബോർഡ്
bluewhitedart,ബ്ലൂവിറ്റാർട്ട്
holikheltehai,ഹോളിഖെൽതെഹേറ്റ്
holihai,ഹോളിഹായ്
heartglasses,ഹാർട്ട് ഗ്ലാസുകൾ
redheart,റെഡ്ഹാർട്ട്
rangbarse,രന്ഗ്ബര്സെ
abtohtugaya,വംശപരമ്പര
abtohtugya,അബ്തൊഹ്തുഗ്യ
tutohgya,ഞങ്ങൾ ചെയ്യും
orangebucket,ഓറഞ്ച്ബക്കറ്റ്
heartsglasses,ഹാർട്ട് ഗ്ലാസുകൾ
colourful,വർണ്ണാഭമായ
whitesalwar,വൈറ്റ്‌സൽവാർ
whitekameez,വ്ഹിതെകമെഎജ്
chunchunke,ചുൻ ചുങ്കെ
chunchunkerangoongi,ചുഞ്ചുൻ കെ രംഗൂൺ ജി.ഐ.
bhangwalicheers,ഭാംഗ്വാലിചേഴ്സ്
bhangkiglass,ഭാങ്‌കിഗ്ലാസ്
kabhaiholi,ചിലപ്പോൾ
when'sholi?,എപ്പോഴാണ് ഹോളി?
whenisholi?,എപ്പോൾ?
kehkemaarunga,ദരിദ്ര ഭൂമി
colorfulwater,വർണ്ണാഭമായ വെള്ളം
terakyahogare,terakyahogare
terakyahoga,terakyahoga
redheels,റെഡ്ഹീലുകൾ
wahhkyamakeuphai,അവർ പ്രശംസിച്ചു
haha!,ഹ ഹ!
aarti,ആരതി
aartikithali,ആരതികിതാലി
pooja,പൂജ
whiteshort,വൈറ്റ്ഷോർട്ട്
redmask,റെഡ്മാസ്ക്
blackeyes,കുറ്റവാളികൾ
redbalcksuit,റെഡ്ബാൽസ്യൂട്ട്
redblacksuit,റെഡ്ബ്ലാക്ക്സ്യൂട്ട്
redandblacksuit,redandblacksuit
thor,തോൺ
whiteblouse,വെളുത്ത ബ്ല ouse സ്
blueblazer,നീല .മൗനമേ
greyskirt,ഗ്രേസ്‌കേർട്ട്
blackheels,കറുത്ത കുതികാൽ
supermansuit,സൂപ്പർമാൻ സ്യൂട്ട്
musclular,പേശി
batmansuit,ബത്മംസുഇത്
redandyellowtop,redandyellowtop
shield,പരിച
greensuit,ഗ്രീൻസ്യൂട്ട്
greendrink,ഗ്രീൻ‌ഡ്രിങ്ക്
greenglass,ഗ്രീൻഗ്ലാസ്
goldcoins,ഗോൾഡ്‌കോയിനുകൾ
greenbow,ഗ്രീൻബോ
greenpants,ഗ്രീൻപാന്റുകൾ
redandwhitesocks,redandwhitesocks
bucketofwater,ബക്കറ്റ് വാട്ടർ
yellowshorts,യെല്ലോഷോർട്ടുകൾ
posing,പോസ് ചെയ്യുന്നു
greenballoon,ഗ്രീൻബലൂൺ
redballoon,റെഡ്ബലൂൺ
greendupatta,ഗ്രീന്തുപട്ട
yellowkameez,യെല്ലോകമീസ്
yellowkurta,യെല്ലോകുർത്ത
yellowpyjama,യെല്ലോപിജാമ
greytop,ഗ്രേടോപ്പ്
redboxinggloves,റെഡ്ബോക്സിംഗ് ഗ്ലോവ്സ്
pinklaptop,പിങ്ക്ലാപ്ടോപ്പ്
redtishirt,redtishirt
bluebag,ബ്ലൂബാഗ്
bluebottle,ബ്ലൂബോട്ടിൽ
skybag,സ്കൈബാഗ്
orangebag,ഓറഞ്ച്ബാഗ്
pinkumbrella,പിങ്ക് കുട
yellowslingbag,യെല്ലോസ്ലിംഗ്ബാഗ്
blueshort,ബ്ലൂഷോർട്ട്
